generated_at,attestation_chain,status,method,source_station_id,source_station_name,api_list_found,api_list_station_name,api_list_pm25_value,api_list_condition_label,api_list_hour,api_list_lat,api_list_lon,api_detail_retrieved,api_detail_date_raw,api_detail_observation_count,api_detail_latest_hour,api_detail_latest_pm25_value,api_detail_lat,api_detail_lon,api_coordinates_available,api_list_detail_coordinate_match,api_payload_has_station_status_field,api_payload_has_inspection_field,api_payload_has_calibration_field,api_payload_has_certificate_field,api_payload_has_grade_field,api_payload_has_method_field,api_condition_is_air_quality_label_only,current_status_confirmed,station_specific_inspection_log_found,station_specific_calibration_certificate_found,calibration_status_available,complete_monitor_grade_classification_available,station_radius_grade_assumption_ready,api_parity_decision,reader_use,non_claim
2026-06-19T23:47:31Z,ai-first,computed_bmkg_api_parity_status,air_monitoring_bmkg_api_parity_status_v1,pm25_bjb2,Banjarbaru,True,Banjarbaru,30.2,Sedang,5,-3.47500,114.85600,True,20-06-2026,6,5,30.2,-3.475,114.856,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,api_telemetry_visible_no_status_fields_keep_blocked,"Use as API parity evidence: BMKG list/detail endpoints expose live PM2.5 telemetry, coordinates, date/hour, and air-quality condition labels, but no station-status, inspection, calibration, certificate, grade, or method fields for this target row.","This pass records official BMKG public API telemetry and field presence. It does not convert a public app token, PM2.5 values, air-quality condition labels, coordinates, or hourly observations into station operational-status certification, station-specific inspection logs, calibration certificates, complete monitor-grade classification, or station-radius readiness."
2026-06-19T23:47:31Z,ai-first,computed_bmkg_api_parity_status,air_monitoring_bmkg_api_parity_status_v1,pm25_btm2,Batam,True,Batam,28.4,Sedang,5,1.12400,104.12600,True,20-06-2026,6,5,28.4,1.124,104.126,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,api_telemetry_visible_no_status_fields_keep_blocked,"Use as API parity evidence: BMKG list/detail endpoints expose live PM2.5 telemetry, coordinates, date/hour, and air-quality condition labels, but no station-status, inspection, calibration, certificate, grade, or method fields for this target row.","This pass records official BMKG public API telemetry and field presence. It does not convert a public app token, PM2.5 values, air-quality condition labels, coordinates, or hourly observations into station operational-status certification, station-specific inspection logs, calibration certificates, complete monitor-grade classification, or station-radius readiness."
2026-06-19T23:47:31Z,ai-first,computed_bmkg_api_parity_status,air_monitoring_bmkg_api_parity_status_v1,pm25_idp2,Indrapuri,True,Indrapuri,1.5,Baik,5,5.40400,95.47500,True,20-06-2026,6,5,1.5,5.404,95.475,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,api_telemetry_visible_no_status_fields_keep_blocked,"Use as API parity evidence: BMKG list/detail endpoints expose live PM2.5 telemetry, coordinates, date/hour, and air-quality condition labels, but no station-status, inspection, calibration, certificate, grade, or method fields for this target row.","This pass records official BMKG public API telemetry and field presence. It does not convert a public app token, PM2.5 values, air-quality condition labels, coordinates, or hourly observations into station operational-status certification, station-specific inspection logs, calibration certificates, complete monitor-grade classification, or station-radius readiness."
2026-06-19T23:47:31Z,ai-first,computed_bmkg_api_parity_status,air_monitoring_bmkg_api_parity_status_v1,pm25_jm3,Kota Jambi,True,Kota Jambi,46,Sedang,5,-1.63000,103.64000,True,20-06-2026,6,5,46,-1.63,103.64,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,api_telemetry_visible_no_status_fields_keep_blocked,"Use as API parity evidence: BMKG list/detail endpoints expose live PM2.5 telemetry, coordinates, date/hour, and air-quality condition labels, but no station-status, inspection, calibration, certificate, grade, or method fields for this target row.","This pass records official BMKG public API telemetry and field presence. It does not convert a public app token, PM2.5 values, air-quality condition labels, coordinates, or hourly observations into station operational-status certification, station-specific inspection logs, calibration certificates, complete monitor-grade classification, or station-radius readiness."
2026-06-19T23:47:31Z,ai-first,computed_bmkg_api_parity_status,air_monitoring_bmkg_api_parity_status_v1,pm25_jm4,Muaro Jambi,True,Muaro Jambi,24,Sedang,5,-1.63500,103.64600,True,20-06-2026,6,5,24,-1.635,103.646,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,api_telemetry_visible_no_status_fields_keep_blocked,"Use as API parity evidence: BMKG list/detail endpoints expose live PM2.5 telemetry, coordinates, date/hour, and air-quality condition labels, but no station-status, inspection, calibration, certificate, grade, or method fields for this target row.","This pass records official BMKG public API telemetry and field presence. It does not convert a public app token, PM2.5 values, air-quality condition labels, coordinates, or hourly observations into station operational-status certification, station-specific inspection logs, calibration certificates, complete monitor-grade classification, or station-radius readiness."
2026-06-19T23:47:31Z,ai-first,computed_bmkg_api_parity_status,air_monitoring_bmkg_api_parity_status_v1,pm25_kmy3,Kemayoran,True,Kemayoran,60.8,Tidak Sehat,5,-6.15599,106.84251,True,20-06-2026,6,5,60.8,-6.15599,106.84251,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,api_telemetry_visible_no_status_fields_keep_blocked,"Use as API parity evidence: BMKG list/detail endpoints expose live PM2.5 telemetry, coordinates, date/hour, and air-quality condition labels, but no station-status, inspection, calibration, certificate, grade, or method fields for this target row.","This pass records official BMKG public API telemetry and field presence. It does not convert a public app token, PM2.5 values, air-quality condition labels, coordinates, or hourly observations into station operational-status certification, station-specific inspection logs, calibration certificates, complete monitor-grade classification, or station-radius readiness."
2026-06-19T23:47:31Z,ai-first,computed_bmkg_api_parity_status,air_monitoring_bmkg_api_parity_status_v1,pm25_ktb2,Kototabang,True,Kototabang,1.7,Baik,5,-0.25100,100.38200,True,20-06-2026,6,5,1.7,-0.251,100.382,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,api_telemetry_visible_no_status_fields_keep_blocked,"Use as API parity evidence: BMKG list/detail endpoints expose live PM2.5 telemetry, coordinates, date/hour, and air-quality condition labels, but no station-status, inspection, calibration, certificate, grade, or method fields for this target row.","This pass records official BMKG public API telemetry and field presence. It does not convert a public app token, PM2.5 values, air-quality condition labels, coordinates, or hourly observations into station operational-status certification, station-specific inspection logs, calibration certificates, complete monitor-grade classification, or station-radius readiness."
2026-06-19T23:47:31Z,ai-first,computed_bmkg_api_parity_status,air_monitoring_bmkg_api_parity_status_v1,pm25_mdn2,Medan,True,Medan,11,Baik,5,3.59000,98.85000,True,20-06-2026,6,5,11,3.59,98.85,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,api_telemetry_visible_no_status_fields_keep_blocked,"Use as API parity evidence: BMKG list/detail endpoints expose live PM2.5 telemetry, coordinates, date/hour, and air-quality condition labels, but no station-status, inspection, calibration, certificate, grade, or method fields for this target row.","This pass records official BMKG public API telemetry and field presence. It does not convert a public app token, PM2.5 values, air-quality condition labels, coordinates, or hourly observations into station operational-status certification, station-specific inspection logs, calibration certificates, complete monitor-grade classification, or station-radius readiness."
2026-06-19T23:47:31Z,ai-first,computed_bmkg_api_parity_status,air_monitoring_bmkg_api_parity_status_v1,pm25_mrs,Maros,True,Maros,24.9,Sedang,5,-4.99700,119.57000,True,20-06-2026,6,5,24.9,-4.997,119.57,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,api_telemetry_visible_no_status_fields_keep_blocked,"Use as API parity evidence: BMKG list/detail endpoints expose live PM2.5 telemetry, coordinates, date/hour, and air-quality condition labels, but no station-status, inspection, calibration, certificate, grade, or method fields for this target row.","This pass records official BMKG public API telemetry and field presence. It does not convert a public app token, PM2.5 values, air-quality condition labels, coordinates, or hourly observations into station operational-status certification, station-specific inspection logs, calibration certificates, complete monitor-grade classification, or station-radius readiness."
2026-06-19T23:47:31Z,ai-first,computed_bmkg_api_parity_status,air_monitoring_bmkg_api_parity_status_v1,pm25_msg,Pesawaran,True,Pesawaran,63,Tidak Sehat,5,-5.17000,105.17800,True,20-06-2026,6,5,63,-5.17,105.178,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,api_telemetry_visible_no_status_fields_keep_blocked,"Use as API parity evidence: BMKG list/detail endpoints expose live PM2.5 telemetry, coordinates, date/hour, and air-quality condition labels, but no station-status, inspection, calibration, certificate, grade, or method fields for this target row.","This pass records official BMKG public API telemetry and field presence. It does not convert a public app token, PM2.5 values, air-quality condition labels, coordinates, or hourly observations into station operational-status certification, station-specific inspection logs, calibration certificates, complete monitor-grade classification, or station-radius readiness."
