generated_at,attestation_chain,status,method,closure_gate_id,source_station_id,source_station_name,station_method_class,method_classified,detail_page_display_found,station_page_bam_method_text_found,dashboard_status_raw,dashboard_current_status_confirmed,dashboard_delayed,source_level_grade_basis_available,station_unit_or_exact_context_sources,exact_station_audit_calibration_sources,pm25_installation_deployment_sources,targeted_certificate_status_decision,targeted_source_count,targeted_exact_station_calibration_language_sources,ppid_public_pm25_display_route_available,ppid_source_level_calibration_service_route_available,ppid_source_level_certificate_request_context_available,ppid_raw_data_exclusion_context_available,station_specific_inspection_log_found,station_specific_calibration_certificate_found,calibration_status_available,explicit_station_grade_evidence_found,current_status_gate,inspection_log_gate,calibration_certificate_gate,calibration_status_gate,explicit_station_grade_gate,complete_monitor_grade_gate,station_radius_grade_assumption_gate,closure_decision,promoted_to_complete_monitor_grade,station_radius_grade_assumption_ready,admissible_public_evidence_needed,reader_use,non_claim
2026-07-01T09:45:25Z,ai-first,computed_bmkg_station_grade_closure_gate,air_monitoring_bmkg_station_grade_closure_gate_v1,IDN-bmkg-station-grade-closure-pm25_bjb2,pm25_bjb2,Banjarbaru,Beta Attenuation Monitoring (BAM),True,True,True,ONLINE,True,False,True,0,0,0,no_targeted_certificate_status_source_found,0,0,True,True,True,True,False,False,False,False,pass,blocked,blocked,blocked,blocked,blocked,blocked,method_display_dashboard_context_certificate_status_missing,False,False,"A public target-station inspection log, PM2.5 calibration certificate/status record, or explicit station-grade record for this exact BMKG row.","Use this as a general BMKG grade follow-up row; method, display, dashboard, and source-level context are visible but not sufficient.","This gate decides whether committed BMKG public evidence is sufficient for station-grade promotion. It does not certify station-specific inspection logs, PM2.5 calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-07-01T09:45:25Z,ai-first,computed_bmkg_station_grade_closure_gate,air_monitoring_bmkg_station_grade_closure_gate_v1,IDN-bmkg-station-grade-closure-pm25_btm2,pm25_btm2,Batam,Beta Attenuation Monitoring (BAM),True,True,True,ONLINE,True,False,True,0,0,0,no_targeted_certificate_status_source_found,0,0,True,True,True,True,False,False,False,False,pass,blocked,blocked,blocked,blocked,blocked,blocked,method_display_dashboard_context_certificate_status_missing,False,False,"A public target-station inspection log, PM2.5 calibration certificate/status record, or explicit station-grade record for this exact BMKG row.","Use this as a general BMKG grade follow-up row; method, display, dashboard, and source-level context are visible but not sufficient.","This gate decides whether committed BMKG public evidence is sufficient for station-grade promotion. It does not certify station-specific inspection logs, PM2.5 calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-07-01T09:45:25Z,ai-first,computed_bmkg_station_grade_closure_gate,air_monitoring_bmkg_station_grade_closure_gate_v1,IDN-bmkg-station-grade-closure-pm25_idp2,pm25_idp2,Indrapuri,Beta Attenuation Monitoring (BAM),True,True,True,ONLINE,True,False,True,0,0,0,no_targeted_certificate_status_source_found,0,0,True,True,True,True,False,False,False,False,pass,blocked,blocked,blocked,blocked,blocked,blocked,method_display_dashboard_context_certificate_status_missing,False,False,"A public target-station inspection log, PM2.5 calibration certificate/status record, or explicit station-grade record for this exact BMKG row.","Use this as a general BMKG grade follow-up row; method, display, dashboard, and source-level context are visible but not sufficient.","This gate decides whether committed BMKG public evidence is sufficient for station-grade promotion. It does not certify station-specific inspection logs, PM2.5 calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-07-01T09:45:25Z,ai-first,computed_bmkg_station_grade_closure_gate,air_monitoring_bmkg_station_grade_closure_gate_v1,IDN-bmkg-station-grade-closure-pm25_jm3,pm25_jm3,Kota Jambi,Beta Attenuation Monitoring (BAM),True,True,True,ONLINE,True,False,True,2,0,1,no_targeted_certificate_status_source_found,0,0,True,True,True,True,False,False,False,False,pass,blocked,blocked,blocked,blocked,blocked,blocked,station_unit_context_certificate_status_missing,False,False,"A public station-owner or regulator source that turns station-unit context into row-level inspection, PM2.5 calibration certificate/status, or explicit grade evidence.","Use this as a station-unit follow-up row; context exists, but certificate/status closure does not.","This gate decides whether committed BMKG public evidence is sufficient for station-grade promotion. It does not certify station-specific inspection logs, PM2.5 calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-07-01T09:45:25Z,ai-first,computed_bmkg_station_grade_closure_gate,air_monitoring_bmkg_station_grade_closure_gate_v1,IDN-bmkg-station-grade-closure-pm25_jm4,pm25_jm4,Muaro Jambi,Beta Attenuation Monitoring (BAM),True,True,True,ONLINE,True,False,True,0,0,0,no_targeted_certificate_status_source_found,0,0,True,True,True,True,False,False,False,False,pass,blocked,blocked,blocked,blocked,blocked,blocked,method_display_dashboard_context_certificate_status_missing,False,False,"A public target-station inspection log, PM2.5 calibration certificate/status record, or explicit station-grade record for this exact BMKG row.","Use this as a general BMKG grade follow-up row; method, display, dashboard, and source-level context are visible but not sufficient.","This gate decides whether committed BMKG public evidence is sufficient for station-grade promotion. It does not certify station-specific inspection logs, PM2.5 calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-07-01T09:45:25Z,ai-first,computed_bmkg_station_grade_closure_gate,air_monitoring_bmkg_station_grade_closure_gate_v1,IDN-bmkg-station-grade-closure-pm25_kmy3,pm25_kmy3,Kemayoran,Beta Attenuation Monitoring (BAM),True,True,True,ONLINE,True,False,True,1,0,0,no_targeted_certificate_status_source_found,0,0,True,True,True,True,False,False,False,False,pass,blocked,blocked,blocked,blocked,blocked,blocked,station_unit_context_certificate_status_missing,False,False,"A public station-owner or regulator source that turns station-unit context into row-level inspection, PM2.5 calibration certificate/status, or explicit grade evidence.","Use this as a station-unit follow-up row; context exists, but certificate/status closure does not.","This gate decides whether committed BMKG public evidence is sufficient for station-grade promotion. It does not certify station-specific inspection logs, PM2.5 calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-07-01T09:45:25Z,ai-first,computed_bmkg_station_grade_closure_gate,air_monitoring_bmkg_station_grade_closure_gate_v1,IDN-bmkg-station-grade-closure-pm25_ktb2,pm25_ktb2,Kototabang,Beta Attenuation Monitoring (BAM),True,True,True,ONLINE,True,False,True,2,1,0,exact_station_maintenance_calibration_context_no_certificate,3,3,True,True,True,True,False,False,False,False,pass,blocked,blocked,blocked,blocked,blocked,blocked,exact_audit_context_certificate_status_missing,False,False,"A public target-station inspection log, PM2.5 calibration certificate/status record, or explicit grade record tied to the same exact station name or ID.",Use this as the highest-value BMKG follow-up row because exact audit or calibration-language context exists but closure evidence is still absent.,"This gate decides whether committed BMKG public evidence is sufficient for station-grade promotion. It does not certify station-specific inspection logs, PM2.5 calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-07-01T09:45:25Z,ai-first,computed_bmkg_station_grade_closure_gate,air_monitoring_bmkg_station_grade_closure_gate_v1,IDN-bmkg-station-grade-closure-pm25_mdn2,pm25_mdn2,Medan,Beta Attenuation Monitoring (BAM),True,True,True,ONLINE,True,False,True,0,0,0,no_targeted_certificate_status_source_found,0,0,True,True,True,True,False,False,False,False,pass,blocked,blocked,blocked,blocked,blocked,blocked,method_display_dashboard_context_certificate_status_missing,False,False,"A public target-station inspection log, PM2.5 calibration certificate/status record, or explicit station-grade record for this exact BMKG row.","Use this as a general BMKG grade follow-up row; method, display, dashboard, and source-level context are visible but not sufficient.","This gate decides whether committed BMKG public evidence is sufficient for station-grade promotion. It does not certify station-specific inspection logs, PM2.5 calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-07-01T09:45:25Z,ai-first,computed_bmkg_station_grade_closure_gate,air_monitoring_bmkg_station_grade_closure_gate_v1,IDN-bmkg-station-grade-closure-pm25_mrs,pm25_mrs,Maros,Beta Attenuation Monitoring (BAM),True,True,True,ONLINE,True,False,True,0,0,0,no_targeted_certificate_status_source_found,0,0,True,True,True,True,False,False,False,False,pass,blocked,blocked,blocked,blocked,blocked,blocked,method_display_dashboard_context_certificate_status_missing,False,False,"A public target-station inspection log, PM2.5 calibration certificate/status record, or explicit station-grade record for this exact BMKG row.","Use this as a general BMKG grade follow-up row; method, display, dashboard, and source-level context are visible but not sufficient.","This gate decides whether committed BMKG public evidence is sufficient for station-grade promotion. It does not certify station-specific inspection logs, PM2.5 calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-07-01T09:45:25Z,ai-first,computed_bmkg_station_grade_closure_gate,air_monitoring_bmkg_station_grade_closure_gate_v1,IDN-bmkg-station-grade-closure-pm25_msg,pm25_msg,Pesawaran,Beta Attenuation Monitoring (BAM),True,True,True,ONLINE,True,False,True,0,0,0,no_targeted_certificate_status_source_found,0,0,True,True,True,True,False,False,False,False,pass,blocked,blocked,blocked,blocked,blocked,blocked,method_display_dashboard_context_certificate_status_missing,False,False,"A public target-station inspection log, PM2.5 calibration certificate/status record, or explicit station-grade record for this exact BMKG row.","Use this as a general BMKG grade follow-up row; method, display, dashboard, and source-level context are visible but not sufficient.","This gate decides whether committed BMKG public evidence is sufficient for station-grade promotion. It does not certify station-specific inspection logs, PM2.5 calibration certificates, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
