generated_at,attestation_chain,status,method,indicator_probe_id,network_launch_scan_id,source_station_id,source_station_name,target_city,exact_indicator_station_code_found,indicator_city_alias_context_found,matched_indicator_codes,matched_indicator_station_count,matched_indicator_pm25_station_count,indicator_pm25_context_available,indicator_verification_language_available,indicator_status_or_calibration_language_available,daily_endpoint_route_available,daily_endpoint_verified_closure_available,station_code_verified_closure_available,current_status_confirmed,calibration_status_available,complete_monitor_grade_classification_available,station_radius_grade_assumption_ready,indicator_endpoint_decision,reader_use,non_claim
2026-06-20T06:33:43Z,ai-first,computed_georgia_indicator_endpoint_mismatch,air_monitoring_georgia_indicator_endpoint_mismatch_v1,GEO-indicator-endpoint-01005,GEO-network-launch-01005,01005,Tazakendi (working in test mode),Tazakendi,False,False,,0,0,False,False,False,False,False,False,False,False,False,False,no_indicator_context_for_target_keep_open,"The indicator endpoint does not name the target station code, city, or station address terms.","This scan probes official air.gov.ge indicator and daily API routes for exact Georgia target station-code closure. It does not convert city-level indicator stations, PM2.5 presence, API availability, or route failures into verified-report closure, current station status, calibration status, complete monitor-grade classification, or station-radius readiness."
2026-06-20T06:33:43Z,ai-first,computed_georgia_indicator_endpoint_mismatch,air_monitoring_georgia_indicator_endpoint_mismatch_v1,GEO-indicator-endpoint-AGMS,GEO-network-launch-AGMS,AGMS,Tbilisi - Davit Agmashenebeli Ave. № 73a,Tbilisi,False,True,KZB02||SNK03||TB138||TB139||TB140||TB141||TB142||TB143||TB144||TB145||TB146||TB147||TB148||TB149||TB150||TB151||TB152||TB153||TB155||TB156||TB157||TB159||TB160||TB161||TB162||TB163||TB210||TB350||TB353,29,0,False,False,False,False,False,False,False,False,False,False,indicator_city_alias_different_code_namespace_keep_open,"The indicator endpoint has city or address-near stations, but not the exact target station code; use it only as a non-closure source wall.","This scan probes official air.gov.ge indicator and daily API routes for exact Georgia target station-code closure. It does not convert city-level indicator stations, PM2.5 presence, API availability, or route failures into verified-report closure, current station status, calibration status, complete monitor-grade classification, or station-radius readiness."
2026-06-20T06:33:43Z,ai-first,computed_georgia_indicator_endpoint_mismatch,air_monitoring_georgia_indicator_endpoint_mismatch_v1,GEO-indicator-endpoint-BTUM,GEO-network-launch-BTUM,BTUM,Batumi - T. Abuseridze Street №1,Batumi,False,True,BTM11||BTM12||BTM13||BTM14||BTM15||BTM16||BTM17||BTM18||BTM19||BTM20,10,0,False,False,False,False,False,False,False,False,False,False,indicator_city_alias_different_code_namespace_keep_open,"The indicator endpoint has city or address-near stations, but not the exact target station code; use it only as a non-closure source wall.","This scan probes official air.gov.ge indicator and daily API routes for exact Georgia target station-code closure. It does not convert city-level indicator stations, PM2.5 presence, API availability, or route failures into verified-report closure, current station status, calibration status, complete monitor-grade classification, or station-radius readiness."
2026-06-20T06:33:43Z,ai-first,computed_georgia_indicator_endpoint_mismatch,air_monitoring_georgia_indicator_endpoint_mismatch_v1,GEO-indicator-endpoint-KUTS,GEO-network-launch-KUTS,KUTS,Kutaisi - Lado Asatiani St.№98,Kutaisi,False,True,KTS11||KTS12||KTS13||KTS14||KTS15||KTS16||KTS17,7,0,False,False,False,False,False,False,False,False,False,False,indicator_city_alias_different_code_namespace_keep_open,"The indicator endpoint has city or address-near stations, but not the exact target station code; use it only as a non-closure source wall.","This scan probes official air.gov.ge indicator and daily API routes for exact Georgia target station-code closure. It does not convert city-level indicator stations, PM2.5 presence, API availability, or route failures into verified-report closure, current station status, calibration status, complete monitor-grade classification, or station-radius readiness."
2026-06-20T06:33:43Z,ai-first,computed_georgia_indicator_endpoint_mismatch,air_monitoring_georgia_indicator_endpoint_mismatch_v1,GEO-indicator-endpoint-KZBG,GEO-network-launch-KZBG,KZBG,Tbilisi - Kazbegi Ave. near Vaso Godziashvili Garden,Tbilisi,False,True,KZB02||SNK03||TB138||TB139||TB140||TB141||TB142||TB143||TB144||TB145||TB146||TB147||TB148||TB149||TB150||TB151||TB152||TB153||TB155||TB156||TB157||TB159||TB160||TB161||TB162||TB163||TB210||TB350||TB353,29,0,False,False,False,False,False,False,False,False,False,False,indicator_city_alias_different_code_namespace_keep_open,"The indicator endpoint has city or address-near stations, but not the exact target station code; use it only as a non-closure source wall.","This scan probes official air.gov.ge indicator and daily API routes for exact Georgia target station-code closure. It does not convert city-level indicator stations, PM2.5 presence, API availability, or route failures into verified-report closure, current station status, calibration status, complete monitor-grade classification, or station-radius readiness."
2026-06-20T06:33:43Z,ai-first,computed_georgia_indicator_endpoint_mismatch,air_monitoring_georgia_indicator_endpoint_mismatch_v1,GEO-indicator-endpoint-ORN01,GEO-network-launch-ORN01,ORN01,Tbilisi - Marshal Gelovani Avenue №34,Tbilisi,False,True,KZB02||SNK03||TB138||TB139||TB140||TB141||TB142||TB143||TB144||TB145||TB146||TB147||TB148||TB149||TB150||TB151||TB152||TB153||TB155||TB156||TB157||TB159||TB160||TB161||TB162||TB163||TB210||TB350||TB353,29,0,False,False,False,False,False,False,False,False,False,False,indicator_city_alias_different_code_namespace_keep_open,"The indicator endpoint has city or address-near stations, but not the exact target station code; use it only as a non-closure source wall.","This scan probes official air.gov.ge indicator and daily API routes for exact Georgia target station-code closure. It does not convert city-level indicator stations, PM2.5 presence, API availability, or route failures into verified-report closure, current station status, calibration status, complete monitor-grade classification, or station-radius readiness."
2026-06-20T06:33:43Z,ai-first,computed_georgia_indicator_endpoint_mismatch,air_monitoring_georgia_indicator_endpoint_mismatch_v1,GEO-indicator-endpoint-ORN02,GEO-network-launch-ORN02,ORN02,Rustavi - Friendship Ave. №35a,Rustavi,False,True,RST20||RST21||RST22||RST23||RST24||RST25,6,0,False,False,False,False,False,False,False,False,False,False,indicator_city_alias_different_code_namespace_keep_open,"The indicator endpoint has city or address-near stations, but not the exact target station code; use it only as a non-closure source wall.","This scan probes official air.gov.ge indicator and daily API routes for exact Georgia target station-code closure. It does not convert city-level indicator stations, PM2.5 presence, API availability, or route failures into verified-report closure, current station status, calibration status, complete monitor-grade classification, or station-radius readiness."
2026-06-20T06:33:43Z,ai-first,computed_georgia_indicator_endpoint_mismatch,air_monitoring_georgia_indicator_endpoint_mismatch_v1,GEO-indicator-endpoint-ORN03,GEO-network-launch-ORN03,ORN03,"Batumi - Batumi Central Park, 6 May Park",Batumi,False,True,BTM11||BTM12||BTM13||BTM14||BTM15||BTM16||BTM17||BTM18||BTM19||BTM20,10,0,False,False,False,False,False,False,False,False,False,False,indicator_city_alias_different_code_namespace_keep_open,"The indicator endpoint has city or address-near stations, but not the exact target station code; use it only as a non-closure source wall.","This scan probes official air.gov.ge indicator and daily API routes for exact Georgia target station-code closure. It does not convert city-level indicator stations, PM2.5 presence, API availability, or route failures into verified-report closure, current station status, calibration status, complete monitor-grade classification, or station-radius readiness."
2026-06-20T06:33:43Z,ai-first,computed_georgia_indicator_endpoint_mismatch,air_monitoring_georgia_indicator_endpoint_mismatch_v1,GEO-indicator-endpoint-ORN04,GEO-network-launch-ORN04,ORN04,Kutaisi-Ninoshvili Street and D.Aghmashenebeli Ave.,Kutaisi,False,True,KTS11||KTS12||KTS13||KTS14||KTS15||KTS16||KTS17,7,0,False,False,False,False,False,False,False,False,False,False,indicator_city_alias_different_code_namespace_keep_open,"The indicator endpoint has city or address-near stations, but not the exact target station code; use it only as a non-closure source wall.","This scan probes official air.gov.ge indicator and daily API routes for exact Georgia target station-code closure. It does not convert city-level indicator stations, PM2.5 presence, API availability, or route failures into verified-report closure, current station status, calibration status, complete monitor-grade classification, or station-radius readiness."
2026-06-20T06:33:43Z,ai-first,computed_georgia_indicator_endpoint_mismatch,air_monitoring_georgia_indicator_endpoint_mismatch_v1,GEO-indicator-endpoint-ORN05,GEO-network-launch-ORN05,ORN05,Zugdidi - Rustaveli Street №192,Zugdidi,False,True,ZGD07||ZGD08||ZGD09,3,0,False,False,False,False,False,False,False,False,False,False,indicator_city_alias_different_code_namespace_keep_open,"The indicator endpoint has city or address-near stations, but not the exact target station code; use it only as a non-closure source wall.","This scan probes official air.gov.ge indicator and daily API routes for exact Georgia target station-code closure. It does not convert city-level indicator stations, PM2.5 presence, API availability, or route failures into verified-report closure, current station status, calibration status, complete monitor-grade classification, or station-radius readiness."
