generated_at,attestation_chain,status,method,iso3,country,subregion,population,pm25_locations,pm25_exposure_ugm3,pm25_observability_gap_score,pm25_above_who_guideline_5_ugm3,baseline_gap_top5,zero_public_monitor_above_guideline,top_positive_gdp_residual,log10_people_per_monitor_residual,gdp_pc_year,gdp_pc_current_usd,station_coordinates_available_in_committed_artifacts,monitor_grade_available_in_committed_artifacts,monitor_first_seen_available_in_committed_artifacts,regulatory_inventory_available_in_committed_artifacts,station_radius_analysis_ready,upgrade_queue_class,next_evidence_needed,non_claim
2026-06-19T05:54:40Z,ai-first,ai_metadata_readiness_audit_station_level_wall,air_monitoring_metadata_readiness_from_committed_panel_v1,AFG,Afghanistan,South Asia,42647492,2,46.09,100,True,True,False,True,0.5973,2023,413.76,False,False,False,False,False,baseline_top5_and_positive_gdp_residual,"Retrieve station coordinates, grade, first-seen timestamps, and regulatory ownership before using monitor density as a planning claim.","This is an AI-first no-network metadata-readiness audit. It uses only the committed air-monitoring country panel and GDP-confound deepening artifact. It is not a station-radius analysis, not a monitor-grade validation, not a regulatory inventory, not a proof that no monitor exists outside OpenAQ, not a pollution ranking, and not a health-impact estimate."
2026-06-19T05:54:40Z,ai-first,ai_metadata_readiness_audit_station_level_wall,air_monitoring_metadata_readiness_from_committed_panel_v1,BGD,Bangladesh,South Asia,173562364,20,42.38,100,True,True,False,True,0.8136,2024,2593.42,False,False,False,False,False,baseline_top5_and_positive_gdp_residual,"Retrieve station coordinates, grade, first-seen timestamps, and regulatory ownership before using monitor density as a planning claim.","This is an AI-first no-network metadata-readiness audit. It uses only the committed air-monitoring country panel and GDP-confound deepening artifact. It is not a station-radius analysis, not a monitor-grade validation, not a regulatory inventory, not a proof that no monitor exists outside OpenAQ, not a pollution ranking, and not a health-impact estimate."
2026-06-19T05:54:40Z,ai-first,ai_metadata_readiness_audit_station_level_wall,air_monitoring_metadata_readiness_from_committed_panel_v1,MMR,Myanmar,Southeast Asia,54500091,3,32.32,95,True,True,False,True,0.9208,2024,1359.05,False,False,False,False,False,baseline_top5_and_positive_gdp_residual,"Retrieve station coordinates, grade, first-seen timestamps, and regulatory ownership before using monitor density as a planning claim.","This is an AI-first no-network metadata-readiness audit. It uses only the committed air-monitoring country panel and GDP-confound deepening artifact. It is not a station-radius analysis, not a monitor-grade validation, not a regulatory inventory, not a proof that no monitor exists outside OpenAQ, not a pollution ranking, and not a health-impact estimate."
2026-06-19T05:54:40Z,ai-first,ai_metadata_readiness_audit_station_level_wall,air_monitoring_metadata_readiness_from_committed_panel_v1,UZB,Uzbekistan,Central and West Asia,36361859,5,31.96,94,True,True,False,True,0.8023,2024,3161.7,False,False,False,False,False,baseline_top5_and_positive_gdp_residual,"Retrieve station coordinates, grade, first-seen timestamps, and regulatory ownership before using monitor density as a planning claim.","This is an AI-first no-network metadata-readiness audit. It uses only the committed air-monitoring country panel and GDP-confound deepening artifact. It is not a station-radius analysis, not a monitor-grade validation, not a regulatory inventory, not a proof that no monitor exists outside OpenAQ, not a pollution ranking, and not a health-impact estimate."
2026-06-19T05:54:40Z,ai-first,ai_metadata_readiness_audit_station_level_wall,air_monitoring_metadata_readiness_from_committed_panel_v1,TJK,Tajikistan,Central and West Asia,10590927,5,37.05,80,True,True,False,False,-0.0169,2024,1341.2,False,False,False,False,False,baseline_top5_monitor_metadata,Audit station-level metadata before widening the original top-five observability-gap claim.,"This is an AI-first no-network metadata-readiness audit. It uses only the committed air-monitoring country panel and GDP-confound deepening artifact. It is not a station-radius analysis, not a monitor-grade validation, not a regulatory inventory, not a proof that no monitor exists outside OpenAQ, not a pollution ranking, and not a health-impact estimate."
2026-06-19T05:54:40Z,ai-first,ai_metadata_readiness_audit_station_level_wall,air_monitoring_metadata_readiness_from_committed_panel_v1,IND,India,South Asia,1450935791,713,48.39,79,True,False,False,False,0.1964,2024,2694.74,False,False,False,False,False,panel_context,Keep as country-panel context unless a station-level validation source is added.,"This is an AI-first no-network metadata-readiness audit. It uses only the committed air-monitoring country panel and GDP-confound deepening artifact. It is not a station-radius analysis, not a monitor-grade validation, not a regulatory inventory, not a proof that no monitor exists outside OpenAQ, not a pollution ranking, and not a health-impact estimate."
2026-06-19T05:54:40Z,ai-first,ai_metadata_readiness_audit_station_level_wall,air_monitoring_metadata_readiness_from_committed_panel_v1,AZE,Azerbaijan,Central and West Asia,10202830,1,21.73,75,True,False,False,True,1.2252,2024,7283.85,False,False,False,False,False,positive_gdp_residual_monitor_metadata,Audit public station metadata and regulator records because current country-level monitor density is thinner than GDP per capita predicts.,"This is an AI-first no-network metadata-readiness audit. It uses only the committed air-monitoring country panel and GDP-confound deepening artifact. It is not a station-radius analysis, not a monitor-grade validation, not a regulatory inventory, not a proof that no monitor exists outside OpenAQ, not a pollution ranking, and not a health-impact estimate."
2026-06-19T05:54:40Z,ai-first,ai_metadata_readiness_audit_station_level_wall,air_monitoring_metadata_readiness_from_committed_panel_v1,LKA,Sri Lanka,South Asia,21916000,3,19.96,72,True,False,False,True,0.9221,2024,4515.57,False,False,False,False,False,positive_gdp_residual_monitor_metadata,Audit public station metadata and regulator records because current country-level monitor density is thinner than GDP per capita predicts.,"This is an AI-first no-network metadata-readiness audit. It uses only the committed air-monitoring country panel and GDP-confound deepening artifact. It is not a station-radius analysis, not a monitor-grade validation, not a regulatory inventory, not a proof that no monitor exists outside OpenAQ, not a pollution ranking, and not a health-impact estimate."
2026-06-19T05:54:40Z,ai-first,ai_metadata_readiness_audit_station_level_wall,air_monitoring_metadata_readiness_from_committed_panel_v1,CHN,"China, People's Republic of",East Asia,1408975000,1880,34.81,70,True,False,False,False,0.2903,2024,13303.15,False,False,False,False,False,panel_context,Keep as country-panel context unless a station-level validation source is added.,"This is an AI-first no-network metadata-readiness audit. It uses only the committed air-monitoring country panel and GDP-confound deepening artifact. It is not a station-radius analysis, not a monitor-grade validation, not a regulatory inventory, not a proof that no monitor exists outside OpenAQ, not a pollution ranking, and not a health-impact estimate."
2026-06-19T05:54:40Z,ai-first,ai_metadata_readiness_audit_station_level_wall,air_monitoring_metadata_readiness_from_committed_panel_v1,PAK,Pakistan,South Asia,251269164,383,43.0,70,True,False,False,False,-0.4936,2024,1478.77,False,False,False,False,False,panel_context,Keep as country-panel context unless a station-level validation source is added.,"This is an AI-first no-network metadata-readiness audit. It uses only the committed air-monitoring country panel and GDP-confound deepening artifact. It is not a station-radius analysis, not a monitor-grade validation, not a regulatory inventory, not a proof that no monitor exists outside OpenAQ, not a pollution ranking, and not a health-impact estimate."
