generated_at,attestation_chain,status,method,candidate_review_id,iso3,iso2,country,subregion,source_name,agency,source_url,retrieval_status,source_evidence_type,source_station_id,source_station_name,source_station_type,official_latitude,official_longitude,pm25_signal,nearest_openaq_location_id,nearest_openaq_location_name,nearest_openaq_distance_km,best_openaq_name_overlap,candidate_signal,review_priority,review_question,minimum_validation_evidence,allowed_decisions,public_evidence_status,candidate_same_station_validated,station_radius_join_ready,next_public_review_step,reader_use,non_claim
2026-06-19T08:06:50Z,ai-first,computed_review_queue,air_monitoring_official_openaq_candidate_review_worksheet_v1,BGD-C-CAMS-25-22,BGD,BD,Bangladesh,South Asia,Ambient Air Quality in Bangladesh,Department of Environment,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,retrieved,official_pdf_station_table,C-CAMS-25,"BUET, Dhaka",C-CAMS,23.727591,90.392797,True,22,SPARTAN - Dhaka University,0.532,1,near_plus_name,priority_1_near_plus_name,Does public evidence show this official station row and OpenAQ location row are the same station?,"A row can become a validated same-station join only with a shared station ID, an official/OpenAQ source crosswalk, source-owner or current-status documentation naming both records, or public evidence of documented co-location.",validated_same_station | separate_nearby_stations | insufficient_public_evidence_keep_open | superseded_or_inactive,not_yet_validated,False,False,"Check official_pdf_station_table from Ambient Air Quality in Bangladesh against OpenAQ location 22 for a shared ID, public crosswalk, or current-status page before assigning any same-station decision.","Start with this candidate because both the proximity signal and the name-overlap signal are present, but keep it open until source evidence validates the join.","This worksheet converts near-plus-name official/OpenAQ candidate rows into a review queue. It does not validate same-station joins, does not prove official or OpenAQ station inventories are complete, and does not make any row ready for station-radius population coverage."
2026-06-19T08:06:50Z,ai-first,computed_review_queue,air_monitoring_official_openaq_candidate_review_worksheet_v1,BGD-C-CAMS-31-1285342,BGD,BD,Bangladesh,South Asia,Ambient Air Quality in Bangladesh,Department of Environment,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,retrieved,official_pdf_station_table,C-CAMS-31,"Nagar Bhaban, DSCC, Dhaka",C-CAMS,23.726078,90.409272,True,1285342,SPARTAN - Dhaka University,1.156,1,near_plus_name,priority_1_near_plus_name,Does public evidence show this official station row and OpenAQ location row are the same station?,"A row can become a validated same-station join only with a shared station ID, an official/OpenAQ source crosswalk, source-owner or current-status documentation naming both records, or public evidence of documented co-location.",validated_same_station | separate_nearby_stations | insufficient_public_evidence_keep_open | superseded_or_inactive,not_yet_validated,False,False,"Check official_pdf_station_table from Ambient Air Quality in Bangladesh against OpenAQ location 1285342 for a shared ID, public crosswalk, or current-status page before assigning any same-station decision.","Start with this candidate because both the proximity signal and the name-overlap signal are present, but keep it open until source evidence validates the join.","This worksheet converts near-plus-name official/OpenAQ candidate rows into a review queue. It does not validate same-station joins, does not prove official or OpenAQ station inventories are complete, and does not make any row ready for station-radius population coverage."
2026-06-19T08:06:50Z,ai-first,computed_review_queue,air_monitoring_official_openaq_candidate_review_worksheet_v1,BGD-CAMS-1-6251395,BGD,BD,Bangladesh,South Asia,Ambient Air Quality in Bangladesh,Department of Environment,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,retrieved,official_pdf_station_table,CAMS-1,"DoE, Agargaon, Dhaka",CAMS,23.777444,90.372617,True,6251395,"Mirpur, Shewrapara | Dhaka | Smart Air Bangladesh",1.158,1,near_plus_name,priority_1_near_plus_name,Does public evidence show this official station row and OpenAQ location row are the same station?,"A row can become a validated same-station join only with a shared station ID, an official/OpenAQ source crosswalk, source-owner or current-status documentation naming both records, or public evidence of documented co-location.",validated_same_station | separate_nearby_stations | insufficient_public_evidence_keep_open | superseded_or_inactive,not_yet_validated,False,False,"Check official_pdf_station_table from Ambient Air Quality in Bangladesh against OpenAQ location 6251395 for a shared ID, public crosswalk, or current-status page before assigning any same-station decision.","Start with this candidate because both the proximity signal and the name-overlap signal are present, but keep it open until source evidence validates the join.","This worksheet converts near-plus-name official/OpenAQ candidate rows into a review queue. It does not validate same-station joins, does not prove official or OpenAQ station inventories are complete, and does not make any row ready for station-radius population coverage."
2026-06-19T08:06:50Z,ai-first,computed_review_queue,air_monitoring_official_openaq_candidate_review_worksheet_v1,BGD-CAMS-3-6251395,BGD,BD,Bangladesh,South Asia,Ambient Air Quality in Bangladesh,Department of Environment,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,retrieved,official_pdf_station_table,CAMS-3,"Darus-Salam, Mirpur",CAMS,23.782167,90.355783,True,6251395,"Mirpur, Shewrapara | Dhaka | Smart Air Bangladesh",1.85,1,near_plus_name,priority_1_near_plus_name,Does public evidence show this official station row and OpenAQ location row are the same station?,"A row can become a validated same-station join only with a shared station ID, an official/OpenAQ source crosswalk, source-owner or current-status documentation naming both records, or public evidence of documented co-location.",validated_same_station | separate_nearby_stations | insufficient_public_evidence_keep_open | superseded_or_inactive,not_yet_validated,False,False,"Check official_pdf_station_table from Ambient Air Quality in Bangladesh against OpenAQ location 6251395 for a shared ID, public crosswalk, or current-status page before assigning any same-station decision.","Start with this candidate because both the proximity signal and the name-overlap signal are present, but keep it open until source evidence validates the join.","This worksheet converts near-plus-name official/OpenAQ candidate rows into a review queue. It does not validate same-station joins, does not prove official or OpenAQ station inventories are complete, and does not make any row ready for station-radius population coverage."
2026-06-19T08:06:50Z,ai-first,computed_review_queue,air_monitoring_official_openaq_candidate_review_worksheet_v1,IDN-pm25_pl3-6103913,IDN,ID,Indonesia,Southeast Asia,Konsentrasi Partikulat PM2.5,BMKG,https://www.bmkg.go.id/kualitas-udara/pm25,retrieved,official_pm25_portal_nuxt_payload,pm25_pl3,Talang Betutu Palembang,BMKG PM2.5 portal location,-2.94,104.7,True,6103913,SD Muhammadiyah 18 Palembang,2.372,1,near_plus_name,priority_1_near_plus_name,Does public evidence show this official station row and OpenAQ location row are the same station?,"A row can become a validated same-station join only with a shared station ID, an official/OpenAQ source crosswalk, source-owner or current-status documentation naming both records, or public evidence of documented co-location.",validated_same_station | separate_nearby_stations | insufficient_public_evidence_keep_open | superseded_or_inactive,not_yet_validated,False,False,"Check official_pm25_portal_nuxt_payload from Konsentrasi Partikulat PM2.5 against OpenAQ location 6103913 for a shared ID, public crosswalk, or current-status page before assigning any same-station decision.","Start with this candidate because both the proximity signal and the name-overlap signal are present, but keep it open until source evidence validates the join.","This worksheet converts near-plus-name official/OpenAQ candidate rows into a review queue. It does not validate same-station joins, does not prove official or OpenAQ station inventories are complete, and does not make any row ready for station-radius population coverage."
2026-06-19T08:06:50Z,ai-first,computed_review_queue,air_monitoring_official_openaq_candidate_review_worksheet_v1,MYS-CA40C-4708034,MYS,MY,Malaysia,Southeast Asia,MyEQMS,Department of Environment,https://eqms.doe.gov.my/,retrieved,official_arcgis_station_feature_api,CA40C,"Indera Mahkota Kuantan, PAHANG",APIMS/MyEQMS current-reading station,3.819228,103.296553,True,4708034,"Indera Mahkota 8, Pahang",1.367,3,near_plus_name,priority_1_near_plus_name,Does public evidence show this official station row and OpenAQ location row are the same station?,"A row can become a validated same-station join only with a shared station ID, an official/OpenAQ source crosswalk, source-owner or current-status documentation naming both records, or public evidence of documented co-location.",validated_same_station | separate_nearby_stations | insufficient_public_evidence_keep_open | superseded_or_inactive,not_yet_validated,False,False,"Check official_arcgis_station_feature_api from MyEQMS against OpenAQ location 4708034 for a shared ID, public crosswalk, or current-status page before assigning any same-station decision.","Start with this candidate because both the proximity signal and the name-overlap signal are present, but keep it open until source evidence validates the join.","This worksheet converts near-plus-name official/OpenAQ candidate rows into a review queue. It does not validate same-station joins, does not prove official or OpenAQ station inventories are complete, and does not make any row ready for station-radius population coverage."
2026-06-19T08:06:50Z,ai-first,computed_review_queue,air_monitoring_official_openaq_candidate_review_worksheet_v1,MYS-CA19B-3331918,MYS,MY,Malaysia,Southeast Asia,MyEQMS,Department of Environment,https://eqms.doe.gov.my/,retrieved,official_arcgis_station_feature_api,CA19B,"Petaling Jaya, SELANGOR",APIMS/MyEQMS current-reading station,3.130875,101.60868,True,3331918,Taman Tun Dr. Ismail,2.379,1,near_plus_name,priority_1_near_plus_name,Does public evidence show this official station row and OpenAQ location row are the same station?,"A row can become a validated same-station join only with a shared station ID, an official/OpenAQ source crosswalk, source-owner or current-status documentation naming both records, or public evidence of documented co-location.",validated_same_station | separate_nearby_stations | insufficient_public_evidence_keep_open | superseded_or_inactive,not_yet_validated,False,False,"Check official_arcgis_station_feature_api from MyEQMS against OpenAQ location 3331918 for a shared ID, public crosswalk, or current-status page before assigning any same-station decision.","Start with this candidate because both the proximity signal and the name-overlap signal are present, but keep it open until source evidence validates the join.","This worksheet converts near-plus-name official/OpenAQ candidate rows into a review queue. It does not validate same-station joins, does not prove official or OpenAQ station inventories are complete, and does not make any row ready for station-radius population coverage."
2026-06-19T08:06:50Z,ai-first,computed_review_queue,air_monitoring_official_openaq_candidate_review_worksheet_v1,MYS-CA16W-5894144,MYS,MY,Malaysia,Southeast Asia,MyEQMS,Department of Environment,https://eqms.doe.gov.my/,retrieved,official_arcgis_station_feature_api,CA16W,"Cheras, W.P. KUALA LUMPUR",APIMS/MyEQMS current-reading station,3.10626,101.717931,True,5894144,Bukit Bintang,4.502,2,near_plus_name,priority_1_near_plus_name,Does public evidence show this official station row and OpenAQ location row are the same station?,"A row can become a validated same-station join only with a shared station ID, an official/OpenAQ source crosswalk, source-owner or current-status documentation naming both records, or public evidence of documented co-location.",validated_same_station | separate_nearby_stations | insufficient_public_evidence_keep_open | superseded_or_inactive,not_yet_validated,False,False,"Check official_arcgis_station_feature_api from MyEQMS against OpenAQ location 5894144 for a shared ID, public crosswalk, or current-status page before assigning any same-station decision.","Start with this candidate because both the proximity signal and the name-overlap signal are present, but keep it open until source evidence validates the join.","This worksheet converts near-plus-name official/OpenAQ candidate rows into a review queue. It does not validate same-station joins, does not prove official or OpenAQ station inventories are complete, and does not make any row ready for station-radius population coverage."
2026-06-19T08:06:50Z,ai-first,computed_review_queue,air_monitoring_official_openaq_candidate_review_worksheet_v1,UZB-22-8881,UZB,UZ,Uzbekistan,Central and West Asia,Interactive map of atmospheric air quality,Uzhydromet,https://monitoring.meteo.uz/en/map,retrieved,official_air_quality_map_api,22,РОР №12 - Tashkent,station marker,41.350444,69.261856,True,8881,US Diplomatic Post: Tashkent,2.064,1,near_plus_name,priority_1_near_plus_name,Does public evidence show this official station row and OpenAQ location row are the same station?,"A row can become a validated same-station join only with a shared station ID, an official/OpenAQ source crosswalk, source-owner or current-status documentation naming both records, or public evidence of documented co-location.",validated_same_station | separate_nearby_stations | insufficient_public_evidence_keep_open | superseded_or_inactive,not_yet_validated,False,False,"Check official_air_quality_map_api from Interactive map of atmospheric air quality against OpenAQ location 8881 for a shared ID, public crosswalk, or current-status page before assigning any same-station decision.","Start with this candidate because both the proximity signal and the name-overlap signal are present, but keep it open until source evidence validates the join.","This worksheet converts near-plus-name official/OpenAQ candidate rows into a review queue. It does not validate same-station joins, does not prove official or OpenAQ station inventories are complete, and does not make any row ready for station-radius population coverage."
2026-06-19T08:06:50Z,ai-first,computed_review_queue,air_monitoring_official_openaq_candidate_review_worksheet_v1,UZB-27-4902926,UZB,UZ,Uzbekistan,Central and West Asia,Interactive map of atmospheric air quality,Uzhydromet,https://monitoring.meteo.uz/en/map,retrieved,official_air_quality_map_api,27,РОР №23 - Tashkent,station marker,41.18336,69.23071,False,4902926,Sputnik-4,2.373,1,near_plus_name,priority_1_near_plus_name,Does public evidence show this official station row and OpenAQ location row are the same station?,"A row can become a validated same-station join only with a shared station ID, an official/OpenAQ source crosswalk, source-owner or current-status documentation naming both records, or public evidence of documented co-location.",validated_same_station | separate_nearby_stations | insufficient_public_evidence_keep_open | superseded_or_inactive,not_yet_validated,False,False,"Check official_air_quality_map_api from Interactive map of atmospheric air quality against OpenAQ location 4902926 for a shared ID, public crosswalk, or current-status page before assigning any same-station decision.","Start with this candidate because both the proximity signal and the name-overlap signal are present, but keep it open until source evidence validates the join.","This worksheet converts near-plus-name official/OpenAQ candidate rows into a review queue. It does not validate same-station joins, does not prove official or OpenAQ station inventories are complete, and does not make any row ready for station-radius population coverage."
