generated_at,attestation_chain,status,method,station_code_status_scan_id,upstream_evidence_id,upstream_source,iso3,country,source_station_id,source_station_name,source_station_type,station_code_source_lane,source_record_keys,exact_station_code_or_id_found,station_address,latitude,longitude,station_equipment_count,pollutant_list,pm25_row_or_equipment_listed,pm25_observation_rows,pm25_latest_value,pm25_latest_timestamp,station_description_operating_context,station_description_excerpt,station_test_mode_flag,bmkg_payload_station_link_found,bmkg_payload_xml_filename_found,uzbekistan_blocker_type,uzbekistan_detail_age_days,uzbekistan_detail_pm25_value_status,uzbekistan_region_updating_data_status,source_context_terms,station_method_table_found,instrument_model_available,calibration_status_available,current_status_confirmed,station_method_classified,complete_monitor_grade_classification_available,station_radius_grade_assumption_ready,source_scan_decision,reader_use,non_claim
2026-06-19T14:02:58Z,ai-first,computed_station_code_status_method_source_scan,air_monitoring_station_code_status_method_source_scan_v1,GEO-station-code-status-01005,GEO-row_level_pm25_portal_or_api-01005,generated\air-monitoring-monitor-grade-station-method-evidence.csv,GEO,Georgia,01005,Tazakendi (working in test mode),air.gov.ge hourly station,georgia_airgov_station_code_api,airgov_station_code_hourly_api,True,Tazakendi (working in test mode),41.5048166666667,45.05195,5,PM10|PM2.5|NO2|SO2,True,1,15.0083333452543,2026-06-19T14:00:00,False,,True,False,False,,,,False,station_code|PM2.5_equipment,False,False,False,False,False,False,False,georgia_station_code_test_mode_keep_blocked,"Use as explicit exclusion pressure: the public station-code row is present and lists PM2.5, but the target name says working in test mode.","This scan checks exact station-code or station-ID public sources for method/status closure. It does not convert API presence, station descriptions, PM2.5 equipment rows, live values, HORIBA hints, or BMKG method context into current-status confirmation, complete monitor-grade classification, or station-radius readiness."
2026-06-19T14:02:58Z,ai-first,computed_station_code_status_method_source_scan,air_monitoring_station_code_status_method_source_scan_v1,GEO-station-code-status-AGMS,GEO-row_level_pm25_portal_or_api-AGMS,generated\air-monitoring-monitor-grade-station-method-evidence.csv,GEO,Georgia,AGMS,Tbilisi - Davit Agmashenebeli Ave. № 73a,air.gov.ge hourly station,georgia_airgov_station_code_api,airgov_station_code_hourly_api,True,Tbilisi - Davit Agmashenebeli Ave. № 73a,41.708829,44.799661,16,PM10|PM2.5,True,1,10.0256902465278,2026-06-19T14:00:00,True,"The Tbilisi Atmospheric Air Quality Monitoring Automatic Station is located on David Agmashenebeli ave. №73a near the Ilia Garden. The station operated since April 2019. It measures the following parameters: PM10, PM2.5, SO2, NO, NOx, NO2, O3, CO and meteor...",False,False,False,,,,False,station_code|PM2.5_equipment|operating_description,False,False,False,False,False,False,False,georgia_station_code_pm25_equipment_context_keep_not_grade_ready,"Use as a stronger Georgia row-context source: the public API returns the exact station code, PM2.5 equipment/substance rows, and operating-description language. It still lacks instrument model, calibration/status, and grade certification fields.","This scan checks exact station-code or station-ID public sources for method/status closure. It does not convert API presence, station descriptions, PM2.5 equipment rows, live values, HORIBA hints, or BMKG method context into current-status confirmation, complete monitor-grade classification, or station-radius readiness."
2026-06-19T14:02:58Z,ai-first,computed_station_code_status_method_source_scan,air_monitoring_station_code_status_method_source_scan_v1,GEO-station-code-status-BTUM,GEO-row_level_pm25_portal_or_api-BTUM,generated\air-monitoring-monitor-grade-station-method-evidence.csv,GEO,Georgia,BTUM,Batumi - T. Abuseridze Street №1,air.gov.ge hourly station,georgia_airgov_station_code_api,airgov_station_code_hourly_api,True,Batumi - T. Abuseridze Street №1,41.640908,41.624101,17,PM10|PM2.5,True,1,5.5798725791088,2026-06-19T14:00:00,True,"The Batumi Atmospheric Air Quality Monitoring Automatic Station is located on Abuseridze Street. The station has been operating since December 2017. It measures the following parameters: PM10, PM2.5, SO2, NO, NOx, NO2, O3, CO, and meteorological parameters.",False,False,False,,,,False,station_code|PM2.5_equipment|operating_description,False,False,False,False,False,False,False,georgia_station_code_pm25_equipment_context_keep_not_grade_ready,"Use as a stronger Georgia row-context source: the public API returns the exact station code, PM2.5 equipment/substance rows, and operating-description language. It still lacks instrument model, calibration/status, and grade certification fields.","This scan checks exact station-code or station-ID public sources for method/status closure. It does not convert API presence, station descriptions, PM2.5 equipment rows, live values, HORIBA hints, or BMKG method context into current-status confirmation, complete monitor-grade classification, or station-radius readiness."
2026-06-19T14:02:58Z,ai-first,computed_station_code_status_method_source_scan,air_monitoring_station_code_status_method_source_scan_v1,GEO-station-code-status-KUTS,GEO-row_level_pm25_portal_or_api-KUTS,generated\air-monitoring-monitor-grade-station-method-evidence.csv,GEO,Georgia,KUTS,Kutaisi - Lado Asatiani St.№98,air.gov.ge hourly station,georgia_airgov_station_code_api,airgov_station_code_hourly_api,True,Kutaisi - Lado Asatiani St.№98,42.249081,42.693868,17,PM10|PM2.5,True,0,,,True,"The Kutaisi Atmospheric Air Quality Monitoring Automatic Station is located on Lado Asatiani Street. The station has been operating since June 2017. It measures the following parameters: PM10, PM2.5, SO2, NO, NOx, NO2, O3, CO, and meteorological parameters.",False,False,False,,,,False,station_code|PM2.5_equipment|operating_description,False,False,False,False,False,False,False,georgia_station_code_pm25_equipment_context_keep_not_grade_ready,"Use as a stronger Georgia row-context source: the public API returns the exact station code, PM2.5 equipment/substance rows, and operating-description language. It still lacks instrument model, calibration/status, and grade certification fields.","This scan checks exact station-code or station-ID public sources for method/status closure. It does not convert API presence, station descriptions, PM2.5 equipment rows, live values, HORIBA hints, or BMKG method context into current-status confirmation, complete monitor-grade classification, or station-radius readiness."
2026-06-19T14:02:58Z,ai-first,computed_station_code_status_method_source_scan,air_monitoring_station_code_status_method_source_scan_v1,GEO-station-code-status-KZBG,GEO-row_level_pm25_portal_or_api-KZBG,generated\air-monitoring-monitor-grade-station-method-evidence.csv,GEO,Georgia,KZBG,Tbilisi - Kazbegi Ave. near Vaso Godziashvili Garden,air.gov.ge hourly station,georgia_airgov_station_code_api,airgov_station_code_hourly_api,True,Tbilisi - Kazbegi Ave. near Vaso Godziashvili Garden,41.7249,44.75426,12,PM10|PM2.5|NO2|O3|SO2|CO,True,1,9.44583333333333,2026-06-19T14:00:00,True,"The Tbilisi Atmospheric Air Quality Monitoring Automatic Station is located on Alexander Kazbegi ave. near Vaso Godziashvili Garden. The station operated since September 2016. It measures the following parameters: PM10, PM2.5, SO2, NO, NOx, NO2, O3, CO and...",False,False,False,,,,False,station_code|PM2.5_equipment|operating_description,False,False,False,False,False,False,False,georgia_station_code_pm25_equipment_context_keep_not_grade_ready,"Use as a stronger Georgia row-context source: the public API returns the exact station code, PM2.5 equipment/substance rows, and operating-description language. It still lacks instrument model, calibration/status, and grade certification fields.","This scan checks exact station-code or station-ID public sources for method/status closure. It does not convert API presence, station descriptions, PM2.5 equipment rows, live values, HORIBA hints, or BMKG method context into current-status confirmation, complete monitor-grade classification, or station-radius readiness."
2026-06-19T14:02:58Z,ai-first,computed_station_code_status_method_source_scan,air_monitoring_station_code_status_method_source_scan_v1,GEO-station-code-status-ORN01,GEO-row_level_pm25_portal_or_api-ORN01,generated\air-monitoring-monitor-grade-station-method-evidence.csv,GEO,Georgia,ORN01,Tbilisi - Marshal Gelovani Avenue №34,air.gov.ge hourly station,georgia_airgov_station_code_api,airgov_station_code_hourly_api,True,Tbilisi - Marshal Gelovani Avenue №34,41.750951,44.769115,8,PM10|PM2.5|O3|SO2|CO,True,1,6.92158850034078,2026-06-19T14:00:00,True,"The Tbilisi Atmospheric Air Quality Monitoring Automatic Station is located on Marshal Gelovani Ave. №34. The station has been operating since November 2023. It measures the following parameters: PM10, PM2.5, SO2, NO, NOx, NO2, O3, CO, and meteorological pa...",False,False,False,,,,False,station_code|PM2.5_equipment|operating_description,False,False,False,False,False,False,False,georgia_station_code_pm25_equipment_context_keep_not_grade_ready,"Use as a stronger Georgia row-context source: the public API returns the exact station code, PM2.5 equipment/substance rows, and operating-description language. It still lacks instrument model, calibration/status, and grade certification fields.","This scan checks exact station-code or station-ID public sources for method/status closure. It does not convert API presence, station descriptions, PM2.5 equipment rows, live values, HORIBA hints, or BMKG method context into current-status confirmation, complete monitor-grade classification, or station-radius readiness."
2026-06-19T14:02:58Z,ai-first,computed_station_code_status_method_source_scan,air_monitoring_station_code_status_method_source_scan_v1,GEO-station-code-status-ORN02,GEO-row_level_pm25_portal_or_api-ORN02,generated\air-monitoring-monitor-grade-station-method-evidence.csv,GEO,Georgia,ORN02,Rustavi - Friendship Ave. №35a,air.gov.ge hourly station,georgia_airgov_station_code_api,airgov_station_code_hourly_api,True,Rustavi - Friendship Ave. №35a,41.557951,44.984443,9,PM10|PM2.5|NO2|O3,True,1,9.54423520962397,2026-06-19T14:00:00,True,"The Rustavi Air Quality Monitoring Automatic Station is located in Friendship Ave. №35a. The station has been in operation since October 2023. It measures the following parameters: PM10, PM2.5, NO, NOx, NO₂, O₃, and meteorological parameters.",False,False,False,,,,False,station_code|PM2.5_equipment|operating_description,False,False,False,False,False,False,False,georgia_station_code_pm25_equipment_context_keep_not_grade_ready,"Use as a stronger Georgia row-context source: the public API returns the exact station code, PM2.5 equipment/substance rows, and operating-description language. It still lacks instrument model, calibration/status, and grade certification fields.","This scan checks exact station-code or station-ID public sources for method/status closure. It does not convert API presence, station descriptions, PM2.5 equipment rows, live values, HORIBA hints, or BMKG method context into current-status confirmation, complete monitor-grade classification, or station-radius readiness."
2026-06-19T14:02:58Z,ai-first,computed_station_code_status_method_source_scan,air_monitoring_station_code_status_method_source_scan_v1,GEO-station-code-status-ORN03,GEO-row_level_pm25_portal_or_api-ORN03,generated\air-monitoring-monitor-grade-station-method-evidence.csv,GEO,Georgia,ORN03,"Batumi - Batumi Central Park, 6 May Park",air.gov.ge hourly station,georgia_airgov_station_code_api,airgov_station_code_hourly_api,True,"Batumi - Batumi Central Park, 6 May Park",41.647864,41.629368,9,PM10|PM2.5|NO2|O3,True,1,2.26763255149126,2026-06-19T14:00:00,True,"The Batumi Air Quality Monitoring Automatic Station is located in Batumi Central Park. The station has been in operation since February 2024. It measures the following parameters: PM10, PM2.5, NO, NOx, NO₂, O₃, and meteorological parameters.",False,False,False,,,,False,station_code|PM2.5_equipment|operating_description,False,False,False,False,False,False,False,georgia_station_code_pm25_equipment_context_keep_not_grade_ready,"Use as a stronger Georgia row-context source: the public API returns the exact station code, PM2.5 equipment/substance rows, and operating-description language. It still lacks instrument model, calibration/status, and grade certification fields.","This scan checks exact station-code or station-ID public sources for method/status closure. It does not convert API presence, station descriptions, PM2.5 equipment rows, live values, HORIBA hints, or BMKG method context into current-status confirmation, complete monitor-grade classification, or station-radius readiness."
2026-06-19T14:02:58Z,ai-first,computed_station_code_status_method_source_scan,air_monitoring_station_code_status_method_source_scan_v1,GEO-station-code-status-ORN04,GEO-row_level_pm25_portal_or_api-ORN04,generated\air-monitoring-monitor-grade-station-method-evidence.csv,GEO,Georgia,ORN04,Kutaisi-Ninoshvili Street and D.Aghmashenebeli Ave.,air.gov.ge hourly station,georgia_airgov_station_code_api,airgov_station_code_hourly_api,True,Kutaisi-Ninoshvili Street and D.Aghmashenebeli Ave.,42.262504,42.692266,9,PM10|PM2.5|NO2|O3,True,1,5.95838757923671,2026-06-19T14:00:00,True,"In Kutaisi, the automatic atmospheric air quality monitoring station is located in Ninoshvili St. and D. Aghmashenebeli Ave. The station has been in operation since December 2023. It measures the following parameters: PM10, PM2.5, NO, NOx, NO2, O3, and mete...",False,False,False,,,,False,station_code|PM2.5_equipment|operating_description,False,False,False,False,False,False,False,georgia_station_code_pm25_equipment_context_keep_not_grade_ready,"Use as a stronger Georgia row-context source: the public API returns the exact station code, PM2.5 equipment/substance rows, and operating-description language. It still lacks instrument model, calibration/status, and grade certification fields.","This scan checks exact station-code or station-ID public sources for method/status closure. It does not convert API presence, station descriptions, PM2.5 equipment rows, live values, HORIBA hints, or BMKG method context into current-status confirmation, complete monitor-grade classification, or station-radius readiness."
2026-06-19T14:02:58Z,ai-first,computed_station_code_status_method_source_scan,air_monitoring_station_code_status_method_source_scan_v1,GEO-station-code-status-ORN05,GEO-row_level_pm25_portal_or_api-ORN05,generated\air-monitoring-monitor-grade-station-method-evidence.csv,GEO,Georgia,ORN05,Zugdidi - Rustaveli Street №192,air.gov.ge hourly station,georgia_airgov_station_code_api,airgov_station_code_hourly_api,True,Zugdidi - Rustaveli Street №192,42.50743,41.858073,9,PM10|PM2.5|NO2|O3|SO2,True,1,7.55376780033112,2026-06-19T14:00:00,True,"The Zugdidi Air Quality Monitoring Automatic Station is located in Rustaveli Street. The station has been in operation since February 2024. It measures the following parameters: PM10, PM2.5, SO2, NO, NOx, NO₂, O₃, and meteorological parameters.",False,False,False,,,,False,station_code|PM2.5_equipment|operating_description,False,False,False,False,False,False,False,georgia_station_code_pm25_equipment_context_keep_not_grade_ready,"Use as a stronger Georgia row-context source: the public API returns the exact station code, PM2.5 equipment/substance rows, and operating-description language. It still lacks instrument model, calibration/status, and grade certification fields.","This scan checks exact station-code or station-ID public sources for method/status closure. It does not convert API presence, station descriptions, PM2.5 equipment rows, live values, HORIBA hints, or BMKG method context into current-status confirmation, complete monitor-grade classification, or station-radius readiness."
