generated_at,attestation_chain,status,method,row_type,iso3,country,radius_km,radius_role,coordinate_rows,unique_coordinate_points,openaq_coordinate_rows,official_pm25_coordinate_rows,source_family_mix,unioned_population_sum,unioned_positive_cells,unioned_population_tiles,unioned_population_tile_count,unioned_population_windows_scanned,unioned_population_windows_with_cells,row_level_candidate_population_buffer_sum,row_level_exact_coordinate_dedup_sum,row_to_union_population_multiplier,exact_dedup_to_union_population_multiplier,population_overlap_removed_from_row_sum,population_overlap_removed_from_exact_dedup_sum,unioned_pm25_cell_mean_ugm3,unioned_pm25_cell_count,unioned_pm25_computed,country_union_population_computed,coverage_claim_allowed,validated_same_station_join_rows,complete_monitor_grade_rows,station_radius_ready,reader_use,blocking_gap,non_claim
2026-06-21T04:05:55Z,ai-first,computed_station_radius_country_unioned_catchment_dry_run,air_monitoring_station_radius_country_unioned_catchment_dry_run_v1,country_unioned_candidate_catchment,AFG,Afghanistan,0.5,lower_sensitivity,2,2,2,0,openaq,47664.303,215,R6_C25,1,1,1,47664.303,47664.303,1.0,1.0,0.0,0.0,,0,False,True,False,0,0,False,Lower 0.5 km sensitivity country-unioned denominator; not monitor coverage.,"Unioned denominator geometry now exists, but same-station validation, complete monitor-grade evidence, and a coverage-claim gate remain blocked.","This country-unioned catchment dry run counts each GHSL population cell at most once within an economy and radius band. It is still a candidate denominator diagnostic. It does not validate same-station joins, does not classify complete monitor grade, does not prove regulatory monitor coverage, and does not support a population-served or exposure claim."
2026-06-21T04:05:55Z,ai-first,computed_station_radius_country_unioned_catchment_dry_run,air_monitoring_station_radius_country_unioned_catchment_dry_run_v1,country_unioned_candidate_catchment,AFG,Afghanistan,4.0,primary,2,2,2,0,openaq,1571500.293,9058,R6_C25,1,1,1,2375372.397,2375372.397,1.512,1.512,803872.104,803872.104,,0,False,True,False,0,0,False,Primary 4 km country-unioned candidate catchment denominator; not monitor coverage.,"Unioned denominator geometry now exists, but same-station validation, complete monitor-grade evidence, and a coverage-claim gate remain blocked.","This country-unioned catchment dry run counts each GHSL population cell at most once within an economy and radius band. It is still a candidate denominator diagnostic. It does not validate same-station joins, does not classify complete monitor grade, does not prove regulatory monitor coverage, and does not support a population-served or exposure claim."
2026-06-21T04:05:55Z,ai-first,computed_station_radius_country_unioned_catchment_dry_run,air_monitoring_station_radius_country_unioned_catchment_dry_run_v1,country_unioned_candidate_catchment,AFG,Afghanistan,50.0,upper_sensitivity,2,2,2,0,openaq,6520016.762,107456,R6_C25,1,9,8,12943105.201,12943105.201,1.985,1.985,6423088.439,6423088.439,29.952,79,True,True,False,0,0,False,Upper 50 km sensitivity country-unioned denominator; not a service area.,"Unioned denominator geometry now exists, but same-station validation, complete monitor-grade evidence, and a coverage-claim gate remain blocked.","This country-unioned catchment dry run counts each GHSL population cell at most once within an economy and radius band. It is still a candidate denominator diagnostic. It does not validate same-station joins, does not classify complete monitor grade, does not prove regulatory monitor coverage, and does not support a population-served or exposure claim."
2026-06-21T04:05:55Z,ai-first,computed_station_radius_country_unioned_catchment_dry_run,air_monitoring_station_radius_country_unioned_catchment_dry_run_v1,country_unioned_candidate_catchment,AZE,Azerbaijan,0.5,lower_sensitivity,2,2,2,0,openaq,20832.449,234,R5_C23||R5_C24,2,2,2,20832.448,20832.448,1.0,1.0,0.0,0.0,,0,False,True,False,0,0,False,Lower 0.5 km sensitivity country-unioned denominator; not monitor coverage.,"Unioned denominator geometry now exists, but same-station validation, complete monitor-grade evidence, and a coverage-claim gate remain blocked.","This country-unioned catchment dry run counts each GHSL population cell at most once within an economy and radius band. It is still a candidate denominator diagnostic. It does not validate same-station joins, does not classify complete monitor grade, does not prove regulatory monitor coverage, and does not support a population-served or exposure claim."
2026-06-21T04:05:55Z,ai-first,computed_station_radius_country_unioned_catchment_dry_run,air_monitoring_station_radius_country_unioned_catchment_dry_run_v1,country_unioned_candidate_catchment,AZE,Azerbaijan,4.0,primary,2,2,2,0,openaq,594076.653,11550,R5_C23||R5_C24,2,3,3,594076.653,594076.653,1.0,1.0,0.0,0.0,,0,False,True,False,0,0,False,Primary 4 km country-unioned candidate catchment denominator; not monitor coverage.,"Unioned denominator geometry now exists, but same-station validation, complete monitor-grade evidence, and a coverage-claim gate remain blocked.","This country-unioned catchment dry run counts each GHSL population cell at most once within an economy and radius band. It is still a candidate denominator diagnostic. It does not validate same-station joins, does not classify complete monitor grade, does not prove regulatory monitor coverage, and does not support a population-served or exposure claim."
2026-06-21T04:05:55Z,ai-first,computed_station_radius_country_unioned_catchment_dry_run,air_monitoring_station_radius_country_unioned_catchment_dry_run_v1,country_unioned_candidate_catchment,AZE,Azerbaijan,50.0,upper_sensitivity,2,2,2,0,openaq,2990036.782,165588,R5_C23||R5_C24,2,15,11,5862963.905,5862963.905,1.961,1.961,2872927.123,2872927.123,14.826,115,True,True,False,0,0,False,Upper 50 km sensitivity country-unioned denominator; not a service area.,"Unioned denominator geometry now exists, but same-station validation, complete monitor-grade evidence, and a coverage-claim gate remain blocked.","This country-unioned catchment dry run counts each GHSL population cell at most once within an economy and radius band. It is still a candidate denominator diagnostic. It does not validate same-station joins, does not classify complete monitor grade, does not prove regulatory monitor coverage, and does not support a population-served or exposure claim."
2026-06-21T04:05:55Z,ai-first,computed_station_radius_country_unioned_catchment_dry_run,air_monitoring_station_radius_country_unioned_catchment_dry_run_v1,country_unioned_candidate_catchment,BGD,Bangladesh,0.5,lower_sensitivity,53,52,22,31,official_pm25_station||openaq,1414038.021,4348,R7_C27||R7_C28,2,23,23,1644487.355,1634688.921,1.163,1.156,230449.334,220650.9,,0,False,True,False,0,0,False,Lower 0.5 km sensitivity country-unioned denominator; not monitor coverage.,"Unioned denominator geometry now exists, but same-station validation, complete monitor-grade evidence, and a coverage-claim gate remain blocked.","This country-unioned catchment dry run counts each GHSL population cell at most once within an economy and radius band. It is still a candidate denominator diagnostic. It does not validate same-station joins, does not classify complete monitor grade, does not prove regulatory monitor coverage, and does not support a population-served or exposure claim."
2026-06-21T04:05:55Z,ai-first,computed_station_radius_country_unioned_catchment_dry_run,air_monitoring_station_radius_country_unioned_catchment_dry_run_v1,country_unioned_candidate_catchment,BGD,Bangladesh,4.0,primary,53,52,22,31,official_pm25_station||openaq,24712113.168,166048,R7_C27||R7_C28,2,32,32,80227280.523,79371463.157,3.246,3.212,55515167.355,54659349.989,73.929,11,True,True,False,0,0,False,Primary 4 km country-unioned candidate catchment denominator; not monitor coverage.,"Unioned denominator geometry now exists, but same-station validation, complete monitor-grade evidence, and a coverage-claim gate remain blocked.","This country-unioned catchment dry run counts each GHSL population cell at most once within an economy and radius band. It is still a candidate denominator diagnostic. It does not validate same-station joins, does not classify complete monitor grade, does not prove regulatory monitor coverage, and does not support a population-served or exposure claim."
2026-06-21T04:05:55Z,ai-first,computed_station_radius_country_unioned_catchment_dry_run,air_monitoring_station_radius_country_unioned_catchment_dry_run_v1,country_unioned_candidate_catchment,BGD,Bangladesh,50.0,upper_sensitivity,53,52,22,31,official_pm25_station||openaq,149430916.442,7069109,R7_C27||R7_C28,2,95,92,1193500776.149,1161498975.576,7.987,7.773,1044069859.707,1012068059.134,61.789,1068,True,True,False,0,0,False,Upper 50 km sensitivity country-unioned denominator; not a service area.,"Unioned denominator geometry now exists, but same-station validation, complete monitor-grade evidence, and a coverage-claim gate remain blocked.","This country-unioned catchment dry run counts each GHSL population cell at most once within an economy and radius band. It is still a candidate denominator diagnostic. It does not validate same-station joins, does not classify complete monitor grade, does not prove regulatory monitor coverage, and does not support a population-served or exposure claim."
2026-06-21T04:05:55Z,ai-first,computed_station_radius_country_unioned_catchment_dry_run,air_monitoring_station_radius_country_unioned_catchment_dry_run_v1,country_unioned_candidate_catchment,GEO,Georgia,0.5,lower_sensitivity,18,18,2,16,official_pm25_station||openaq,114103.946,1993,R5_C23,1,8,8,115165.672,115165.672,1.009,1.009,1061.726,1061.726,17.763,1,True,True,False,0,0,False,Lower 0.5 km sensitivity country-unioned denominator; not monitor coverage.,"Unioned denominator geometry now exists, but same-station validation, complete monitor-grade evidence, and a coverage-claim gate remain blocked.","This country-unioned catchment dry run counts each GHSL population cell at most once within an economy and radius band. It is still a candidate denominator diagnostic. It does not validate same-station joins, does not classify complete monitor grade, does not prove regulatory monitor coverage, and does not support a population-served or exposure claim."
