generated_at,attestation_chain,status,method,claim_gate_id,iso3,country,radius_km,coordinate_rows,openaq_coordinate_rows,official_pm25_coordinate_rows,unioned_population_sum,row_level_candidate_population_buffer_sum,row_to_union_population_multiplier,denominator_geometry_gate,station_identity_gate,monitor_grade_gate,station_radius_readiness_gate,coverage_claim_gate,coverage_claim_allowed,release_decision,reader_use,blocking_gaps,non_claim
2026-06-23T08:58:18Z,ai-first,computed_station_radius_coverage_claim_gate,air_monitoring_station_radius_coverage_claim_gate_v1,AFG-station-radius-coverage-claim-gate,AFG,Afghanistan,4.0,2,2,0,1571500.293,2375372.397,1.512,computed,blocked,blocked,blocked,blocked,False,block_coverage_claim,Show as denominator geometry only; do not describe as monitor coverage or people served.,validated same-station identity||complete monitor-grade evidence||station-radius readiness||coverage-claim permission,"This gate decides whether the current station-radius denominator evidence may be described as monitor coverage. It does not validate same-station joins, does not certify complete monitor grade, does not estimate people served by monitors, and does not create an exposure or regulatory-coverage claim."
2026-06-23T08:58:18Z,ai-first,computed_station_radius_coverage_claim_gate,air_monitoring_station_radius_coverage_claim_gate_v1,AZE-station-radius-coverage-claim-gate,AZE,Azerbaijan,4.0,2,2,0,594076.653,594076.653,1.0,computed,blocked,blocked,blocked,blocked,False,block_coverage_claim,Show as denominator geometry only; do not describe as monitor coverage or people served.,validated same-station identity||complete monitor-grade evidence||station-radius readiness||coverage-claim permission,"This gate decides whether the current station-radius denominator evidence may be described as monitor coverage. It does not validate same-station joins, does not certify complete monitor grade, does not estimate people served by monitors, and does not create an exposure or regulatory-coverage claim."
2026-06-23T08:58:18Z,ai-first,computed_station_radius_coverage_claim_gate,air_monitoring_station_radius_coverage_claim_gate_v1,BGD-station-radius-coverage-claim-gate,BGD,Bangladesh,4.0,53,22,31,24712113.168,80227280.523,3.246,computed,blocked,blocked,blocked,blocked,False,block_coverage_claim,Show as denominator geometry only; do not describe as monitor coverage or people served.,validated same-station identity||complete monitor-grade evidence||station-radius readiness||coverage-claim permission,"This gate decides whether the current station-radius denominator evidence may be described as monitor coverage. It does not validate same-station joins, does not certify complete monitor grade, does not estimate people served by monitors, and does not create an exposure or regulatory-coverage claim."
2026-06-23T08:58:18Z,ai-first,computed_station_radius_coverage_claim_gate,air_monitoring_station_radius_coverage_claim_gate_v1,GEO-station-radius-coverage-claim-gate,GEO,Georgia,4.0,18,2,16,1332609.962,2609473.9,1.958,computed,blocked,blocked,blocked,blocked,False,block_coverage_claim,Show as denominator geometry only; do not describe as monitor coverage or people served.,validated same-station identity||complete monitor-grade evidence||station-radius readiness||coverage-claim permission,"This gate decides whether the current station-radius denominator evidence may be described as monitor coverage. It does not validate same-station joins, does not certify complete monitor grade, does not estimate people served by monitors, and does not create an exposure or regulatory-coverage claim."
2026-06-23T08:58:18Z,ai-first,computed_station_radius_coverage_claim_gate,air_monitoring_station_radius_coverage_claim_gate_v1,IDN-station-radius-coverage-claim-gate,IDN,Indonesia,4.0,58,36,22,15154232.146,27402298.671,1.808,computed,blocked,blocked,blocked,blocked,False,block_coverage_claim,Show as denominator geometry only; do not describe as monitor coverage or people served.,validated same-station identity||complete monitor-grade evidence||station-radius readiness||coverage-claim permission,"This gate decides whether the current station-radius denominator evidence may be described as monitor coverage. It does not validate same-station joins, does not certify complete monitor grade, does not estimate people served by monitors, and does not create an exposure or regulatory-coverage claim."
2026-06-23T08:58:18Z,ai-first,computed_station_radius_coverage_claim_gate,air_monitoring_station_radius_coverage_claim_gate_v1,LKA-station-radius-coverage-claim-gate,LKA,Sri Lanka,4.0,3,3,0,711369.498,1036310.821,1.457,computed,blocked,blocked,blocked,blocked,False,block_coverage_claim,Show as denominator geometry only; do not describe as monitor coverage or people served.,validated same-station identity||complete monitor-grade evidence||station-radius readiness||coverage-claim permission,"This gate decides whether the current station-radius denominator evidence may be described as monitor coverage. It does not validate same-station joins, does not certify complete monitor grade, does not estimate people served by monitors, and does not create an exposure or regulatory-coverage claim."
2026-06-23T08:58:18Z,ai-first,computed_station_radius_coverage_claim_gate,air_monitoring_station_radius_coverage_claim_gate_v1,MMR-station-radius-coverage-claim-gate,MMR,Myanmar,4.0,3,3,0,1384417.179,1602881.76,1.158,computed,blocked,blocked,blocked,blocked,False,block_coverage_claim,Show as denominator geometry only; do not describe as monitor coverage or people served.,validated same-station identity||complete monitor-grade evidence||station-radius readiness||coverage-claim permission,"This gate decides whether the current station-radius denominator evidence may be described as monitor coverage. It does not validate same-station joins, does not certify complete monitor grade, does not estimate people served by monitors, and does not create an exposure or regulatory-coverage claim."
2026-06-23T08:58:18Z,ai-first,computed_station_radius_coverage_claim_gate,air_monitoring_station_radius_coverage_claim_gate_v1,MYS-station-radius-coverage-claim-gate,MYS,Malaysia,4.0,85,18,67,7627671.214,9745622.205,1.278,computed,blocked,blocked,blocked,blocked,False,block_coverage_claim,Show as denominator geometry only; do not describe as monitor coverage or people served.,validated same-station identity||complete monitor-grade evidence||station-radius readiness||coverage-claim permission,"This gate decides whether the current station-radius denominator evidence may be described as monitor coverage. It does not validate same-station joins, does not certify complete monitor grade, does not estimate people served by monitors, and does not create an exposure or regulatory-coverage claim."
2026-06-23T08:58:18Z,ai-first,computed_station_radius_coverage_claim_gate,air_monitoring_station_radius_coverage_claim_gate_v1,TJK-station-radius-coverage-claim-gate,TJK,Tajikistan,4.0,7,7,0,1219474.147,1584518.836,1.299,computed,blocked,blocked,blocked,blocked,False,block_coverage_claim,Show as denominator geometry only; do not describe as monitor coverage or people served.,validated same-station identity||complete monitor-grade evidence||station-radius readiness||coverage-claim permission,"This gate decides whether the current station-radius denominator evidence may be described as monitor coverage. It does not validate same-station joins, does not certify complete monitor grade, does not estimate people served by monitors, and does not create an exposure or regulatory-coverage claim."
2026-06-23T08:58:18Z,ai-first,computed_station_radius_coverage_claim_gate,air_monitoring_station_radius_coverage_claim_gate_v1,TKM-station-radius-coverage-claim-gate,TKM,Turkmenistan,4.0,2,2,0,592178.572,1179893.386,1.992,computed,blocked,blocked,blocked,blocked,False,block_coverage_claim,Show as denominator geometry only; do not describe as monitor coverage or people served.,validated same-station identity||complete monitor-grade evidence||station-radius readiness||coverage-claim permission,"This gate decides whether the current station-radius denominator evidence may be described as monitor coverage. It does not validate same-station joins, does not certify complete monitor grade, does not estimate people served by monitors, and does not create an exposure or regulatory-coverage claim."
