generated_at,attestation_chain,status,method,manifest_key,source_key,source_name,source_family,source_role,denominator_type,candidate_role,source_plan_version,resolved_version,vintage,resolution,geography_scope,file_format,listing_url,file_name,exact_file_url,s3_bucket,s3_key,route_type,manifest_status,http_status,head_status,content_type,content_length_bytes,listing_size_hint,last_modified,etag,checksum_algorithm,checksum_type,storage_class,reader_use,blocking_gap,retrieval_error,non_claim
2026-06-20T09:43:37Z,ai-first,computed_station_radius_denominator_file_manifest_prefreeze,air_monitoring_station_radius_denominator_file_manifest_prefreeze_v1,ghsl_2020_4326_3ss_full_zip,ghsl_jrc_ghs_pop_r2023a,JRC GHSL GHS-POP R2023A,GHSL,primary_population_denominator,population,primary_observed_population_full_global_zip,R2023A,R2023A V1-0,2020 observed estimate,4326 3 arc-second,global,zip_geotiff,https://cidportal.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2020_GLOBE_R2023A_4326_3ss/V1-0/,GHS_POP_E2020_GLOBE_R2023A_4326_3ss_V1_0.zip,https://cidportal.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2020_GLOBE_R2023A_4326_3ss/V1-0/GHS_POP_E2020_GLOBE_R2023A_4326_3ss_V1_0.zip,,,apache_exact_file_url,exact_population_file_manifest_not_downloaded,200,200,application/zip,12554406149,12G,"Mon, 27 Jan 2025 16:43:48 GMT",2ec4d0905-62cb2c7d4b4e5,,,,"The public server exposes an exact population file URL and size metadata, but the file is not downloaded or checksummed.","Select a tractable file or tile subset, download only after size review, and record SHA-256 before any radius computation.",,"This prefreeze manifest records exact public file URLs, S3 object keys, server size hints, last-modified metadata, and unresolved shared-folder routes for station-radius denominators. It does not download GHSL, WorldPop, or ACAG raster/grid files; does not compute SHA-256 checksums of denominator files; does not compute catchment population or PM2.5 exposure; does not validate same-station joins; and does not promote any monitor-grade row."
2026-06-20T09:43:37Z,ai-first,computed_station_radius_denominator_file_manifest_prefreeze,air_monitoring_station_radius_denominator_file_manifest_prefreeze_v1,ghsl_2025_4326_3ss_full_zip,ghsl_jrc_ghs_pop_r2023a,JRC GHSL GHS-POP R2023A,GHSL,primary_population_denominator,population,projection_population_sensitivity_full_global_zip,R2023A,R2023A V1-0,2025 projection,4326 3 arc-second,global,zip_geotiff,https://cidportal.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2025_GLOBE_R2023A_4326_3ss/V1-0/,GHS_POP_E2025_GLOBE_R2023A_4326_3ss_V1_0.zip,https://cidportal.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2025_GLOBE_R2023A_4326_3ss/V1-0/GHS_POP_E2025_GLOBE_R2023A_4326_3ss_V1_0.zip,,,apache_exact_file_url,exact_population_file_manifest_not_downloaded,200,200,application/zip,12855350515,12G,"Mon, 27 Jan 2025 16:46:24 GMT",2fe3d14f3-62cb2d11b4747,,,,"The public server exposes an exact population file URL and size metadata, but the file is not downloaded or checksummed.","Select a tractable file or tile subset, download only after size review, and record SHA-256 before any radius computation.",,"This prefreeze manifest records exact public file URLs, S3 object keys, server size hints, last-modified metadata, and unresolved shared-folder routes for station-radius denominators. It does not download GHSL, WorldPop, or ACAG raster/grid files; does not compute SHA-256 checksums of denominator files; does not compute catchment population or PM2.5 exposure; does not validate same-station joins; and does not promote any monitor-grade row."
2026-06-20T09:43:37Z,ai-first,computed_station_radius_denominator_file_manifest_prefreeze,air_monitoring_station_radius_denominator_file_manifest_prefreeze_v1,ghsl_2020_54009_100_full_zip,ghsl_jrc_ghs_pop_r2023a,JRC GHSL GHS-POP R2023A,GHSL,primary_population_denominator,population,primary_observed_population_100m_full_global_zip,R2023A,R2023A V1-0,2020 observed estimate,Mollweide 100m,global,zip_geotiff,https://cidportal.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2020_GLOBE_R2023A_54009_100/V1-0/,GHS_POP_E2020_GLOBE_R2023A_54009_100_V1_0.zip,https://cidportal.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2020_GLOBE_R2023A_54009_100/V1-0/GHS_POP_E2020_GLOBE_R2023A_54009_100_V1_0.zip,,,apache_exact_file_url,exact_population_file_manifest_not_downloaded,200,200,application/zip,5097074334,4.7G,"Mon, 27 Jan 2025 16:44:31 GMT",12fcf2e9e-62cb2ca5c9074,,,,"The public server exposes an exact population file URL and size metadata, but the file is not downloaded or checksummed.","Select a tractable file or tile subset, download only after size review, and record SHA-256 before any radius computation.",,"This prefreeze manifest records exact public file URLs, S3 object keys, server size hints, last-modified metadata, and unresolved shared-folder routes for station-radius denominators. It does not download GHSL, WorldPop, or ACAG raster/grid files; does not compute SHA-256 checksums of denominator files; does not compute catchment population or PM2.5 exposure; does not validate same-station joins; and does not promote any monitor-grade row."
2026-06-20T09:43:37Z,ai-first,computed_station_radius_denominator_file_manifest_prefreeze,air_monitoring_station_radius_denominator_file_manifest_prefreeze_v1,ghsl_2020_4326_3ss_tile_example,ghsl_jrc_ghs_pop_r2023a,JRC GHSL GHS-POP R2023A,GHSL,primary_population_denominator,population,tile_route_example_not_selected_dmc_subset,R2023A,R2023A V1-0,2020 observed estimate,4326 3 arc-second tile,global tile grid example,zip_geotiff_tile,https://cidportal.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2020_GLOBE_R2023A_4326_3ss/V1-0/tiles/,GHS_POP_E2020_GLOBE_R2023A_4326_3ss_V1_0_R1_C8.zip,https://cidportal.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2020_GLOBE_R2023A_4326_3ss/V1-0/tiles/GHS_POP_E2020_GLOBE_R2023A_4326_3ss_V1_0_R1_C8.zip,,,apache_exact_file_url,exact_population_file_manifest_not_downloaded,200,200,application/zip,3645538,3.5M,"Mon, 27 Jan 2025 19:33:51 GMT",37a062-62cb527faee65,,,,"The public server exposes an exact population file URL and size metadata, but the file is not downloaded or checksummed.","Select a tractable file or tile subset, download only after size review, and record SHA-256 before any radius computation.",,"This prefreeze manifest records exact public file URLs, S3 object keys, server size hints, last-modified metadata, and unresolved shared-folder routes for station-radius denominators. It does not download GHSL, WorldPop, or ACAG raster/grid files; does not compute SHA-256 checksums of denominator files; does not compute catchment population or PM2.5 exposure; does not validate same-station joins; and does not promote any monitor-grade row."
2026-06-20T09:43:37Z,ai-first,computed_station_radius_denominator_file_manifest_prefreeze,air_monitoring_station_radius_denominator_file_manifest_prefreeze_v1,worldpop_global2_r2025a_population_zip,worldpop_global2_r2025a,WorldPop Global2 population counts R2025A,WorldPop,sensitivity_population_denominator,population,sensitivity_population_archive,R2025A,R2025A v1,2015-2030 population estimates archive,WorldPop Global2 archive,global country archive,zip_geotiff_archive,https://data.worldpop.org/repo/prj/Global_2015_2030/R2025A/population_estimates/v1/,population_G2_R2025A_v1.zip,https://data.worldpop.org/repo/prj/Global_2015_2030/R2025A/population_estimates/v1/population_G2_R2025A_v1.zip,,,apache_exact_file_url,exact_population_file_manifest_not_downloaded,200,200,application/zip,5584195277,5.2G,"Thu, 19 Feb 2026 16:55:00 GMT",14cd80ecd-64b302a47d3fd,,,,"The public server exposes an exact population file URL and size metadata, but the file is not downloaded or checksummed.","Select a tractable file or tile subset, download only after size review, and record SHA-256 before any radius computation.",,"This prefreeze manifest records exact public file URLs, S3 object keys, server size hints, last-modified metadata, and unresolved shared-folder routes for station-radius denominators. It does not download GHSL, WorldPop, or ACAG raster/grid files; does not compute SHA-256 checksums of denominator files; does not compute catchment population or PM2.5 exposure; does not validate same-station joins; and does not promote any monitor-grade row."
2026-06-20T09:43:37Z,ai-first,computed_station_radius_denominator_file_manifest_prefreeze,air_monitoring_station_radius_denominator_file_manifest_prefreeze_v1,worldpop_global2_r2025a_country_type_table,worldpop_global2_r2025a,WorldPop Global2 population counts R2025A,WorldPop,sensitivity_population_denominator,context_metadata,country_territory_metadata_table,R2025A,R2025A v1,2026 table release,metadata table,countries and territories,csv,https://data.worldpop.org/repo/prj/Global_2015_2030/R2025A/population_estimates_table_1/v1/,List_of_countries_and_territories_and_types_of_data_used_Global2.csv,https://data.worldpop.org/repo/prj/Global_2015_2030/R2025A/population_estimates_table_1/v1/List_of_countries_and_territories_and_types_of_data_used_Global2.csv,,,apache_exact_file_url,exact_context_metadata_file_manifest,200,200,text/csv,15197,15K,"Sat, 23 May 2026 16:17:44 GMT",3b5d-6527e7c3df41f,,,,"The public server exposes an exact metadata file that can guide country coverage checks, but it is not a population raster.",Use for source-scope review; it does not close the raster denominator gate.,,"This prefreeze manifest records exact public file URLs, S3 object keys, server size hints, last-modified metadata, and unresolved shared-folder routes for station-radius denominators. It does not download GHSL, WorldPop, or ACAG raster/grid files; does not compute SHA-256 checksums of denominator files; does not compute catchment population or PM2.5 exposure; does not validate same-station joins; and does not promote any monitor-grade row."
2026-06-20T09:43:37Z,ai-first,computed_station_radius_denominator_file_manifest_prefreeze,air_monitoring_station_radius_denominator_file_manifest_prefreeze_v1,acag_v6gl03_2023_global_coarse_pm25,acag_v6gl0204_pm25,ACAG SatPM2.5 AWS Registry current object,ACAG,primary_pm25_denominator,pm25,current_aws_global_coarse_object_version_drift,V6.GL.02.04 on source page route,V6.GL.03 on AWS registry,2023 annual,0.1 degree coarse,global,netcdf,https://satpmdata.s3.amazonaws.com/?list-type=2&prefix=V6GL03/CoarseResolution/GL/Annual/V6GL03.CNNPM25.0p10.GL.202301-202312.nc&max-keys=2,V6GL03.CNNPM25.0p10.GL.202301-202312.nc,https://satpmdata.s3.amazonaws.com/V6GL03/CoarseResolution/GL/Annual/V6GL03.CNNPM25.0p10.GL.202301-202312.nc,satpmdata,V6GL03/CoarseResolution/GL/Annual/V6GL03.CNNPM25.0p10.GL.202301-202312.nc,s3_exact_object,exact_current_aws_object_manifest_with_version_drift,200,200,application/x-netcdf,5201631,,2026-05-04T03:09:16.000Z,4dba5529a9f28c13ad7b37b0e50ca183,CRC64NVME,FULL_OBJECT,STANDARD,"The AWS registry exposes exact current ACAG V6.GL.03 objects, but the source-plan page route named V6.GL.02.04.",Treat this as a current-version manifest candidate; do not silently substitute it for the earlier V6.GL.02.04 Box route.,,"This prefreeze manifest records exact public file URLs, S3 object keys, server size hints, last-modified metadata, and unresolved shared-folder routes for station-radius denominators. It does not download GHSL, WorldPop, or ACAG raster/grid files; does not compute SHA-256 checksums of denominator files; does not compute catchment population or PM2.5 exposure; does not validate same-station joins; and does not promote any monitor-grade row."
2026-06-20T09:43:37Z,ai-first,computed_station_radius_denominator_file_manifest_prefreeze,air_monitoring_station_radius_denominator_file_manifest_prefreeze_v1,acag_v6gl03_2023_global_fine_pm25,acag_v6gl0204_pm25,ACAG SatPM2.5 AWS Registry current object,ACAG,primary_pm25_denominator,pm25,current_aws_global_fine_object_version_drift,V6.GL.02.04 on source page route,V6.GL.03 on AWS registry,2023 annual,fine-resolution NetCDF,global,netcdf,https://satpmdata.s3.amazonaws.com/?list-type=2&prefix=V6GL03/FineResolution/GL/Annual/V6GL03.CNNPM25.GL.202301-202312.nc&max-keys=2,V6GL03.CNNPM25.GL.202301-202312.nc,https://satpmdata.s3.amazonaws.com/V6GL03/FineResolution/GL/Annual/V6GL03.CNNPM25.GL.202301-202312.nc,satpmdata,V6GL03/FineResolution/GL/Annual/V6GL03.CNNPM25.GL.202301-202312.nc,s3_exact_object,exact_current_aws_object_manifest_with_version_drift,200,200,application/x-netcdf,448263138,,2026-05-04T03:16:09.000Z,d5ad6c134baf91631c79624678ffa31f-54,CRC64NVME,FULL_OBJECT,STANDARD,"The AWS registry exposes exact current ACAG V6.GL.03 objects, but the source-plan page route named V6.GL.02.04.",Treat this as a current-version manifest candidate; do not silently substitute it for the earlier V6.GL.02.04 Box route.,,"This prefreeze manifest records exact public file URLs, S3 object keys, server size hints, last-modified metadata, and unresolved shared-folder routes for station-radius denominators. It does not download GHSL, WorldPop, or ACAG raster/grid files; does not compute SHA-256 checksums of denominator files; does not compute catchment population or PM2.5 exposure; does not validate same-station joins; and does not promote any monitor-grade row."
2026-06-20T09:43:37Z,ai-first,computed_station_radius_denominator_file_manifest_prefreeze,air_monitoring_station_radius_denominator_file_manifest_prefreeze_v1,acag_v6gl03_2023_asia_coarse_pm25,acag_v6gl0204_pm25,ACAG SatPM2.5 AWS Registry current object,ACAG,primary_pm25_denominator,pm25,current_aws_asia_coarse_object_version_drift,V6.GL.02.04 on source page route,V6.GL.03 on AWS registry,2023 annual,0.1 degree coarse,Asia regional object,netcdf,https://satpmdata.s3.amazonaws.com/?list-type=2&prefix=V6GL03/CoarseResolution/AS/Annual/V6GL03.CNNPM25.0p10.AS.202301-202312.nc&max-keys=2,V6GL03.CNNPM25.0p10.AS.202301-202312.nc,https://satpmdata.s3.amazonaws.com/V6GL03/CoarseResolution/AS/Annual/V6GL03.CNNPM25.0p10.AS.202301-202312.nc,satpmdata,V6GL03/CoarseResolution/AS/Annual/V6GL03.CNNPM25.0p10.AS.202301-202312.nc,s3_exact_object,exact_current_aws_object_manifest_with_version_drift,200,200,application/x-netcdf,1098264,,2026-05-04T03:09:03.000Z,85cecdc2b7d5ccd65630e01cb7685ae7,CRC64NVME,FULL_OBJECT,STANDARD,"The AWS registry exposes exact current ACAG V6.GL.03 objects, but the source-plan page route named V6.GL.02.04.",Treat this as a current-version manifest candidate; do not silently substitute it for the earlier V6.GL.02.04 Box route.,,"This prefreeze manifest records exact public file URLs, S3 object keys, server size hints, last-modified metadata, and unresolved shared-folder routes for station-radius denominators. It does not download GHSL, WorldPop, or ACAG raster/grid files; does not compute SHA-256 checksums of denominator files; does not compute catchment population or PM2.5 exposure; does not validate same-station joins; and does not promote any monitor-grade row."
2026-06-20T09:43:37Z,ai-first,computed_station_radius_denominator_file_manifest_prefreeze,air_monitoring_station_radius_denominator_file_manifest_prefreeze_v1,acag_v6gl03_2023_asia_fine_pm25,acag_v6gl0204_pm25,ACAG SatPM2.5 AWS Registry current object,ACAG,primary_pm25_denominator,pm25,current_aws_asia_fine_object_version_drift,V6.GL.02.04 on source page route,V6.GL.03 on AWS registry,2023 annual,fine-resolution NetCDF,Asia regional object,netcdf,https://satpmdata.s3.amazonaws.com/?list-type=2&prefix=V6GL03/FineResolution/AS/Annual/V6GL03.CNNPM25.AS.202301-202312.nc&max-keys=2,V6GL03.CNNPM25.AS.202301-202312.nc,https://satpmdata.s3.amazonaws.com/V6GL03/FineResolution/AS/Annual/V6GL03.CNNPM25.AS.202301-202312.nc,satpmdata,V6GL03/FineResolution/AS/Annual/V6GL03.CNNPM25.AS.202301-202312.nc,s3_exact_object,exact_current_aws_object_manifest_with_version_drift,200,200,application/x-netcdf,92407694,,2026-05-04T03:12:06.000Z,51f96b5f00162239d888ee734eeb4939-12,CRC64NVME,FULL_OBJECT,STANDARD,"The AWS registry exposes exact current ACAG V6.GL.03 objects, but the source-plan page route named V6.GL.02.04.",Treat this as a current-version manifest candidate; do not silently substitute it for the earlier V6.GL.02.04 Box route.,,"This prefreeze manifest records exact public file URLs, S3 object keys, server size hints, last-modified metadata, and unresolved shared-folder routes for station-radius denominators. It does not download GHSL, WorldPop, or ACAG raster/grid files; does not compute SHA-256 checksums of denominator files; does not compute catchment population or PM2.5 exposure; does not validate same-station joins; and does not promote any monitor-grade row."
