generated_at,attestation_chain,status,method,row_type,iso3,country,radius_km,radius_role,coordinate_rows,unique_coordinate_points,openaq_coordinate_rows,official_pm25_coordinate_rows,population_rows_computed,pm25_rows_computed,candidate_population_buffer_sum,candidate_population_exact_coordinate_dedup_sum,mean_pm25_nearest_ugm3,mean_pm25_radius_ugm3,ghsl_tile_count,ghsl_tile_ids,country_union_population_computed,coverage_claim_allowed,validated_same_station_join_rows,complete_monitor_grade_rows,station_radius_ready,reader_use,blocking_gap,non_claim
2026-06-20T15:24:12Z,ai-first,computed_station_radius_denominator_join_dry_run,air_monitoring_station_radius_denominator_join_dry_run_v1,country_radius_summary,AFG,Afghanistan,0.5,lower_sensitivity,2,2,2,0,2,2,47664.303,47664.303,45.465,,1,R6_C25,False,False,0,0,False,"Country summary of row-level candidate denominators. Exact duplicate coordinate points are collapsed in one diagnostic column, but overlapping buffers are not unioned and this is not monitor coverage.","Country-level unioned catchments, station identity validation, and monitor-grade evidence remain blocked.","This denominator join dry run attaches the frozen candidate coordinate universe to cached GHSL population cells and the selected ACAG coarse annual PM2.5 grid. It reports candidate-row denominator diagnostics only. It does not validate same-station joins, does not classify complete monitor grade, does not compute unioned monitor catchment coverage, and does not support a population-served, exposure, or official monitor coverage claim."
2026-06-20T15:24:12Z,ai-first,computed_station_radius_denominator_join_dry_run,air_monitoring_station_radius_denominator_join_dry_run_v1,country_radius_summary,AFG,Afghanistan,4.0,primary,2,2,2,0,2,2,2375372.397,2375372.397,45.465,,1,R6_C25,False,False,0,0,False,"Country summary of row-level candidate denominators. Exact duplicate coordinate points are collapsed in one diagnostic column, but overlapping buffers are not unioned and this is not monitor coverage.","Country-level unioned catchments, station identity validation, and monitor-grade evidence remain blocked.","This denominator join dry run attaches the frozen candidate coordinate universe to cached GHSL population cells and the selected ACAG coarse annual PM2.5 grid. It reports candidate-row denominator diagnostics only. It does not validate same-station joins, does not classify complete monitor grade, does not compute unioned monitor catchment coverage, and does not support a population-served, exposure, or official monitor coverage claim."
2026-06-20T15:24:12Z,ai-first,computed_station_radius_denominator_join_dry_run,air_monitoring_station_radius_denominator_join_dry_run_v1,country_radius_summary,AFG,Afghanistan,50.0,upper_sensitivity,2,2,2,0,2,2,12943105.201,12943105.201,45.465,30.048,1,R6_C25,False,False,0,0,False,"Country summary of row-level candidate denominators. Exact duplicate coordinate points are collapsed in one diagnostic column, but overlapping buffers are not unioned and this is not monitor coverage.","Country-level unioned catchments, station identity validation, and monitor-grade evidence remain blocked.","This denominator join dry run attaches the frozen candidate coordinate universe to cached GHSL population cells and the selected ACAG coarse annual PM2.5 grid. It reports candidate-row denominator diagnostics only. It does not validate same-station joins, does not classify complete monitor grade, does not compute unioned monitor catchment coverage, and does not support a population-served, exposure, or official monitor coverage claim."
2026-06-20T15:24:12Z,ai-first,computed_station_radius_denominator_join_dry_run,air_monitoring_station_radius_denominator_join_dry_run_v1,country_radius_summary,AZE,Azerbaijan,0.5,lower_sensitivity,2,2,2,0,2,2,20832.448,20832.448,16.453,,2,R5_C23||R5_C24,False,False,0,0,False,"Country summary of row-level candidate denominators. Exact duplicate coordinate points are collapsed in one diagnostic column, but overlapping buffers are not unioned and this is not monitor coverage.","Country-level unioned catchments, station identity validation, and monitor-grade evidence remain blocked.","This denominator join dry run attaches the frozen candidate coordinate universe to cached GHSL population cells and the selected ACAG coarse annual PM2.5 grid. It reports candidate-row denominator diagnostics only. It does not validate same-station joins, does not classify complete monitor grade, does not compute unioned monitor catchment coverage, and does not support a population-served, exposure, or official monitor coverage claim."
2026-06-20T15:24:12Z,ai-first,computed_station_radius_denominator_join_dry_run,air_monitoring_station_radius_denominator_join_dry_run_v1,country_radius_summary,AZE,Azerbaijan,4.0,primary,2,2,2,0,2,2,594076.653,594076.653,16.453,,2,R5_C23||R5_C24,False,False,0,0,False,"Country summary of row-level candidate denominators. Exact duplicate coordinate points are collapsed in one diagnostic column, but overlapping buffers are not unioned and this is not monitor coverage.","Country-level unioned catchments, station identity validation, and monitor-grade evidence remain blocked.","This denominator join dry run attaches the frozen candidate coordinate universe to cached GHSL population cells and the selected ACAG coarse annual PM2.5 grid. It reports candidate-row denominator diagnostics only. It does not validate same-station joins, does not classify complete monitor grade, does not compute unioned monitor catchment coverage, and does not support a population-served, exposure, or official monitor coverage claim."
2026-06-20T15:24:12Z,ai-first,computed_station_radius_denominator_join_dry_run,air_monitoring_station_radius_denominator_join_dry_run_v1,country_radius_summary,AZE,Azerbaijan,50.0,upper_sensitivity,2,2,2,0,2,2,5862963.905,5862963.905,16.453,14.974,2,R5_C23||R5_C24,False,False,0,0,False,"Country summary of row-level candidate denominators. Exact duplicate coordinate points are collapsed in one diagnostic column, but overlapping buffers are not unioned and this is not monitor coverage.","Country-level unioned catchments, station identity validation, and monitor-grade evidence remain blocked.","This denominator join dry run attaches the frozen candidate coordinate universe to cached GHSL population cells and the selected ACAG coarse annual PM2.5 grid. It reports candidate-row denominator diagnostics only. It does not validate same-station joins, does not classify complete monitor grade, does not compute unioned monitor catchment coverage, and does not support a population-served, exposure, or official monitor coverage claim."
2026-06-20T15:24:12Z,ai-first,computed_station_radius_denominator_join_dry_run,air_monitoring_station_radius_denominator_join_dry_run_v1,country_radius_summary,BGD,Bangladesh,0.5,lower_sensitivity,53,52,22,31,53,53,1644487.355,1634688.921,78.451,,2,R7_C27||R7_C28,False,False,0,0,False,"Country summary of row-level candidate denominators. Exact duplicate coordinate points are collapsed in one diagnostic column, but overlapping buffers are not unioned and this is not monitor coverage.","Country-level unioned catchments, station identity validation, and monitor-grade evidence remain blocked.","This denominator join dry run attaches the frozen candidate coordinate universe to cached GHSL population cells and the selected ACAG coarse annual PM2.5 grid. It reports candidate-row denominator diagnostics only. It does not validate same-station joins, does not classify complete monitor grade, does not compute unioned monitor catchment coverage, and does not support a population-served, exposure, or official monitor coverage claim."
2026-06-20T15:24:12Z,ai-first,computed_station_radius_denominator_join_dry_run,air_monitoring_station_radius_denominator_join_dry_run_v1,country_radius_summary,BGD,Bangladesh,4.0,primary,53,52,22,31,53,53,80227280.523,79371463.157,78.451,77.472,2,R7_C27||R7_C28,False,False,0,0,False,"Country summary of row-level candidate denominators. Exact duplicate coordinate points are collapsed in one diagnostic column, but overlapping buffers are not unioned and this is not monitor coverage.","Country-level unioned catchments, station identity validation, and monitor-grade evidence remain blocked.","This denominator join dry run attaches the frozen candidate coordinate universe to cached GHSL population cells and the selected ACAG coarse annual PM2.5 grid. It reports candidate-row denominator diagnostics only. It does not validate same-station joins, does not classify complete monitor grade, does not compute unioned monitor catchment coverage, and does not support a population-served, exposure, or official monitor coverage claim."
2026-06-20T15:24:12Z,ai-first,computed_station_radius_denominator_join_dry_run,air_monitoring_station_radius_denominator_join_dry_run_v1,country_radius_summary,BGD,Bangladesh,50.0,upper_sensitivity,53,52,22,31,53,53,1193500776.149,1161498975.576,78.451,73.551,2,R7_C27||R7_C28,False,False,0,0,False,"Country summary of row-level candidate denominators. Exact duplicate coordinate points are collapsed in one diagnostic column, but overlapping buffers are not unioned and this is not monitor coverage.","Country-level unioned catchments, station identity validation, and monitor-grade evidence remain blocked.","This denominator join dry run attaches the frozen candidate coordinate universe to cached GHSL population cells and the selected ACAG coarse annual PM2.5 grid. It reports candidate-row denominator diagnostics only. It does not validate same-station joins, does not classify complete monitor grade, does not compute unioned monitor catchment coverage, and does not support a population-served, exposure, or official monitor coverage claim."
2026-06-20T15:24:12Z,ai-first,computed_station_radius_denominator_join_dry_run,air_monitoring_station_radius_denominator_join_dry_run_v1,country_radius_summary,GEO,Georgia,0.5,lower_sensitivity,18,18,2,16,18,18,115165.672,115165.672,18.802,17.763,1,R5_C23,False,False,0,0,False,"Country summary of row-level candidate denominators. Exact duplicate coordinate points are collapsed in one diagnostic column, but overlapping buffers are not unioned and this is not monitor coverage.","Country-level unioned catchments, station identity validation, and monitor-grade evidence remain blocked.","This denominator join dry run attaches the frozen candidate coordinate universe to cached GHSL population cells and the selected ACAG coarse annual PM2.5 grid. It reports candidate-row denominator diagnostics only. It does not validate same-station joins, does not classify complete monitor grade, does not compute unioned monitor catchment coverage, and does not support a population-served, exposure, or official monitor coverage claim."
