generated_at,attestation_chain,status,method,iso3,country,readiness_lane,openaq_coordinate_rows_used,official_pm25_coordinate_rows_used,coordinate_rows_used,unique_coordinate_points,ghsl_population_tiles_selected,tile_ids,selection_basis,downloaded_population_tile_files,sha256_checksummed_population_tile_files,station_radius_population_rows,reader_use,non_claim
2026-06-20T11:15:46Z,ai-first,computed_station_radius_ghsl_population_tile_selection,air_monitoring_station_radius_ghsl_population_tile_selection_v1,AFG,Afghanistan,blocked_denominator_missing_after_coordinates,2,0,2,2,1,R6_C25,committed coordinate rows buffered by the 50 km draft maximum station-radius sweep,0,0,0,Use this as the population denominator download queue; it is not a catchment result.,"This GHSL population tile-selection gate constructs and probes the public 2020 GHSL 4326 3 arc-second tile URLs needed by committed station coordinates using a conservative 50 km draft-radius buffer. It does not download GHSL ZIP bodies, compute SHA-256 checksums, inspect GeoTIFF transforms, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
2026-06-20T11:15:46Z,ai-first,computed_station_radius_ghsl_population_tile_selection,air_monitoring_station_radius_ghsl_population_tile_selection_v1,BGD,Bangladesh,blocked_denominator_missing_after_coordinates,22,31,53,52,2,R7_C27||R7_C28,committed coordinate rows buffered by the 50 km draft maximum station-radius sweep,0,0,0,Use this as the population denominator download queue; it is not a catchment result.,"This GHSL population tile-selection gate constructs and probes the public 2020 GHSL 4326 3 arc-second tile URLs needed by committed station coordinates using a conservative 50 km draft-radius buffer. It does not download GHSL ZIP bodies, compute SHA-256 checksums, inspect GeoTIFF transforms, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
2026-06-20T11:15:46Z,ai-first,computed_station_radius_ghsl_population_tile_selection,air_monitoring_station_radius_ghsl_population_tile_selection_v1,MMR,Myanmar,blocked_denominator_missing_after_coordinates,3,0,3,3,1,R8_C28,committed coordinate rows buffered by the 50 km draft maximum station-radius sweep,0,0,0,Use this as the population denominator download queue; it is not a catchment result.,"This GHSL population tile-selection gate constructs and probes the public 2020 GHSL 4326 3 arc-second tile URLs needed by committed station coordinates using a conservative 50 km draft-radius buffer. It does not download GHSL ZIP bodies, compute SHA-256 checksums, inspect GeoTIFF transforms, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
2026-06-20T11:15:46Z,ai-first,computed_station_radius_ghsl_population_tile_selection,air_monitoring_station_radius_ghsl_population_tile_selection_v1,UZB,Uzbekistan,blocked_denominator_missing_after_coordinates,4,40,44,44,5,R5_C24||R5_C25||R5_C26||R6_C25||R6_C26,committed coordinate rows buffered by the 50 km draft maximum station-radius sweep,0,0,0,Use this as the population denominator download queue; it is not a catchment result.,"This GHSL population tile-selection gate constructs and probes the public 2020 GHSL 4326 3 arc-second tile URLs needed by committed station coordinates using a conservative 50 km draft-radius buffer. It does not download GHSL ZIP bodies, compute SHA-256 checksums, inspect GeoTIFF transforms, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
2026-06-20T11:15:46Z,ai-first,computed_station_radius_ghsl_population_tile_selection,air_monitoring_station_radius_ghsl_population_tile_selection_v1,TJK,Tajikistan,blocked_denominator_missing_after_coordinates,7,0,7,7,4,R5_C25||R5_C26||R6_C25||R6_C26,committed coordinate rows buffered by the 50 km draft maximum station-radius sweep,0,0,0,Use this as the population denominator download queue; it is not a catchment result.,"This GHSL population tile-selection gate constructs and probes the public 2020 GHSL 4326 3 arc-second tile URLs needed by committed station coordinates using a conservative 50 km draft-radius buffer. It does not download GHSL ZIP bodies, compute SHA-256 checksums, inspect GeoTIFF transforms, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
2026-06-20T11:15:46Z,ai-first,computed_station_radius_ghsl_population_tile_selection,air_monitoring_station_radius_ghsl_population_tile_selection_v1,AZE,Azerbaijan,blocked_denominator_missing_after_coordinates,2,0,2,2,4,R5_C23||R5_C24||R6_C23||R6_C24,committed coordinate rows buffered by the 50 km draft maximum station-radius sweep,0,0,0,Use this as the population denominator download queue; it is not a catchment result.,"This GHSL population tile-selection gate constructs and probes the public 2020 GHSL 4326 3 arc-second tile URLs needed by committed station coordinates using a conservative 50 km draft-radius buffer. It does not download GHSL ZIP bodies, compute SHA-256 checksums, inspect GeoTIFF transforms, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
2026-06-20T11:15:46Z,ai-first,computed_station_radius_ghsl_population_tile_selection,air_monitoring_station_radius_ghsl_population_tile_selection_v1,GEO,Georgia,blocked_denominator_missing_after_coordinates,2,16,18,18,1,R5_C23,committed coordinate rows buffered by the 50 km draft maximum station-radius sweep,0,0,0,Use this as the population denominator download queue; it is not a catchment result.,"This GHSL population tile-selection gate constructs and probes the public 2020 GHSL 4326 3 arc-second tile URLs needed by committed station coordinates using a conservative 50 km draft-radius buffer. It does not download GHSL ZIP bodies, compute SHA-256 checksums, inspect GeoTIFF transforms, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
2026-06-20T11:15:46Z,ai-first,computed_station_radius_ghsl_population_tile_selection,air_monitoring_station_radius_ghsl_population_tile_selection_v1,IDN,Indonesia,blocked_denominator_missing_after_coordinates,36,22,58,58,8,R9_C28||R9_C29||R9_C30||R10_C28||R10_C29||R10_C30||R10_C31||R10_C32,committed coordinate rows buffered by the 50 km draft maximum station-radius sweep,0,0,0,Use this as the population denominator download queue; it is not a catchment result.,"This GHSL population tile-selection gate constructs and probes the public 2020 GHSL 4326 3 arc-second tile URLs needed by committed station coordinates using a conservative 50 km draft-radius buffer. It does not download GHSL ZIP bodies, compute SHA-256 checksums, inspect GeoTIFF transforms, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
2026-06-20T11:15:46Z,ai-first,computed_station_radius_ghsl_population_tile_selection,air_monitoring_station_radius_ghsl_population_tile_selection_v1,LKA,Sri Lanka,blocked_denominator_missing_after_coordinates,3,0,3,3,4,R8_C26||R8_C27||R9_C26||R9_C27,committed coordinate rows buffered by the 50 km draft maximum station-radius sweep,0,0,0,Use this as the population denominator download queue; it is not a catchment result.,"This GHSL population tile-selection gate constructs and probes the public 2020 GHSL 4326 3 arc-second tile URLs needed by committed station coordinates using a conservative 50 km draft-radius buffer. It does not download GHSL ZIP bodies, compute SHA-256 checksums, inspect GeoTIFF transforms, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
2026-06-20T11:15:46Z,ai-first,computed_station_radius_ghsl_population_tile_selection,air_monitoring_station_radius_ghsl_population_tile_selection_v1,MYS,Malaysia,blocked_denominator_missing_after_coordinates,18,67,85,84,3,R9_C28||R9_C29||R9_C30,committed coordinate rows buffered by the 50 km draft maximum station-radius sweep,0,0,0,Use this as the population denominator download queue; it is not a catchment result.,"This GHSL population tile-selection gate constructs and probes the public 2020 GHSL 4326 3 arc-second tile URLs needed by committed station coordinates using a conservative 50 km draft-radius buffer. It does not download GHSL ZIP bodies, compute SHA-256 checksums, inspect GeoTIFF transforms, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
