generated_at,attestation_chain,status,method,tile_id,tile_row,tile_col,south,west,north,east,selected_economies,selected_economy_count,coordinate_rows_touching_tile,openaq_coordinate_rows_touching_tile,official_pm25_coordinate_rows_touching_tile,ghsl_vintage,ghsl_resolution,exact_file_url,head_status,head_ok,content_type,content_length_bytes,size_mb,last_modified,etag,selection_status,download_decision,blocking_gap,retrieval_error,non_claim
2026-06-20T11:15:46Z,ai-first,computed_station_radius_ghsl_population_tile_selection,air_monitoring_station_radius_ghsl_population_tile_selection_v1,R5_C23,5,23,40.0,40.0,50.0,50.0,AZE||GEO,2,20,4,16,2020 observed estimate,4326 3 arc-second tile,https://cidportal.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2020_GLOBE_R2023A_4326_3ss/V1-0/tiles/GHS_POP_E2020_GLOBE_R2023A_4326_3ss_V1_0_R5_C23.zip,,False,,,,,,selected_head_not_ok,selected_for_future_checksum_not_downloaded,"Download the selected ZIP body, record SHA-256, inspect the GeoTIFF transform, and freeze radius/de-duplication rules before any catchment computation.","URLError: <urlopen error [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond>","This GHSL population tile-selection gate constructs and probes the public 2020 GHSL 4326 3 arc-second tile URLs needed by committed station coordinates using a conservative 50 km draft-radius buffer. It does not download GHSL ZIP bodies, compute SHA-256 checksums, inspect GeoTIFF transforms, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
2026-06-20T11:15:46Z,ai-first,computed_station_radius_ghsl_population_tile_selection,air_monitoring_station_radius_ghsl_population_tile_selection_v1,R5_C24,5,24,40.0,50.0,50.0,60.0,AZE||UZB,2,3,2,1,2020 observed estimate,4326 3 arc-second tile,https://cidportal.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2020_GLOBE_R2023A_4326_3ss/V1-0/tiles/GHS_POP_E2020_GLOBE_R2023A_4326_3ss_V1_0_R5_C24.zip,,False,,,,,,selected_head_not_ok,selected_for_future_checksum_not_downloaded,"Download the selected ZIP body, record SHA-256, inspect the GeoTIFF transform, and freeze radius/de-duplication rules before any catchment computation.",RemoteDisconnected: Remote end closed connection without response,"This GHSL population tile-selection gate constructs and probes the public 2020 GHSL 4326 3 arc-second tile URLs needed by committed station coordinates using a conservative 50 km draft-radius buffer. It does not download GHSL ZIP bodies, compute SHA-256 checksums, inspect GeoTIFF transforms, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
2026-06-20T11:15:46Z,ai-first,computed_station_radius_ghsl_population_tile_selection,air_monitoring_station_radius_ghsl_population_tile_selection_v1,R5_C25,5,25,40.0,60.0,50.0,70.0,TJK||UZB,2,41,9,32,2020 observed estimate,4326 3 arc-second tile,https://cidportal.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2020_GLOBE_R2023A_4326_3ss/V1-0/tiles/GHS_POP_E2020_GLOBE_R2023A_4326_3ss_V1_0_R5_C25.zip,200,True,application/zip,33349650,33.350,"Mon, 27 Jan 2025 19:34:17 GMT","""1fce012-62cb529878217""",selected_head_ok,selected_for_future_checksum_not_downloaded,"Download the selected ZIP body, record SHA-256, inspect the GeoTIFF transform, and freeze radius/de-duplication rules before any catchment computation.",,"This GHSL population tile-selection gate constructs and probes the public 2020 GHSL 4326 3 arc-second tile URLs needed by committed station coordinates using a conservative 50 km draft-radius buffer. It does not download GHSL ZIP bodies, compute SHA-256 checksums, inspect GeoTIFF transforms, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
2026-06-20T11:15:46Z,ai-first,computed_station_radius_ghsl_population_tile_selection,air_monitoring_station_radius_ghsl_population_tile_selection_v1,R5_C26,5,26,40.0,70.0,50.0,80.0,TJK||UZB,2,16,5,11,2020 observed estimate,4326 3 arc-second tile,https://cidportal.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2020_GLOBE_R2023A_4326_3ss/V1-0/tiles/GHS_POP_E2020_GLOBE_R2023A_4326_3ss_V1_0_R5_C26.zip,200,True,application/zip,32990110,32.990,"Mon, 27 Jan 2025 19:34:18 GMT","""1f7639e-62cb5298bfaa4""",selected_head_ok,selected_for_future_checksum_not_downloaded,"Download the selected ZIP body, record SHA-256, inspect the GeoTIFF transform, and freeze radius/de-duplication rules before any catchment computation.",,"This GHSL population tile-selection gate constructs and probes the public 2020 GHSL 4326 3 arc-second tile URLs needed by committed station coordinates using a conservative 50 km draft-radius buffer. It does not download GHSL ZIP bodies, compute SHA-256 checksums, inspect GeoTIFF transforms, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
2026-06-20T11:15:46Z,ai-first,computed_station_radius_ghsl_population_tile_selection,air_monitoring_station_radius_ghsl_population_tile_selection_v1,R6_C23,6,23,30.0,40.0,40.0,50.0,AZE,1,1,1,0,2020 observed estimate,4326 3 arc-second tile,https://cidportal.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2020_GLOBE_R2023A_4326_3ss/V1-0/tiles/GHS_POP_E2020_GLOBE_R2023A_4326_3ss_V1_0_R6_C23.zip,,False,,,,,,selected_head_not_ok,selected_for_future_checksum_not_downloaded,"Download the selected ZIP body, record SHA-256, inspect the GeoTIFF transform, and freeze radius/de-duplication rules before any catchment computation.",RemoteDisconnected: Remote end closed connection without response,"This GHSL population tile-selection gate constructs and probes the public 2020 GHSL 4326 3 arc-second tile URLs needed by committed station coordinates using a conservative 50 km draft-radius buffer. It does not download GHSL ZIP bodies, compute SHA-256 checksums, inspect GeoTIFF transforms, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
2026-06-20T11:15:46Z,ai-first,computed_station_radius_ghsl_population_tile_selection,air_monitoring_station_radius_ghsl_population_tile_selection_v1,R6_C24,6,24,30.0,50.0,40.0,60.0,AZE||TKM,2,3,3,0,2020 observed estimate,4326 3 arc-second tile,https://cidportal.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2020_GLOBE_R2023A_4326_3ss/V1-0/tiles/GHS_POP_E2020_GLOBE_R2023A_4326_3ss_V1_0_R6_C24.zip,,False,,,,,,selected_head_not_ok,selected_for_future_checksum_not_downloaded,"Download the selected ZIP body, record SHA-256, inspect the GeoTIFF transform, and freeze radius/de-duplication rules before any catchment computation.",URLError: <urlopen error _ssl.c:1011: The handshake operation timed out>,"This GHSL population tile-selection gate constructs and probes the public 2020 GHSL 4326 3 arc-second tile URLs needed by committed station coordinates using a conservative 50 km draft-radius buffer. It does not download GHSL ZIP bodies, compute SHA-256 checksums, inspect GeoTIFF transforms, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
2026-06-20T11:15:46Z,ai-first,computed_station_radius_ghsl_population_tile_selection,air_monitoring_station_radius_ghsl_population_tile_selection_v1,R6_C25,6,25,30.0,60.0,40.0,70.0,AFG||TJK||UZB,3,24,11,13,2020 observed estimate,4326 3 arc-second tile,https://cidportal.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2020_GLOBE_R2023A_4326_3ss/V1-0/tiles/GHS_POP_E2020_GLOBE_R2023A_4326_3ss_V1_0_R6_C25.zip,,False,,,,,,selected_head_not_ok,selected_for_future_checksum_not_downloaded,"Download the selected ZIP body, record SHA-256, inspect the GeoTIFF transform, and freeze radius/de-duplication rules before any catchment computation.",RemoteDisconnected: Remote end closed connection without response,"This GHSL population tile-selection gate constructs and probes the public 2020 GHSL 4326 3 arc-second tile URLs needed by committed station coordinates using a conservative 50 km draft-radius buffer. It does not download GHSL ZIP bodies, compute SHA-256 checksums, inspect GeoTIFF transforms, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
2026-06-20T11:15:46Z,ai-first,computed_station_radius_ghsl_population_tile_selection,air_monitoring_station_radius_ghsl_population_tile_selection_v1,R6_C26,6,26,30.0,70.0,40.0,80.0,TJK||UZB,2,6,5,1,2020 observed estimate,4326 3 arc-second tile,https://cidportal.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2020_GLOBE_R2023A_4326_3ss/V1-0/tiles/GHS_POP_E2020_GLOBE_R2023A_4326_3ss_V1_0_R6_C26.zip,,False,,,,,,selected_head_not_ok,selected_for_future_checksum_not_downloaded,"Download the selected ZIP body, record SHA-256, inspect the GeoTIFF transform, and freeze radius/de-duplication rules before any catchment computation.",URLError: <urlopen error [WinError 10054] An existing connection was forcibly closed by the remote host>,"This GHSL population tile-selection gate constructs and probes the public 2020 GHSL 4326 3 arc-second tile URLs needed by committed station coordinates using a conservative 50 km draft-radius buffer. It does not download GHSL ZIP bodies, compute SHA-256 checksums, inspect GeoTIFF transforms, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
2026-06-20T11:15:46Z,ai-first,computed_station_radius_ghsl_population_tile_selection,air_monitoring_station_radius_ghsl_population_tile_selection_v1,R7_C27,7,27,20.0,80.0,30.0,90.0,BGD,1,40,20,20,2020 observed estimate,4326 3 arc-second tile,https://cidportal.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2020_GLOBE_R2023A_4326_3ss/V1-0/tiles/GHS_POP_E2020_GLOBE_R2023A_4326_3ss_V1_0_R7_C27.zip,,False,,,,,,selected_head_not_ok,selected_for_future_checksum_not_downloaded,"Download the selected ZIP body, record SHA-256, inspect the GeoTIFF transform, and freeze radius/de-duplication rules before any catchment computation.","URLError: <urlopen error [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond>","This GHSL population tile-selection gate constructs and probes the public 2020 GHSL 4326 3 arc-second tile URLs needed by committed station coordinates using a conservative 50 km draft-radius buffer. It does not download GHSL ZIP bodies, compute SHA-256 checksums, inspect GeoTIFF transforms, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
2026-06-20T11:15:46Z,ai-first,computed_station_radius_ghsl_population_tile_selection,air_monitoring_station_radius_ghsl_population_tile_selection_v1,R7_C28,7,28,20.0,90.0,30.0,100.0,BGD,1,48,22,26,2020 observed estimate,4326 3 arc-second tile,https://cidportal.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2020_GLOBE_R2023A_4326_3ss/V1-0/tiles/GHS_POP_E2020_GLOBE_R2023A_4326_3ss_V1_0_R7_C28.zip,,False,,,,,,selected_head_not_ok,selected_for_future_checksum_not_downloaded,"Download the selected ZIP body, record SHA-256, inspect the GeoTIFF transform, and freeze radius/de-duplication rules before any catchment computation.","URLError: <urlopen error [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond>","This GHSL population tile-selection gate constructs and probes the public 2020 GHSL 4326 3 arc-second tile URLs needed by committed station coordinates using a conservative 50 km draft-radius buffer. It does not download GHSL ZIP bodies, compute SHA-256 checksums, inspect GeoTIFF transforms, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
