generated_at,attestation_chain,status,method,iso3,country,readiness_lane,openaq_coordinate_rows_used,official_pm25_coordinate_rows_used,coordinate_rows_used,unique_coordinate_points,previous_tile_count,corrected_tile_count,retained_tile_count,added_tile_count,removed_tile_count,previous_tile_ids,corrected_tile_ids,added_tile_ids,removed_tile_ids,reader_use,non_claim
2026-06-20T12:18:54Z,ai-first,computed_station_radius_ghsl_tile_routing_correction,air_monitoring_station_radius_ghsl_tile_routing_correction_v1,AFG,Afghanistan,blocked_denominator_missing_after_coordinates,2,0,2,2,1,1,1,0,0,R6_C25,R6_C25,,,Country-level queue-change ledger for the corrected GHSL tile-routing origin.,"This GHSL tile-routing correction gate derives an observed R/C grid origin from already downloaded GHSL GeoTIFF bounds, recomputes the station-coordinate tile queue with the same 50 km draft buffer, and records which selected tile IDs are retained, added, or removed. It does not download newly added tiles, retry HEAD probes, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
2026-06-20T12:18:54Z,ai-first,computed_station_radius_ghsl_tile_routing_correction,air_monitoring_station_radius_ghsl_tile_routing_correction_v1,BGD,Bangladesh,blocked_denominator_missing_after_coordinates,22,31,53,52,2,2,2,0,0,R7_C27||R7_C28,R7_C27||R7_C28,,,Country-level queue-change ledger for the corrected GHSL tile-routing origin.,"This GHSL tile-routing correction gate derives an observed R/C grid origin from already downloaded GHSL GeoTIFF bounds, recomputes the station-coordinate tile queue with the same 50 km draft buffer, and records which selected tile IDs are retained, added, or removed. It does not download newly added tiles, retry HEAD probes, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
2026-06-20T12:18:54Z,ai-first,computed_station_radius_ghsl_tile_routing_correction,air_monitoring_station_radius_ghsl_tile_routing_correction_v1,MMR,Myanmar,blocked_denominator_missing_after_coordinates,3,0,3,3,1,1,1,0,0,R8_C28,R8_C28,,,Country-level queue-change ledger for the corrected GHSL tile-routing origin.,"This GHSL tile-routing correction gate derives an observed R/C grid origin from already downloaded GHSL GeoTIFF bounds, recomputes the station-coordinate tile queue with the same 50 km draft buffer, and records which selected tile IDs are retained, added, or removed. It does not download newly added tiles, retry HEAD probes, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
2026-06-20T12:18:54Z,ai-first,computed_station_radius_ghsl_tile_routing_correction,air_monitoring_station_radius_ghsl_tile_routing_correction_v1,UZB,Uzbekistan,blocked_denominator_missing_after_coordinates,4,40,44,44,5,4,4,0,1,R5_C24||R5_C25||R5_C26||R6_C25||R6_C26,R5_C24||R5_C25||R5_C26||R6_C25,,R6_C26,Country-level queue-change ledger for the corrected GHSL tile-routing origin.,"This GHSL tile-routing correction gate derives an observed R/C grid origin from already downloaded GHSL GeoTIFF bounds, recomputes the station-coordinate tile queue with the same 50 km draft buffer, and records which selected tile IDs are retained, added, or removed. It does not download newly added tiles, retry HEAD probes, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
2026-06-20T12:18:54Z,ai-first,computed_station_radius_ghsl_tile_routing_correction,air_monitoring_station_radius_ghsl_tile_routing_correction_v1,TJK,Tajikistan,blocked_denominator_missing_after_coordinates,7,0,7,7,4,3,3,0,1,R5_C25||R5_C26||R6_C25||R6_C26,R5_C25||R5_C26||R6_C25,,R6_C26,Country-level queue-change ledger for the corrected GHSL tile-routing origin.,"This GHSL tile-routing correction gate derives an observed R/C grid origin from already downloaded GHSL GeoTIFF bounds, recomputes the station-coordinate tile queue with the same 50 km draft buffer, and records which selected tile IDs are retained, added, or removed. It does not download newly added tiles, retry HEAD probes, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
2026-06-20T12:18:54Z,ai-first,computed_station_radius_ghsl_tile_routing_correction,air_monitoring_station_radius_ghsl_tile_routing_correction_v1,AZE,Azerbaijan,blocked_denominator_missing_after_coordinates,2,0,2,2,4,2,2,0,2,R5_C23||R5_C24||R6_C23||R6_C24,R5_C23||R5_C24,,R6_C23||R6_C24,Country-level queue-change ledger for the corrected GHSL tile-routing origin.,"This GHSL tile-routing correction gate derives an observed R/C grid origin from already downloaded GHSL GeoTIFF bounds, recomputes the station-coordinate tile queue with the same 50 km draft buffer, and records which selected tile IDs are retained, added, or removed. It does not download newly added tiles, retry HEAD probes, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
2026-06-20T12:18:54Z,ai-first,computed_station_radius_ghsl_tile_routing_correction,air_monitoring_station_radius_ghsl_tile_routing_correction_v1,GEO,Georgia,blocked_denominator_missing_after_coordinates,2,16,18,18,1,1,1,0,0,R5_C23,R5_C23,,,Country-level queue-change ledger for the corrected GHSL tile-routing origin.,"This GHSL tile-routing correction gate derives an observed R/C grid origin from already downloaded GHSL GeoTIFF bounds, recomputes the station-coordinate tile queue with the same 50 km draft buffer, and records which selected tile IDs are retained, added, or removed. It does not download newly added tiles, retry HEAD probes, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
2026-06-20T12:18:54Z,ai-first,computed_station_radius_ghsl_tile_routing_correction,air_monitoring_station_radius_ghsl_tile_routing_correction_v1,IDN,Indonesia,blocked_denominator_missing_after_coordinates,36,22,58,58,8,8,7,1,1,R9_C28||R9_C29||R9_C30||R10_C28||R10_C29||R10_C30||R10_C31||R10_C32,R9_C28||R9_C29||R9_C30||R9_C32||R10_C29||R10_C30||R10_C31||R10_C32,R9_C32,R10_C28,Country-level queue-change ledger for the corrected GHSL tile-routing origin.,"This GHSL tile-routing correction gate derives an observed R/C grid origin from already downloaded GHSL GeoTIFF bounds, recomputes the station-coordinate tile queue with the same 50 km draft buffer, and records which selected tile IDs are retained, added, or removed. It does not download newly added tiles, retry HEAD probes, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
2026-06-20T12:18:54Z,ai-first,computed_station_radius_ghsl_tile_routing_correction,air_monitoring_station_radius_ghsl_tile_routing_correction_v1,LKA,Sri Lanka,blocked_denominator_missing_after_coordinates,3,0,3,3,4,4,4,0,0,R8_C26||R8_C27||R9_C26||R9_C27,R8_C26||R8_C27||R9_C26||R9_C27,,,Country-level queue-change ledger for the corrected GHSL tile-routing origin.,"This GHSL tile-routing correction gate derives an observed R/C grid origin from already downloaded GHSL GeoTIFF bounds, recomputes the station-coordinate tile queue with the same 50 km draft buffer, and records which selected tile IDs are retained, added, or removed. It does not download newly added tiles, retry HEAD probes, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
2026-06-20T12:18:54Z,ai-first,computed_station_radius_ghsl_tile_routing_correction,air_monitoring_station_radius_ghsl_tile_routing_correction_v1,MYS,Malaysia,blocked_denominator_missing_after_coordinates,18,67,85,84,3,3,3,0,0,R9_C28||R9_C29||R9_C30,R9_C28||R9_C29||R9_C30,,,Country-level queue-change ledger for the corrected GHSL tile-routing origin.,"This GHSL tile-routing correction gate derives an observed R/C grid origin from already downloaded GHSL GeoTIFF bounds, recomputes the station-coordinate tile queue with the same 50 km draft buffer, and records which selected tile IDs are retained, added, or removed. It does not download newly added tiles, retry HEAD probes, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
2026-06-20T12:18:54Z,ai-first,computed_station_radius_ghsl_tile_routing_correction,air_monitoring_station_radius_ghsl_tile_routing_correction_v1,TKM,Turkmenistan,blocked_denominator_missing_after_coordinates,2,0,2,2,1,1,1,0,0,R6_C24,R6_C24,,,Country-level queue-change ledger for the corrected GHSL tile-routing origin.,"This GHSL tile-routing correction gate derives an observed R/C grid origin from already downloaded GHSL GeoTIFF bounds, recomputes the station-coordinate tile queue with the same 50 km draft buffer, and records which selected tile IDs are retained, added, or removed. It does not download newly added tiles, retry HEAD probes, compute station-radius population, compute PM2.5 exposure, validate same-station joins, freeze radius or de-duplication rules, or promote monitor-grade rows."
