source_key,source_name,source_role,url,content_type_hint,expected_terms,method_terms,technical_standard_terms,daily_log_terms,calibration_terms,certificate_terms,source_note
bmkg_technical_operational_standard_2014,BMKG Regulation 7 2014 technical and operational maintenance standard,official_technical_operational_standard,https://jdih.bmkg.go.id/storage/common/dokumen/perbanno.7tahun2014.pdf,pdf,Beta Attenuation Mass Monitor||Kualitas Udara||stasiun pengamatan,Beta Attenuation Mass Monitor||BAM,komponen alat||stasiun pengamatan||pemeliharaan,log book||catat seluruh aktifitas,kalibrasi,sertifikat,Official BMKG technical and operational maintenance standard. Use as source-level technical standard context only.
bmkg_observation_data_regulation_2019,BMKG Regulation 11 2019 air-quality observation and data management rule,official_observation_data_regulation,https://jdih.bmkg.go.id/common/dokumen/perbanno.11tahun2019.pdf,pdf,Pengamatan dan Pengelolaan Data Kualitas Udara||PM2||BAM,Beta Attenuation Monitoring||BAM||Syncronous Cycle Method,pengolahan Data||quality control||peralatan otomatis,log book peralatan||setiap hari,kalibrasi berkala||analisis setelah kalibrasi,sertifikat,Official BMKG air-quality observation rule. Use as method and source-level calibration/logbook rule context only.
bmkg_bam1020_daily_inspection_sop_2023,BMKG SOP 014 KB IV 2023 daily BAM-1020 inspection,official_daily_inspection_sop,https://jdih.bmkg.go.id/storage/common/dokumen/sop014kbiv2023ttgsoppemeriksaanharianalatpemantaupartikulatbam-1020dilingkunganbmkg.pdf,pdf,Pemeriksaan Harian||BAM-1020||BMKG,Beta Attenuation Monitor||BAM||PM 2.5,pemeriksaan harian||prosedur||filter tape,Form laporan harian||pengecekan harian,kalibrasi,sertifikat,Official BMKG SOP for daily BAM-1020 inspection. Use as source-level daily inspection procedure context only.
bmkg_ptsp_calibration_tariff_2026,BMKG PTSP service and tariff page for BAM calibration,official_service_tariff,https://ptsp.bmkg.go.id/show/show_halaman?halaman=27,html,Jasa Kalibrasi||Alat Kualitas Udara||Betha Attenuator Monitoring,Betha Attenuator Monitoring||BAM,Jasa Kalibrasi||Jenis Layanan,,Jasa Kalibrasi||per unit||Rp 250.000,sertifikat,Official BMKG PTSP page records the public calibration service route and tariff. It is not a target-station certificate.
bmkg_jateng_pnbp_calibration_tariff,BMKG Central Java service page for BAM calibration tariff,official_regional_service_tariff,https://staklim-jateng.bmkg.go.id/layanan_informasi.php,html,Jasa Kalibrasi||Alat Kualitas Udara||Betha Attenuator Monitoring,Betha Attenuator Monitoring||BAM,Jasa Kalibrasi||Jenis Layanan,,Jasa Kalibrasi||per unit||Rp 250.000,sertifikat,Official BMKG regional service page. Use as source-level calibration service context only.
bmkg_pnbp_tariff_regulation_pdf,BMKG PNBP tariff regulation PDF for calibration services,official_pnbp_tariff_regulation,https://jdih.bmkg.go.id/storage/common/dokumen/JENIS%20DAN%20TARIF%20ATAS%20JENIS%20PNBP%20YANG%20BERLAKU%20PADA%20BMKG.pdf,pdf,JASA KALIBRASI||ALAT KUALITAS UDARA||Betha Attenuator Monitoring,Betha Attenuator Monitoring||BAM,JASA KALIBRASI,,JASA KALIBRASI||per unit||Rp,sertifikat,Official PNBP tariff regulation. Use as legal service/tariff context only.
bmkg_ppid_public_information_pm25,BMKG PPID public information list for PM2.5 cadence,official_public_information_cadence,https://ppid.bmkg.go.id/daftar-informasi-publik,html,Informasi Kualitas Udara||Pemantauan Kualitas Udara||PM2,PM2||Konsentrasi Partikulat,Setiap jam||Website,,Pemantauan Kualitas Udara,,Official PPID public-information list records PM2.5 public cadence and owner. It is not calibration evidence.
bmkg_ppid_2023_report_calibration_requests,BMKG PPID 2023 report with calibration-certificate request context,official_public_information_report,https://ppid.bmkg.go.id/pdf/1931-Laporan-PPID-2023.pdf,pdf,Laporan PPID||sertifikat kalibrasi||PM2.5,PM2.5||Particulate Matter,pemantauan kualitas udara,,sertifikat kalibrasi,sertifikat kalibrasi,Official PPID report context for public requests including calibration-certificate questions. It is not a target-station certificate.
bmkg_ppid_2024_report_pm25_calibration_requests,BMKG PPID 2024 report with PM2.5 and calibration-certificate context,official_public_information_report,https://ppid.bmkg.go.id/storage/119/DABbGdmdzzzx8B5DYDxv2Pd0i0UKd1ZjWbNwv3yQ.pdf,pdf,Pemantauan PM2.5||BMKG||sertifikat kalibrasi,PM2.5||Beta||Particulate Matter,pemantauan kualitas udara,,sertifikat kalibrasi,sertifikat kalibrasi,Official PPID report context for PM2.5 and certificate-request language. It is not a target-station certificate.
bmkg_annual_report_2020_pm25_certificates,BMKG 2020 annual report with PM2.5 equipment and certificate-output context,official_annual_report,https://content.bmkg.go.id/wp-content/uploads/Laporan-Tahunan-BMKG-2020.pdf,pdf,PM2.5||sertifikat||kalibrasi,PM2.5||Partikulat,pemantau partikulat||peralatan,,kalibrasi,sertifikat,Official BMKG annual report. Use as agency-level certificate-output and PM2.5 network context only.
