source_key,source_name,source_role,source_match_scope,url,content_type_hint,target_station_ids,target_station_aliases,expected_terms,method_terms,calibration_terms,inspection_terms,certificate_terms,status_terms,source_note
gaw_kototabang_sbk2020,GAW Bukit Kototabang Suara Bukit Kototabang 2020,official_station_unit_publication,exact_station_or_unit,https://gawbkt.id/storage/sbk/SBK2020.pdf,pdf,pm25_ktb2,Kototabang||Bukit Kototabang||GAW Bukit Kototabang,BAM 1020||Kototabang||kalibrasi rutin,BAM 1020||BAM-1020||Beta Attenuation,kalibrasi rutin||kalibrasi,pemeliharaan||perawatan||pemeriksaan,sertifikat,rutin||operasional,Official GAW Bukit Kototabang publication. Use as station-unit public context only; it is not a current target-station certificate.
gaw_kototabang_sbk2019,GAW Bukit Kototabang Suara Bukit Kototabang 2019,official_station_unit_publication,exact_station_or_unit,https://gawbkt.id/storage/sbk/SBK%202019.pdf,pdf,pm25_ktb2,Kototabang||Bukit Kototabang||GAW Bukit Kototabang,BAM-1020||STASIUN PEMANTAU ATMOSFER GLOBAL||Kototabang,BAM 1020||BAM-1020||Beta Attenuation,kalibrasi,pemeliharaan||perawatan||pemeriksaan,sertifikat,operasional,Official GAW Bukit Kototabang publication. Use as station-unit BAM context only.
gaw_kototabang_sbk2010,GAW Bukit Kototabang Suara Bukit Kototabang 2010,official_station_unit_publication,exact_station_or_unit,https://gawbkt.id/storage/sbk/2010-vol%201%20Suara%20Bukit%20Kototabang.pdf,pdf,pm25_ktb2,Kototabang||Bukit Kototabang||GAW Bukit Kototabang,BAM 1020||belum dikalibrasi||Kototabang,BAM 1020||BAM-1020,belum dikalibrasi||kalibrasi,pemeliharaan||perawatan,sertifikat,operasional,Old GAW Bukit Kototabang publication with calibration-caution language. Use as historical context only.
unja_jambi_thesis_2025,Universitas Jambi thesis on PM2.5 at BMKG Sultan Thaha Jambi,academic_station_study,exact_station_or_unit,https://repository.unja.ac.id/86163/6/Full%20Tesis.pdf,pdf,pm25_jm3,Stasiun Meteorologi Kelas I Sultan Thaha Jambi||BMKG Jambi||Kota Jambi||Sultan Thaha,BAM-1020||BMKG Jambi||Stasiun Meteorologi Kelas I Sultan Thaha,BAM 1020||BAM-1020||Beta Attenuation Monitor,kalibrasi,pengamatan||mencatat,sertifikat,real-time||setiap jam,Academic station study. Use as public station-method context only; not an official certificate.
kesans_jambi_2025,KESANS article on ambient PM2.5 at BMKG Sultan Thaha Jambi,academic_station_study,exact_station_or_unit,https://kesans.rifainstitute.com/index.php/kesans/article/download/463/444/4518,pdf,pm25_jm3,Stasiun Meteorologi Kelas I Sultan Thaha Jambi||BMKG Sultan Thaha||BMKG Jambi||Kota Jambi,BMKG Sultan Thaha||BAM-1020||PM2.5,BAM 1020||BAM-1020||Beta Attenuation Monitor,kalibrasi,pengamatan||recording||continuous,sertifikat,every hour||24 hours,Academic article. Use as public station-method context only; not an official certificate.
megasains_sorong_2023,Megasains article on PM2.5 at Global Atmosphere Watch Sorong,station_journal_article,exact_station_or_unit,https://megasains.gawbkt.id/index.php/megasains/article/download/131/50,pdf,pm25_srg,Global Atmosphere Watch Sorong||GAW Sorong||Stasiun Pemantau Atmosfer Global Sorong||Sorong,BAM Met-One 1020||Global Atmosphere Watch Sorong||PM2.5,BAM Met-One 1020||BAM-1020||Beta Attenuation Monitor,kalibrasi,pengamatan||real-time||menetap,sertifikat,real-time||menetap,Station-journal article. Use as public station-method context only; not a certificate/status record.
brin_kalbar_lstm_2025,BRIN JSTMC article on PM2.5 at Stasiun Klimatologi Kalimantan Barat,peer_reviewed_station_study,station_unit_alias,https://ejournal.brin.go.id/JSTMC/article/download/4990/7015/26440,pdf,pm25_ptn2,Stasiun Klimatologi Kalimantan Barat||Kalimantan Barat||Mempawah,BAM 1020||Stasiun Klimatologi Kalimantan Barat||PM2.5,BAM 1020||BAM-1020||Beta Attenuation Monitor,kalibrasi,pengamatan||observasi,sertifikat,real-time,Peer-reviewed station study. Use as public station-unit method context only; station-code closure remains blocked.
jakarta_dlh_air_quality_2023,Jakarta environmental agency air-quality assessment naming BMKG Kemayoran,regulator_air_quality_report,city_or_station_area,https://lingkunganhidup.jakarta.go.id/uploads/images/galery/udara-2023-la_20250702130132.pdf,pdf,pm25_kmy3,BMKG Kemayoran||Kemayoran,BMKG: Kemayoran||Kalibrasi||PM2.5,BAM 1020||Beta Attenuation,kalibrasi,pemantauan||monitoring,sertifikat,operasional,Regulator report. Use as city/station-area context only; it does not give a BMKG station certificate.
bmkg_lakip_2015_pm25_expansion,BMKG 2015 performance report listing PM2.5 expansion locations,official_performance_report,city_or_deployment_context,https://content.bmkg.go.id/wp-content/uploads/Lakip-BMKG-2015.pdf,pdf,pm25_btm2||pm25_idp2||pm25_jm3||pm25_pl3||pm25_plb4,Kota Batam||Kab. Aceh Besar||Kota Jambi||Kota Palembang||Palembang,PM2.5||Kota Batam||Kota Jambi||Kota Palembang||Aceh Besar,PM2.5||pemantau partikulat,kalibrasi,pengamatan||observasi,sertifikat,operasional,Official BMKG performance report. Use as deployment-area context only; it does not identify current station certificate/status.
bmkg_kalbar_quality_page,BMKG Kalbar PM2.5 quality page,official_local_pm25_page,station_unit_alias,https://kalbar.bmkg.go.id/?page=kualitas-udara,html,pm25_ptn2||pm25_spd,Mempawah||Kubu Raya||Stasiun Klimatologi Kalimantan Barat,Grafik Maksimum Harian PM2.5||Grafik PM2.5 Per Jam||Kualitas Udara,PM2.5||Beta Attenuation Monitoring||metode penyinaran sinar beta,kalibrasi,pemantauan||pengukuran||per jam,sertifikat,kualitas udara||per jam,Official Kalbar PM2.5 page that names local PM2.5 station locations and method context. It is not a target-station certificate or calibration-status record.
