iso3,country,year,coverage_4g_pct,internet_use_pct,availability_use_gap_pp,coverage_source,coverage_note,internet_use_source,internet_use_note,coverage_data_id,internet_use_data_id,mobile_5gb_pct_gni,internet_use_rural_pct,internet_use_urban_pct,urban_rural_use_gap_pp
ARM,Armenia,2012,17.54,37.5,-19.96,ITU estimate.,,ITU estimate.,,7232162,5825101,,,,
AZE,Azerbaijan,2012,6.68,54.200001,-47.520001,ITU estimate.,,ITU estimate.,,7232166,5825105,,,,
HKG,"Hong Kong, China",2012,91.67,72.9,18.77,ITU estimate.,,Census and Statistics Department,,7232200,5825174,,,,
KAZ,Kazakhstan,2012,2.67,61.906627,-59.236627,ITU estimate.,,Agency of the Republic of Kazakhstan on Statistics.,,6622492,5825190,,,,
PAK,Pakistan,2012,0.0,8.1,-8.1,,,ITU estimate.,,6564373,5825240,,,,
PHL,Philippines,2012,6.0,30.799999,-24.799999,ITU estimate.,,ITU estimate.,,7232236,5825243,,,,
LKA,Sri Lanka,2012,5.0,9.0004,-4.0004,ITU estimate.,,ITU estimate.,,6621677,59465355,,,,
TJK,Tajikistan,2012,8.38,14.51,-6.13,ITU estimate.,,ITU estimate.,,7232244,5825275,,,,
ARM,Armenia,2013,44.0,41.9,2.1,Ministry of Transport and Communication of Armenia,,National Statistical Service,All population.,6684801,6226517,,,,
AZE,Azerbaijan,2013,14.31,73.000001,-58.690001,ITU estimate.,,State Statistical Committee of Azerbaijan Republic,Population age 7+.,7232165,6226518,,,,
BTN,Bhutan,2013,5.0,22.4,-17.4,ITU estimate.,,ITU estimate.,,6621668,6226532,,,,
BRN,Brunei Darussalam,2013,5.0,64.5,-59.5,ITU estimate.,,ITU estimate.,,7232176,6226531,,,,
CHN,China,2013,10.0,45.799999,-35.799999,ITU estimates.,,ITU estimate.,Permanent residents at the age of 6 or above. In the last 6 months. Based on CNNIC report.,7232179,6220323,,,,
GEO,Georgia,2013,8.86,43.3,-34.44,ITU estimate.,,National Statistics Office of Georgia,In the last 12 months.,6618604,6223996,,22.882125,64.816099,41.933974
HKG,"Hong Kong, China",2013,95.0,74.2,20.8,ITU estimate.,,Census and Statistics Department,,7232199,6223991,,,,
IDN,Indonesia,2013,5.0,14.94,-9.94,ITU estimate.,,BPS-Statistics Indonesia,,7232202,6223992,,,,
KAZ,Kazakhstan,2013,25.86,63.304224,-37.444224,ITU estimate.,,Agency of the Republic of Kazakhstan on Statistics.,,6622493,6226574,,,,
KIR,Kiribati,2013,10.0,11.5,-1.5,ITU estimate.,,ITU estimate.,,7232212,6226578,,,,
MYS,Malaysia,2013,15.0,57.057512,-42.057512,ITU estimate.,,Department of Statistics,,7232219,6213604,,,,
MDV,Maldives,2013,11.4,44.099998,-32.699998,ITU estimate.,,ITU estimate.,,7232220,6226594,,,,
PAK,Pakistan,2013,0.0,9.0,-9.0,,,ITU estimate. ,,6564372,6226615,,,,
PHL,Philippines,2013,27.0,32.700001,-5.700001,ITU estimate.,,ITU estimate.,,7232235,6226618,,,,
