iso3,gdis_id,disasterno,year,disastertype,adm1,adm2,latitude,longitude,distance_to_country_polygon_km,gross_mismatch
BGD,635,2012-0385,2012,storm,Chittagong,Noakhali,22.77206263,91.3135144,0.0,False
BGD,635,2012-0385,2012,storm,Chittagong,Noakhali,22.29159078,91.0654556,0.0,False
MMR,4421,2012-0417,2012,earthquake,Mandalay,Pyin-Oo-Lwin,22.907203,96.44764414,0.0,False
MMR,4421,2012-0417,2012,earthquake,Mandalay,Pyin-Oo-Lwin,22.55591955,96.11568647,0.0,False
MMR,4421,2012-0417,2012,earthquake,Mandalay,Pyin-Oo-Lwin,23.16641848,96.09296991,0.0,False
NPL,4472,2013-0456,2013,flood,Far-Western,Seti,29.11195352,81.30014326,0.0,False
NPL,4472,2013-0456,2013,flood,Far-Western,Mahakali,29.50751599,80.57209181,0.0,False
NPL,4472,2013-0456,2013,flood,Far-Western,Seti,29.70820322,81.18075245,0.0,False
NPL,4472,2013-0456,2013,flood,Mid-Western,Bheri,28.38364375,81.40425644,0.0,False
NPL,4472,2013-0456,2013,flood,Far-Western,Mahakali,29.22334552,80.49033885,0.0,False
NPL,4472,2013-0456,2013,flood,Mid-Western,Bheri,28.87977388,81.68258138,0.0,False
NPL,4472,2013-0456,2013,flood,Mid-Western,Rapti,27.96523787,82.41155673,0.0,False
NPL,4472,2013-0456,2013,flood,Far-Western,Mahakali,29.89156096,80.79208143,0.0,False
NPL,4472,2013-0456,2013,flood,East,Koshi,26.99110971,87.33355772,0.0,False
NPL,4472,2013-0456,2013,flood,Far-Western,Seti,29.17092607,80.89637748,0.0,False
NPL,4472,2013-0456,2013,flood,Mid-Western,Karnali,30.03342349,81.88132596,0.0,False
NPL,4472,2013-0456,2013,flood,East,Mechi,26.58512704,87.91632788,0.0,False
NPL,4472,2013-0456,2013,flood,Mid-Western,Karnali,29.19456533,81.7523238,0.0,False
NPL,4472,2013-0456,2013,flood,Far-Western,Mahakali,28.85918995,80.32494795,0.0,False
NPL,4472,2013-0456,2013,flood,East,Koshi,26.61669552,87.47181543,0.0,False
NPL,4472,2013-0456,2013,flood,East,Sagarmatha,27.32968995,86.42208086,0.0,False
NPL,4472,2013-0456,2013,flood,Mid-Western,Rapti,28.11603721,82.86655627,0.0,False
NPL,4472,2013-0456,2013,flood,Mid-Western,Rapti,28.3453962,82.63052622,0.0,False
NPL,4472,2013-0456,2013,flood,East,Sagarmatha,26.59782502,86.74921823,0.0,False
NPL,4472,2013-0456,2013,flood,East,Sagarmatha,27.71000485,86.72345995,0.0,False
NPL,4472,2013-0456,2013,flood,East,Koshi,26.65168012,87.17244306,0.0,False
NPL,4472,2013-0456,2013,flood,East,Mechi,27.58005501,87.82388638,0.0,False
NPL,4472,2013-0456,2013,flood,East,Sagarmatha,26.90192818,86.68457262,0.0,False
NPL,4473,2013-0576,2013,flood,East,Koshi,26.61669552,87.47181543,0.0,False
NPL,4473,2013-0576,2013,flood,East,Koshi,26.65168012,87.17244306,0.0,False
NPL,4474,2014-0246,2014,flood,Central,Bagmati,27.53712611,85.34406563,0.0,False
NPL,4474,2014-0246,2014,flood,Central,Bagmati,27.91463216,85.74159439,0.0,False
NPL,4476,2014-0272,2014,flood,Mid-Western,Bheri,28.08506134,81.82445332,0.0,False
NPL,4476,2014-0272,2014,flood,Mid-Western,Bheri,28.38364375,81.40425644,0.0,False
NPL,4476,2014-0272,2014,flood,Mid-Western,Rapti,27.96523787,82.41155673,0.0,False
NPL,4476,2014-0272,2014,flood,Mid-Western,Rapti,28.3959801,82.14174717,0.0,False
NPL,4476,2014-0272,2014,flood,Mid-Western,Bheri,28.64242717,81.58632356,0.0,False
NPL,4478,2015-0144,2015,earthquake,Central,Bagmati,27.94894272,84.95825539,0.0,False
NPL,4478,2015-0144,2015,earthquake,Central,Janakpur,27.78583782,86.20023138,0.0,False
NPL,4478,2015-0144,2015,earthquake,Central,Bagmati,27.72700863,85.34688669,0.0,False
NPL,4478,2015-0144,2015,earthquake,Central,Bagmati,27.53579501,85.62143163,0.0,False
NPL,4478,2015-0144,2015,earthquake,Central,Bagmati,27.53712611,85.34406563,0.0,False
NPL,4478,2015-0144,2015,earthquake,Central,Bagmati,27.91433609,85.23506275,0.0,False
NPL,4478,2015-0144,2015,earthquake,Central,Janakpur,27.51252127,86.17961506,0.0,False
NPL,4478,2015-0144,2015,earthquake,Central,Bagmati,28.18475101,85.41610352,0.0,False
NPL,4478,2015-0144,2015,earthquake,Central,Bagmati,27.91463216,85.74159439,0.0,False
NPL,4479,2015-0175,2015,earthquake,Central,Bagmati,27.91463216,85.74159439,0.0,False
PAK,4769,2013-0381,2013,earthquake,Baluchistan,Kalat,26.2668239,65.36172789,0.0,False
PAK,4769,2013-0381,2013,earthquake,Baluchistan,Makran,25.41622635,63.167094,0.0,False
PAK,4769,2013-0381,2013,earthquake,Baluchistan,Makran,26.01734455,63.07480738,0.0,False
PAK,4769,2013-0381,2013,earthquake,Baluchistan,Kalat,27.49908033,66.70188635,0.0,False
PAK,4769,2013-0381,2013,earthquake,Baluchistan,Makran,26.74728565,64.18793605,0.0,False
PAK,4772,2014-0343,2014,flood,Punjab,Gujranwala,32.72797249,73.96045675,0.0,False
PAK,4772,2014-0343,2014,flood,Punjab,Gujranwala,32.02659926,73.49610745,0.0,False
PAK,4772,2014-0343,2014,flood,Punjab,Gujranwala,32.43010166,74.49452872,0.0,False
NPL,4472,2013-0456,2013,flood,Far-Western,Seti,28.74158889,80.88083089,0.0,False
