iso3,country,events,events_per_year,affected,deaths,damage,population,pop_year,events_per_million
IDN,Indonesia,408,15.69,46989450,189700,33904319326.0,283487931,2024,1.439
MMR,Myanmar,62,2.7,10444213,144754,9457641871.0,54500091,2024,1.138
CHN,China,665,25.58,1771174061,115612,715643381558.0,1408975000,2024,0.472
IND,India,404,15.54,1146651046,90743,162630948683.0,1450935791,2024,0.278
PAK,Pakistan,159,6.12,102890514,89835,55559165731.0,251269164,2024,0.633
LKA,Sri Lanka,80,3.08,20787609,37995,5747500945.0,21916000,2024,3.65
PHL,Philippines,386,14.85,247376088,25811,33142454780.0,115843670,2024,3.332
AFG,Afghanistan,158,6.08,37013554,15121,466835903.0,42647492,2024,3.705
NPL,Nepal,80,3.08,15158926,14396,8565566146.0,29651054,2024,2.698
BGD,Bangladesh,146,5.62,181508696,11714,15133477144.0,173562364,2024,0.841
THA,Thailand,131,5.24,87693689,11543,69165431042.0,71668011,2024,1.828
VNM,Viet Nam,200,7.69,49724762,5867,30490164301.0,100987686,2024,1.98
PNG,Papua New Guinea,54,2.35,3810654,1333,252501461.0,10576502,2024,5.106
KHM,Cambodia,34,1.48,16105372,1076,2010385788.0,17638801,2024,1.928
MYS,Malaysia,81,3.52,3495667,438,4597738246.0,35557673,2024,2.278
TJK,Tajikistan,58,2.32,6419959,350,1890418432.0,10590927,2024,5.476
LAO,Lao PDR,32,1.68,4501961,322,920693743.0,7769819,2024,4.119
KGZ,Kyrgyzstan,26,1.44,2192014,240,23072964.0,7221868,2024,3.6
BTN,Bhutan,7,1.4,21530,234,0.0,791524,2024,8.844
MNG,Mongolia,30,2.0,5606015,205,239045027.0,3524788,2024,8.511
SLB,Solomon Islands,20,1.43,326834,189,39834550.0,819198,2024,24.414
WSM,Samoa,7,1.0,18287,170,365739431.0,218019,2024,32.107
FJI,Fiji,28,1.75,1505376,154,1346365249.0,928784,2024,30.147
KAZ,Kazakhstan,21,1.24,387552,124,354634967.0,20592571,2024,1.02
MDV,Maldives,4,1.0,31983,102,780720897.0,527799,2024,7.579
GEO,Georgia,25,1.32,1300622,80,1137156292.0,3699557,2024,6.758
FSM,"Micronesia, Fed. Sts.",9,1.12,267032,53,15430321.0,113160,2024,79.533
AZE,Azerbaijan,9,1.8,132293,50,294168944.0,10202830,2024,0.882
TLS,Timor-Leste,10,1.25,288039,49,29534702.0,1400638,2024,7.14
VUT,Vanuatu,26,1.62,1153288,44,697425172.0,327777,2024,79.322
UZB,Uzbekistan,6,1.0,671817,30,91082724.0,36361859,2024,0.165
TON,Tonga,12,1.2,225189,17,411050632.0,104175,2024,115.191
TKM,Turkmenistan,1,1.0,0,11,0.0,7494498,2024,0.133
ARM,Armenia,11,1.1,436615,9,315234680.0,3033500,2024,3.626
BRN,Brunei Darussalam,0,0.0,0,0,0.0,462721,2024,0.0
KIR,Kiribati,3,1.0,1805,0,0.0,134518,2024,22.302
MHL,Marshall Islands,8,1.14,66280,0,6485086.0,37548,2024,213.061
TUV,Tuvalu,4,1.0,20317,0,0.0,9646,2024,414.68
