iso3,country,rural_pct,population,flood_events_2000_2025,annual_flood_events,index_committed,index_reproduced,index_no_logpop,index_per_capita_per_million
IND,India,64.6,1450935791,205,8.2,48.55,48.53,5.2972,0.033447
IDN,Indonesia,41.2,283487931,215,8.6,29.98,29.95,3.5432,0.105648
CHN,China,34.1,1408975000,225,9.0,28.08,28.08,3.069,0.019929
AFG,Afghanistan,74.3,42647492,92,3.68,20.86,20.86,2.7342,0.489126
PAK,Pakistan,60.8,251269164,89,3.56,18.19,18.18,2.1645,0.072353
VNM,Viet Nam,61.5,100987686,86,3.44,16.94,16.93,2.1156,0.167644
PHL,Philippines,44.5,115843670,109,4.36,15.66,15.65,1.9402,0.135096
LKA,Sri Lanka,79.7,21916000,53,2.12,12.4,12.4,1.6896,0.565797
BGD,Bangladesh,67.3,173562364,46,1.84,10.21,10.2,1.2383,0.058769
THA,Thailand,38.1,71668011,76,3.04,9.11,9.1,1.1582,0.126974
MMR,Myanmar,69.6,54500091,30,1.2,6.46,6.46,0.8352,0.118532
TJK,Tajikistan,73.8,10590927,28,1.12,5.81,5.81,0.8266,0.548583
MYS,Malaysia,23.1,35557673,69,2.76,4.81,4.81,0.6376,0.135273
NPL,Nepal,33.2,29651054,38,1.52,3.77,3.77,0.5046,0.127146
KHM,Cambodia,59.1,17638801,21,0.84,3.6,3.6,0.4964,0.204096
PNG,Papua New Guinea,84.6,10576502,15,0.6,3.57,3.57,0.5076,0.337541
LAO,Lao PDR,60.4,7769819,19,0.76,3.17,3.16,0.459,0.406702
GEO,Georgia,38.9,3699557,17,0.68,1.74,1.74,0.2645,0.470327
KAZ,Kazakhstan,37.9,20592571,14,0.56,1.55,1.55,0.2122,0.07527
KGZ,Kyrgyz Republic,65.3,7221868,6,0.24,1.07,1.07,0.1567,0.148161
TLS,Timor-Leste,71.3,1400638,5,0.2,0.88,0.88,0.1426,0.628285
MNG,Mongolia,29.0,3524788,11,0.44,0.84,0.84,0.1276,0.238312
SLB,Solomon Islands,69.3,819198,5,0.2,0.82,0.82,0.1386,1.000979
FJI,Fiji,40.9,928784,7,0.28,0.68,0.68,0.1145,0.73214
UZB,Uzbekistan,49.0,36361859,3,0.12,0.44,0.44,0.0588,0.012101
BTN,Bhutan,57.4,791524,3,0.12,0.41,0.41,0.0689,0.517988
AZE,Azerbaijan,41.4,10202830,3,0.12,0.35,0.35,0.0497,0.034304
VUT,Vanuatu,77.7,327777,2,0.08,0.34,0.34,0.0622,1.037291
MDV,Maldives,58.0,527799,2,0.08,0.27,0.27,0.0464,0.511558
ARM,Armenia,34.2,3033500,2,0.08,0.18,0.18,0.0274,0.059337
WSM,Samoa,82.5,218019,1,0.04,0.18,0.18,0.033,0.825616
FSM,Micronesia,77.5,113160,1,0.04,0.16,0.16,0.031,1.413927
KIR,Kiribati,37.5,134518,2,0.08,0.15,0.15,0.03,1.115092
MHL,Marshall Islands,21.3,37548,2,0.08,0.08,0.08,0.017,2.130606
BRN,Brunei Darussalam,25.1,462721,0,0.0,0.0,0.0,0.0,0.0
HKG,"Hong Kong, China",0.0,7524100,0,0.0,0.0,0.0,0.0,0.0
NRU,Nauru,0.0,11947,0,0.0,0.0,0.0,0.0,0.0
PLW,Palau,20.8,17695,0,0.0,0.0,0.0,0.0,0.0
TON,Tonga,78.8,104175,0,0.0,0.0,0.0,0.0,0.0
TKM,Turkmenistan,52.9,7494498,0,0.0,0.0,0.0,0.0,0.0
TUV,Tuvalu,35.3,9646,0,0.0,0.0,0.0,0.0,0.0
