iso3,country,rural_pct,population,flood_events_2000_2025,flood_share_of_all_disasters,annual_flood_events,flood_market_access_index
IND,India,64.6,1450935791,205,0.507,8.2,48.55
IDN,Indonesia,41.2,283487931,215,0.527,8.6,29.98
CHN,China,34.1,1408975000,225,0.338,9.0,28.08
AFG,Afghanistan,74.3,42647492,92,0.582,3.68,20.86
PAK,Pakistan,60.8,251269164,89,0.56,3.56,18.19
VNM,Viet Nam,61.5,100987686,86,0.43,3.44,16.94
PHL,Philippines,44.5,115843670,109,0.282,4.36,15.66
LKA,Sri Lanka,79.7,21916000,53,0.662,2.12,12.4
BGD,Bangladesh,67.3,173562364,46,0.315,1.84,10.21
THA,Thailand,38.1,71668011,76,0.58,3.04,9.11
MMR,Myanmar,69.6,54500091,30,0.484,1.2,6.46
TJK,Tajikistan,73.8,10590927,28,0.483,1.12,5.81
MYS,Malaysia,23.1,35557673,69,0.852,2.76,4.81
NPL,Nepal,33.2,29651054,38,0.475,1.52,3.77
KHM,Cambodia,59.1,17638801,21,0.618,0.84,3.6
PNG,Papua New Guinea,84.6,10576502,15,0.278,0.6,3.57
LAO,Lao PDR,60.4,7769819,19,0.594,0.76,3.17
GEO,Georgia,38.9,3699557,17,0.68,0.68,1.74
KAZ,Kazakhstan,37.9,20592571,14,0.667,0.56,1.55
KGZ,Kyrgyz Republic,65.3,7221868,6,0.231,0.24,1.07
TLS,Timor-Leste,71.3,1400638,5,0.5,0.2,0.88
MNG,Mongolia,29.0,3524788,11,0.367,0.44,0.84
SLB,Solomon Islands,69.3,819198,5,0.25,0.2,0.82
FJI,Fiji,40.9,928784,7,0.25,0.28,0.68
UZB,Uzbekistan,49.0,36361859,3,0.5,0.12,0.44
BTN,Bhutan,57.4,791524,3,0.429,0.12,0.41
AZE,Azerbaijan,41.4,10202830,3,0.333,0.12,0.35
VUT,Vanuatu,77.7,327777,2,0.077,0.08,0.34
MDV,Maldives,58.0,527799,2,0.5,0.08,0.27
ARM,Armenia,34.2,3033500,2,0.182,0.08,0.18
WSM,Samoa,82.5,218019,1,0.143,0.04,0.18
FSM,Micronesia,77.5,113160,1,0.111,0.04,0.16
KIR,Kiribati,37.5,134518,2,0.667,0.08,0.15
MHL,Marshall Islands,21.3,37548,2,0.25,0.08,0.08
BRN,Brunei Darussalam,25.1,462721,0,0,0.0,0.0
HKG,"Hong Kong, China",0.0,7524100,0,0,0.0,0.0
NRU,Nauru,0.0,11947,0,0,0.0,0.0
PLW,Palau,20.8,17695,0,0,0.0,0.0
TON,Tonga,78.8,104175,0,0.0,0.0,0.0
TKM,Turkmenistan,52.9,7494498,0,0.0,0.0,0.0
TUV,Tuvalu,35.3,9646,0,0.0,0.0,0.0
