road_set,flood_buffer_m,population_snap_m,market_dedup_m,graph_nodes,graph_edges,cut_edges,cut_edge_length_km,markets_raw,markets_deduplicated,markets_snapped,markets_flooded,markets_functioning,population_in_analysis_extent,population_within_snap_distance,baseline_accessible_population,post_flood_accessible_population,disconnected_population,disconnected_share_pct,comparable_population,baseline_weighted_median_minutes,post_flood_weighted_median_minutes_reachable,weighted_median_increase_minutes_reachable,weighted_mean_increase_minutes_reachable,population_with_increase_ge_15m,share_comparable_with_increase_ge_15m_pct,population_with_increase_ge_30m,share_comparable_with_increase_ge_30m_pct,population_with_increase_ge_45m,share_comparable_with_increase_ge_45m_pct
core,10,500,50,38365,39562,7609,278.657,11,9,9,0,9,872292.581,852346.217,825663.83,504308.522,321355.307,38.921,504308.522,7.325,3.549,0.0,0.072,0.0,0.0,0.0,0.0,0.0,0.0
core,10,1000,50,38365,39562,7609,278.657,11,9,9,0,9,872292.581,869817.116,838223.524,504502.298,333721.225,39.813,504502.298,7.507,3.553,0.0,0.072,0.0,0.0,0.0,0.0,0.0,0.0
core,10,1500,50,38365,39562,7609,278.657,11,9,9,0,9,872292.581,871636.463,839889.152,504502.298,335386.854,39.932,504502.298,7.546,3.553,0.0,0.072,0.0,0.0,0.0,0.0,0.0,0.0
core,10,500,100,38365,39562,7609,278.657,11,8,8,0,8,872292.581,852346.217,825663.83,504308.522,321355.307,38.921,504308.522,7.365,3.646,0.0,0.073,0.0,0.0,0.0,0.0,0.0,0.0
core,10,1000,100,38365,39562,7609,278.657,11,8,8,0,8,872292.581,869817.116,838223.524,504502.298,333721.225,39.813,504502.298,7.554,3.649,0.0,0.073,0.0,0.0,0.0,0.0,0.0,0.0
core,10,1500,100,38365,39562,7609,278.657,11,8,8,0,8,872292.581,871636.463,839889.152,504502.298,335386.854,39.932,504502.298,7.575,3.649,0.0,0.073,0.0,0.0,0.0,0.0,0.0,0.0
core,10,500,150,38365,39562,7609,278.657,11,8,8,0,8,872292.581,852346.217,825663.83,504308.522,321355.307,38.921,504308.522,7.365,3.646,0.0,0.073,0.0,0.0,0.0,0.0,0.0,0.0
core,10,1000,150,38365,39562,7609,278.657,11,8,8,0,8,872292.581,869817.116,838223.524,504502.298,333721.225,39.813,504502.298,7.554,3.649,0.0,0.073,0.0,0.0,0.0,0.0,0.0,0.0
core,10,1500,150,38365,39562,7609,278.657,11,8,8,0,8,872292.581,871636.463,839889.152,504502.298,335386.854,39.932,504502.298,7.575,3.649,0.0,0.073,0.0,0.0,0.0,0.0,0.0,0.0
core,20,500,50,38365,39562,9553,341.315,11,9,9,0,9,872292.581,852346.217,825663.83,492399.967,333263.862,40.363,492399.967,7.325,3.438,0.0,0.149,0.0,0.0,0.0,0.0,0.0,0.0
core,20,1000,50,38365,39562,9553,341.315,11,9,9,0,9,872292.581,869817.116,838223.524,492505.279,345718.245,41.244,492505.279,7.507,3.438,0.0,0.149,0.0,0.0,0.0,0.0,0.0,0.0
core,20,1500,50,38365,39562,9553,341.315,11,9,9,0,9,872292.581,871636.463,839889.152,492505.279,347383.873,41.361,492505.279,7.546,3.438,0.0,0.149,0.0,0.0,0.0,0.0,0.0,0.0
core,20,500,100,38365,39562,9553,341.315,11,8,8,0,8,872292.581,852346.217,825663.83,492399.967,333263.862,40.363,492399.967,7.365,3.528,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
core,20,1000,100,38365,39562,9553,341.315,11,8,8,0,8,872292.581,869817.116,838223.524,492505.279,345718.245,41.244,492505.279,7.554,3.528,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
core,20,1500,100,38365,39562,9553,341.315,11,8,8,0,8,872292.581,871636.463,839889.152,492505.279,347383.873,41.361,492505.279,7.575,3.528,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
core,20,500,150,38365,39562,9553,341.315,11,8,8,0,8,872292.581,852346.217,825663.83,492399.967,333263.862,40.363,492399.967,7.365,3.528,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
core,20,1000,150,38365,39562,9553,341.315,11,8,8,0,8,872292.581,869817.116,838223.524,492505.279,345718.245,41.244,492505.279,7.554,3.528,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
core,20,1500,150,38365,39562,9553,341.315,11,8,8,0,8,872292.581,871636.463,839889.152,492505.279,347383.873,41.361,492505.279,7.575,3.528,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
core,30,500,50,38365,39562,11480,403.087,11,9,9,0,9,872292.581,852346.217,825663.83,481195.653,344468.177,41.72,481195.653,7.325,3.376,0.0,0.458,0.0,0.0,0.0,0.0,0.0,0.0
core,30,1000,50,38365,39562,11480,403.087,11,9,9,0,9,872292.581,869817.116,838223.524,481300.964,356922.559,42.581,481300.964,7.507,3.376,0.0,0.458,0.0,0.0,0.0,0.0,0.0,0.0
core,30,1500,50,38365,39562,11480,403.087,11,9,9,0,9,872292.581,871636.463,839889.152,481300.964,358588.188,42.695,481300.964,7.546,3.376,0.0,0.458,0.0,0.0,0.0,0.0,0.0,0.0
core,30,500,100,38365,39562,11480,403.087,11,8,8,0,8,872292.581,852346.217,825663.83,481195.653,344468.177,41.72,481195.653,7.365,3.485,0.0,0.456,0.0,0.0,0.0,0.0,0.0,0.0
core,30,1000,100,38365,39562,11480,403.087,11,8,8,0,8,872292.581,869817.116,838223.524,481300.964,356922.559,42.581,481300.964,7.554,3.486,0.0,0.456,0.0,0.0,0.0,0.0,0.0,0.0
core,30,1500,100,38365,39562,11480,403.087,11,8,8,0,8,872292.581,871636.463,839889.152,481300.964,358588.188,42.695,481300.964,7.575,3.486,0.0,0.456,0.0,0.0,0.0,0.0,0.0,0.0
core,30,500,150,38365,39562,11480,403.087,11,8,8,0,8,872292.581,852346.217,825663.83,481195.653,344468.177,41.72,481195.653,7.365,3.485,0.0,0.456,0.0,0.0,0.0,0.0,0.0,0.0
core,30,1000,150,38365,39562,11480,403.087,11,8,8,0,8,872292.581,869817.116,838223.524,481300.964,356922.559,42.581,481300.964,7.554,3.486,0.0,0.456,0.0,0.0,0.0,0.0,0.0,0.0
core,30,1500,150,38365,39562,11480,403.087,11,8,8,0,8,872292.581,871636.463,839889.152,481300.964,358588.188,42.695,481300.964,7.575,3.486,0.0,0.456,0.0,0.0,0.0,0.0,0.0,0.0
broad,10,500,50,44953,46304,11459,394.209,11,9,9,0,9,872292.581,867102.574,844558.465,507574.255,336984.21,39.901,507574.255,7.715,3.592,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0
broad,10,1000,50,44953,46304,11459,394.209,11,9,9,0,9,872292.581,872284.407,848861.732,507590.528,341271.204,40.203,507590.528,7.783,3.592,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0
broad,10,1500,50,44953,46304,11459,394.209,11,9,9,0,9,872292.581,872292.581,848869.906,507590.528,341279.378,40.204,507590.528,7.783,3.592,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0
broad,10,500,100,44953,46304,11459,394.209,11,8,8,0,8,872292.581,867102.574,844558.465,507574.255,336984.21,39.901,507574.255,7.761,3.68,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.0
broad,10,1000,100,44953,46304,11459,394.209,11,8,8,0,8,872292.581,872284.407,848861.732,507590.528,341271.204,40.203,507590.528,7.841,3.68,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.0
broad,10,1500,100,44953,46304,11459,394.209,11,8,8,0,8,872292.581,872292.581,848869.906,507590.528,341279.378,40.204,507590.528,7.841,3.68,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.0
broad,10,500,150,44953,46304,11459,394.209,11,8,8,0,8,872292.581,867102.574,844558.465,507574.255,336984.21,39.901,507574.255,7.761,3.68,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.0
broad,10,1000,150,44953,46304,11459,394.209,11,8,8,0,8,872292.581,872284.407,848861.732,507590.528,341271.204,40.203,507590.528,7.841,3.68,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.0
broad,10,1500,150,44953,46304,11459,394.209,11,8,8,0,8,872292.581,872292.581,848869.906,507590.528,341279.378,40.204,507590.528,7.841,3.68,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.0
broad,20,500,50,44953,46304,13609,460.609,11,9,9,0,9,872292.581,867102.574,844558.465,495158.054,349400.411,41.371,495158.054,7.715,3.468,0.0,0.172,0.0,0.0,0.0,0.0,0.0,0.0
broad,20,1000,50,44953,46304,13609,460.609,11,9,9,0,9,872292.581,872284.407,848861.732,495174.327,353687.405,41.666,495174.327,7.783,3.468,0.0,0.172,0.0,0.0,0.0,0.0,0.0,0.0
broad,20,1500,50,44953,46304,13609,460.609,11,9,9,0,9,872292.581,872292.581,848869.906,495174.327,353695.58,41.667,495174.327,7.783,3.468,0.0,0.172,0.0,0.0,0.0,0.0,0.0,0.0
broad,20,500,100,44953,46304,13609,460.609,11,8,8,0,8,872292.581,867102.574,844558.465,495158.054,349400.411,41.371,495158.054,7.761,3.56,0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0
