country,iso3,market_id,market,admin1,admin2,latitude,longitude,month,commodity,unit,retail_price_npr,retail_price_npr_year_earlier,rice_yoy_log_change_pct,old_calendar_month_median_anomaly_pct,precipitation_z_lag_0,temperature_z_lag_0,precipitation_z_lag_1,temperature_z_lag_1,precipitation_z_lag_3,temperature_z_lag_3,precipitation_z_lag_6,temperature_z_lag_6,price_spike_yoy_20pct,dry_lag_1,dry_aligned_price_spike,alignment_class
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2020-01,Rice (coarse),KG,40.0,40.0,0.0,-4.879,2.459,-1.6151,1.1079,-1.9321,-1.0303,-1.1613,0.969,0.2107,False,False,False,below_price_spike_threshold
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2020-01,Rice (coarse),KG,47.0,55.0,-15.7186,-6.1875,2.5804,-1.5212,1.3389,-2.0517,-0.8651,-1.1793,0.5498,0.5753,False,False,False,below_price_spike_threshold
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2020-02,Rice (coarse),KG,40.0,40.0,0.0,-9.531,1.554,-0.8758,2.459,-1.6151,-0.2954,1.3871,-1.4146,1.4782,False,False,False,below_price_spike_threshold
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2020-02,Rice (coarse),KG,47.0,47.0,0.0,-22.739,0.3548,-1.266,2.5804,-1.5212,2.5006,0.8497,-0.901,1.8447,False,False,False,below_price_spike_threshold
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2020-03,Rice (coarse),KG,42.0,40.0,4.879,-6.8993,0.8223,-1.4195,1.554,-0.8758,1.1079,-1.9321,0.2676,-1.6427,False,False,False,below_price_spike_threshold
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2020-03,Rice (coarse),KG,50.0,47.0,6.1875,-18.2322,-0.071,-1.3065,0.3548,-1.266,1.3389,-2.0517,0.6987,-1.6147,False,False,False,below_price_spike_threshold
Nepal,NPL,3887,Bhairahawa,Province No. 5,RUPANDEHI,27.5,83.44,2020-04,Rice (coarse),KG,41.0,36.0,13.0053,-2.4098,1.3146,-1.5846,1.471,-1.4857,2.2704,-1.2883,-0.741,-1.622,False,False,False,below_price_spike_threshold
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2020-04,Rice (coarse),KG,40.0,40.0,0.0,-18.2322,0.3204,-1.6853,0.8223,-1.4195,2.459,-1.6151,-1.0303,-1.1613,False,False,False,below_price_spike_threshold
Nepal,NPL,3852,Gamgadhi,Province No. 6,MUGU,29.53,82.17,2020-04,Rice (coarse),KG,55.0,60.0,-8.7011,-16.7054,1.8128,-1.4623,1.829,-1.4577,2.1978,-1.5817,-0.6007,-0.1071,False,False,False,below_price_spike_threshold
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2020-04,Rice (coarse),KG,55.0,47.0,15.7186,-8.7011,1.1343,-1.6903,-0.071,-1.3065,2.5804,-1.5212,-0.8651,-1.1793,False,False,False,below_price_spike_threshold
Nepal,NPL,3912,Mangalsen,Province No. 7,ACHHAM,29.1,81.23,2020-04,Rice (coarse),KG,48.0,43.0,11.0001,0.0,2.4964,-1.8719,1.8445,-1.6757,2.2565,-1.4195,-0.622,-0.6868,False,False,False,below_price_spike_threshold
Nepal,NPL,3913,Martadi,Province No. 7,BAJURA,29.43,81.5,2020-04,Rice (coarse),KG,49.0,45.0,8.5158,0.0,2.5787,-1.8059,1.8772,-1.6099,2.2396,-1.5748,-0.6398,-0.3756,False,False,False,below_price_spike_threshold
Nepal,NPL,3836,Narayanghat,Province No. 3,CHITAWAN,27.65,84.39,2020-04,Rice (coarse),KG,62.5,45.0,32.8504,18.3923,1.377,-1.7149,1.4663,-1.5097,2.3867,-1.4753,-0.7293,-1.7929,True,False,False,non_dry_price_spike
Nepal,NPL,3869,Phidim,Province No. 1,PANCHTHAR,27.12,87.8,2020-04,Rice (coarse),KG,42.0,40.0,4.879,-17.4353,0.3204,-1.6853,0.8223,-1.4195,2.459,-1.6151,-1.0303,-1.1613,False,False,False,below_price_spike_threshold
Nepal,NPL,3837,Baglung,Province No. 4,BAGLUNG,28.25,83.6,2020-05,Rice (coarse),KG,38.5,50.0,-26.1365,-35.6675,0.4931,-1.1027,1.2324,-1.535,-0.026,-0.7335,2.4672,1.2347,False,False,False,below_price_spike_threshold
Nepal,NPL,3887,Bhairahawa,Province No. 5,RUPANDEHI,27.5,83.44,2020-05,Rice (coarse),KG,41.0,35.0,15.8224,-7.0618,-0.1411,-0.7498,1.3146,-1.5846,0.739,-1.4259,2.0954,-0.0109,False,False,False,below_price_spike_threshold
Nepal,NPL,646,Biratnagar,Province No. 1,MORANG,26.45,87.28,2020-05,Rice (coarse),KG,42.0,42.0,0.0,-9.0972,-0.1949,-0.7724,0.4395,-1.7866,1.3085,-1.0039,-0.4845,0.7793,False,False,False,below_price_spike_threshold
Nepal,NPL,3874,Birgunj,Province No. 2,PARSA,27.08,84.9,2020-05,Rice (coarse),KG,42.5,42.0,1.1834,-25.7829,0.0759,-0.6386,1.3641,-2.03,0.5584,-1.5076,2.2804,0.2104,False,False,False,below_price_spike_threshold
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2020-05,Rice (coarse),KG,45.0,45.0,0.0,-2.1979,-0.3831,-0.7738,0.3204,-1.6853,1.554,-0.8758,-0.2954,1.3871,False,False,False,below_price_spike_threshold
Nepal,NPL,3852,Gamgadhi,Province No. 6,MUGU,29.53,82.17,2020-05,Rice (coarse),KG,60.0,60.0,0.0,-8.0043,1.8596,-1.2882,1.8128,-1.4623,1.2121,-0.6563,2.2857,0.9479,False,False,False,below_price_spike_threshold
Nepal,NPL,3878,Janakpurdham,Province No. 2,DHANUSHA,26.73,85.94,2020-05,Rice (coarse),KG,42.0,40.0,4.879,-23.2622,-0.4183,-0.4567,0.8114,-1.9102,0.9378,-1.3896,-0.2318,0.7725,False,False,False,below_price_spike_threshold
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2020-05,Rice (coarse),KG,39.33,47.0,-17.816,-24.0035,-0.3428,-0.7433,1.1343,-1.6903,0.3548,-1.266,2.5006,0.8497,False,False,False,below_price_spike_threshold
Nepal,NPL,3912,Mangalsen,Province No. 7,ACHHAM,29.1,81.23,2020-05,Rice (coarse),KG,45.5,44.0,3.3523,-5.3489,2.1536,-1.6204,2.4964,-1.8719,2.1708,-1.0634,2.3183,1.2286,False,False,False,below_price_spike_threshold
Nepal,NPL,3913,Martadi,Province No. 7,BAJURA,29.43,81.5,2020-05,Rice (coarse),KG,44.5,45.0,-1.1173,-11.6534,2.5354,-1.5624,2.5787,-1.8059,2.3652,-0.9242,2.3799,1.0538,False,False,False,below_price_spike_threshold
Nepal,NPL,3836,Narayanghat,Province No. 3,CHITAWAN,27.65,84.39,2020-05,Rice (coarse),KG,55.0,45.0,20.0671,0.0,0.2066,-0.9856,1.377,-1.7149,0.4046,-1.418,2.5094,-0.1324,True,False,False,non_dry_price_spike
Nepal,NPL,3869,Phidim,Province No. 1,PANCHTHAR,27.12,87.8,2020-05,Rice (coarse),KG,50.0,40.0,22.3144,0.0,-0.3831,-0.7738,0.3204,-1.6853,1.554,-0.8758,-0.2954,1.3871,True,False,False,non_dry_price_spike
Nepal,NPL,3837,Baglung,Province No. 4,BAGLUNG,28.25,83.6,2020-06,Rice (coarse),KG,45.0,50.0,-10.5361,-20.0671,0.252,-1.2508,0.4931,-1.1027,1.4526,-1.4975,1.5285,-1.6577,False,False,False,below_price_spike_threshold
Nepal,NPL,3887,Bhairahawa,Province No. 5,RUPANDEHI,27.5,83.44,2020-06,Rice (coarse),KG,42.0,35.0,18.2322,-6.8993,1.3626,-1.18,-0.1411,-0.7498,1.471,-1.4857,1.364,-1.6597,False,False,False,below_price_spike_threshold
Nepal,NPL,646,Biratnagar,Province No. 1,MORANG,26.45,87.28,2020-06,Rice (coarse),KG,45.0,40.0,11.7783,-2.1979,0.8263,-1.0802,-0.1949,-0.7724,1.8122,-1.6561,0.9471,-1.5419,False,False,False,below_price_spike_threshold
Nepal,NPL,3874,Birgunj,Province No. 2,PARSA,27.08,84.9,2020-06,Rice (coarse),KG,45.0,42.0,6.8993,-10.5361,1.7191,-1.3139,0.0759,-0.6386,1.0326,-1.5044,1.7061,-1.563,False,False,False,below_price_spike_threshold
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2020-06,Rice (coarse),KG,48.0,42.0,13.3531,-4.0822,0.4398,-1.1349,-0.3831,-0.7738,0.8223,-1.4195,1.1079,-1.9321,False,False,False,below_price_spike_threshold
Nepal,NPL,3852,Gamgadhi,Province No. 6,MUGU,29.53,82.17,2020-06,Rice (coarse),KG,57.5,60.0,-4.256,-12.2602,1.7593,-1.8484,1.8596,-1.2882,1.829,-1.4577,1.8235,-1.8373,False,False,False,below_price_spike_threshold
Nepal,NPL,3878,Janakpurdham,Province No. 2,DHANUSHA,26.73,85.94,2020-06,Rice (coarse),KG,50.0,40.0,22.3144,0.0,1.3891,-1.1635,-0.4183,-0.4567,0.8724,-1.5958,1.6266,-1.3333,True,False,False,non_dry_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2020-06,Rice (coarse),KG,45.0,47.0,-4.3485,-10.5361,0.6765,-1.2877,-0.3428,-0.7433,-0.071,-1.3065,1.3389,-2.0517,False,False,False,below_price_spike_threshold
Nepal,NPL,3912,Mangalsen,Province No. 7,ACHHAM,29.1,81.23,2020-06,Rice (coarse),KG,50.0,45.0,10.5361,0.0,1.1997,-1.5828,2.1536,-1.6204,1.8445,-1.6757,2.3348,-1.9105,False,False,False,below_price_spike_threshold
Nepal,NPL,3913,Martadi,Province No. 7,BAJURA,29.43,81.5,2020-06,Rice (coarse),KG,50.0,45.0,10.5361,-9.531,1.1223,-1.9181,2.5354,-1.5624,1.8772,-1.6099,2.3506,-1.7888,False,False,False,below_price_spike_threshold
Nepal,NPL,3836,Narayanghat,Province No. 3,CHITAWAN,27.65,84.39,2020-06,Rice (coarse),KG,50.0,45.0,10.5361,0.0,1.2071,-1.2284,0.2066,-0.9856,1.4663,-1.5097,1.4308,-1.7037,False,False,False,below_price_spike_threshold
Nepal,NPL,3869,Phidim,Province No. 1,PANCHTHAR,27.12,87.8,2020-06,Rice (coarse),KG,50.0,40.0,22.3144,-9.531,0.4398,-1.1349,-0.3831,-0.7738,0.8223,-1.4195,1.1079,-1.9321,True,False,False,non_dry_price_spike
Nepal,NPL,3837,Baglung,Province No. 4,BAGLUNG,28.25,83.6,2020-07,Rice (coarse),KG,45.0,50.0,-10.5361,-15.3016,0.1421,-1.1677,0.252,-1.2508,1.2324,-1.535,2.2921,-1.3629,False,False,False,below_price_spike_threshold
Nepal,NPL,3887,Bhairahawa,Province No. 5,RUPANDEHI,27.5,83.44,2020-07,Rice (coarse),KG,44.0,40.0,9.531,-1.1236,0.8418,-2.0823,1.3626,-1.18,1.3146,-1.5846,2.2704,-1.2883,False,False,False,below_price_spike_threshold
Nepal,NPL,646,Biratnagar,Province No. 1,MORANG,26.45,87.28,2020-07,Rice (coarse),KG,40.0,42.0,-4.879,-11.7783,1.4313,-1.8406,0.8263,-1.0802,0.4395,-1.7866,2.3802,-1.2796,False,False,False,below_price_spike_threshold
Nepal,NPL,3874,Birgunj,Province No. 2,PARSA,27.08,84.9,2020-07,Rice (coarse),KG,50.0,45.0,10.5361,4.1691,1.7827,-1.6842,1.7191,-1.3139,1.3641,-2.03,2.4824,-1.1141,False,False,False,below_price_spike_threshold
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2020-07,Rice (coarse),KG,45.0,45.0,0.0,-6.367,1.6584,-2.0848,0.4398,-1.1349,0.3204,-1.6853,2.459,-1.6151,False,False,False,below_price_spike_threshold
Nepal,NPL,3852,Gamgadhi,Province No. 6,MUGU,29.53,82.17,2020-07,Rice (coarse),KG,65.0,65.0,0.0,0.0,1.126,-1.9281,1.7593,-1.8484,1.8128,-1.4623,2.1978,-1.5817,False,False,False,below_price_spike_threshold
Nepal,NPL,3878,Janakpurdham,Province No. 2,DHANUSHA,26.73,85.94,2020-07,Rice (coarse),KG,56.0,42.0,28.7682,5.5238,1.8119,-1.6034,1.3891,-1.1635,0.8114,-1.9102,2.4403,-0.9682,True,False,False,non_dry_price_spike
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2020-07,Rice (coarse),KG,45.0,48.0,-6.4539,-8.495,1.4756,-2.051,0.6765,-1.2877,1.1343,-1.6903,2.5804,-1.5212,False,False,False,below_price_spike_threshold
Nepal,NPL,3912,Mangalsen,Province No. 7,ACHHAM,29.1,81.23,2020-07,Rice (coarse),KG,45.0,45.0,0.0,-3.2269,0.7433,-2.2321,1.1997,-1.5828,2.4964,-1.8719,2.2565,-1.4195,False,False,False,below_price_spike_threshold
Nepal,NPL,3913,Martadi,Province No. 7,BAJURA,29.43,81.5,2020-07,Rice (coarse),KG,60.0,45.0,28.7682,6.2026,0.9115,-2.0722,1.1223,-1.9181,2.5787,-1.8059,2.2396,-1.5748,True,False,False,non_dry_price_spike
Nepal,NPL,3836,Narayanghat,Province No. 3,CHITAWAN,27.65,84.39,2020-07,Rice (coarse),KG,50.0,46.0,8.3382,2.0411,1.0618,-2.1107,1.2071,-1.2284,1.377,-1.7149,2.3867,-1.4753,False,False,False,below_price_spike_threshold
Nepal,NPL,3869,Phidim,Province No. 1,PANCHTHAR,27.12,87.8,2020-07,Rice (coarse),KG,50.0,45.0,10.5361,0.0,1.6584,-2.0848,0.4398,-1.1349,0.3204,-1.6853,2.459,-1.6151,False,False,False,below_price_spike_threshold
Nepal,NPL,3837,Baglung,Province No. 4,BAGLUNG,28.25,83.6,2020-08,Rice (coarse),KG,43.0,55.0,-24.6133,-24.6133,-1.4225,0.4495,0.1421,-1.1677,0.4931,-1.1027,-0.026,-0.7335,False,False,False,below_price_spike_threshold
Nepal,NPL,3887,Bhairahawa,Province No. 5,RUPANDEHI,27.5,83.44,2020-08,Rice (coarse),KG,42.0,40.0,4.879,-9.0972,-1.4233,-0.5354,0.8418,-2.0823,-0.1411,-0.7498,0.739,-1.4259,False,False,False,below_price_spike_threshold
Nepal,NPL,646,Biratnagar,Province No. 1,MORANG,26.45,87.28,2020-08,Rice (coarse),KG,40.0,40.0,0.0,-22.3144,-0.3612,-0.1813,1.4313,-1.8406,-0.1949,-0.7724,1.3085,-1.0039,False,False,False,below_price_spike_threshold
Nepal,NPL,3874,Birgunj,Province No. 2,PARSA,27.08,84.9,2020-08,Rice (coarse),KG,59.0,45.0,27.0875,0.0,-1.2472,-0.9869,1.7827,-1.6842,0.0759,-0.6386,0.5584,-1.5076,True,False,False,non_dry_price_spike
Nepal,NPL,647,Dhankuta,Province No. 1,DHANKUTA,26.98,87.33,2020-08,Rice (coarse),KG,40.0,45.0,-11.7783,-30.0105,-0.3906,-0.0368,1.6584,-2.0848,-0.3831,-0.7738,1.554,-0.8758,False,False,False,below_price_spike_threshold
Nepal,NPL,3852,Gamgadhi,Province No. 6,MUGU,29.53,82.17,2020-08,Rice (coarse),KG,65.0,65.0,0.0,0.0,-1.4676,-0.4749,1.126,-1.9281,1.8596,-1.2882,1.2121,-0.6563,False,False,False,below_price_spike_threshold
Nepal,NPL,3878,Janakpurdham,Province No. 2,DHANUSHA,26.73,85.94,2020-08,Rice (coarse),KG,39.0,42.0,-7.4108,-32.5422,-0.6391,-1.2062,1.8119,-1.6034,-0.4183,-0.4567,0.9378,-1.3896,False,False,False,below_price_spike_threshold
Nepal,NPL,652,Kathmandu,Province No. 3,KATHMANDU,27.72,85.32,2020-08,Rice (coarse),KG,40.0,48.0,-18.2322,-22.3144,-1.5958,0.0438,1.4756,-2.051,-0.3428,-0.7433,0.3548,-1.266,False,False,False,below_price_spike_threshold
Nepal,NPL,3912,Mangalsen,Province No. 7,ACHHAM,29.1,81.23,2020-08,Rice (coarse),KG,47.0,45.0,4.3485,0.0,-1.2932,-0.5471,0.7433,-2.2321,2.1536,-1.6204,2.1708,-1.0634,False,False,False,below_price_spike_threshold
Nepal,NPL,3913,Martadi,Province No. 7,BAJURA,29.43,81.5,2020-08,Rice (coarse),KG,52.0,45.0,14.4581,-5.6089,-1.1964,-0.5974,0.9115,-2.0722,2.5354,-1.5624,2.3652,-0.9242,False,False,False,below_price_spike_threshold
Nepal,NPL,3836,Narayanghat,Province No. 3,CHITAWAN,27.65,84.39,2020-08,Rice (coarse),KG,40.0,46.0,-13.9762,-22.3144,-1.4266,-0.3825,1.0618,-2.1107,0.2066,-0.9856,0.4046,-1.418,False,False,False,below_price_spike_threshold
Nepal,NPL,3869,Phidim,Province No. 1,PANCHTHAR,27.12,87.8,2020-08,Rice (coarse),KG,35.0,45.0,-25.1314,-35.6675,-0.3906,-0.0368,1.6584,-2.0848,-0.3831,-0.7738,1.554,-0.8758,False,False,False,below_price_spike_threshold
Nepal,NPL,3837,Baglung,Province No. 4,BAGLUNG,28.25,83.6,2020-09,Rice (coarse),KG,50.0,51.0,-1.9803,-14.842,-1.0266,1.1463,-1.4225,0.4495,0.252,-1.2508,1.4526,-1.4975,False,True,False,below_price_spike_threshold
Nepal,NPL,3887,Bhairahawa,Province No. 5,RUPANDEHI,27.5,83.44,2020-09,Rice (coarse),KG,48.0,40.0,18.2322,0.0,-0.2303,-0.1904,-1.4233,-0.5354,1.3626,-1.18,1.471,-1.4857,False,True,False,below_price_spike_threshold
