iso3,country,plant_count,total_capacity_mw,total_generation_gwh_2017,generation_coverage,herfindahl_capacity,top_fuel_capacity,top_share_capacity,herfindahl_generation,top_fuel_generation,top_share_generation,herfindahl_delta
BTN,Bhutan,5,1482.2,5144.7,1.0,1.0,Hydro,1.0,1.0,Hydro,1.0,0.0
BRN,Brunei Darussalam,4,586.0,2600.1,1.0,1.0,Gas,1.0,1.0,Gas,1.0,0.0
NPL,Nepal,14,587.9,2120.4,1.0,0.9032,Hydro,0.949,0.9403,Hydro,0.9692,0.0371
MNG,Mongolia,8,904.0,4850.3,1.0,0.7971,Coal,0.8894,0.9191,Coal,0.9582,0.122
TJK,Tajikistan,10,5296.4,17054.9,0.885,0.7962,Hydro,0.8848,1.0,Hydro,1.0,0.2038
KAZ,Kazakhstan,33,18628.0,102839.9,1.0,0.7389,Coal,0.8518,0.8277,Coal,0.9068,0.0888
KGZ,Kyrgyzstan,8,3634.0,11595.4,0.986,0.6758,Hydro,0.8008,0.8063,Hydro,0.8913,0.1305
AFG,Afghanistan,9,300.6,828.1,0.86,0.6539,Hydro,0.7937,0.9146,Hydro,0.9553,0.2607
BGD,Bangladesh,57,11840.0,67875.4,1.0,0.5959,Gas,0.7405,0.7425,Gas,0.8533,0.1466
THA,Thailand,196,39654.3,171568.4,0.998,0.5612,Gas,0.7303,0.5843,Gas,0.7381,0.0231
GEO,Georgia,19,3831.4,11222.4,1.0,0.5604,Hydro,0.6737,0.5074,Hydro,0.561,-0.053
TKM,Turkmenistan,7,3454.0,4638.5,0.341,0.5503,Oil,0.6587,,,,
MMR,Myanmar,35,3987.1,16023.5,0.959,0.538,Hydro,0.6835,0.5314,Hydro,0.6344,-0.0066
LAO,Lao PDR,20,4986.9,11765.4,0.623,0.5305,Hydro,0.6234,,,,
UZB,Uzbekistan,16,12640.0,55732.7,1.0,0.5091,Gas,0.6786,0.7487,Gas,0.8592,0.2396
FJI,Fiji,12,317.4,493.4,0.69,0.4949,Hydro,0.6585,,,,
CHN,China,4235,1415067.4,6193117.7,1.0,0.4948,Coal,0.6754,0.5905,Coal,0.7519,0.0957
KHM,Cambodia,16,1517.6,2205.0,0.649,0.4712,Hydro,0.599,,,,
IND,India,1589,316088.5,1276120.1,0.997,0.4548,Coal,0.6483,0.5858,Coal,0.7548,0.131
ARM,Armenia,8,3271.0,15524.0,1.0,0.4487,Gas,0.5903,0.5985,Gas,0.7522,0.1498
IDN,Indonesia,178,48751.4,228510.1,0.972,0.4408,Coal,0.6017,0.5465,Coal,0.6986,0.1057
MYS,Malaysia,55,28794.5,164656.6,1.0,0.4232,Gas,0.4629,0.4818,Coal,0.5633,0.0586
AZE,Azerbaijan,14,5764.0,21753.1,1.0,0.3739,Oil,0.4164,0.7201,Gas,0.8405,0.3462
PNG,Papua New Guinea,15,406.9,556.6,0.406,0.3194,Hydro,0.4055,,,,
VNM,Viet Nam,236,41350.5,178034.3,0.999,0.3178,Hydro,0.4051,0.3324,Coal,0.3951,0.0146
LKA,Sri Lanka,48,3720.1,15537.0,1.0,0.315,Hydro,0.3875,0.3193,Oil,0.3609,0.0043
TWN,Taiwan,39,37211.9,139986.2,0.686,0.2769,Coal,0.3813,,,,
PHL,Philippines,123,20719.3,102711.3,0.999,0.2528,Coal,0.4214,0.3623,Coal,0.5357,0.1095
PAK,Pakistan,62,21455.0,72401.9,0.787,0.2347,Hydro,0.3724,,,,
