iso3,year,outcome_indicator,outcome_label,outcome_value,tasmax,tr,txx,tasmax_anomaly,txx_anomaly,tr_anomaly,herfindahl_generation,herfindahl_capacity,generation_coverage,top_fuel_generation
AFG,2008,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),74.01392365,12.69,122.8,29.45,0.17433333333333145,0.7783333333333324,11.190666666666658,0.9146,0.6539,0.86,Hydro
AFG,2014,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),70.39202881,12.31,113.35,29.15,-0.20566666666666755,0.4783333333333317,1.7406666666666553,0.9146,0.6539,0.86,Hydro
ARM,2009,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),40.95186234,6.44,17.34,20.61,-0.17966666666666598,-1.7289999999999992,-8.798666666666666,0.5985,0.4487,1.0,Gas
ARM,2013,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),34.37602997,6.68,20.29,20.97,0.06033333333333335,-1.3689999999999998,-5.8486666666666665,0.5985,0.4487,1.0,Gas
ARM,2020,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),62.70960617,7.21,27.21,23.17,0.5903333333333336,0.8310000000000031,1.0713333333333352,0.5985,0.4487,1.0,Gas
AZE,2009,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),32.13889313,12.37,84.59,28.63,0.11966666666666548,0.4376666666666651,-8.611999999999995,0.7201,0.3739,1.0,Gas
AZE,2013,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),16.26239777,12.51,91.8,26.56,0.25966666666666605,-1.6323333333333352,-1.402000000000001,0.7201,0.3739,1.0,Gas
AZE,2019,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),27.64216423,13.03,100.2,28.25,0.7796666666666656,0.05766666666666609,6.998000000000005,0.7201,0.3739,1.0,Gas
BGD,2007,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),99.19158173,25.26,307.35,32.56,-0.08800000000000097,0.8253333333333366,-2.491999999999962,0.7425,0.5959,1.0,Gas
BGD,2013,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),73.39476013,25.29,311.42,31.71,-0.05800000000000338,-0.024666666666664838,1.5780000000000314,0.7425,0.5959,1.0,Gas
BGD,2022,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),71.35041046,25.8,308.5,31.57,0.4519999999999982,-0.1646666666666654,-1.3419999999999845,0.7425,0.5959,1.0,Gas
BTN,2009,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),27.72193718,10.14,46.16,18.2,0.5489999999999995,0.5016666666666652,3.4496666666666655,1.0,1.0,1.0,Hydro
BTN,2015,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),44.19436646,9.67,44.63,18.0,0.07899999999999885,0.30166666666666586,1.9196666666666715,1.0,1.0,1.0,Hydro
CHN,2012,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),33.69294739,6.63,80.37,23.91,-0.5750000000000002,-0.4269999999999996,0.8449999999999989,0.5905,0.4948,1.0,Coal
FJI,2009,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),81.82831573,23.93,353.37,27.16,-0.4209999999999994,-0.14833333333333343,-2.6416666666666515,,,,
FSM,2009,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),85.15315247,27.14,365.0,28.63,0.037333333333332774,0.019333333333335645,-0.2666666666666515,,,,
GEO,2008,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),41.36986923,8.0,40.96,23.65,-0.05966666666666676,-0.012666666666667936,-0.727333333333327,0.5074,0.5604,1.0,Hydro
GEO,2013,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),27.10400009,8.21,35.2,21.61,0.1503333333333341,-2.052666666666667,-6.487333333333325,0.5074,0.5604,1.0,Hydro
GEO,2019,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),54.13935089,9.12,47.82,23.77,1.0603333333333325,0.10733333333333306,6.1326666666666725,0.5074,0.5604,1.0,Hydro
IDN,2009,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),45.10002136,25.32,350.4,27.56,0.16900000000000048,0.21533333333333005,0.6056666666666501,0.5465,0.4408,0.972,Coal
IDN,2015,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),22.48666191,25.48,351.96,27.83,0.3290000000000006,0.4853333333333296,2.1656666666666524,0.5465,0.4408,0.972,Coal
IND,2014,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),55.40771484,24.22,290.61,33.98,0.009333333333330529,0.19200000000000017,-4.178333333333285,0.5858,0.4548,0.997,Coal
IND,2022,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),19.90651894,24.49,294.89,33.77,0.2793333333333301,-0.017999999999993577,0.10166666666668789,0.5858,0.4548,0.997,Coal
KAZ,2009,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),37.70889282,6.95,68.36,28.97,-0.09533333333333349,-1.167666666666669,-12.495000000000005,0.8277,0.7389,1.0,Coal
KAZ,2013,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),36.45517349,8.2,81.26,28.5,1.1546666666666656,-1.637666666666668,0.40500000000000114,0.8277,0.7389,1.0,Coal
KAZ,2019,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),17.07787704,7.82,81.01,31.03,0.7746666666666666,0.8923333333333332,0.15500000000000114,0.8277,0.7389,1.0,Coal
KGZ,2009,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),46.75483704,0.31,8.31,15.45,-0.25099999999999995,-1.6240000000000023,-2.157,0.8063,0.6758,0.986,Hydro
KGZ,2013,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),71.87057495,1.06,11.49,18.29,0.4990000000000001,1.2159999999999975,1.0229999999999997,0.8063,0.6758,0.986,Hydro
KGZ,2019,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),43.13409805,1.12,11.87,17.69,0.5590000000000002,0.6159999999999997,1.4029999999999987,0.8063,0.6758,0.986,Hydro
KHM,2013,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),83.01652527,27.57,363.28,32.69,0.14866666666666717,0.9119999999999955,-1.1643333333333317,,,,
KHM,2016,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),35.31053925,28.13,365.19,33.16,0.7086666666666659,1.3819999999999943,0.7456666666666933,,,,
LAO,2009,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),1.097382665,23.08,295.84,28.08,0.02699999999999747,-0.4876666666666658,1.5089999999999577,,,,
LAO,2012,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),88.74881744,23.51,312.27,28.26,0.45700000000000074,-0.30766666666666254,17.938999999999965,,,,
LAO,2016,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),51.91915131,23.61,301.17,29.65,0.5569999999999986,1.0823333333333345,6.838999999999999,,,,
LAO,2018,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),78.51509857,23.27,302.14,28.35,0.21699999999999875,-0.21766666666666268,7.808999999999969,,,,
LKA,2011,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),76.36943817,26.5,362.67,29.2,-0.09933333333333394,-0.5536666666666683,-0.45966666666663514,0.3193,0.315,1.0,Oil
MMR,2014,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),94.25601959,23.89,297.19,30.05,0.32833333333333314,0.15666666666666984,4.617333333333306,0.5314,0.538,0.959,Hydro
MMR,2016,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),94.91378021,23.95,297.92,30.9,0.38833333333333186,1.0066666666666677,5.347333333333324,0.5314,0.538,0.959,Hydro
MNG,2009,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),54.13521576,1.39,38.5,24.92,-0.1036666666666668,-0.945999999999998,-1.6153333333333322,0.9191,0.7971,1.0,Coal
MNG,2013,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),38.53334045,1.67,35.62,23.67,0.17633333333333323,-2.195999999999998,-4.495333333333335,0.9191,0.7971,1.0,Coal
MNG,2019,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),13.31155396,2.07,43.35,24.88,0.5763333333333331,-0.9860000000000007,3.2346666666666692,0.9191,0.7971,1.0,Coal
MYS,2015,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),18.92833138,25.84,364.41,28.35,0.3100000000000023,0.4140000000000015,0.35000000000002274,0.4818,0.4232,1.0,Coal
MYS,2019,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),28.55016327,26.15,364.62,28.57,0.620000000000001,0.6340000000000003,0.5600000000000023,0.4818,0.4232,1.0,Coal
NPL,2009,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),98.66731262,13.23,121.19,22.41,0.549666666666667,0.37466666666666626,4.433333333333337,0.9403,0.9032,1.0,Hydro
NPL,2013,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),62.82440567,12.71,117.95,21.61,0.029666666666667396,-0.42533333333333445,1.1933333333333422,0.9403,0.9032,1.0,Hydro
PAK,2007,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),93.56370544,20.76,218.69,34.29,0.14600000000000435,0.3026666666666671,2.140666666666675,,,,
PAK,2013,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),81.11640167,20.66,217.92,33.73,0.04600000000000293,-0.2573333333333352,1.370666666666665,,,,
PAK,2022,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),50.6760025,21.38,227.86,34.07,0.7660000000000018,0.08266666666666822,11.310666666666691,,,,
PHL,2009,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),55.3530426,25.91,359.28,28.33,0.013333333333335418,-0.17533333333333445,-0.8919999999999959,0.3623,0.2528,0.999,Coal
PHL,2015,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),39.85921097,26.14,359.38,28.83,0.24333333333333584,0.32466666666666555,-0.7919999999999732,0.3623,0.2528,0.999,Coal
PNG,2015,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),97.65036011,23.55,295.57,26.12,0.06900000000000261,0.31566666666666876,-0.5869999999999891,,,,
SLB,2015,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),88.79659271,26.3,365.0,28.07,0.158333333333335,0.20099999999999696,-0.25666666666671745,,,,
THA,2016,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),8.595376968,26.96,355.18,32.96,0.5773333333333319,1.6283333333333339,1.4916666666666742,0.5843,0.5612,0.998,Gas
TJK,2008,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),58.37228012,0.35,39.82,18.68,0.13833333333333334,1.2143333333333324,4.683666666666667,1.0,0.7962,0.885,Hydro
TJK,2013,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),60.77629852,0.89,39.07,19.18,0.6783333333333333,1.7143333333333324,3.9336666666666673,1.0,0.7962,0.885,Hydro
TJK,2019,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),32.1697731,1.01,38.33,18.49,0.7983333333333333,1.024333333333331,3.1936666666666653,1.0,0.7962,0.885,Hydro
TLS,2009,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),74.62509918,24.7,362.36,27.64,0.10699999999999932,0.2716666666666683,0.3350000000000364,,,,
TLS,2015,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),40.03065872,24.57,362.15,27.92,-0.022999999999999687,0.5516666666666694,0.125,,,,
TLS,2021,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),33.48143005,25.06,364.9,27.81,0.46699999999999875,0.44166666666666643,2.875,,,,
TON,2009,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),96.97647095,24.31,363.88,27.96,-0.45700000000000074,0.10833333333333428,-0.07333333333332348,,,,
UZB,2008,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),52.900177,13.19,136.32,35.06,-0.2406666666666677,1.00266666666667,5.250333333333316,0.7487,0.5091,1.0,Gas
UZB,2013,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),43.57548904,14.38,138.51,33.87,0.9493333333333336,-0.1873333333333349,7.440333333333314,0.7487,0.5091,1.0,Gas
UZB,2019,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),35.77058411,14.49,129.26,35.7,1.059333333333333,1.6426666666666705,-1.8096666666666863,0.7487,0.5091,1.0,Gas
VNM,2009,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),49.47504425,23.94,304.56,29.35,0.0070000000000014495,-0.4676666666666627,2.8279999999999745,0.3324,0.3178,0.999,Coal
VNM,2015,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),26.30457687,24.59,310.72,30.77,0.657,0.9523333333333355,8.988,0.3324,0.3178,0.999,Coal
VUT,2009,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),74.05239105,24.88,364.5,27.86,-0.16266666666666652,0.2729999999999997,-0.10300000000000864,,,,
WSM,2009,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),86.36319733,25.39,365.0,27.18,-0.09933333333333394,0.05266666666666353,-0.2666666666666515,,,,
AFG,2014,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,615.0,12.31,113.35,29.15,-0.20566666666666755,0.4783333333333317,1.7406666666666553,0.9146,0.6539,0.86,Hydro
AFG,2015,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,1825.0,12.96,114.92,28.86,0.4443333333333328,0.18833333333333258,3.3106666666666626,0.9146,0.6539,0.86,Hydro
ARM,2014,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,5.49,7.45,32.09,23.04,0.8303333333333338,0.7010000000000005,5.951333333333338,0.5985,0.4487,1.0,Gas
ARM,2015,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,4.44,7.39,36.05,23.56,0.7703333333333333,1.221,9.911333333333332,0.5985,0.4487,1.0,Gas
ARM,2016,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,3.52,6.52,25.38,22.34,-0.09966666666666679,0.0010000000000012221,-0.7586666666666666,0.5985,0.4487,1.0,Gas
ARM,2017,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,3.8,6.81,37.59,23.45,0.19033333333333324,1.1110000000000007,11.451333333333338,0.5985,0.4487,1.0,Gas
ARM,2018,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,3.7,8.32,33.2,24.34,1.700333333333334,2.0010000000000012,7.061333333333337,0.5985,0.4487,1.0,Gas
ARM,2019,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,10.86,7.45,30.71,22.89,0.8303333333333338,0.5510000000000019,4.571333333333335,0.5985,0.4487,1.0,Gas
AZE,2014,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,1.07,12.99,106.28,28.85,0.7396666666666665,0.6576666666666675,13.078000000000003,0.7201,0.3739,1.0,Gas
AZE,2015,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,1.0,12.82,103.36,28.99,0.5696666666666665,0.7976666666666645,10.158000000000001,0.7201,0.3739,1.0,Gas
AZE,2016,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,0.97,12.18,92.89,28.08,-0.07033333333333402,-0.11233333333333562,-0.3119999999999976,0.7201,0.3739,1.0,Gas
AZE,2017,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,0.96,12.55,97.77,28.9,0.29966666666666697,0.7076666666666647,4.567999999999998,0.7201,0.3739,1.0,Gas
AZE,2018,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,0.87,13.37,101.35,30.07,1.1196666666666655,1.8776666666666664,8.147999999999996,0.7201,0.3739,1.0,Gas
AZE,2019,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,0.86,13.03,100.2,28.25,0.7796666666666656,0.05766666666666609,6.998000000000005,0.7201,0.3739,1.0,Gas
BRN,2014,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,2.7,26.25,364.96,29.29,-0.07866666666666688,0.7126666666666637,-0.2960000000000491,1.0,1.0,1.0,Gas
BRN,2015,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,1.8,26.55,365.0,28.85,0.22133333333333383,0.27266666666666595,-0.25600000000002865,1.0,1.0,1.0,Gas
BRN,2016,IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,0.6,26.97,366.0,29.31,0.641333333333332,0.7326666666666632,0.7439999999999714,1.0,1.0,1.0,Gas
