indicator_id,indicator_name,short_label,group,adb_dmcs_with_latest,observations_global,observations_adb,latest_year_span,data_url,metadata_url,data_sha256,metadata_sha256,data_fetch_mode,metadata_fetch_mode
IC.ELC.OUTG,Power outages in firms in a typical month (number),Outages per firm/month (new series),catalog_no_adb_rows,0,0,0,,https://api.worldbank.org/v2/country/all/indicator/IC.ELC.OUTG?format=json&per_page=20000,https://api.worldbank.org/v2/indicator/IC.ELC.OUTG?format=json,531cfc2a89937bfd09e7b2a4aeac3a5c55b79767ee4dd60ae770fd3629115f38,6d44c1c26c37e9da8f9fbc72ab2ac69798343650329fdd4f850a05b60e7031fd,live,live
IC.ELC.OUTG.DY,Electrical outages (days),Electrical outage days,catalog_no_adb_rows,0,0,0,,https://api.worldbank.org/v2/country/all/indicator/IC.ELC.OUTG.DY?format=json&per_page=20000,https://api.worldbank.org/v2/indicator/IC.ELC.OUTG.DY?format=json,531cfc2a89937bfd09e7b2a4aeac3a5c55b79767ee4dd60ae770fd3629115f38,9ddce341d1d4162f0bf43e6fb0fdd0febb174545bb17a29f6ae781cea4a4d289,live,live
IC.ELC.OUTG.HR,Average duration of power outages (hours),Average outage duration hours (new series),catalog_no_adb_rows,0,86,0,,https://api.worldbank.org/v2/country/all/indicator/IC.ELC.OUTG.HR?format=json&per_page=20000,https://api.worldbank.org/v2/indicator/IC.ELC.OUTG.HR?format=json,45cd33c8df5c868f0d78471f7687d879f3315cd64703a4413214103b1eacb92b,fd10265f10f678fa3af49bdbf291ebca60d133c152e20a672ed61c1539028461,live,live
IC.ELC.OUTG.ZS,Firms experiencing electrical outages (% of firms),Firms with electrical outages,firm_outage,37,493,97,2009-2025,https://api.worldbank.org/v2/country/all/indicator/IC.ELC.OUTG.ZS?format=json&per_page=20000,https://api.worldbank.org/v2/indicator/IC.ELC.OUTG.ZS?format=json,81aa262f8e2d47cf108460e806d679144e654147729e74a4524e21e3df47c866,4dfb6539dcd83434c5f0aeb19d5277c12d348b48833026fbd27d9903aec28ca0,live,live
IC.FRM.OUTG.ZS,Value lost due to electrical outages (% of sales for affected firms),Sales lost to outages,firm_outage,37,493,97,2009-2025,https://api.worldbank.org/v2/country/all/indicator/IC.FRM.OUTG.ZS?format=json&per_page=20000,https://api.worldbank.org/v2/indicator/IC.FRM.OUTG.ZS?format=json,a71f32daa90693b38ecedabc530010a2e4724ad796a46ef0ff5f153a2095feb6,e71f302cde95f6f2e46e4d1be61f9fe31e4af3a2a5dd6549c000beb6dec413c0,live,live
IC.FRM.INFRA.IN16,Percent of firms experiencing electrical outages,Firms with electrical outages (legacy),enterprise_survey_legacy,32,293,62,2009-2020,https://api.worldbank.org/v2/country/all/indicator/IC.FRM.INFRA.IN16?format=json&per_page=20000,https://api.worldbank.org/v2/indicator/IC.FRM.INFRA.IN16?format=json,4e08b71dff3f1ff023b8bc4adfe0d93bbde87763c001ccfac54369d528389ed5,c929f45c5599b47c5f561b03707615834aed830311e77790d15af9266b59d4e0,live,live
IC.FRM.INFRA.IN2,Number of electrical outages in a typical month,Outages per month (legacy),enterprise_survey_legacy,32,293,62,2009-2020,https://api.worldbank.org/v2/country/all/indicator/IC.FRM.INFRA.IN2?format=json&per_page=20000,https://api.worldbank.org/v2/indicator/IC.FRM.INFRA.IN2?format=json,9ecbc7160d8d4da52419a71d979cb3e380116227fd4c9b50f4f5874caca178fb,0f9b60f9100ef3320adf775ecbb74abe0c8d5d29e5ad5196292d1fb90bbf1630,live,live
IC.FRM.INFRA.IN3_C,"If there were outages, average duration of a typical electrical outage (hours)",Typical outage duration hours (legacy),enterprise_survey_legacy,32,292,61,2009-2020,https://api.worldbank.org/v2/country/all/indicator/IC.FRM.INFRA.IN3_C?format=json&per_page=20000,https://api.worldbank.org/v2/indicator/IC.FRM.INFRA.IN3_C?format=json,c2bbc83fe605049e84fefec40e3afcc32b27a68e4c799f344f91b93a08680eff,b4647447fec1c63174d8a8051d002fc80db1fbdd1382c0ab26e0095744f6163b,live,live
IC.FRM.INFRA.IN4_C,"If there were outages, average losses due to electrical outages (% of annual sales)",Sales lost to outages (legacy),enterprise_survey_legacy,32,292,61,2009-2020,https://api.worldbank.org/v2/country/all/indicator/IC.FRM.INFRA.IN4_C?format=json&per_page=20000,https://api.worldbank.org/v2/indicator/IC.FRM.INFRA.IN4_C?format=json,fa2725bfaa10f98e106b38643f8ea720c2ad1398a3927aadc105731a48c003b0,fc4816693689ea966b2166f343790db1820b69773dfd0dfe6f365acc30d9a238,live,live
IC.ELC.SAID.XD.DB1619,Getting electricity: System average interruption duration index (SAIDI) (DB16-20 methodology),"SAIDI, Doing Business method",doing_business,32,925,200,2015-2019,https://api.worldbank.org/v2/country/all/indicator/IC.ELC.SAID.XD.DB1619?format=json&per_page=20000,https://api.worldbank.org/v2/indicator/IC.ELC.SAID.XD.DB1619?format=json,17459366ddbfef909d08ea7859bcf9227fd3c4b04dd3c2e7dada5f145531fbf3,2a24cbe073ac7b25dcb5bb63c751e51274773d50573b7eea10fb14f6e172c46a,live,live
