iso3,country,year,admin_level,total_pop,urban_cell_pop,embedded_urban_pop,admin_units,rural_units,rural_units_with_urban_pop,embedded_share_of_urban_cell_pop_pct
AFG,Afghanistan,1975,2,12159268.109051174,7508324.201552099,707822.6520610973,328.0,210.0,71.0,9.427172203283101
AZE,Azerbaijan,1975,2,5889038.989347715,4123322.6135462923,526806.9524936882,79.0,37.0,30.0,12.776272968866829
BGD,Bangladesh,1975,2,74551288.72178914,64595177.67438476,305186.3038455965,64.0,3.0,3.0,0.4724598876157566
BRN,Brunei Darussalam,1975,2,159559.46241560596,97114.86038383887,9656.36986938887,39.0,24.0,4.0,9.943246410716984
BTN,Bhutan,1975,2,390550.7128890381,80220.37800593679,3737.19383410737,205.0,199.0,2.0,4.658658967962973
CHN,China,1975,2,919738644.9384457,685124406.9485527,17345034.581398513,368.0,44.0,39.0,2.5316620464086
FJI,Fiji,1975,2,572521.7580858296,240272.52641031813,110186.89685259962,15.0,14.0,4.0,45.85913275179506
FSM,Micronesia,1975,2,64720.10441666769,9376.11943693855,0.0,74.0,73.0,0.0,0.0
GEO,Georgia,1975,2,4969694.448718997,3235154.5336293043,415429.1852475179,69.0,38.0,29.0,12.841092471136937
IDN,Indonesia,1975,2,131015782.44747745,107047356.91204008,3627768.558680489,502.0,170.0,110.0,3.388938002141796
IND,India,1975,2,623578980.3780062,407315971.6071833,60310660.85490416,676.0,277.0,258.0,14.806848996598625
KAZ,Kazakhstan,1975,2,13161509.093147736,8419047.264626851,1493984.4198428865,174.0,110.0,95.0,17.745290801727112
KGZ,Kyrgyz Republic,1975,2,3265066.4306844496,2308496.5947695016,98625.17679394216,44.0,16.0,8.0,4.272268671195058
KHM,Cambodia,1975,2,6730325.287478929,2568480.2967236405,854776.8981598242,202.0,152.0,64.0,33.2794804480369
LAO,Lao PDR,1975,2,3018964.6168683483,511567.473738609,176231.05923742635,142.0,134.0,26.0,34.44923070450596
LKA,Sri Lanka,1975,2,13643769.739196874,9730854.420549808,548442.342447471,323.0,143.0,72.0,5.636117022666168
MMR,Myanmar,1975,2,30346831.707280613,26134632.539187398,1544681.5013541132,63.0,45.0,38.0,5.910477214622976
MNG,Mongolia,1975,2,1485688.5931090964,731231.4487252285,1207.88855773257,327.0,300.0,6.0,0.16518553186385898
MYS,Malaysia,1975,2,11613207.577442368,7816710.097316121,769571.4474131636,144.0,70.0,49.0,9.84520901801638
NPL,Nepal,1975,2,13927088.307841837,7715548.005051944,1745617.1145113453,14.0,10.0,10.0,22.624667922075783
PAK,Pakistan,1975,2,68122249.32197131,39286428.56324169,8296755.868844995,32.0,15.0,14.0,21.11863096817064
PHL,Philippines,1975,2,41885194.78653588,27934716.314085107,1836760.207893834,1647.0,1135.0,347.0,6.575188332833406
PNG,Papua New Guinea,1975,2,2780267.1396073964,473599.48371254944,136458.48341367114,87.0,78.0,20.0,28.813055779531727
SLB,Solomon Islands,1975,2,194002.4593780024,15144.758429105512,705.27830083482,183.0,171.0,1.0,4.656913506651922
THA,Thailand,1975,2,40900942.64474412,18415185.775440957,6581605.444605621,928.0,673.0,401.0,35.74009800858511
TJK,Tajikistan,1975,2,3482898.175456548,2152582.5101310257,303289.6321322201,59.0,33.0,21.0,14.089570583464377
TKM,Turkmenistan,1975,2,2522492.1437661555,1394991.5493970036,358551.5085041756,58.0,39.0,22.0,25.70277279881461
TLS,Timor-Leste,1975,2,600089.3307885921,114465.23802930163,35164.20249987813,62.0,60.0,7.0,30.72042054451199
TON,Tonga,1975,2,92839.71133292746,57526.362776150956,8943.37919630483,11.0,7.0,2.0,15.546575108712661
TWN,"Taipei,China",1975,2,16546662.201135416,15350268.110257575,0.0,22.0,0.0,0.0,0.0
UZB,Uzbekistan,1975,2,13979986.380521175,10488960.462945256,466764.56240242644,161.0,51.0,33.0,4.4500555040833945
VNM,Viet Nam,1975,2,46938822.08994934,33366583.225363653,2511998.1613488365,710.0,288.0,168.0,7.528484844799265
VUT,Vanuatu,1975,2,101217.36526013292,9097.781145514686,98.5302258059382,63.0,61.0,1.0,1.0830138055641707
WSM,Samoa,1975,2,154463.19885100878,72398.36437219194,621.058756224811,43.0,28.0,1.0,0.8578353414616068
AFG,Afghanistan,1980,2,12488820.295638725,7746120.876359808,810391.8220788435,328.0,210.0,81.0,10.461905191178436
AZE,Azerbaijan,1980,2,6342933.89797062,4529462.151953378,495412.93982727337,79.0,34.0,29.0,10.937566607408815
BGD,Bangladesh,1980,2,83768612.35614863,74910669.73361282,375726.4136792779,64.0,3.0,3.0,0.5015659518402189
BRN,Brunei Darussalam,1980,2,187739.21628248098,123692.38492432653,5620.744732184337,39.0,22.0,2.0,4.544131585483649
BTN,Bhutan,1980,2,454559.46205148194,99561.35174703406,3663.068569764495,205.0,196.0,4.0,3.67920734852178
CHN,China,1980,2,987498361.5130042,744889188.9695238,16063232.253773391,368.0,38.0,33.0,2.156459308530869
FJI,Fiji,1980,2,640607.7510016158,280574.85465262394,44148.20776990801,15.0,13.0,4.0,15.73491246197644
FSM,Micronesia,1980,2,73505.31259289088,11538.4132052558,0.0,74.0,73.0,0.0,0.0
GEO,Georgia,1980,2,5144894.271290329,3375170.997603354,478363.76370916015,69.0,40.0,33.0,14.173023057167692
IDN,Indonesia,1980,2,147912344.74362314,120807816.4017762,4531405.228031412,502.0,169.0,115.0,3.75092056374987
IND,India,1980,2,696878419.125224,469969634.419261,58860232.64904211,676.0,258.0,240.0,12.52426291791711
KAZ,Kazakhstan,1980,2,14175813.315563561,9131621.875349134,1704505.268264659,174.0,110.0,98.0,18.665964179550414
KGZ,Kyrgyz Republic,1980,2,3596279.385748929,2572514.6336810496,171031.0406446527,44.0,18.0,11.0,6.648399134659997
KHM,Cambodia,1980,2,6200201.143605432,2266123.471723846,761220.7052575918,202.0,155.0,69.0,33.59131639365304
LAO,Lao PDR,1980,2,3303840.882644397,593452.2276766638,207110.5701172862,142.0,133.0,31.0,34.89928261422388
LKA,Sri Lanka,1980,2,14922127.234047301,11081679.749661488,473548.43578940176,323.0,121.0,66.0,4.273255016270139
MMR,Myanmar,1980,2,33465486.500049107,27263923.401043013,2197702.9477522885,63.0,39.0,34.0,8.060846252481083
MNG,Mongolia,1980,2,1697770.7638987836,871456.2787971996,1082.9960722783583,327.0,297.0,5.0,0.12427428645911301
MYS,Malaysia,1980,2,13208955.834977457,9034469.160325537,771908.8013024776,144.0,68.0,50.0,8.544041576812063
NPL,Nepal,1980,2,15601651.418228835,8770699.868555421,2688988.515137857,14.0,10.0,10.0,30.658767891241805
PAK,Pakistan,1980,2,80618702.36453195,49044416.055332415,8795997.4093778,32.0,13.0,13.0,17.934758157695395
PHL,Philippines,1980,2,47881448.506374955,32911790.99193217,2158677.3582662656,1647.0,1020.0,376.0,6.558978691847651
PNG,Papua New Guinea,1980,2,3088740.7697902275,563696.9242625522,170759.15823070044,87.0,78.0,21.0,30.292724845730444
SLB,Solomon Islands,1980,2,229165.27260988488,23129.71395749552,623.980645372765,183.0,170.0,1.0,2.697744756028662
THA,Thailand,1980,2,45727703.60167546,20739405.08940528,7102755.680363356,928.0,673.0,433.0,34.24763463437915
TJK,Tajikistan,1980,2,4046677.870248945,2637931.599209801,348149.521130531,59.0,30.0,20.0,13.197822158649606
TKM,Turkmenistan,1980,2,2858392.462966089,1664392.4777310882,275570.1417948399,58.0,33.0,19.0,16.556800483170836
TLS,Timor-Leste,1980,2,642170.3974356472,144012.68233624747,52144.602518178515,62.0,60.0,10.0,36.20834059352418
TON,Tonga,1980,2,96076.63085939185,54617.30872745441,9661.29430438206,11.0,8.0,2.0,17.689070606889185
TWN,"Taipei,China",1980,2,18093569.628229976,16848973.15563097,79146.0100450376,22.0,1.0,1.0,0.46973788440387426
UZB,Uzbekistan,1980,2,16038412.93303229,12175093.231552813,489933.17116465577,161.0,47.0,34.0,4.0240609402066125
VNM,Viet Nam,1980,2,52933033.39185468,39179410.225237004,2374825.6459820615,710.0,258.0,158.0,6.061412441712414
VUT,Vanuatu,1980,2,117216.24262899374,13588.659554684531,557.042517671129,63.0,59.0,1.0,4.099319108183081
WSM,Samoa,1980,2,164011.82049839816,82722.3747305422,3966.135061678006,43.0,28.0,4.0,4.794513062030914
AFG,Afghanistan,1985,2,10515361.279968414,6166299.976519927,619102.9056892096,328.0,218.0,70.0,10.04010359610517
AZE,Azerbaijan,1985,2,6848139.37222861,4931833.540588045,530404.4399832861,79.0,32.0,28.0,10.754710912648598
