member,suffix,compressed_bytes,uncompressed_bytes,crc32
GHSL_Data_Package_2023.pdf,.pdf,13589731,15139500,e8a0d094
GHS_DUC_GLOBE_R2023A_V2_0.xlsx,.xlsx,880816,894707,1f87efc8
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_1975_level0.csv,.csv,40578,83839,36331e33
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_1975_level1.csv,.csv,511985,1142916,85195bea
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_1975_level2.csv,.csv,4884201,11802049,9e9bea5a
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_1975_level3.csv,.csv,9789578,28309566,d276f8a2
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_1975_level4.csv,.csv,9075213,28064368,b48a5ebe
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_1975_level5.csv,.csv,2509860,8325846,1e585d37
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_1980_level0.csv,.csv,40908,84475,ee7791ab
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_1980_level1.csv,.csv,518819,1154593,949a124e
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_1980_level2.csv,.csv,4969152,11962220,32ff6968
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_1980_level3.csv,.csv,10023824,28828525,a0999bbb
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_1980_level4.csv,.csv,9333536,28637529,2524a06b
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_1980_level5.csv,.csv,2508605,8430695,b9159710
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_1985_level0.csv,.csv,41177,84903,f63d55a5
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_1985_level1.csv,.csv,526536,1165823,63f93135
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_1985_level2.csv,.csv,5056747,12129215,5b6d119d
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_1985_level3.csv,.csv,10256619,29394479,1fa3d9d5
GHS_DUC_GLOBE_R2023A_V2_0_GADM41_1985_level4.csv,.csv,9524148,29106047,dfbf1d51
