iso2,iso3,name,subregion,population_year,population,rural_share_year,rural_share,land_area_year,land_area_sq_km,adm0_status,adm1_status,adm1_units,source_readiness_score,impact_priority_score,scale_priority_score,next_pipeline_mode,blocker_notes
IN,IND,India,South Asia,2024,1450935791,2024,64.62,2023,2973190,available,available,36,100,87,93,admin1_screening_candidate,
BD,BGD,Bangladesh,South Asia,2024,173562364,2024,67.32,2023,129980,available,available,8,100,81,90,admin1_screening_candidate,
PK,PAK,Pakistan,South Asia,2024,251269164,2024,60.83,2023,770880,available,available,7,100,80,89,admin1_screening_candidate,
AF,AFG,Afghanistan,South Asia,2024,42647492,2024,74.3,2023,652230,available,available,34,100,79,88,admin1_screening_candidate,
MM,MMR,Myanmar,Southeast Asia,2024,54500091,2024,69.55,2023,652670,available,available,14,100,78,88,admin1_screening_candidate,
PG,PNG,Papua New Guinea,The Pacific,2024,10576502,2024,84.59,2023,452860,available,available,22,100,79,88,admin1_screening_candidate,
LK,LKA,Sri Lanka,South Asia,2024,21916000,2024,79.7,2023,61860,available,available,9,100,79,88,admin1_screening_candidate,
CN,CHN,"China, People's Republic of",East Asia,2024,1408975000,2024,34.11,2023,9388210,available,available,34,100,76,87,admin1_screening_candidate,
VN,VNM,Viet Nam,Southeast Asia,2024,100987686,2024,61.51,2023,313429,available,available,64,100,77,87,admin1_screening_candidate,
ID,IDN,Indonesia,Southeast Asia,2024,283487931,2024,41.25,2023,1892555.47,available,available,34,100,74,86,admin1_screening_candidate,
TJ,TJK,Tajikistan,Central and West Asia,2024,10590927,2024,73.82,2023,138790,available,available,5,100,75,86,admin1_screening_candidate,
PH,PHL,Philippines,Southeast Asia,2024,115843670,2024,44.55,2023,298170,available,available,17,100,72,85,admin1_screening_candidate,
KH,KHM,Cambodia,Southeast Asia,2024,17638801,2024,59.13,2023,176520,available,available,25,100,71,84,admin1_screening_candidate,
KG,KGZ,Kyrgyz Republic,Central and West Asia,2024,7221868,2024,65.28,2023,191800,available,available,7,100,71,84,admin1_screening_candidate,
UZ,UZB,Uzbekistan,Central and West Asia,2024,36361859,2024,49,2023,440650,available,available,14,100,70,84,admin1_screening_candidate,
LA,LAO,Lao People's Democratic Republic,Southeast Asia,2024,7769819,2024,60.44,2023,230800,available,available,18,100,69,83,admin1_screening_candidate,
TH,THA,Thailand,Southeast Asia,2024,71668011,2024,38.13,2023,510890,available,available,77,100,68,82,admin1_screening_candidate,
TL,TLS,Timor-Leste,Southeast Asia,2024,1400638,2024,71.34,2023,14870,available,available,13,100,68,82,admin1_screening_candidate,
TM,TKM,Turkmenistan,Central and West Asia,2024,7494498,2024,52.91,2023,469930,available,available,6,100,67,82,admin1_screening_candidate,
WS,WSM,Samoa,The Pacific,2024,218019,2024,82.5,2023,2780,available,available,11,100,66,81,admin1_screening_candidate,
SB,SLB,Solomon Islands,The Pacific,2024,819198,2024,69.34,2023,27990,available,available,10,100,66,81,admin1_screening_candidate,
VU,VUT,Vanuatu,The Pacific,2024,327777,2024,77.71,2023,12190,available,available,6,100,66,81,admin1_screening_candidate,
AZ,AZE,Azerbaijan,Central and West Asia,2024,10202830,2024,41.43,2023,82650,available,available,2,100,63,80,admin1_screening_candidate,
KZ,KAZ,Kazakhstan,Central and West Asia,2024,20592571,2024,37.93,2023,2699700,available,available,16,100,64,80,admin1_screening_candidate,
NP,NPL,Nepal,South Asia,2024,29651054,2024,33.23,2023,143350,available,available,7,100,64,80,admin1_screening_candidate,
TO,TON,Tonga,The Pacific,2024,104175,2024,78.85,2023,720,available,available,5,100,63,80,admin1_screening_candidate,
BT,BTN,Bhutan,South Asia,2024,791524,2024,57.44,2023,38140,available,available,20,100,61,79,admin1_screening_candidate,
KR,KOR,"Korea, Republic of",East Asia,2024,51751065,2024,18.83,2023,97600,available,available,17,100,61,79,admin1_screening_candidate,
MY,MYS,Malaysia,Southeast Asia,2024,35557673,2024,23.08,2023,328550,available,available,16,100,61,79,admin1_screening_candidate,
FM,FSM,"Micronesia, Federated States of",The Pacific,2024,113160,2024,77.54,2023,700,available,available,4,100,62,79,admin1_screening_candidate,
GE,GEO,Georgia,Central and West Asia,2024,3699557,2024,38.92,2023,69490,available,available,12,100,60,78,admin1_screening_candidate,
MV,MDV,Maldives,South Asia,2024,527799,2024,58,2023,298,available,available,21,100,60,78,admin1_screening_candidate,
JP,JPN,Japan,East Asia,2024,123975371,2024,7.81,2023,364569.27,available,available,47,100,59,77,admin1_screening_candidate,
TR,TUR,Türkiye,Central and West Asia,2024,85518661,2024,10.66,2023,769630,available,available,81,100,59,77,admin1_screening_candidate,
AM,ARM,Armenia,Central and West Asia,2024,3033500,2024,34.19,2023,28199.44,available,available,11,100,57,76,admin1_screening_candidate,
AU,AUS,Australia,The Pacific,2024,27196812,2024,12.4,2023,7692020,available,available,9,100,56,76,admin1_screening_candidate,
FJ,FJI,Fiji,The Pacific,2024,928784,2024,40.92,2023,18270,available,available,4,100,56,76,admin1_screening_candidate,
MN,MNG,Mongolia,East Asia,2024,3524788,2024,29.04,2023,1558499.786,available,available,22,100,56,76,admin1_screening_candidate,
NZ,NZL,New Zealand,The Pacific,2024,5287500,2024,16.06,2023,263310,available,available,17,100,53,74,admin1_screening_candidate,
KI,KIR,Kiribati,The Pacific,2024,134518,2024,37.54,2023,810,available,available,3,100,49,72,admin1_screening_candidate,
BN,BRN,Brunei Darussalam,Southeast Asia,2024,462721,2024,25.1,2023,5270,available,available,4,100,48,71,admin1_screening_candidate,
SG,SGP,Singapore,Southeast Asia,2024,6036860,2024,0,2023,718,available,available,5,100,47,71,admin1_screening_candidate,
TV,TUV,Tuvalu,The Pacific,2024,9646,2024,35.27,2023,30,available,available,8,100,40,67,admin1_screening_candidate,
MH,MHL,Marshall Islands,The Pacific,2024,37548,2024,21.27,2023,180,available,available,24,100,39,66,admin1_screening_candidate,
PW,PLW,Palau,The Pacific,2024,17695,2024,20.79,2023,460,available,available,16,100,37,65,admin1_screening_candidate,
NR,NRU,Nauru,The Pacific,2024,11947,2024,0,2023,20,available,available,14,100,28,60,admin1_screening_candidate,
HK,HKG,"Hong Kong, China",East Asia,2024,7524100,2024,0,2023,1050,error,error,,45,48,47,national_screening_candidate,No geoBoundaries ADM1 metadata
NU,NIU,Niue,The Pacific,,,,,,,available,available,14,55,12,31,source_review_required,No latest World Bank population value; No latest World Bank rural-share value; No latest World Bank land-area value
TW,TWN,"Taipei,China",East Asia,,,,,,,available,available,22,55,12,31,source_review_required,"No latest World Bank population value; No latest World Bank rural-share value; No latest World Bank land-area value; World Bank WDI coverage may not include Taipei,China"
CK,COK,Cook Islands,The Pacific,,,,,,,available,error,,15,12,13,source_review_required,No latest World Bank population value; No latest World Bank rural-share value; No latest World Bank land-area value; No geoBoundaries ADM1 metadata
