iso2,iso3,name,subregion,status,population_year,population,public_locations,pm25_locations,pm10_locations,no2_locations,o3_locations,people_per_public_location,people_per_pm25_location,pm25_exposure_year,pm25_exposure_ugm3,pm25_above_who_guideline_5_ugm3,population_in_above_guideline_pm25_economy,population_with_no_public_pm25_monitor,pm25_observability_gap_score,pm25_observability_status,who_city_pm25_cities,who_city_pm25_mean,who_city_pm25_median,who_city_pm25_max,who_city_pm25_latest_year,who_city_pm25_above_guideline_share,wdi_minus_who_city_pm25_mean,who_highest_pm25_city,unknown_freshness
AF,AFG,Afghanistan,South Asia,computed,2024,42647492,2,2,0,0,0,21323746,21323746,2020,46.0870936659706,true,42647492,,100,sparse_public_pm25_monitoring,1,119.77,119.77,119.77,2019,100,-73.68,Kabul/AFG (119.77),2
AM,ARM,Armenia,Central and West Asia,computed,2024,3033500,77,77,0,0,0,39396,39396,2020,30.5796334750125,true,3033500,,57,public_pm25_monitoring_present,0,,,,,,,,77
AU,AUS,Australia,The Pacific,computed,2024,27196812,320,299,225,84,77,84990,90959,2020,8.25171746070811,true,27196812,,16,public_pm25_monitoring_present,71,7.38,7.37,17.2,2019,73.2,0.87,Armidale/AUS (17.2),320
AZ,AZE,Azerbaijan,Central and West Asia,computed,2024,10202830,1,1,0,0,0,10202830,10202830,2020,21.7269999756599,true,10202830,,75,sparse_public_pm25_monitoring,0,,,,,,,,1
BD,BGD,Bangladesh,South Asia,computed,2024,173562364,20,20,1,0,1,8678118,8678118,2020,42.3813762359965,true,173562364,,100,sparse_public_pm25_monitoring,9,72.73,72.45,102.7,2019,100,-30.35,Narayangonj/BGD (102.7),20
BT,BTN,Bhutan,South Asia,computed,2024,791524,16,16,0,0,0,49470,49470,2020,23.9456576369223,true,791524,,45,public_pm25_monitoring_present,0,,,,,,,,16
BN,BRN,Brunei Darussalam,Southeast Asia,computed,2024,462721,0,0,0,0,0,,,2020,7.59726503432135,true,462721,462721,49,no_public_pm25_monitor,0,,,,,,,,0
KH,KHM,Cambodia,Southeast Asia,computed,2024,17638801,27,27,0,0,0,653289,653289,2020,24.1436022803452,true,17638801,,49,public_pm25_monitoring_present,24,20.08,19,37,2021,95.8,4.06,Siem Reap/KHM (37),27
CK,COK,Cook Islands,The Pacific,computed,,,0,0,0,0,0,,,,,,,,,no_population,0,,,,,,,,0
CN,CHN,"China, People's Republic of",East Asia,computed,2024,1408975000,1881,1880,1857,1848,1851,749056,749455,2020,34.8105237153218,true,1408975000,,70,public_pm25_monitoring_present,1104,36.81,35.68,120.35,2020,100,-2,Hotan/CHN (120.35),1881
FJ,FJI,Fiji,The Pacific,computed,2024,928784,0,0,0,0,0,,,2020,12.4187981716598,true,928784,928784,58,no_public_pm25_monitor,1,8.1,8.1,8.1,2015,100,4.32,Suva/FJI (8.1),0
GE,GEO,Georgia,Central and West Asia,computed,2024,3699557,2,2,0,0,0,1849779,1849779,2020,17.0438421058507,true,3699557,,45,public_pm25_monitoring_present,1,20,20,20,2017,100,-2.96,Tbilisi/GEO (20),2
HK,HKG,"Hong Kong, China",East Asia,computed,2024,7524100,25,25,14,14,14,300964,300964,,,,,,,no_pm25_exposure,0,,,,,,,,25
IN,IND,India,South Asia,computed,2024,1450935791,723,713,651,669,642,2006827,2034973,2020,48.3948115195574,true,1450935791,,79,public_pm25_monitoring_present,131,50.45,34.93,220.41,2020,100,-2.06,Bhiwadi/IND (220.41),723
ID,IDN,Indonesia,Southeast Asia,computed,2024,283487931,39,35,11,0,1,7268921,8099655,2020,17.8814994983985,true,283487931,,68,sparse_public_pm25_monitoring,9,22.74,20.69,42.65,2021,100,-4.86,Jakarta/IDN (42.65),39
JP,JPN,Japan,East Asia,computed,2024,123975371,1624,1131,3,1470,0,76340,109616,2020,12.835201662985,true,123975371,,25,public_pm25_monitoring_present,24,10.65,10.64,18,2019,100,2.19,Chiyoda/JPN (18),1624
KZ,KAZ,Kazakhstan,Central and West Asia,computed,2024,20592571,202,202,2,0,0,101943,101943,2020,20.0278724259165,true,20592571,,38,public_pm25_monitoring_present,1,21.77,21.77,21.77,2019,100,-1.74,Astana/KAZ (21.77),202
