country_name,iso3,admin1_code,admin1_name,population_year,population,population_source,health_facilities,schools,markets,total_services,people_per_health_facility,people_per_school,people_per_market,total_mapped_services_per_million,service_load_score,osm_completeness_risk_score,access_stress_index,bottleneck,service_query_mode,osm_timestamp,centroid_lat,centroid_lon,approx_area_sq_km
Philippines,PHL,PH-00,NCR,2020,13484462,"Philippine Statistics Authority, 2020 Census of Population and Housing",1094,1859,305,3258,12326,7254,44211,241.61,31.3,3.4,33,heat stress,osm_area_iso3166_2,2026-04-11T23:06:11Z,14.568488,121.020755,601.52
Philippines,PHL,PH-01,Ilocos Region,2020,5301139,"Philippine Statistics Authority, 2020 Census of Population and Housing",307,3142,130,3579,17268,1687,40778,675.14,17.7,0,24,heat stress,osm_area_iso3166_2,2026-04-23T05:59:36Z,17.134497,120.363161,12362.07
Philippines,PHL,PH-02,Cagayan Valley,2020,3685744,"Philippine Statistics Authority, 2020 Census of Population and Housing",168,2757,73,2998,21939,1337,50490,813.4,22.6,0,27,heat stress,osm_area_iso3166_2,2026-04-11T23:06:11Z,18.438087,121.648745,26418.78
Philippines,PHL,PH-03,Central Luzon,2020,12422172,"Philippine Statistics Authority, 2020 Census of Population and Housing",1139,4336,261,5736,10906,2865,47595,461.75,16.1,0,24,heat stress,osm_area_iso3166_2,2026-04-23T06:00:34Z,15.458395,121.014424,21396.92
Philippines,PHL,PH-05,Bicol Region,2020,6082165,"Philippine Statistics Authority, 2020 Census of Population and Housing",267,3930,92,4289,22780,1548,66110,705.18,26.5,0,30,heat stress,osm_area_iso3166_2,2026-04-23T06:00:34Z,13.110905,123.361747,17407.39
Philippines,PHL,PH-06,Western Visayas,2020,7954723,"Philippine Statistics Authority, 2020 Census of Population and Housing",308,3063,170,3541,25827,2597,46792,445.14,30.1,0,32,heat stress,osm_area_iso3166_2,2026-04-23T06:00:34Z,10.826582,122.427693,20116.59
Philippines,PHL,PH-07,Central Visayas,2020,8081988,"Philippine Statistics Authority, 2020 Census of Population and Housing",323,3032,182,3537,25022,2666,44407,437.64,29.1,0,31,heat stress,osm_area_iso3166_2,2026-04-05T22:09:02Z,10.281317,123.617146,14348.02
Philippines,PHL,PH-08,Eastern Visayas,2020,4547150,"Philippine Statistics Authority, 2020 Census of Population and Housing",338,4262,165,4765,13453,1067,27558,1047.91,10.3,0,20,heat stress,osm_area_iso3166_2,2026-04-11T23:06:11Z,11.296366,124.985856,20919.29
Philippines,PHL,PH-09,Zamboanga Peninsula,2020,3875576,"Philippine Statistics Authority, 2020 Census of Population and Housing",125,2621,75,2821,31005,1479,51674,727.89,32.3,0,33,heat stress,osm_area_iso3166_2,2026-04-05T22:09:02Z,7.710012,122.770555,14662.9
Philippines,PHL,PH-10,Northern Mindanao,2020,5022768,"Philippine Statistics Authority, 2020 Census of Population and Housing",253,2566,113,2932,19853,1957,44449,583.74,21.7,0,27,heat stress,osm_area_iso3166_2,2026-04-11T23:06:11Z,8.329328,124.498654,17560.43
