country_name,iso3,admin1_code,admin1_name,population_year,population,population_source,health_facilities,schools,markets,total_services,people_per_health_facility,people_per_school,people_per_market,total_mapped_services_per_million,service_load_score,osm_completeness_risk_score,access_stress_index,bottleneck,service_query_mode,osm_timestamp,centroid_lat,centroid_lon,approx_area_sq_km
Cambodia,KHM,KH-1,Bantey Meanchey,2020,968391,WorldPop Global Project population count,24,113,4,141,40350,8570,242098,145.6,79.2,41.8,64,service load,osm_area_iso3166_2,2026-04-06T02:42:41Z,13.804082,102.888278,6169.46
Cambodia,KHM,KH-10,Kratie,2020,457402,WorldPop Global Project population count,13,45,5,63,35185,10164,91480,137.73,70.6,44.9,60,service load,osm_area_iso3166_2,2026-04-21T17:01:53Z,12.678375,106.194599,12038.75
Cambodia,KHM,KH-11,Mondulkiri,2020,158522,WorldPop Global Project population count,8,21,5,34,19815,7549,31704,214.48,37.9,14.2,37,heat stress,osm_area_iso3166_2,2026-04-12T13:51:34Z,12.739739,106.97095,13713.81
Cambodia,KHM,KH-12,Phnom Penh,2020,2585050,WorldPop Global Project population count,227,416,113,756,11388,6214,22877,292.45,23.8,0,28,heat stress,osm_area_iso3166_2,2026-04-23T06:57:21Z,11.574361,104.876758,683.32
Cambodia,KHM,KH-13,Preah Vihear,2020,399443,WorldPop Global Project population count,8,47,5,60,49930,8499,79889,150.21,78.2,39.9,63,service load,osm_area_iso3166_2,2026-04-06T02:42:41Z,13.746323,105.128624,14084.23
Cambodia,KHM,KH-14,Prey Veng,2020,955591,WorldPop Global Project population count,8,79,4,91,119449,12096,238898,95.23,100,61.9,78,service load,osm_area_iso3166_2,2026-04-23T06:58:21Z,11.365577,105.456551,4784.5
Cambodia,KHM,KH-15,Pursat,2020,453836,WorldPop Global Project population count,5,70,10,85,90767,6483,45384,187.29,66.6,25.1,55,service load,osm_area_iso3166_2,2026-04-06T02:42:41Z,12.466603,103.548055,12596.75
Cambodia,KHM,KH-16,Ratanakiri Province,2020,277726,WorldPop Global Project population count,7,23,2,32,39675,12075,138863,115.22,88,53.9,71,service load,osm_area_iso3166_2,2026-04-23T07:00:24Z,13.931202,107.078934,11815.53
Cambodia,KHM,KH-17,Siem Reap,2020,1337231,WorldPop Global Project population count,53,285,34,372,25231,4692,39330,278.19,35.2,0,34,heat stress,osm_area_iso3166_2,2026-04-23T07:01:34Z,13.371954,104.036214,11406.55
Cambodia,KHM,KH-18,Preah Sihanouk,2020,305920,WorldPop Global Project population count,18,41,9,68,16996,7461,33991,222.28,35.1,11.1,36,heat stress,osm_area_iso3166_2,2026-04-12T15:21:00Z,10.674806,103.478699,2644.9
