iso3,port,un_locode,territory,cppi_2020,cppi_2021,cppi_2022,cppi_2023,cppi_2024,cppi_2025,rank_2025,berth_share,statistical_index,administrative_index,calls_2025
BGD,Chattogram,BDCGP,Bangladesh,-12.0,-80.0,-59.0,-36.0,-48.0,-73.8600864058423,364.0,0.49891382587455,-51.47,-96.2501728116845,473.0
BGD,Mongla,BDMGL,Bangladesh,,,,,6.0,,,,,,
BRN,Muara,BNMUA,Brunei Darussalam,,,,7.0,3.0,-0.647056146072375,208.0,0.461505497465534,-2.11,0.81588770785525,30.0
CHN,Fuzhou,CNFZG,China,118.0,27.0,63.0,95.0,139.0,144.638475710513,1.0,0.785944482474829,79.92,209.356951421026,66.0
CHN,Dalian,CNDAG,China,122.0,38.0,54.0,123.0,137.0,141.314082939541,2.0,0.709747548428535,83.55,199.078165879081,848.0
CHN,Mawan,CNMWN,China,84.0,73.0,106.0,125.0,133.0,134.849359559556,4.0,0.876077483577227,80.13,189.568719119111,894.0
CHN,Chiwan,CNCWN,China,126.0,98.0,92.0,137.0,130.0,134.224889698908,5.0,0.875168946270955,78.87,189.579779397816,692.0
CHN,Ningbo,CNNBO,China,139.0,125.0,118.0,128.0,128.0,129.585017894315,7.0,0.887717274870048,76.67,182.500035788629,4846.0
CHN,Xiamen,CNXAM,China,114.0,70.0,72.0,103.0,115.0,121.258778488953,14.0,0.759694125779961,69.95,172.567556977905,2024.0
CHN,Tianjin,CNTNJ,China,124.0,75.0,89.0,109.0,118.0,115.224109928249,16.0,0.8126803582535,69.35,161.098219856498,1275.0
CHN,Shanghai*,CNSHG,China,110.0,-36.0,-1.0,31.0,-11.0,97.5140008322515,23.0,0.549375870929304,57.61,137.418001664503,6625.0
CHN,Yantian,CNYTN,China,131.0,4.0,47.0,112.0,111.0,82.4110741098707,35.0,0.745078159931542,49.74,115.082148219741,3074.0
CHN,Guangzhou Port,CNGZG,China,146.0,119.0,116.0,133.0,130.0,82.3005333928513,36.0,0.542246303723609,50.3,114.301066785703,2212.0
CHN,Shekou,CNSHK,China,147.0,103.0,106.0,109.0,82.0,81.7690980830177,37.0,0.590992985439155,46.64,116.898196166035,1199.0
CHN,Yangpu,CNYPG,China,,,,,,81.1551213572996,38.0,0.784347994950966,42.87,119.440242714599,44.0
CHN,Da Chan Bay Terminal One,CNDCB,China,82.0,22.0,46.0,67.0,86.0,58.5598933114232,60.0,0.774365714836967,34.23,82.8897866228464,199.0
CHN,Zhoushan,CNZOS,China,136.0,26.0,29.0,52.0,53.0,57.0013834091741,61.0,0.397323828458088,37.49,76.5127668183482,465.0
CHN,Lianyungang,CNLYG,China,112.0,46.0,37.0,109.0,75.0,55.4200305530039,63.0,0.76213069695988,26.63,84.2100611060077,194.0
CHN,Quanzhou,CNQZL,China,,,,16.0,33.0,35.2371414112219,78.0,0.784955656304752,18.95,51.5242828224439,86.0
CHN,Qingdao,CNQIN,China,148.0,68.0,-7.0,34.0,54.0,23.9695369565559,101.0,0.44406840749329,17.26,30.6790739131117,3109.0
CHN,Shantou,CNSTG,China,32.0,15.0,40.0,29.0,35.0,23.4888004600293,102.0,0.785674571776832,12.37,34.6076009200587,193.0
CHN,Rizhao,CNRZH,China,,,,,13.0,14.1541554803132,126.0,0.813424565123115,8.56,19.7483109606263,66.0
CHN,Qinzhou,CNQZH,China,18.0,2.0,,62.0,13.0,-150.780956959916,387.0,0.665158919055543,-98.25,-203.311913919832,93.0
CHN,Yangshan*,CNYSN,China,142.0,132.0,139.0,152.0,146.0,,,,,,
GEO,Batumi,GEBUS,Georgia,1.0,2.0,-3.0,-2.0,4.0,-5.90449779952088,246.0,0.87359591122633,-2.86,-8.94899559904176,91.0
GEO,Poti,GEPTI,Georgia,2.0,3.0,-32.0,-39.0,-40.0,-61.3119131821223,357.0,0.404634118024367,-39.83,-82.7938263642445,103.0
HKG,Hong Kong,HKHKG,"Hong Kong SAR, China",142.0,68.0,112.0,119.0,123.0,122.795983636734,9.0,0.790293321939218,68.8,176.791967273468,3029.0
IDN,New Priok Port,IDCTO,Indonesia,96.0,25.0,-24.0,108.0,27.0,15.6626497016037,121.0,0.862781988683931,9.67,21.6552994032075,1013.0
IDN,Surabaya,IDSUB,Indonesia,25.0,34.0,29.0,32.0,24.0,12.9723878029755,130.0,0.712312204130057,8.9,17.044775605951,580.0
IDN,Palembang,IDPLM,Indonesia,,,,,,3.11460653256777,190.0,0.852707705032125,2.35,3.87921306513553,48.0
IDN,Semarang,IDSRG,Indonesia,15.0,16.0,15.0,13.0,7.0,-0.0482174965303197,205.0,0.473284737283647,2.41,-2.50643499306064,284.0
IDN,Panjang,IDPNJ,Indonesia,7.0,1.0,-2.0,7.0,-31.0,-3.59804175442806,232.0,0.865805574439157,-2.81,-4.38608350885612,44.0
IDN,Belawan,IDBLW,Indonesia,11.0,0.0,1.0,-13.0,-4.0,-10.2634599535228,263.0,0.763124626313603,-7.73,-12.7969199070455,149.0
IND,Jawaharlal Nehru Port,INNSA,India,66.0,62.0,35.0,48.0,100.0,98.4164719600522,22.0,0.750182627174924,58.87,137.962943920104,1307.0
IND,Pipavav,INPAV,India,78.0,82.0,80.0,86.0,85.0,92.5864979254716,28.0,0.794726809935029,55.91,129.262995850943,238.0
IND,Mundra,INMUN,India,76.0,67.0,53.0,108.0,97.0,92.3392166346266,30.0,0.766971878037381,53.3,131.378433269253,1066.0
IND,Hazira,INHZA,India,,45.0,37.0,54.0,43.0,47.9880236820392,68.0,0.853891853221697,25.17,70.8060473640784,181.0
IND,Kattupalli,INKTP,India,,35.0,40.0,62.0,-14.0,44.6936503147593,71.0,0.854565258425158,23.18,66.2073006295187,128.0
IND,Kandla,INIXY,India,,,,,10.0,32.650643828148,82.0,0.77817304732638,15.31,49.991287656296,65.0
IND,Kamarajar,INENR,India,,40.0,40.0,71.0,33.0,31.4270857460452,85.0,0.869271171156919,17.33,45.5241714920903,75.0
IND,Visakhapatnam,INVTZ,India,,36.0,20.0,115.0,46.0,23.0486132860268,104.0,0.878084802762227,13.07,33.0272265720535,76.0
IND,Cochin,INCOK,India,,35.0,37.0,62.0,56.0,21.7762890160419,107.0,0.662514845753865,11.84,31.7125780320837,39.0
IND,Chennai,INMAA,India,,42.0,23.0,47.0,10.0,14.7404535713311,123.0,0.908246921550205,7.3,22.1809071426621,114.0
IND,Syama Prasad Mookerjee Port,INCCU,India,,,,-4.0,-2.0,-3.78529084477941,233.0,0.946934504308026,-3.39,-4.18058168955883,32.0
IND,Krishnapatnam,INKRI,India,,39.0,46.0,49.0,-9.0,,,,,,
KHM,Kâmpóng Saôm,KHKOS,Cambodia,,3.0,,12.0,5.0,7.44368526473789,155.0,0.692367926810607,4.44,10.4473705294758,377.0
LKA,Colombo,LKCMB,Sri Lanka,114.0,87.0,83.0,95.0,42.0,25.493665805568,95.0,0.608079067501687,14.32,36.6673316111359,1985.0
MMR,Yangon,MMRGN,Myanmar,,-23.0,,1.0,2.0,4.55677633760678,176.0,0.831231373193842,1.83,7.28355267521356,288.0
MYS,Tanjung Pelepas,MYTPP,Malaysia,140.0,93.0,118.0,137.0,118.0,110.595102631283,18.0,0.838485293363442,64.31,156.880205262565,3374.0
MYS,Port Klang,MYPKG,Malaysia,135.0,44.0,65.0,106.0,74.0,67.7954626413586,46.0,0.688701024488052,40.38,95.2109252827173,2720.0
MYS,"Pasir Gudang, Johor",MYPGU,Malaysia,39.0,42.0,34.0,37.0,42.0,11.5176117654004,137.0,0.704240875553715,6.9,16.1352235308008,249.0
MYS,Kuching,MYKCH,Malaysia,,,,-12.0,-22.0,5.91047912151525,164.0,0.653876166751703,3.6,8.22095824303051,41.0
MYS,Penang,MYPEN,Malaysia,19.0,30.0,32.0,-9.0,35.0,5.42581816002476,170.0,0.838301286409747,3.19,7.66163632004953,249.0
MYS,Kuantan,MYKUA,Malaysia,,,,2.0,0.0,4.36165649765219,177.0,0.818471674182638,2.35,6.37331299530438,70.0
MYS,Kota Kinabalu,MYBKI,Malaysia,,,,-12.0,-31.0,-12.1926568882467,271.0,0.769489896948287,-9.48,-14.9053137764935,32.0
MYS,Bintulu,MYBTU,Malaysia,,,,-77.0,-60.0,,,,,,
MYS,Tawau,MYTWU,Malaysia,,,,,-18.0,,,,,,
PAK,Muhammad Bin Qasim,PKQCT,Pakistan,8.0,43.0,31.0,22.0,43.0,60.0805275096878,56.0,0.778695622787527,37.94,82.2210550193755,371.0
PAK,Karachi,PKKHI,Pakistan,61.0,39.0,36.0,69.0,30.0,45.6549897043222,69.0,0.839057260806889,25.5,65.8099794086444,441.0
PHL,Batangas,PHBTG,Philippines,14.0,,15.0,18.0,-12.0,20.0259179571038,109.0,0.692914879127384,13.42,26.6318359142077,259.0
PHL,Cebu,PHCEB,Philippines,19.0,14.0,13.0,16.0,12.0,13.3925666337991,129.0,0.879927602705707,9.01,17.7751332675981,265.0
PHL,Iloilo,PHILO,Philippines,,,,,3.0,11.4379376273471,138.0,0.818577258254981,6.47,16.4058752546942,48.0
PHL,Cagayan De Oro,PHCGY,Philippines,20.0,6.0,11.0,13.0,9.0,5.17743867857388,172.0,0.653843994275855,3.59,6.76487735714775,272.0
PHL,Subic Bay,PHSFS,Philippines,,12.0,6.0,2.0,4.0,2.84693201076109,191.0,0.67055253912488,2.15,3.54386402152218,181.0
PHL,Davao,PHDVO,Philippines,31.0,-5.0,-9.0,-10.0,-25.0,-5.53328638763068,244.0,0.827367564503447,-3.47,-7.59657277526135,326.0
PHL,Bacolod,PHBCD,Philippines,,,,,,-14.5156645038781,280.0,0.912981568966664,-9.73,-19.3013290077562,29.0
PHL,General Santos,PHGES,Philippines,-8.0,,,-4.0,-2.0,-16.8818283017844,292.0,0.827944505476214,-11.06,-22.7036566035689,73.0
PHL,Manila,PHMNL,Philippines,11.0,-51.0,-107.0,-15.0,-34.0,-54.0328150678348,350.0,0.44923572308396,-34.23,-73.8356301356696,992.0
PNG,Port Moresby,PGPOM,Papua New Guinea,9.0,,,-9.0,-5.0,-9.31211541101713,260.0,0.490484035459324,-6.78,-11.8442308220343,57.0
PNG,Lae,PGLAE,Papua New Guinea,-2.0,-20.0,-19.0,-25.0,-7.0,-14.8107776693795,284.0,0.532883733477205,-8.71,-20.9115553387591,66.0
THA,Laem Chabang,THLCH,Thailand,107.0,57.0,87.0,81.0,66.0,59.1095921958493,58.0,0.828991572411972,32.06,86.1591843916987,1591.0
THA,Siam Seaport,THSRI,Thailand,15.0,37.0,41.0,21.0,28.0,18.7097216545494,112.0,0.897242920442175,12.33,25.0894433090987,558.0
THA,Songkhla,THSGK,Thailand,,,,0.0,-1.0,5.71199887648541,166.0,0.924531316148924,3.09,8.33399775297081,91.0
THA,Bangkok,THBKK,Thailand,1.0,-19.0,-6.0,-8.0,-7.0,-0.431898415944412,207.0,0.646645674721645,-0.44,-0.423796831888824,410.0
VNM,Cai Mep,VNTOT,Viet Nam,122.0,110.0,106.0,132.0,132.0,122.096758516763,11.0,0.795926322095198,71.75,172.443517033525,1291.0
VNM,Haiphong,VNHPH,Viet Nam,70.0,52.0,14.0,55.0,87.0,121.604373411504,13.0,0.864410840546148,73.01,170.198746823008,1016.0
VNM,Saigon,VNSGN,Viet Nam,14.0,19.0,17.0,16.0,20.0,19.4843197898917,110.0,0.782856512554162,12.69,26.2786395797835,289.0
VNM,Cát Lái,VNCLI,Viet Nam,24.0,17.0,23.0,25.0,20.0,17.1138236964121,116.0,0.658992996678982,11.3,22.9276473928242,1055.0
VNM,Chu Lai,VNC8Q,Viet Nam,,4.0,11.0,15.0,9.0,14.5589560219745,124.0,0.817287058305277,9.22,19.8979120439489,99.0
VNM,Da Nang,VNDAD,Viet Nam,22.0,14.0,19.0,23.0,16.0,13.5008928992862,128.0,0.444568381104354,8.71,18.2917857985723,181.0
VNM,Quy Nhon,VNUIH,Viet Nam,25.0,15.0,13.0,9.0,11.0,11.9700906512519,136.0,0.601530144990963,8.11,15.8301813025039,141.0
VNM,Nghi Son,VNNGH,Viet Nam,,,,2.0,2.0,-7.31548205750365,253.0,0.908772692159135,-5.01,-9.6209641150073,34.0
