iso3,country,pacific_small_island,indicator_code,indicator_name,domain,indicator_position,reference_cap,frontier_mode,review_threshold_years,latest_year,value,frontier_year,calendar_age_years,production_age_years,relative_lag_years,missing,absolute_review,relative_review,classification_disagreement,production_cycle_only,retrieved_at,response_sha256,api_last_updated,attestation_chain
AFG,Afghanistan,False,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,43844111.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
ARM,Armenia,False,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,3086700.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
AZE,Azerbaijan,False,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,10246996.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
BGD,Bangladesh,False,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,175686899.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
BTN,Bhutan,False,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,796682.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
BRN,Brunei Darussalam,False,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,466330.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
KHM,Cambodia,False,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,17847982.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
CHN,"China, People's Republic of",False,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,1406585000.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
COK,Cook Islands,True,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,,,2025,,,,True,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
FJI,Fiji,True,SP.POP.TOTL,"Population, total",Demography,1,2025,global,3.0,2025,933154.0,2025,1,1,0,False,False,False,False,False,2026-07-18T21:11:05+00:00,21816454b5ea6e6b7a602aa7e1b10d8d275bf2bb59f38f882477e4d1ed3b09ab,2026-07-13,ai-first
