adm1_name,adm1_pcode,adm2_name,adm2_pcode,adm3_name,adm3_pcode,poverty_incidence_2023,poverty_standard_error_2023,poverty_coefficient_of_variation_2023,poverty_ci_lower_2023,poverty_ci_upper_2023,poverty_threshold_php_2023,poverty_precision_flag,poverty_source_year,poverty_source_type,poverty_join_status,registry_clinical,osm_health,registry_gap_share,buildings_p85,underobserved_buildings_adm3_p85_proxy,gap_poverty_context_p85_proxy,poverty_source_label,poverty_source_url,area_sqkm,buildings_all,buildings_p90,building_area_m2_all,building_area_m2_p85,building_area_m2_p90,buildings_p85_per_sqkm,registry_all,registry_principal,osm_hospital,osm_clinic,osm_doctors,registry_minus_osm_clinical,osm_to_registry_clinical_ratio
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Sur,PH09073,Zamboanga City,PH0907332,11.0,2.0,17.0,8.0,15.0,32876.0,cv_lte_20,2023.0,psa_openstat_direct_2023,openstat_direct_city_name_match,161,31,0.8075,182679,147513,16226.0,City of Zamboanga,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1E/FY/0041E3DF02A.px,1497.1548,302033,90614,20200818.7,16303504.8,11208611.8,122.02,209,62,15,11,5,130,0.1925
Region XI (Davao Region),PH11,Davao del Sur,PH11024,Davao City,PH1102402,12.0,3.0,27.0,6.0,19.0,31535.0,cv_20_to_30_caution,2023.0,psa_openstat_direct_2023,openstat_direct_city_name_match,349,223,0.361,365408,131912,15829.0,City of Davao,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1E/FY/0041E3DF02A.px,2341.4259,671897,175001,53128971.7,41092579.3,27621993.8,156.06,576,126,34,109,80,126,0.639
Region X (Northern Mindanao),PH10,Misamis Oriental,PH10043,Cagayan de Oro City (Capital),PH1004305,10.0,1.0,11.0,8.0,13.0,34981.0,cv_lte_20,2023.0,psa_openstat_direct_2023,openstat_direct_city_name_match,151,42,0.7219,137572,99313,9931.0,City of Cagayan De Oro,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1E/FY/0041E3DF02A.px,506.63,247190,64478,19467033.7,15217199.5,10034973.4,271.54,204,91,13,23,6,109,0.2781
Region XII (Soccsksargen),PH12,South Cotabato,PH12063,General Santos City (Dadiangas),PH1206303,8.0,1.0,15.0,6.0,11.0,28580.0,cv_lte_20,2023.0,psa_openstat_direct_2023,openstat_direct_city_name_match,98,36,0.6327,139714,88397,7072.0,City of General Santos (Dadiangas),https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1E/FY/0041E3DF02A.px,521.1147,304238,56934,22589304.8,15666758.5,9305963.8,268.11,154,66,11,19,6,62,0.3673
National Capital Region (NCR),PH13,Metropolitan Manila Second District,PH13074,Quezon City,PH1307404,1.0,0.0,35.0,0.0,2.0,37711.0,cv_gt_30_high_uncertainty,2023.0,psa_openstat_direct_2023,openstat_direct_city_name_match,370,244,0.3405,169625,57757,578.0,Quezon City,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1E/FY/0041E3DF02A.px,162.4392,528664,66780,50212015.8,32437802.5,19755086.5,1044.24,770,233,64,118,62,126,0.6595
Region XIII (Caraga),PH16,Agusan del Norte,PH16002,Butuan City (Capital),PH1600202,17.0,2.0,10.0,13.0,20.0,29503.0,cv_lte_20,2023.0,psa_openstat_direct_2023,openstat_direct_city_name_match,137,24,0.8248,67303,55512,9437.0,City of Butuan,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1E/FY/0041E3DF02A.px,649.1852,145977,37162,11149600.9,7751418.4,5399524.6,103.67,170,43,11,6,7,113,0.1752
Region X (Northern Mindanao),PH10,Lanao del Norte,PH10035,Iligan City,PH1003504,16.0,2.0,10.0,13.0,19.0,33819.0,cv_lte_20,2023.0,psa_openstat_direct_2023,openstat_direct_city_name_match,68,20,0.7059,76872,54264,8682.0,City of Iligan,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1E/FY/0041E3DF02A.px,532.1861,128567,36690,9076201.9,7307880.0,4844669.5,144.45,88,16,8,10,2,48,0.2941
Region VI (Western Visayas),PH06,Negros Occidental,PH06045,Bacolod City (Capital),PH0604501,9.0,1.0,14.0,7.0,12.0,35446.0,cv_lte_20,2023.0,psa_openstat_direct_2023,openstat_direct_city_name_match,75,25,0.6667,76677,51121,4601.0,City of Bacolod,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1E/FY/0041E3DF02A.px,162.3779,210589,38107,15964198.0,10104093.2,6842438.0,472.21,140,29,13,7,5,50,0.3333
Mimaropa Region,PH17,Palawan,PH17053,Puerto Princesa City (Capital),PH1705316,7.0,1.0,18.0,4.0,9.0,30465.0,cv_lte_20,2023.0,psa_openstat_direct_2023,openstat_direct_city_name_match,92,22,0.7609,64203,48852,3420.0,City of Puerto Princesa,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1E/FY/0041E3DF02A.px,2168.6166,148216,36177,9697715.2,6356833.6,4273496.1,29.61,120,25,5,6,11,70,0.2391
Region VII (Central Visayas),PH07,Cebu,PH07022,Cebu City (Capital),PH0702217,8.0,1.0,14.0,6.0,10.0,36559.0,cv_lte_20,2023.0,psa_openstat_direct_2023,openstat_direct_city_name_match,192,68,0.6458,74426,48064,3845.0,City of Cebu,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1E/FY/0041E3DF02A.px,290.905,241681,34855,16546846.4,9860289.8,6658155.7,255.84,303,80,19,32,17,124,0.3542
Region XI (Davao Region),PH11,Davao del Norte,PH11023,City of Tagum (Capital),PH1102319,8.5175,0.8396,9.8578,7.1363,9.8987,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,62,23,0.629,74966,47154,4016.0,City of Tagum,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,184.0502,133435,36531,10219438.2,7939342.2,5079499.1,407.31,87,21,13,8,2,39,0.371
Region IV-A (Calabarzon),PH04,Laguna,PH04034,City of Calamba,PH0403405,7.1572,0.7389,10.3241,5.9417,8.3727,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,108,29,0.7315,64233,46986,3363.0,City of Calamba,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,139.3187,153767,31473,13910385.3,9926482.2,7137462.2,461.05,144,40,12,15,2,79,0.2685
Region IV-A (Calabarzon),PH04,Cavite,PH04021,Bacoor City,PH0402103,6.5917,0.7563,11.4736,5.3476,7.8358,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,120,34,0.7167,61273,43914,2895.0,City of Bacoor,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,49.0103,173104,17701,12103706.6,6917018.2,3026249.8,1250.21,161,50,14,16,4,86,0.2833
Region III (Central Luzon),PH03,Tarlac,PH03069,City of Tarlac (Capital),PH0306916,10.3481,0.3937,3.8046,9.7005,10.9958,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,115,32,0.7217,58560,42263,4373.0,City of Tarlac,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,262.4726,185815,22101,13457602.4,8199263.6,4787686.5,223.11,163,42,9,15,8,83,0.2783
National Capital Region (NCR),PH13,Metropolitan Manila Third District,PH13075,Caloocan City,PH1307501,3.0,1.0,23.0,2.0,4.0,37711.0,cv_20_to_30_caution,2023.0,psa_openstat_direct_2023,openstat_direct_city_name_match,168,75,0.5536,75302,41687,1251.0,City of Caloocan,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1E/FY/0041E3DF02A.px,53.2324,297158,20359,20297776.0,10319569.8,5312028.7,1414.59,251,132,17,40,18,93,0.4464
Region VII (Central Visayas),PH07,Cebu,PH07022,Lapu-Lapu City (Opon),PH0702226,9.0,1.0,13.0,6.0,11.0,36481.0,cv_lte_20,2023.0,psa_openstat_direct_2023,openstat_direct_city_name_match,75,19,0.7467,54900,40994,3689.0,City of Lapu-Lapu (Opon),https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1E/FY/0041E3DF02A.px,67.3341,171553,24430,11195176.3,6784426.8,4621886.6,815.34,110,31,7,8,4,56,0.2533
Region IV-A (Calabarzon),PH04,Cavite,PH04021,City of Dasmariñas,PH0402106,7.9454,0.7362,9.2658,6.7344,9.1565,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,165,43,0.7394,53427,39504,3139.0,City of Dasmariñas,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,90.1046,179486,16180,12528220.8,6616119.7,3445780.0,592.94,220,68,12,29,2,122,0.2606
Region VI (Western Visayas),PH06,Iloilo,PH06030,Iloilo City (Capital),PH0603022,4.0,1.0,22.0,2.0,5.0,34878.0,cv_20_to_30_caution,2023.0,psa_openstat_direct_2023,openstat_direct_city_name_match,157,48,0.6943,56294,39085,1563.0,City of Iloilo,https://openstat.psa.gov.ph/PXWeb/api/v1/en/DB/1E/FY/0041E3DF02A.px,72.6841,155738,28575,12533949.9,8175810.1,5793417.7,774.5,261,53,14,17,17,109,0.3057
Region IV-A (Calabarzon),PH04,Batangas,PH04010,Lipa City,PH0401014,4.9639,0.6442,12.9779,3.9041,6.0236,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,100,42,0.58,66558,38604,1916.0,City of Lipa,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,191.2819,163563,34081,13648129.4,9267962.0,6354089.4,347.96,149,24,13,21,8,58,0.42
Region IV-A (Calabarzon),PH04,Cavite,PH04021,City of General Trias,PH0402108,6.5719,0.7362,11.2023,5.3609,7.783,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,78,22,0.7179,53616,38491,2530.0,City of General Trias,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,87.4638,150152,15595,10707457.5,6091593.2,3015095.2,613.01,109,34,9,11,2,56,0.2821
Region IV-A (Calabarzon),PH04,Rizal,PH04058,City of Antipolo,PH0405802,7.6808,0.9182,11.9538,6.1705,9.1912,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,92,35,0.6196,59158,36654,2815.0,City of Antipolo,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,263.3513,206120,18839,13642650.7,7370801.8,3785775.7,224.64,155,54,17,17,1,57,0.3804
Region XII (Soccsksargen),PH12,South Cotabato,PH12063,Polomolok,PH1206312,12.7524,1.1,8.6258,10.9429,14.5619,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,43,5,0.8837,40389,35692,4552.0,Polomolok,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,311.4785,88413,17608,5702183.4,4042248.5,2673711.9,129.67,57,14,4,0,1,38,0.1163
Region III (Central Luzon),PH03,Bulacan,PH03014,City of San Jose del Monte,PH0301420,12.4412,0.5348,4.2985,11.5615,13.3209,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,142,16,0.8873,40107,35587,4427.0,City of San Jose del Monte,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,107.8568,169681,9177,10601188.0,4533672.4,1853903.6,371.85,188,50,7,7,2,126,0.1127
Region IV-A (Calabarzon),PH04,Cavite,PH04021,Silang,PH0402118,10.464,0.9011,8.6115,8.9817,11.9463,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,100,18,0.82,42898,35176,3681.0,Silang,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,143.4817,104532,22958,8957840.6,6177483.7,4465628.5,298.98,137,28,10,8,0,82,0.18
Region XI (Davao Region),PH11,Davao del Norte,PH11023,City of Panabo,PH1102315,11.8106,1.1554,9.7829,9.9099,13.7113,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,54,15,0.7222,47780,34507,4075.0,City of Panabo,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,252.1044,89656,22413,6644905.5,5047644.6,3246229.9,189.52,68,13,8,5,2,39,0.2778
Region XII (Soccsksargen),PH12,South Cotabato,PH12063,City of Koronadal (Capital),PH1206306,8.173,0.8252,10.097,6.8155,9.5305,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,50,17,0.66,48784,32197,2631.0,City of Koronadal,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,273.7777,97093,21480,7223076.2,5184612.8,3127226.9,178.19,80,12,5,6,6,33,0.34
Region X (Northern Mindanao),PH10,Bukidnon,PH10013,City of Valencia,PH1001321,20.7725,1.4488,6.9746,18.3893,23.1558,,cv_lte_20,2023.0,psa_sae_2023_city_municipal,sae_psgc_match,51,14,0.7255,42673,30959,6431.0,City of Valencia,https://psa.gov.ph/sites/default/files/phdsd/2_2023%20SAE_with%20PSGC_noHUC_06Feb2026.xlsx,667.8012,85156,17896,5733941.1,4095840.4,2491133.6,63.9,57,20,9,5,0,37,0.2745
