iso3,code,name,osm,reg_prin,reg_clin,ratio_prin,ratio_clin,prin_over_clin,prin_over_100
PHL,PH-03,Central Luzon,1139,972,3533,1.1718,0.3224,3.63,True
PHL,PH-11,Davao Region,376,344,1646,1.093,0.2284,4.79,True
PHL,PH-00,NCR,1094,1233,1722,0.8873,0.6353,1.4,False
PHL,PH-40,Calabarzon,1004,1264,4396,0.7943,0.2284,3.48,False
PHL,PH-08,Eastern Visayas,338,484,1479,0.6983,0.2285,3.06,False
PHL,PH-41,Mimaropa,159,229,1474,0.6943,0.1079,6.43,False
PHL,PH-01,Ilocos Region,307,449,2715,0.6837,0.1131,6.05,False
PHL,PH-06,Western Visayas,308,464,2820,0.6638,0.1092,6.08,False
PHL,PH-10,Northern Mindanao,253,411,1986,0.6156,0.1274,4.83,False
PHL,PH-15,CAR,146,254,1238,0.5748,0.1179,4.88,False
PHL,PH-13,Caraga,149,267,1458,0.5581,0.1022,5.46,False
PHL,PH-07,Central Visayas,323,584,3260,0.5531,0.0991,5.58,False
PHL,PH-12,Soccsksargen,173,326,1475,0.5307,0.1173,4.52,False
PHL,PH-05,Bicol Region,267,520,3183,0.5135,0.0839,6.12,False
PHL,PH-02,Cagayan Valley,168,331,2319,0.5076,0.0724,7.01,False
PHL,PH-09,Zamboanga Peninsula,125,331,1571,0.3776,0.0796,4.74,False
PHL,PH-14,ARMM,72,326,1117,0.2209,0.0645,3.42,False
BGD,BD-H,Mymensingh,207,391,2106,0.5294,0.0983,5.39,False
BGD,BD-F,Rangpur,327,641,3185,0.5101,0.1027,4.97,False
BGD,BD-C,Dhaka,1306,2611,6508,0.5002,0.2007,2.49,False
BGD,BD-G,Sylhet,127,338,1626,0.3757,0.0781,4.81,False
BGD,BD-B,Chittagong,467,1338,5172,0.349,0.0903,3.86,False
BGD,BD-D,Khulna,376,1086,3573,0.3462,0.1052,3.29,False
BGD,BD-E,Rajshani,362,1157,3805,0.3129,0.0951,3.29,False
BGD,BD-A,Barisal,126,464,2017,0.2716,0.0625,4.35,False
