iso3,country,dep_pct_gdp,wdi_year,n_corridors,n_quotes,n_neg_quotes,n_sub1_quotes,min_quote,max_quote,mean_cost,median_quote,median_corr,frag_mean,frag_median_quote,frag_median_corr
KGZ,Kyrgyz Republic,26.58,2022,1,7,0,0,2.22,20.49,10.54,11.39,11.39,70.3,75.9,75.9
WSM,Samoa,24.01,2024,2,49,0,0,1.11,22.91,7.96,6.93,6.88,51.0,44.4,44.0
TON,Tonga,42.61,2023,2,51,1,0,-0.03,22.46,7.57,6.97,7.16,50.5,46.5,47.7
NPL,Nepal,26.23,2024,8,133,1,0,-0.76,57.0,7.31,3.35,3.37,48.7,22.3,22.5
VUT,Vanuatu,18.75,2022,2,28,0,0,2.53,22.55,9.54,7.7,8.05,47.7,38.5,40.3
PAK,Pakistan,9.4,2024,12,229,28,1,-3.05,99.0,11.93,3.08,2.36,29.9,7.7,5.9
TJK,Tajikistan,47.89,2024,1,2,0,0,2.95,2.95,2.95,2.95,2.95,19.7,19.7,19.7
KHM,Cambodia,6.1,2024,1,19,0,0,2.72,19.73,10.56,13.52,13.52,17.2,22.0,22.0
MMR,Myanmar,3.4,2019,3,27,1,0,-0.17,99.0,28.78,15.3,15.8,13.6,13.6,13.6
BGD,Bangladesh,6.11,2024,11,221,0,0,1.28,39.12,6.97,5.8,6.06,11.4,9.5,9.9
PHL,Philippines,8.73,2024,14,462,1,0,-2.01,96.0,4.92,3.37,3.35,11.4,7.8,7.8
LKA,Sri Lanka,6.79,2024,11,182,2,0,-1.52,89.0,5.8,3.44,3.35,10.5,6.2,6.1
FJI,Fiji,7.11,2024,2,59,3,0,-1.34,21.02,5.4,4.28,4.24,10.2,8.1,8.0
AFG,Afghanistan,3.95,2020,4,20,0,0,4.09,15.29,8.99,8.77,8.43,9.5,9.2,8.9
ARM,Armenia,4.92,2024,1,11,0,0,3.39,10.65,6.68,7.07,7.07,8.8,9.3,9.3
IND,India,3.52,2024,20,492,2,0,-0.39,99.0,8.59,3.26,3.38,8.1,3.1,3.2
LAO,Lao People's Democratic Republic,1.49,2024,1,17,0,0,2.72,19.73,11.84,15.32,15.32,4.7,6.0,6.0
THA,Thailand,1.8,2024,7,143,0,0,1.08,30.24,6.15,4.35,4.48,2.9,2.1,2.1
IDN,Indonesia,1.15,2024,9,182,0,0,1.16,63.0,6.44,4.62,4.99,2.0,1.4,1.5
MYS,Malaysia,0.38,2024,2,53,0,0,1.06,98.0,13.65,4.2,3.99,1.4,0.4,0.4
CHN,"China, People's Republic of",0.17,2024,16,289,0,0,1.02,83.0,7.48,5.36,5.06,0.3,0.2,0.2
