admin1_name,population_2020,osm_health,registry_clinical,capture_ratio,osm_people_per_facility,registry_people_per_facility,scaled_people_per_facility,rank_osm,rank_registry,rank_shift
NCR,13484462,1094,1722,0.6353,12326,7831,7831,15,1,14
Ilocos Region,5301139,307,2715,0.1131,17268,1953,1953,11,13,-2
Cagayan Valley,3685744,168,2319,0.0724,21939,1589,1588,7,16,-9
Central Luzon,12422172,1139,3533,0.3224,10906,3516,3516,17,4,13
Bicol Region,6082165,267,3183,0.0839,22780,1911,1911,6,15,-9
Western Visayas,7954723,308,2820,0.1092,25827,2821,2820,3,8,-5
Central Visayas,8081988,323,3260,0.0991,25022,2479,2480,5,10,-5
Eastern Visayas,4547150,338,1479,0.2285,13453,3074,3074,14,6,8
Zamboanga Peninsula,3875576,125,1571,0.0796,31005,2467,2468,2,11,-9
Northern Mindanao,5022768,253,1986,0.1274,19853,2529,2529,9,9,0
Davao Region,5243536,376,1646,0.2284,13946,3186,3185,13,5,8
Soccsksargen,4360974,173,1475,0.1173,25208,2957,2957,4,7,-3
Caraga,2804788,149,1458,0.1022,18824,1924,1924,10,14,-4
ARMM,4944800,72,1117,0.0645,68678,4427,4430,1,2,-1
CAR,1797660,146,1238,0.1179,12313,1452,1452,16,17,-1
Calabarzon,16195042,1004,4396,0.2284,16131,3684,3684,12,3,9
Mimaropa,3228558,159,1474,0.1079,20305,2190,2191,8,12,-4
