generated_at,attestation_chain,status,method,bmkg_dashboard_status_scan_id,source_station_id,source_station_name,dashboard_location_key,dashboard_location_found,dashboard_status_raw,dashboard_timestamp_raw,dashboard_timestamp_iso,dashboard_timestamp_age_hours,dashboard_timestamp_current_within_30_days,dashboard_pm25_ug_m3,dashboard_category_raw,dashboard_latitude,dashboard_longitude,dashboard_timeseries_points,dashboard_positive_observation_count,dashboard_zero_observation_count,dashboard_last_label,explicit_dashboard_online,explicit_dashboard_delayed,current_status_confirmed,station_specific_inspection_log_found,station_specific_calibration_certificate_found,calibration_status_available,complete_monitor_grade_classification_available,station_radius_grade_assumption_ready,dashboard_status_decision,reader_use,non_claim
2026-06-20T02:19:32Z,ai-first,computed_bmkg_dashboard_status_source_scan,air_monitoring_bmkg_dashboard_status_source_scan_v1,IDN-bmkg-dashboard-status-pm25_bjb2,pm25_bjb2,Banjarbaru,BANJARBARU,True,ONLINE,2026-06-20 08:00:00,2026-06-20T00:00:00Z,2.33,True,32.9,SEDANG,-3.475,114.856,120,118,2,2026-06-20 08:00,True,False,True,False,False,False,False,False,dashboard_online_current_but_grade_still_blocked,"Use as official current dashboard-status evidence: the CEWS dashboard names this target location with ONLINE status and a recent timestamp. Do not use it as calibration, certificate, complete-grade, OpenAQ join, or radius evidence.","This scan records the official BMKG climate-information parent page and the embedded CEWS PM2.5 dashboardData object for the 22 BMKG target rows. A dashboard row with explicit ONLINE status and a recent timestamp can support current dashboard-status evidence. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius readiness."
2026-06-20T02:19:32Z,ai-first,computed_bmkg_dashboard_status_source_scan,air_monitoring_bmkg_dashboard_status_source_scan_v1,IDN-bmkg-dashboard-status-pm25_btm2,pm25_btm2,Batam,BATAM,True,ONLINE,2026-06-20 07:00:00,2026-06-20T00:00:00Z,2.33,True,33.7,SEDANG,1.124,104.126,120,118,2,2026-06-20 07:00,True,False,True,False,False,False,False,False,dashboard_online_current_but_grade_still_blocked,"Use as official current dashboard-status evidence: the CEWS dashboard names this target location with ONLINE status and a recent timestamp. Do not use it as calibration, certificate, complete-grade, OpenAQ join, or radius evidence.","This scan records the official BMKG climate-information parent page and the embedded CEWS PM2.5 dashboardData object for the 22 BMKG target rows. A dashboard row with explicit ONLINE status and a recent timestamp can support current dashboard-status evidence. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius readiness."
2026-06-20T02:19:32Z,ai-first,computed_bmkg_dashboard_status_source_scan,air_monitoring_bmkg_dashboard_status_source_scan_v1,IDN-bmkg-dashboard-status-pm25_idp2,pm25_idp2,Indrapuri,INDRAPURI,True,ONLINE,2026-06-20 07:00:00,2026-06-20T00:00:00Z,2.33,True,6.6,BAIK,5.404,95.475,120,114,6,2026-06-20 07:00,True,False,True,False,False,False,False,False,dashboard_online_current_but_grade_still_blocked,"Use as official current dashboard-status evidence: the CEWS dashboard names this target location with ONLINE status and a recent timestamp. Do not use it as calibration, certificate, complete-grade, OpenAQ join, or radius evidence.","This scan records the official BMKG climate-information parent page and the embedded CEWS PM2.5 dashboardData object for the 22 BMKG target rows. A dashboard row with explicit ONLINE status and a recent timestamp can support current dashboard-status evidence. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius readiness."
2026-06-20T02:19:32Z,ai-first,computed_bmkg_dashboard_status_source_scan,air_monitoring_bmkg_dashboard_status_source_scan_v1,IDN-bmkg-dashboard-status-pm25_jm3,pm25_jm3,Kota Jambi,KOTA JAMBI,True,ONLINE,2026-06-20 07:00:00,2026-06-20T00:00:00Z,2.33,True,28.6,SEDANG,-1.63,103.64,120,118,2,2026-06-20 07:00,True,False,True,False,False,False,False,False,dashboard_online_current_but_grade_still_blocked,"Use as official current dashboard-status evidence: the CEWS dashboard names this target location with ONLINE status and a recent timestamp. Do not use it as calibration, certificate, complete-grade, OpenAQ join, or radius evidence.","This scan records the official BMKG climate-information parent page and the embedded CEWS PM2.5 dashboardData object for the 22 BMKG target rows. A dashboard row with explicit ONLINE status and a recent timestamp can support current dashboard-status evidence. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius readiness."
2026-06-20T02:19:32Z,ai-first,computed_bmkg_dashboard_status_source_scan,air_monitoring_bmkg_dashboard_status_source_scan_v1,IDN-bmkg-dashboard-status-pm25_jm4,pm25_jm4,Muaro Jambi,MUARO JAMBI,True,ONLINE,2026-06-20 07:00:00,2026-06-20T00:00:00Z,2.33,True,19.6,SEDANG,-1.601043,103.494413,120,118,2,2026-06-20 07:00,True,False,True,False,False,False,False,False,dashboard_online_current_but_grade_still_blocked,"Use as official current dashboard-status evidence: the CEWS dashboard names this target location with ONLINE status and a recent timestamp. Do not use it as calibration, certificate, complete-grade, OpenAQ join, or radius evidence.","This scan records the official BMKG climate-information parent page and the embedded CEWS PM2.5 dashboardData object for the 22 BMKG target rows. A dashboard row with explicit ONLINE status and a recent timestamp can support current dashboard-status evidence. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius readiness."
2026-06-20T02:19:32Z,ai-first,computed_bmkg_dashboard_status_source_scan,air_monitoring_bmkg_dashboard_status_source_scan_v1,IDN-bmkg-dashboard-status-pm25_kmy3,pm25_kmy3,Kemayoran,KEMAYORAN,True,ONLINE,2026-06-20 07:00:00,2026-06-20T00:00:00Z,2.33,True,67.0,TIDAK SEHAT,-6.15599,106.84251,120,118,2,2026-06-20 07:00,True,False,True,False,False,False,False,False,dashboard_online_current_but_grade_still_blocked,"Use as official current dashboard-status evidence: the CEWS dashboard names this target location with ONLINE status and a recent timestamp. Do not use it as calibration, certificate, complete-grade, OpenAQ join, or radius evidence.","This scan records the official BMKG climate-information parent page and the embedded CEWS PM2.5 dashboardData object for the 22 BMKG target rows. A dashboard row with explicit ONLINE status and a recent timestamp can support current dashboard-status evidence. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius readiness."
2026-06-20T02:19:32Z,ai-first,computed_bmkg_dashboard_status_source_scan,air_monitoring_bmkg_dashboard_status_source_scan_v1,IDN-bmkg-dashboard-status-pm25_ktb2,pm25_ktb2,Kototabang,KOTOTABANG,True,ONLINE,2026-06-20 07:00:00,2026-06-20T00:00:00Z,2.33,True,2.7,BAIK,-0.251,100.382,120,117,3,2026-06-20 07:00,True,False,True,False,False,False,False,False,dashboard_online_current_but_grade_still_blocked,"Use as official current dashboard-status evidence: the CEWS dashboard names this target location with ONLINE status and a recent timestamp. Do not use it as calibration, certificate, complete-grade, OpenAQ join, or radius evidence.","This scan records the official BMKG climate-information parent page and the embedded CEWS PM2.5 dashboardData object for the 22 BMKG target rows. A dashboard row with explicit ONLINE status and a recent timestamp can support current dashboard-status evidence. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius readiness."
2026-06-20T02:19:32Z,ai-first,computed_bmkg_dashboard_status_source_scan,air_monitoring_bmkg_dashboard_status_source_scan_v1,IDN-bmkg-dashboard-status-pm25_mdn2,pm25_mdn2,Medan,MEDAN,True,ONLINE,2026-06-20 07:00:00,2026-06-20T00:00:00Z,2.33,True,26.8,SEDANG,3.59,98.85,120,118,2,2026-06-20 07:00,True,False,True,False,False,False,False,False,dashboard_online_current_but_grade_still_blocked,"Use as official current dashboard-status evidence: the CEWS dashboard names this target location with ONLINE status and a recent timestamp. Do not use it as calibration, certificate, complete-grade, OpenAQ join, or radius evidence.","This scan records the official BMKG climate-information parent page and the embedded CEWS PM2.5 dashboardData object for the 22 BMKG target rows. A dashboard row with explicit ONLINE status and a recent timestamp can support current dashboard-status evidence. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius readiness."
2026-06-20T02:19:32Z,ai-first,computed_bmkg_dashboard_status_source_scan,air_monitoring_bmkg_dashboard_status_source_scan_v1,IDN-bmkg-dashboard-status-pm25_mrs,pm25_mrs,Maros,MAROS,True,ONLINE,2026-06-20 08:00:00,2026-06-20T00:00:00Z,2.33,True,17.1,SEDANG,-4.997,119.57,120,118,2,2026-06-20 08:00,True,False,True,False,False,False,False,False,dashboard_online_current_but_grade_still_blocked,"Use as official current dashboard-status evidence: the CEWS dashboard names this target location with ONLINE status and a recent timestamp. Do not use it as calibration, certificate, complete-grade, OpenAQ join, or radius evidence.","This scan records the official BMKG climate-information parent page and the embedded CEWS PM2.5 dashboardData object for the 22 BMKG target rows. A dashboard row with explicit ONLINE status and a recent timestamp can support current dashboard-status evidence. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius readiness."
2026-06-20T02:19:32Z,ai-first,computed_bmkg_dashboard_status_source_scan,air_monitoring_bmkg_dashboard_status_source_scan_v1,IDN-bmkg-dashboard-status-pm25_msg,pm25_msg,Pesawaran,PESAWARAN,True,ONLINE,2026-06-20 07:00:00,2026-06-20T00:00:00Z,2.33,True,68.7,TIDAK SEHAT,-5.17,105.178,120,118,2,2026-06-20 07:00,True,False,True,False,False,False,False,False,dashboard_online_current_but_grade_still_blocked,"Use as official current dashboard-status evidence: the CEWS dashboard names this target location with ONLINE status and a recent timestamp. Do not use it as calibration, certificate, complete-grade, OpenAQ join, or radius evidence.","This scan records the official BMKG climate-information parent page and the embedded CEWS PM2.5 dashboardData object for the 22 BMKG target rows. A dashboard row with explicit ONLINE status and a recent timestamp can support current dashboard-status evidence. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius readiness."
