generated_at,attestation_chain,status,method,bmkg_installation_audit_scan_id,method_classification_audit_id,source_station_id,source_station_name,station_method_class,matched_source_keys,matched_source_roles,matched_source_scopes,matched_source_count,exact_station_audit_calibration_sources,pm25_installation_deployment_sources,source_level_operational_sources,station_specific_inspection_log_found,station_specific_calibration_certificate_found,calibration_status_available,current_status_confirmed,complete_monitor_grade_classification_available,station_radius_grade_assumption_ready,installation_audit_decision,reader_use,non_claim
2026-06-20T04:00:18Z,ai-first,computed_bmkg_installation_audit_source_scan,air_monitoring_bmkg_installation_audit_source_scan_v1,IDN-bmkg-installation-audit-pm25_bjb2,IDN-method-classification-pm25_bjb2,pm25_bjb2,Banjarbaru,Beta Attenuation Monitoring (BAM),,,,0,0,0,4,False,False,False,False,False,False,no_installation_or_audit_context,"No seeded installation, audit/calibration, or operational-monitoring source matched this target row.","This scan records official BMKG installation, audit/calibration, and operational-monitoring context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific calibration certificates, inspection logs, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T04:00:18Z,ai-first,computed_bmkg_installation_audit_source_scan,air_monitoring_bmkg_installation_audit_source_scan_v1,IDN-bmkg-installation-audit-pm25_btm2,IDN-method-classification-pm25_btm2,pm25_btm2,Batam,Beta Attenuation Monitoring (BAM),,,,0,0,0,4,False,False,False,False,False,False,no_installation_or_audit_context,"No seeded installation, audit/calibration, or operational-monitoring source matched this target row.","This scan records official BMKG installation, audit/calibration, and operational-monitoring context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific calibration certificates, inspection logs, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T04:00:18Z,ai-first,computed_bmkg_installation_audit_source_scan,air_monitoring_bmkg_installation_audit_source_scan_v1,IDN-bmkg-installation-audit-pm25_idp2,IDN-method-classification-pm25_idp2,pm25_idp2,Indrapuri,Beta Attenuation Monitoring (BAM),,,,0,0,0,4,False,False,False,False,False,False,no_installation_or_audit_context,"No seeded installation, audit/calibration, or operational-monitoring source matched this target row.","This scan records official BMKG installation, audit/calibration, and operational-monitoring context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific calibration certificates, inspection logs, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T04:00:18Z,ai-first,computed_bmkg_installation_audit_source_scan,air_monitoring_bmkg_installation_audit_source_scan_v1,IDN-bmkg-installation-audit-pm25_jm3,IDN-method-classification-pm25_jm3,pm25_jm3,Kota Jambi,Beta Attenuation Monitoring (BAM),bmkg_annual_2020_pm25_installation,official_annual_report_installation,city_or_deployment_context,1,0,1,4,False,False,False,False,False,False,pm25_installation_deployment_context_no_certificate,"Official PM2.5 installation or deployment context exists, but it is not station certificate/status closure.","This scan records official BMKG installation, audit/calibration, and operational-monitoring context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific calibration certificates, inspection logs, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T04:00:18Z,ai-first,computed_bmkg_installation_audit_source_scan,air_monitoring_bmkg_installation_audit_source_scan_v1,IDN-bmkg-installation-audit-pm25_jm4,IDN-method-classification-pm25_jm4,pm25_jm4,Muaro Jambi,Beta Attenuation Monitoring (BAM),,,,0,0,0,4,False,False,False,False,False,False,no_installation_or_audit_context,"No seeded installation, audit/calibration, or operational-monitoring source matched this target row.","This scan records official BMKG installation, audit/calibration, and operational-monitoring context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific calibration certificates, inspection logs, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T04:00:18Z,ai-first,computed_bmkg_installation_audit_source_scan,air_monitoring_bmkg_installation_audit_source_scan_v1,IDN-bmkg-installation-audit-pm25_kmy3,IDN-method-classification-pm25_kmy3,pm25_kmy3,Kemayoran,Beta Attenuation Monitoring (BAM),,,,0,0,0,4,False,False,False,False,False,False,no_installation_or_audit_context,"No seeded installation, audit/calibration, or operational-monitoring source matched this target row.","This scan records official BMKG installation, audit/calibration, and operational-monitoring context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific calibration certificates, inspection logs, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T04:00:18Z,ai-first,computed_bmkg_installation_audit_source_scan,air_monitoring_bmkg_installation_audit_source_scan_v1,IDN-bmkg-installation-audit-pm25_ktb2,IDN-method-classification-pm25_ktb2,pm25_ktb2,Kototabang,Beta Attenuation Monitoring (BAM),bmkg_kototabang_wmo_audit_2019,official_station_audit_context,exact_station_or_unit,1,1,0,4,False,False,False,False,False,False,exact_station_audit_calibration_context_no_certificate,"Official station-level audit/calibration context exists, but no target PM2.5 calibration certificate or status record is public.","This scan records official BMKG installation, audit/calibration, and operational-monitoring context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific calibration certificates, inspection logs, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T04:00:18Z,ai-first,computed_bmkg_installation_audit_source_scan,air_monitoring_bmkg_installation_audit_source_scan_v1,IDN-bmkg-installation-audit-pm25_mdn2,IDN-method-classification-pm25_mdn2,pm25_mdn2,Medan,Beta Attenuation Monitoring (BAM),,,,0,0,0,4,False,False,False,False,False,False,no_installation_or_audit_context,"No seeded installation, audit/calibration, or operational-monitoring source matched this target row.","This scan records official BMKG installation, audit/calibration, and operational-monitoring context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific calibration certificates, inspection logs, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T04:00:18Z,ai-first,computed_bmkg_installation_audit_source_scan,air_monitoring_bmkg_installation_audit_source_scan_v1,IDN-bmkg-installation-audit-pm25_mrs,IDN-method-classification-pm25_mrs,pm25_mrs,Maros,Beta Attenuation Monitoring (BAM),,,,0,0,0,4,False,False,False,False,False,False,no_installation_or_audit_context,"No seeded installation, audit/calibration, or operational-monitoring source matched this target row.","This scan records official BMKG installation, audit/calibration, and operational-monitoring context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific calibration certificates, inspection logs, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T04:00:18Z,ai-first,computed_bmkg_installation_audit_source_scan,air_monitoring_bmkg_installation_audit_source_scan_v1,IDN-bmkg-installation-audit-pm25_msg,IDN-method-classification-pm25_msg,pm25_msg,Pesawaran,Beta Attenuation Monitoring (BAM),,,,0,0,0,4,False,False,False,False,False,False,no_installation_or_audit_context,"No seeded installation, audit/calibration, or operational-monitoring source matched this target row.","This scan records official BMKG installation, audit/calibration, and operational-monitoring context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific calibration certificates, inspection logs, calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
