generated_at,attestation_chain,status,method,bmkg_station_context_scan_id,method_classification_audit_id,source_station_id,source_station_name,station_method_class,public_context_source_keys,public_context_source_roles,public_context_source_scopes,public_context_source_count,station_unit_or_exact_context_sources,city_or_deployment_context_sources,method_context_sources,calibration_context_sources,inspection_context_sources,certificate_context_sources,station_specific_inspection_log_found,station_specific_calibration_certificate_found,calibration_status_available,current_status_confirmed,complete_monitor_grade_classification_available,station_radius_grade_assumption_ready,station_public_context_decision,reader_use,non_claim
2026-06-20T06:03:55Z,ai-first,computed_bmkg_station_public_context_source_scan,air_monitoring_bmkg_station_public_context_source_scan_v1,IDN-bmkg-station-public-context-pm25_bjb2,IDN-method-classification-pm25_bjb2,pm25_bjb2,Banjarbaru,Beta Attenuation Monitoring (BAM),,,,0,0,0,0,0,0,0,False,False,False,False,False,False,no_new_public_station_context,No seeded public station/unit source matched this target row.,"This scan records station-unit, academic, regulator, and deployment-area public context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T06:03:55Z,ai-first,computed_bmkg_station_public_context_source_scan,air_monitoring_bmkg_station_public_context_source_scan_v1,IDN-bmkg-station-public-context-pm25_btm2,IDN-method-classification-pm25_btm2,pm25_btm2,Batam,Beta Attenuation Monitoring (BAM),bmkg_lakip_2015_pm25_expansion,official_performance_report,city_or_deployment_context,1,0,1,1,1,1,0,False,False,False,False,False,False,deployment_area_context_no_station_certificate,"Public context names the city, station area, or deployment area, but not enough to close an exact station certificate gate.","This scan records station-unit, academic, regulator, and deployment-area public context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T06:03:55Z,ai-first,computed_bmkg_station_public_context_source_scan,air_monitoring_bmkg_station_public_context_source_scan_v1,IDN-bmkg-station-public-context-pm25_idp2,IDN-method-classification-pm25_idp2,pm25_idp2,Indrapuri,Beta Attenuation Monitoring (BAM),bmkg_lakip_2015_pm25_expansion,official_performance_report,city_or_deployment_context,1,0,1,1,1,1,0,False,False,False,False,False,False,deployment_area_context_no_station_certificate,"Public context names the city, station area, or deployment area, but not enough to close an exact station certificate gate.","This scan records station-unit, academic, regulator, and deployment-area public context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T06:03:55Z,ai-first,computed_bmkg_station_public_context_source_scan,air_monitoring_bmkg_station_public_context_source_scan_v1,IDN-bmkg-station-public-context-pm25_jm3,IDN-method-classification-pm25_jm3,pm25_jm3,Kota Jambi,Beta Attenuation Monitoring (BAM),unja_jambi_thesis_2025||kesans_jambi_2025||bmkg_lakip_2015_pm25_expansion,academic_station_study||academic_station_study||official_performance_report,exact_station_or_unit||exact_station_or_unit||city_or_deployment_context,3,2,1,3,2,3,0,False,False,False,False,False,False,station_named_method_and_calibration_context_no_certificate,"Station/unit public context names the source and method, with calibration language, but no station certificate or status record.","This scan records station-unit, academic, regulator, and deployment-area public context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T06:03:55Z,ai-first,computed_bmkg_station_public_context_source_scan,air_monitoring_bmkg_station_public_context_source_scan_v1,IDN-bmkg-station-public-context-pm25_jm4,IDN-method-classification-pm25_jm4,pm25_jm4,Muaro Jambi,Beta Attenuation Monitoring (BAM),,,,0,0,0,0,0,0,0,False,False,False,False,False,False,no_new_public_station_context,No seeded public station/unit source matched this target row.,"This scan records station-unit, academic, regulator, and deployment-area public context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T06:03:55Z,ai-first,computed_bmkg_station_public_context_source_scan,air_monitoring_bmkg_station_public_context_source_scan_v1,IDN-bmkg-station-public-context-pm25_kmy3,IDN-method-classification-pm25_kmy3,pm25_kmy3,Kemayoran,Beta Attenuation Monitoring (BAM),jakarta_dlh_air_quality_2023||bmkg_kemayoran_june_2022_press,regulator_air_quality_report||official_local_pm25_report,city_or_station_area||exact_station_or_unit,2,1,1,2,1,2,0,False,False,False,False,False,False,station_named_method_and_calibration_context_no_certificate,"Station/unit public context names the source and method, with calibration language, but no station certificate or status record.","This scan records station-unit, academic, regulator, and deployment-area public context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T06:03:55Z,ai-first,computed_bmkg_station_public_context_source_scan,air_monitoring_bmkg_station_public_context_source_scan_v1,IDN-bmkg-station-public-context-pm25_ktb2,IDN-method-classification-pm25_ktb2,pm25_ktb2,Kototabang,Beta Attenuation Monitoring (BAM),gaw_kototabang_sbk2020||gaw_kototabang_sbk2010,official_station_unit_publication||official_station_unit_publication,exact_station_or_unit||exact_station_or_unit,2,2,0,2,2,2,1,False,False,False,False,False,False,station_named_method_and_calibration_context_no_certificate,"Station/unit public context names the source and method, with calibration language, but no station certificate or status record.","This scan records station-unit, academic, regulator, and deployment-area public context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T06:03:55Z,ai-first,computed_bmkg_station_public_context_source_scan,air_monitoring_bmkg_station_public_context_source_scan_v1,IDN-bmkg-station-public-context-pm25_mdn2,IDN-method-classification-pm25_mdn2,pm25_mdn2,Medan,Beta Attenuation Monitoring (BAM),,,,0,0,0,0,0,0,0,False,False,False,False,False,False,no_new_public_station_context,No seeded public station/unit source matched this target row.,"This scan records station-unit, academic, regulator, and deployment-area public context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T06:03:55Z,ai-first,computed_bmkg_station_public_context_source_scan,air_monitoring_bmkg_station_public_context_source_scan_v1,IDN-bmkg-station-public-context-pm25_mrs,IDN-method-classification-pm25_mrs,pm25_mrs,Maros,Beta Attenuation Monitoring (BAM),,,,0,0,0,0,0,0,0,False,False,False,False,False,False,no_new_public_station_context,No seeded public station/unit source matched this target row.,"This scan records station-unit, academic, regulator, and deployment-area public context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
2026-06-20T06:03:55Z,ai-first,computed_bmkg_station_public_context_source_scan,air_monitoring_bmkg_station_public_context_source_scan_v1,IDN-bmkg-station-public-context-pm25_msg,IDN-method-classification-pm25_msg,pm25_msg,Pesawaran,Beta Attenuation Monitoring (BAM),,,,0,0,0,0,0,0,0,False,False,False,False,False,False,no_new_public_station_context,No seeded public station/unit source matched this target row.,"This scan records station-unit, academic, regulator, and deployment-area public context for BMKG BAM-classified PM2.5 rows. It does not certify station-specific inspection logs, calibration certificates or calibration status, complete monitor-grade classification, same-station OpenAQ joins, or station-radius coverage."
