generated_at,attestation_chain,status,method,row_method_source_scan_id,method_evidence_id,iso3,country,source_station_id,source_station_name,source_station_type,exact_source_evidence_type,exact_source_station_category,exact_pm25_signal,exact_live_pm25_value_raw,exact_live_pm25_value_status,public_current_row_observed_from_prior_audit,source_urls_retrieved_for_country,source_level_method_context_sources,source_level_current_context_sources,source_level_standard_context_sources,exact_station_detail_source_retrieved,exact_station_detail_url,exact_station_detail_timestamp_raw,exact_station_detail_timestamp_iso,exact_station_detail_recent_within_30_days,exact_station_detail_value_raw,exact_station_detail_method_terms,exact_station_id_source_keys,exact_station_name_source_keys,station_alias_context_source_keys,same_page_method_context_candidate,same_page_current_context_candidate,source_level_method_context_candidate,source_level_current_context_candidate,station_context_candidate,current_status_confirmed,station_method_classified,complete_monitor_grade_classification_available,station_radius_grade_assumption_ready,source_scan_decision,reader_use,non_claim
2026-06-19T13:08:23Z,ai-first,computed_indonesia_georgia_row_method_source_scan,air_monitoring_indonesia_georgia_row_method_source_scan_v1,GEO-row-method-source-01005,GEO-row_level_pm25_portal_or_api-01005,GEO,Georgia,01005,Tazakendi (working in test mode),air.gov.ge hourly station,official_hourly_station_api,ქალაქგარე სადგური,True,,missing_raw_value,True,4,3,3,3,False,,,,False,,,,,,False,False,True,True,False,False,False,False,False,source_level_context_only_keep_open,"Country source context exists, but it is not connected to the exact station row strongly enough for grade assumptions.","This scan checks public Indonesia and Georgia source language for exact-row method, operating, and station-context evidence. It does not certify any station as currently operating, complete monitor-grade, or station-radius-ready."
2026-06-19T13:08:23Z,ai-first,computed_indonesia_georgia_row_method_source_scan,air_monitoring_indonesia_georgia_row_method_source_scan_v1,GEO-row-method-source-AGMS,GEO-row_level_pm25_portal_or_api-AGMS,GEO,Georgia,AGMS,Tbilisi - Davit Agmashenebeli Ave. № 73a,air.gov.ge hourly station,official_hourly_station_api,ქალაქის ფონური სადგური,True,,missing_raw_value,True,4,3,3,3,False,,,,False,,,,,geo_tbilisi_air_quality_plan,False,False,True,True,True,False,False,False,False,georgia_station_alias_context_keep_not_grade_ready,"Georgia sources provide station or place context for a target row, but not a station-code method table or complete grade/current-status certification.","This scan checks public Indonesia and Georgia source language for exact-row method, operating, and station-context evidence. It does not certify any station as currently operating, complete monitor-grade, or station-radius-ready."
2026-06-19T13:08:23Z,ai-first,computed_indonesia_georgia_row_method_source_scan,air_monitoring_indonesia_georgia_row_method_source_scan_v1,GEO-row-method-source-BTUM,GEO-row_level_pm25_portal_or_api-BTUM,GEO,Georgia,BTUM,Batumi - T. Abuseridze Street №1,air.gov.ge hourly station,official_hourly_station_api,ქალაქის გზისპირა სადგური,True,,missing_raw_value,True,4,3,3,3,False,,,,False,,,,,,False,False,True,True,False,False,False,False,False,source_level_context_only_keep_open,"Country source context exists, but it is not connected to the exact station row strongly enough for grade assumptions.","This scan checks public Indonesia and Georgia source language for exact-row method, operating, and station-context evidence. It does not certify any station as currently operating, complete monitor-grade, or station-radius-ready."
2026-06-19T13:08:23Z,ai-first,computed_indonesia_georgia_row_method_source_scan,air_monitoring_indonesia_georgia_row_method_source_scan_v1,GEO-row-method-source-KUTS,GEO-row_level_pm25_portal_or_api-KUTS,GEO,Georgia,KUTS,Kutaisi - Lado Asatiani St.№98,air.gov.ge hourly station,official_hourly_station_api,ქალაქის გზისპირა სადგური,True,,missing_raw_value,True,4,3,3,3,False,,,,False,,,,,,False,False,True,True,False,False,False,False,False,source_level_context_only_keep_open,"Country source context exists, but it is not connected to the exact station row strongly enough for grade assumptions.","This scan checks public Indonesia and Georgia source language for exact-row method, operating, and station-context evidence. It does not certify any station as currently operating, complete monitor-grade, or station-radius-ready."
2026-06-19T13:08:23Z,ai-first,computed_indonesia_georgia_row_method_source_scan,air_monitoring_indonesia_georgia_row_method_source_scan_v1,GEO-row-method-source-KZBG,GEO-row_level_pm25_portal_or_api-KZBG,GEO,Georgia,KZBG,Tbilisi - Kazbegi Ave. near Vaso Godziashvili Garden,air.gov.ge hourly station,official_hourly_station_api,ქალაქის გზისპირა სადგური,True,,missing_raw_value,True,4,3,3,3,False,,,,False,,,,,airgov_home|geo_tbilisi_air_quality_plan,False,False,True,True,True,False,False,False,False,georgia_station_alias_context_keep_not_grade_ready,"Georgia sources provide station or place context for a target row, but not a station-code method table or complete grade/current-status certification.","This scan checks public Indonesia and Georgia source language for exact-row method, operating, and station-context evidence. It does not certify any station as currently operating, complete monitor-grade, or station-radius-ready."
2026-06-19T13:08:23Z,ai-first,computed_indonesia_georgia_row_method_source_scan,air_monitoring_indonesia_georgia_row_method_source_scan_v1,GEO-row-method-source-ORN01,GEO-row_level_pm25_portal_or_api-ORN01,GEO,Georgia,ORN01,Tbilisi - Marshal Gelovani Avenue №34,air.gov.ge hourly station,official_hourly_station_api,ქალაქის ფონური სადგური,True,,missing_raw_value,True,4,3,3,3,False,,,,False,,,,,geo_tbilisi_air_quality_plan,False,False,True,True,True,False,False,False,False,georgia_station_alias_context_keep_not_grade_ready,"Georgia sources provide station or place context for a target row, but not a station-code method table or complete grade/current-status certification.","This scan checks public Indonesia and Georgia source language for exact-row method, operating, and station-context evidence. It does not certify any station as currently operating, complete monitor-grade, or station-radius-ready."
2026-06-19T13:08:23Z,ai-first,computed_indonesia_georgia_row_method_source_scan,air_monitoring_indonesia_georgia_row_method_source_scan_v1,GEO-row-method-source-ORN02,GEO-row_level_pm25_portal_or_api-ORN02,GEO,Georgia,ORN02,Rustavi - Friendship Ave. №35a,air.gov.ge hourly station,official_hourly_station_api,ქალაქის ფონური სადგური,True,,missing_raw_value,True,4,3,3,3,False,,,,False,,,,,,False,False,True,True,False,False,False,False,False,source_level_context_only_keep_open,"Country source context exists, but it is not connected to the exact station row strongly enough for grade assumptions.","This scan checks public Indonesia and Georgia source language for exact-row method, operating, and station-context evidence. It does not certify any station as currently operating, complete monitor-grade, or station-radius-ready."
2026-06-19T13:08:23Z,ai-first,computed_indonesia_georgia_row_method_source_scan,air_monitoring_indonesia_georgia_row_method_source_scan_v1,GEO-row-method-source-ORN03,GEO-row_level_pm25_portal_or_api-ORN03,GEO,Georgia,ORN03,"Batumi - Batumi Central Park, 6 May Park",air.gov.ge hourly station,official_hourly_station_api,ქალაქის ფონური სადგური,True,,missing_raw_value,True,4,3,3,3,False,,,,False,,,,,,False,False,True,True,False,False,False,False,False,source_level_context_only_keep_open,"Country source context exists, but it is not connected to the exact station row strongly enough for grade assumptions.","This scan checks public Indonesia and Georgia source language for exact-row method, operating, and station-context evidence. It does not certify any station as currently operating, complete monitor-grade, or station-radius-ready."
2026-06-19T13:08:23Z,ai-first,computed_indonesia_georgia_row_method_source_scan,air_monitoring_indonesia_georgia_row_method_source_scan_v1,GEO-row-method-source-ORN04,GEO-row_level_pm25_portal_or_api-ORN04,GEO,Georgia,ORN04,Kutaisi-Ninoshvili Street and D.Aghmashenebeli Ave.,air.gov.ge hourly station,official_hourly_station_api,ქალაქის ფონური სადგური,True,,missing_raw_value,True,4,3,3,3,False,,,,False,,,,,,False,False,True,True,False,False,False,False,False,source_level_context_only_keep_open,"Country source context exists, but it is not connected to the exact station row strongly enough for grade assumptions.","This scan checks public Indonesia and Georgia source language for exact-row method, operating, and station-context evidence. It does not certify any station as currently operating, complete monitor-grade, or station-radius-ready."
2026-06-19T13:08:23Z,ai-first,computed_indonesia_georgia_row_method_source_scan,air_monitoring_indonesia_georgia_row_method_source_scan_v1,GEO-row-method-source-ORN05,GEO-row_level_pm25_portal_or_api-ORN05,GEO,Georgia,ORN05,Zugdidi - Rustaveli Street №192,air.gov.ge hourly station,official_hourly_station_api,ქალაქის ფონური სადგური,True,,missing_raw_value,True,4,3,3,3,False,,,,False,,,,,airgov_home,False,False,True,True,True,False,False,False,False,georgia_station_alias_context_keep_not_grade_ready,"Georgia sources provide station or place context for a target row, but not a station-code method table or complete grade/current-status certification.","This scan checks public Indonesia and Georgia source language for exact-row method, operating, and station-context evidence. It does not certify any station as currently operating, complete monitor-grade, or station-radius-ready."
