generated_at,attestation_chain,status,method,iso3,iso2,country,source_name,source_station_id,source_station_name,source_station_type,official_latitude,official_longitude,pm25_signal,nearest_openaq_location_id,nearest_openaq_location_name,nearest_openaq_distance_km,nearest_openaq_within_5km,best_openaq_name_overlap,name_overlap_with_openaq,reconciliation_evidence_lane,candidate_same_station_validated,station_radius_join_ready,reader_use,non_claim
2026-06-19T07:47:02Z,ai-first,computed,air_monitoring_official_openaq_reconciliation_audit_v1,BGD,BD,Bangladesh,Ambient Air Quality in Bangladesh,CAMS-1,"DoE, Agargaon, Dhaka",CAMS,23.777444,90.372617,True,6251395,"Mirpur, Shewrapara | Dhaka | Smart Air Bangladesh",1.158,True,1,True,near_and_name_overlap_candidate,False,False,Candidate reconciliation row: nearest OpenAQ row is within 5 km and the extraction found a name-overlap signal. Still requires source validation.,"This official-to-OpenAQ reconciliation audit uses proximity and name-overlap signals as screening evidence only. It does not validate same-station joins, does not prove OpenAQ or official inventories are complete, and does not compute station-radius population coverage."
2026-06-19T07:47:02Z,ai-first,computed,air_monitoring_official_openaq_reconciliation_audit_v1,BGD,BD,Bangladesh,Ambient Air Quality in Bangladesh,CAMS-2,"BARC, Farmgate",CAMS,23.760883,90.389319,True,6242079,Moghbazar; Bhodro Goli | Dhaka | Smart Air Bangladesh,1.836,True,0,False,near_only_candidate,False,False,"Proximity candidate only: nearest OpenAQ row is within 5 km, but no name-overlap signal was found.","This official-to-OpenAQ reconciliation audit uses proximity and name-overlap signals as screening evidence only. It does not validate same-station joins, does not prove OpenAQ or official inventories are complete, and does not compute station-radius population coverage."
2026-06-19T07:47:02Z,ai-first,computed,air_monitoring_official_openaq_reconciliation_audit_v1,BGD,BD,Bangladesh,Ambient Air Quality in Bangladesh,CAMS-3,"Darus-Salam, Mirpur",CAMS,23.782167,90.355783,True,6251395,"Mirpur, Shewrapara | Dhaka | Smart Air Bangladesh",1.85,True,1,True,near_and_name_overlap_candidate,False,False,Candidate reconciliation row: nearest OpenAQ row is within 5 km and the extraction found a name-overlap signal. Still requires source validation.,"This official-to-OpenAQ reconciliation audit uses proximity and name-overlap signals as screening evidence only. It does not validate same-station joins, does not prove OpenAQ or official inventories are complete, and does not compute station-radius population coverage."
2026-06-19T07:47:02Z,ai-first,computed,air_monitoring_official_openaq_reconciliation_audit_v1,BGD,BD,Bangladesh,Ambient Air Quality in Bangladesh,CAMS-4,Gazipur,CAMS,23.994128,90.422315,True,6234078,Kaliganj | Gazipur | Smart Air Bangladesh,15.813,False,1,True,name_overlap_not_near_candidate,False,False,"Name-overlap candidate only: the extraction found a name signal, but the nearest OpenAQ row is not within 5 km.","This official-to-OpenAQ reconciliation audit uses proximity and name-overlap signals as screening evidence only. It does not validate same-station joins, does not prove OpenAQ or official inventories are complete, and does not compute station-radius population coverage."
2026-06-19T07:47:02Z,ai-first,computed,air_monitoring_official_openaq_reconciliation_audit_v1,BGD,BD,Bangladesh,Ambient Air Quality in Bangladesh,CAMS-5,Narayanganj,CAMS,23.626079,90.5072,True,22,SPARTAN - Dhaka University,15.878,False,0,False,official_coordinate_without_openaq_candidate,False,False,Official coordinate row has neither a within-5-km OpenAQ row nor a name-overlap signal in the current extraction.,"This official-to-OpenAQ reconciliation audit uses proximity and name-overlap signals as screening evidence only. It does not validate same-station joins, does not prove OpenAQ or official inventories are complete, and does not compute station-radius population coverage."
2026-06-19T07:47:02Z,ai-first,computed,air_monitoring_official_openaq_reconciliation_audit_v1,BGD,BD,Bangladesh,Ambient Air Quality in Bangladesh,CAMS-6,"TV Station, Khulshi",CAMS,22.360487,91.800454,True,22,SPARTAN - Dhaka University,209.078,False,0,False,official_coordinate_without_openaq_candidate,False,False,Official coordinate row has neither a within-5-km OpenAQ row nor a name-overlap signal in the current extraction.,"This official-to-OpenAQ reconciliation audit uses proximity and name-overlap signals as screening evidence only. It does not validate same-station joins, does not prove OpenAQ or official inventories are complete, and does not compute station-radius population coverage."
2026-06-19T07:47:02Z,ai-first,computed,air_monitoring_official_openaq_reconciliation_audit_v1,BGD,BD,Bangladesh,Ambient Air Quality in Bangladesh,CAMS-7,Agrabad,CAMS,22.323068,91.802242,True,22,SPARTAN - Dhaka University,212.26,False,0,False,official_coordinate_without_openaq_candidate,False,False,Official coordinate row has neither a within-5-km OpenAQ row nor a name-overlap signal in the current extraction.,"This official-to-OpenAQ reconciliation audit uses proximity and name-overlap signals as screening evidence only. It does not validate same-station joins, does not prove OpenAQ or official inventories are complete, and does not compute station-radius population coverage."
2026-06-19T07:47:02Z,ai-first,computed,air_monitoring_official_openaq_reconciliation_audit_v1,BGD,BD,Bangladesh,Ambient Air Quality in Bangladesh,CAMS-8,Boyra,CAMS,22.835775,89.529056,True,6236590,"Hazaribagh, Jigatola | Dhaka | Smart Air Bangladesh",132.511,False,0,False,official_coordinate_without_openaq_candidate,False,False,Official coordinate row has neither a within-5-km OpenAQ row nor a name-overlap signal in the current extraction.,"This official-to-OpenAQ reconciliation audit uses proximity and name-overlap signals as screening evidence only. It does not validate same-station joins, does not prove OpenAQ or official inventories are complete, and does not compute station-radius population coverage."
2026-06-19T07:47:02Z,ai-first,computed,air_monitoring_official_openaq_reconciliation_audit_v1,BGD,BD,Bangladesh,Ambient Air Quality in Bangladesh,CAMS-9,Sapura,CAMS,24.383221,88.607837,True,3194367,"Dept. of Public Health and Informatics, Jahangirnagar University",176.97,False,0,False,official_coordinate_without_openaq_candidate,False,False,Official coordinate row has neither a within-5-km OpenAQ row nor a name-overlap signal in the current extraction.,"This official-to-OpenAQ reconciliation audit uses proximity and name-overlap signals as screening evidence only. It does not validate same-station joins, does not prove OpenAQ or official inventories are complete, and does not compute station-radius population coverage."
2026-06-19T07:47:02Z,ai-first,computed,air_monitoring_official_openaq_reconciliation_audit_v1,BGD,BD,Bangladesh,Ambient Air Quality in Bangladesh,CAMS-10,Red Crecent Campus,CAMS,24.888381,91.867317,True,6219798,"Kalijung,Gazipur",173.651,False,0,False,official_coordinate_without_openaq_candidate,False,False,Official coordinate row has neither a within-5-km OpenAQ row nor a name-overlap signal in the current extraction.,"This official-to-OpenAQ reconciliation audit uses proximity and name-overlap signals as screening evidence only. It does not validate same-station joins, does not prove OpenAQ or official inventories are complete, and does not compute station-radius population coverage."
