generated_at,attestation_chain,status,method,manifest_key,source_key,source_name,source_family,source_role,denominator_type,candidate_role,source_plan_version,resolved_version,vintage,resolution,geography_scope,file_format,route_type,manifest_status,exact_file_url,s3_key,content_length_bytes,size_mb,size_class,exact_route_visible,source_plan_version_drift,unresolved_shared_folder,download_feasibility,selection_role,first_wave_candidate,denominator_gate_closer,reader_use,proposed_action,blocking_gap,non_claim
2026-06-20T10:10:33Z,ai-first,computed_station_radius_denominator_download_feasibility,air_monitoring_station_radius_denominator_download_feasibility_v1,ghsl_2020_4326_3ss_full_zip,ghsl_jrc_ghs_pop_r2023a,JRC GHSL GHS-POP R2023A,GHSL,primary_population_denominator,population,primary_observed_population_full_global_zip,R2023A,R2023A V1-0,2020 observed estimate,4326 3 arc-second,global,zip_geotiff,apache_exact_file_url,exact_population_file_manifest_not_downloaded,https://cidportal.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2020_GLOBE_R2023A_4326_3ss/V1-0/GHS_POP_E2020_GLOBE_R2023A_4326_3ss_V1_0.zip,,12554406149,12554.406,giant_over_1gb,True,False,False,defer_large_population_archive,defer_until_dmc_tile_selection,False,False,"The exact GHSL archive is visible, but the global ZIP is too large for a first checksum loop when a tile route exists.",Derive a DMC-intersecting tile list or a narrower source subset before download.,The package still lacks a selected gridded population denominator and radius method.,"This feasibility gate classifies exact denominator file/object records by download risk, version drift, source role, and next evidence action. It does not download or checksum GHSL, WorldPop, or ACAG files; does not select a final population denominator; does not compute station-radius population or PM2.5 exposure; does not validate same-station joins; and does not promote monitor-grade rows."
2026-06-20T10:10:33Z,ai-first,computed_station_radius_denominator_download_feasibility,air_monitoring_station_radius_denominator_download_feasibility_v1,ghsl_2025_4326_3ss_full_zip,ghsl_jrc_ghs_pop_r2023a,JRC GHSL GHS-POP R2023A,GHSL,primary_population_denominator,population,projection_population_sensitivity_full_global_zip,R2023A,R2023A V1-0,2025 projection,4326 3 arc-second,global,zip_geotiff,apache_exact_file_url,exact_population_file_manifest_not_downloaded,https://cidportal.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2025_GLOBE_R2023A_4326_3ss/V1-0/GHS_POP_E2025_GLOBE_R2023A_4326_3ss_V1_0.zip,,12855350515,12855.351,giant_over_1gb,True,False,False,defer_large_population_archive,defer_until_dmc_tile_selection,False,False,"The exact GHSL archive is visible, but the global ZIP is too large for a first checksum loop when a tile route exists.",Derive a DMC-intersecting tile list or a narrower source subset before download.,The package still lacks a selected gridded population denominator and radius method.,"This feasibility gate classifies exact denominator file/object records by download risk, version drift, source role, and next evidence action. It does not download or checksum GHSL, WorldPop, or ACAG files; does not select a final population denominator; does not compute station-radius population or PM2.5 exposure; does not validate same-station joins; and does not promote monitor-grade rows."
2026-06-20T10:10:33Z,ai-first,computed_station_radius_denominator_download_feasibility,air_monitoring_station_radius_denominator_download_feasibility_v1,ghsl_2020_54009_100_full_zip,ghsl_jrc_ghs_pop_r2023a,JRC GHSL GHS-POP R2023A,GHSL,primary_population_denominator,population,primary_observed_population_100m_full_global_zip,R2023A,R2023A V1-0,2020 observed estimate,Mollweide 100m,global,zip_geotiff,apache_exact_file_url,exact_population_file_manifest_not_downloaded,https://cidportal.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2020_GLOBE_R2023A_54009_100/V1-0/GHS_POP_E2020_GLOBE_R2023A_54009_100_V1_0.zip,,5097074334,5097.074,giant_over_1gb,True,False,False,defer_large_population_archive,defer_until_dmc_tile_selection,False,False,"The exact GHSL archive is visible, but the global ZIP is too large for a first checksum loop when a tile route exists.",Derive a DMC-intersecting tile list or a narrower source subset before download.,The package still lacks a selected gridded population denominator and radius method.,"This feasibility gate classifies exact denominator file/object records by download risk, version drift, source role, and next evidence action. It does not download or checksum GHSL, WorldPop, or ACAG files; does not select a final population denominator; does not compute station-radius population or PM2.5 exposure; does not validate same-station joins; and does not promote monitor-grade rows."
2026-06-20T10:10:33Z,ai-first,computed_station_radius_denominator_download_feasibility,air_monitoring_station_radius_denominator_download_feasibility_v1,ghsl_2020_4326_3ss_tile_example,ghsl_jrc_ghs_pop_r2023a,JRC GHSL GHS-POP R2023A,GHSL,primary_population_denominator,population,tile_route_example_not_selected_dmc_subset,R2023A,R2023A V1-0,2020 observed estimate,4326 3 arc-second tile,global tile grid example,zip_geotiff_tile,apache_exact_file_url,exact_population_file_manifest_not_downloaded,https://cidportal.jrc.ec.europa.eu/ftp/jrc-opendata/GHSL/GHS_POP_GLOBE_R2023A/GHS_POP_E2020_GLOBE_R2023A_4326_3ss/V1-0/tiles/GHS_POP_E2020_GLOBE_R2023A_4326_3ss_V1_0_R1_C8.zip,,3645538,3.646,small_under_10mb,True,False,False,route_test_candidate_not_selected_denominator,safe_population_route_test_only,True,False,"This small GHSL tile proves a tractable route exists, but it is only a global tile example and is not selected for any DMC catchment.","Use only as a route/checksum test, then build a DMC-intersecting tile list before denominator use.",A route-test tile is not a selected population denominator.,"This feasibility gate classifies exact denominator file/object records by download risk, version drift, source role, and next evidence action. It does not download or checksum GHSL, WorldPop, or ACAG files; does not select a final population denominator; does not compute station-radius population or PM2.5 exposure; does not validate same-station joins; and does not promote monitor-grade rows."
2026-06-20T10:10:33Z,ai-first,computed_station_radius_denominator_download_feasibility,air_monitoring_station_radius_denominator_download_feasibility_v1,worldpop_global2_r2025a_population_zip,worldpop_global2_r2025a,WorldPop Global2 population counts R2025A,WorldPop,sensitivity_population_denominator,population,sensitivity_population_archive,R2025A,R2025A v1,2015-2030 population estimates archive,WorldPop Global2 archive,global country archive,zip_geotiff_archive,apache_exact_file_url,exact_population_file_manifest_not_downloaded,https://data.worldpop.org/repo/prj/Global_2015_2030/R2025A/population_estimates/v1/population_G2_R2025A_v1.zip,,5584195277,5584.195,giant_over_1gb,True,False,False,defer_large_population_archive,sensitivity_archive_deferred,False,False,"The WorldPop archive is exact and public, but it is a multi-gigabyte sensitivity source rather than the first denominator pull.","Use the metadata table first, then look for a country or tiled extraction route before the full archive.",Sensitivity population archive is not selected and not checksummed.,"This feasibility gate classifies exact denominator file/object records by download risk, version drift, source role, and next evidence action. It does not download or checksum GHSL, WorldPop, or ACAG files; does not select a final population denominator; does not compute station-radius population or PM2.5 exposure; does not validate same-station joins; and does not promote monitor-grade rows."
2026-06-20T10:10:33Z,ai-first,computed_station_radius_denominator_download_feasibility,air_monitoring_station_radius_denominator_download_feasibility_v1,worldpop_global2_r2025a_country_type_table,worldpop_global2_r2025a,WorldPop Global2 population counts R2025A,WorldPop,sensitivity_population_denominator,context_metadata,country_territory_metadata_table,R2025A,R2025A v1,2026 table release,metadata table,countries and territories,csv,apache_exact_file_url,exact_context_metadata_file_manifest,https://data.worldpop.org/repo/prj/Global_2015_2030/R2025A/population_estimates_table_1/v1/List_of_countries_and_territories_and_types_of_data_used_Global2.csv,,15197,0.015,tiny_under_1mb,True,False,False,metadata_download_feasible_not_denominator,metadata_coverage_check_candidate,True,False,"This small metadata CSV can check WorldPop source coverage, but it is not a gridded population denominator.","Download or cache only as metadata, then record a SHA-256 if it becomes an input.",Metadata does not close the population-raster denominator gate.,"This feasibility gate classifies exact denominator file/object records by download risk, version drift, source role, and next evidence action. It does not download or checksum GHSL, WorldPop, or ACAG files; does not select a final population denominator; does not compute station-radius population or PM2.5 exposure; does not validate same-station joins; and does not promote monitor-grade rows."
2026-06-20T10:10:33Z,ai-first,computed_station_radius_denominator_download_feasibility,air_monitoring_station_radius_denominator_download_feasibility_v1,acag_v6gl03_2023_global_coarse_pm25,acag_v6gl0204_pm25,ACAG SatPM2.5 AWS Registry current object,ACAG,primary_pm25_denominator,pm25,current_aws_global_coarse_object_version_drift,V6.GL.02.04 on source page route,V6.GL.03 on AWS registry,2023 annual,0.1 degree coarse,global,netcdf,s3_exact_object,exact_current_aws_object_manifest_with_version_drift,https://satpmdata.s3.amazonaws.com/V6GL03/CoarseResolution/GL/Annual/V6GL03.CNNPM25.0p10.GL.202301-202312.nc,V6GL03/CoarseResolution/GL/Annual/V6GL03.CNNPM25.0p10.GL.202301-202312.nc,5201631,5.202,small_under_10mb,True,True,False,conditional_pm25_checksum_candidate_after_version_decision,global_pm25_sanity_candidate,True,False,"The ACAG coarse NetCDF is small enough for a checksum test, but it is V6.GL.03 while the source-plan route named V6.GL.02.04/V5.","Resolve whether V6.GL.03 is an acceptable current substitute or only a supplement; if accepted, download and record SHA-256 before inspecting variables.",ACAG version drift must be recorded before this object enters the denominator workflow.,"This feasibility gate classifies exact denominator file/object records by download risk, version drift, source role, and next evidence action. It does not download or checksum GHSL, WorldPop, or ACAG files; does not select a final population denominator; does not compute station-radius population or PM2.5 exposure; does not validate same-station joins; and does not promote monitor-grade rows."
2026-06-20T10:10:33Z,ai-first,computed_station_radius_denominator_download_feasibility,air_monitoring_station_radius_denominator_download_feasibility_v1,acag_v6gl03_2023_global_fine_pm25,acag_v6gl0204_pm25,ACAG SatPM2.5 AWS Registry current object,ACAG,primary_pm25_denominator,pm25,current_aws_global_fine_object_version_drift,V6.GL.02.04 on source page route,V6.GL.03 on AWS registry,2023 annual,fine-resolution NetCDF,global,netcdf,s3_exact_object,exact_current_aws_object_manifest_with_version_drift,https://satpmdata.s3.amazonaws.com/V6GL03/FineResolution/GL/Annual/V6GL03.CNNPM25.GL.202301-202312.nc,V6GL03/FineResolution/GL/Annual/V6GL03.CNNPM25.GL.202301-202312.nc,448263138,448.263,large_under_500mb,True,True,False,defer_large_pm25_object_until_method_selected,global_fine_pm25_deferred,False,False,"The global fine ACAG object is exact, but it is much larger than the regional coarse candidates and still carries version drift.","Defer until a regional pilot proves the version, variables, and catchment workflow.",A large current-version object is not a first-wave denominator input.,"This feasibility gate classifies exact denominator file/object records by download risk, version drift, source role, and next evidence action. It does not download or checksum GHSL, WorldPop, or ACAG files; does not select a final population denominator; does not compute station-radius population or PM2.5 exposure; does not validate same-station joins; and does not promote monitor-grade rows."
2026-06-20T10:10:33Z,ai-first,computed_station_radius_denominator_download_feasibility,air_monitoring_station_radius_denominator_download_feasibility_v1,acag_v6gl03_2023_asia_coarse_pm25,acag_v6gl0204_pm25,ACAG SatPM2.5 AWS Registry current object,ACAG,primary_pm25_denominator,pm25,current_aws_asia_coarse_object_version_drift,V6.GL.02.04 on source page route,V6.GL.03 on AWS registry,2023 annual,0.1 degree coarse,Asia regional object,netcdf,s3_exact_object,exact_current_aws_object_manifest_with_version_drift,https://satpmdata.s3.amazonaws.com/V6GL03/CoarseResolution/AS/Annual/V6GL03.CNNPM25.0p10.AS.202301-202312.nc,V6GL03/CoarseResolution/AS/Annual/V6GL03.CNNPM25.0p10.AS.202301-202312.nc,1098264,1.098,small_under_10mb,True,True,False,conditional_pm25_checksum_candidate_after_version_decision,primary_pm25_first_wave_candidate,True,False,"The ACAG coarse NetCDF is small enough for a checksum test, but it is V6.GL.03 while the source-plan route named V6.GL.02.04/V5.","Resolve whether V6.GL.03 is an acceptable current substitute or only a supplement; if accepted, download and record SHA-256 before inspecting variables.",ACAG version drift must be recorded before this object enters the denominator workflow.,"This feasibility gate classifies exact denominator file/object records by download risk, version drift, source role, and next evidence action. It does not download or checksum GHSL, WorldPop, or ACAG files; does not select a final population denominator; does not compute station-radius population or PM2.5 exposure; does not validate same-station joins; and does not promote monitor-grade rows."
2026-06-20T10:10:33Z,ai-first,computed_station_radius_denominator_download_feasibility,air_monitoring_station_radius_denominator_download_feasibility_v1,acag_v6gl03_2023_asia_fine_pm25,acag_v6gl0204_pm25,ACAG SatPM2.5 AWS Registry current object,ACAG,primary_pm25_denominator,pm25,current_aws_asia_fine_object_version_drift,V6.GL.02.04 on source page route,V6.GL.03 on AWS registry,2023 annual,fine-resolution NetCDF,Asia regional object,netcdf,s3_exact_object,exact_current_aws_object_manifest_with_version_drift,https://satpmdata.s3.amazonaws.com/V6GL03/FineResolution/AS/Annual/V6GL03.CNNPM25.AS.202301-202312.nc,V6GL03/FineResolution/AS/Annual/V6GL03.CNNPM25.AS.202301-202312.nc,92407694,92.408,moderate_under_100mb,True,True,False,second_wave_pm25_candidate_after_coarse_validation,fine_pm25_second_wave_candidate,False,False,The Asia fine-resolution ACAG object is feasible after the coarse object validates the route and method.,Defer until the ACAG version decision and coarse-file checksum/variable inspection are complete.,Fine-resolution PM2.5 should not be the first file in a version-drifted workflow.,"This feasibility gate classifies exact denominator file/object records by download risk, version drift, source role, and next evidence action. It does not download or checksum GHSL, WorldPop, or ACAG files; does not select a final population denominator; does not compute station-radius population or PM2.5 exposure; does not validate same-station joins; and does not promote monitor-grade rows."
2026-06-20T10:10:33Z,ai-first,computed_station_radius_denominator_download_feasibility,air_monitoring_station_radius_denominator_download_feasibility_v1,acag_v6gl0204_box_shared_folder_not_exact,acag_v6gl0204_pm25,ACAG SatPM2.5 V6.GL.02.04 Box route,ACAG,primary_pm25_denominator,pm25,source_plan_box_route_not_exact_file_manifest,V6.GL.02.04,,1998-2023 source-plan route,0.01 or 0.1 degree route unresolved,Box shared route,box_shared_folder,shared_folder_route,shared_folder_route_not_exact_file_manifest,https://wustl.box.com/s/y143mciw7jz7ft2qe3hccjw65m3xe8f2,,0,0,unknown_size,False,False,True,blocked_unresolved_shared_folder,blocked_manifest_gap,False,False,"The source route exists, but the public evidence still lacks exact file names, sizes, and object metadata.",Resolve a public file manifest or documented object name before using this route.,Shared-folder routes are not reproducible file manifests.,"This feasibility gate classifies exact denominator file/object records by download risk, version drift, source role, and next evidence action. It does not download or checksum GHSL, WorldPop, or ACAG files; does not select a final population denominator; does not compute station-radius population or PM2.5 exposure; does not validate same-station joins; and does not promote monitor-grade rows."
2026-06-20T10:10:33Z,ai-first,computed_station_radius_denominator_download_feasibility,air_monitoring_station_radius_denominator_download_feasibility_v1,acag_v5gl0502_box_shared_folder_not_exact,acag_v5gl0502_pm25,ACAG SatPM2.5 V5.GL.05.02 Box route,ACAG,sensitivity_pm25_denominator,pm25,source_plan_box_route_not_exact_file_manifest,V5.GL.05.02,,1998-2023 source-plan route,0.01 or 0.05 degree route unresolved,Box shared route,box_shared_folder,shared_folder_route,shared_folder_route_not_exact_file_manifest,https://wustl.box.com/v/ACAG-V5GL0502-GWRPM25,,0,0,unknown_size,False,False,True,blocked_unresolved_shared_folder,blocked_manifest_gap,False,False,"The source route exists, but the public evidence still lacks exact file names, sizes, and object metadata.",Resolve a public file manifest or documented object name before using this route.,Shared-folder routes are not reproducible file manifests.,"This feasibility gate classifies exact denominator file/object records by download risk, version drift, source role, and next evidence action. It does not download or checksum GHSL, WorldPop, or ACAG files; does not select a final population denominator; does not compute station-radius population or PM2.5 exposure; does not validate same-station joins; and does not promote monitor-grade rows."
