generated_at,attestation_chain,status,method,status_certification_evidence_id,source_station_id,source_station_name,api_alias,official_region_name,official_region_view_url,official_detail_updated_iso,official_detail_updated_age_days,official_detail_recent_measurement_within_30_days,official_detail_pm25_value,official_detail_pm25_value_status,official_region_horiba_context_found,official_event_note_match_found,source_level_method_context_sources,source_level_current_context_sources,source_level_certification_context_sources,source_level_calibration_context_sources,additional_exact_station_source_keys,additional_context_source_keys,tashkent_reference_grade_context_candidate,district_commissioning_context_candidate,regional_realtime_network_context_candidate,stale_detail_measurement_followup,sentinel_detail_measurement_followup,current_status_confirmed,station_method_classified,complete_monitor_grade_classification_available,station_radius_grade_assumption_ready,source_scan_decision,reader_use,non_claim
2026-06-19T12:32:13Z,ai-first,computed_uzbekistan_status_certification_source_scan,air_monitoring_uzbekistan_status_certification_source_scan_v1,UZB-status-certification-107,107,Атмосфера ҳавоси мониторинги автоматлаштирилган станцияси,avtomaticheskaja-stantsija-monitoringa-atmosfernogo-vozduha,Tashkent city,https://monitoring.meteo.uz/en/map/view/107,2026-05-01,49,False,13.698,positive,False,False,6,7,3,1,,world_bank_tashkent_aqm_text,True,False,False,True,False,False,False,False,False,stale_detail_measurement_follow_up_keep_blocked,"The station-detail URL matches the target ID, but the latest detail timestamp is older than 30 days.","This scan checks public source language for station-status, maintenance, calibration, and reference-grade context. It does not certify any target station as currently operating, complete monitor-grade, or station-radius-ready."
2026-06-19T12:32:13Z,ai-first,computed_uzbekistan_status_certification_source_scan,air_monitoring_uzbekistan_status_certification_source_scan_v1,UZB-status-certification-108,108,Атмосфера ҳавоси мониторинги автоматлаштирилган станцияси,avtomaticheskaja-ctantsija-monitoringa-atmosfernogo-vozduha,Tashkent city,https://monitoring.meteo.uz/en/map/view/108,2026-06-19,0,True,8.44,positive,True,False,6,7,3,1,,world_bank_tashkent_aqm_text,True,False,False,False,False,False,False,False,False,reference_grade_context_candidate_keep_open,"A technical report supports Tashkent Uzhydromet reference-grade context, but it does not name this public station ID.","This scan checks public source language for station-status, maintenance, calibration, and reference-grade context. It does not certify any target station as currently operating, complete monitor-grade, or station-radius-ready."
2026-06-19T12:32:13Z,ai-first,computed_uzbekistan_status_certification_source_scan,air_monitoring_uzbekistan_status_certification_source_scan_v1,UZB-status-certification-714,714,Автоматическая станция мониторинга атмосферного воздуха (Beta),avtomaticheskaja-stantsija-monitoringa-atmosfernogo-vozduha-beta-,Syrdarya region,https://monitoring.meteo.uz/en/map/view/714,2026-06-19,0,True,0.081,positive,True,False,6,7,3,1,,,False,False,False,False,False,False,False,False,False,recent_detail_measurement_no_grade_keep_open,"The station-detail page has a recent measurement timestamp, but no complete current-status or grade statement.","This scan checks public source language for station-status, maintenance, calibration, and reference-grade context. It does not certify any target station as currently operating, complete monitor-grade, or station-radius-ready."
2026-06-19T12:32:13Z,ai-first,computed_uzbekistan_status_certification_source_scan,air_monitoring_uzbekistan_status_certification_source_scan_v1,UZB-status-certification-715,715,Автоматическая станция мониторинга атмосферного воздуха (Beta),avtomaticheskaja-stantsija-monitoringa-atmosfernogo-vozduha-beta-,Djizzak region,https://monitoring.meteo.uz/en/map/view/715,2026-06-19,0,True,6.956,positive,True,False,6,7,3,1,,,False,False,False,False,False,False,False,False,False,recent_detail_measurement_no_grade_keep_open,"The station-detail page has a recent measurement timestamp, but no complete current-status or grade statement.","This scan checks public source language for station-status, maintenance, calibration, and reference-grade context. It does not certify any target station as currently operating, complete monitor-grade, or station-radius-ready."
2026-06-19T12:32:13Z,ai-first,computed_uzbekistan_status_certification_source_scan,air_monitoring_uzbekistan_status_certification_source_scan_v1,UZB-status-certification-716,716,Автоматическая станция мониторинга атмосферного воздуха (Beta),avtomaticheskaja-stantsija-monitoringa-atmosfernogo-vozduha-beta-,Samarkand region,https://monitoring.meteo.uz/en/map/view/716,2026-06-19,0,True,12.26,positive,True,False,6,7,3,1,,,False,False,False,False,False,False,False,False,False,recent_detail_measurement_no_grade_keep_open,"The station-detail page has a recent measurement timestamp, but no complete current-status or grade statement.","This scan checks public source language for station-status, maintenance, calibration, and reference-grade context. It does not certify any target station as currently operating, complete monitor-grade, or station-radius-ready."
2026-06-19T12:32:13Z,ai-first,computed_uzbekistan_status_certification_source_scan,air_monitoring_uzbekistan_status_certification_source_scan_v1,UZB-status-certification-717,717,Автоматическая станция мониторинга атмосферного воздуха (Beta),avtomaticheskaja-stantsija-monitoringa-atmosfernogo-vozduha-beta-,Surkhandarya region,https://monitoring.meteo.uz/en/map/view/717,2026-06-19,0,True,16.491,positive,True,False,6,7,3,1,,,False,False,False,False,False,False,False,False,False,recent_detail_measurement_no_grade_keep_open,"The station-detail page has a recent measurement timestamp, but no complete current-status or grade statement.","This scan checks public source language for station-status, maintenance, calibration, and reference-grade context. It does not certify any target station as currently operating, complete monitor-grade, or station-radius-ready."
2026-06-19T12:32:13Z,ai-first,computed_uzbekistan_status_certification_source_scan,air_monitoring_uzbekistan_status_certification_source_scan_v1,UZB-status-certification-718,718,Автоматическая станция мониторинга атмосферного воздуха (Beta),avtomaticheskaja-stantsija-monitoringa-atmosfernogo-vozduha-beta-,The Republic of Karakalpakstan,https://monitoring.meteo.uz/en/map/view/718,2026-06-19,0,True,44.177,positive,True,False,6,7,3,1,,undp_aral_air_quality_2025,False,False,True,False,False,False,False,False,False,regional_realtime_network_context_candidate_keep_open,"A development-partner page supports regional 24/7 automatic network context, but not the exact target station grade.","This scan checks public source language for station-status, maintenance, calibration, and reference-grade context. It does not certify any target station as currently operating, complete monitor-grade, or station-radius-ready."
2026-06-19T12:32:13Z,ai-first,computed_uzbekistan_status_certification_source_scan,air_monitoring_uzbekistan_status_certification_source_scan_v1,UZB-status-certification-719,719,Автоматическая станция мониторинга атмосферного воздуха (Beta),avtomaticheskaja-stantsija-monitoringa-atmosfernogo-vozduha-beta-,Khorezm region,https://monitoring.meteo.uz/en/map/view/719,2026-06-19,0,True,6.902,positive,True,False,6,7,3,1,,,False,False,False,False,False,False,False,False,False,recent_detail_measurement_no_grade_keep_open,"The station-detail page has a recent measurement timestamp, but no complete current-status or grade statement.","This scan checks public source language for station-status, maintenance, calibration, and reference-grade context. It does not certify any target station as currently operating, complete monitor-grade, or station-radius-ready."
2026-06-19T12:32:13Z,ai-first,computed_uzbekistan_status_certification_source_scan,air_monitoring_uzbekistan_status_certification_source_scan_v1,UZB-status-certification-720,720,Автоматическая станция мониторинга атмосферного воздуха (Beta),avtomaticheskaja-stantsija-monitoringa-atmosfernogo-vozduha-beta-,Tashkent city,https://monitoring.meteo.uz/en/map/view/720,2026-06-19,0,True,32.189,positive,True,False,6,7,3,1,,,False,False,False,False,False,False,False,False,False,recent_detail_measurement_no_grade_keep_open,"The station-detail page has a recent measurement timestamp, but no complete current-status or grade statement.","This scan checks public source language for station-status, maintenance, calibration, and reference-grade context. It does not certify any target station as currently operating, complete monitor-grade, or station-radius-ready."
2026-06-19T12:32:13Z,ai-first,computed_uzbekistan_status_certification_source_scan,air_monitoring_uzbekistan_status_certification_source_scan_v1,UZB-status-certification-721,721,Автоматическая станция мониторинга атмосферного воздуха (Beta),avtomaticheskaja-stantsija-monitoringa-atmosfernogo-vozduha-beta-,Kashkadarya region,https://monitoring.meteo.uz/en/map/view/721,2026-06-19,0,True,7.183,positive,True,False,6,7,3,1,,,False,False,False,False,False,False,False,False,False,recent_detail_measurement_no_grade_keep_open,"The station-detail page has a recent measurement timestamp, but no complete current-status or grade statement.","This scan checks public source language for station-status, maintenance, calibration, and reference-grade context. It does not certify any target station as currently operating, complete monitor-grade, or station-radius-ready."
2026-06-19T12:32:13Z,ai-first,computed_uzbekistan_status_certification_source_scan,air_monitoring_uzbekistan_status_certification_source_scan_v1,UZB-status-certification-722,722,Автоматическая станция мониторинга атмосферного воздуха (Beta),avtomaticheskaja-stantsija-monitoringa-atmosfernogo-vozduha-beta-,Navoi region,https://monitoring.meteo.uz/en/map/view/722,2026-06-19,0,True,5.438,positive,True,False,6,7,3,1,,,False,False,False,False,False,False,False,False,False,recent_detail_measurement_no_grade_keep_open,"The station-detail page has a recent measurement timestamp, but no complete current-status or grade statement.","This scan checks public source language for station-status, maintenance, calibration, and reference-grade context. It does not certify any target station as currently operating, complete monitor-grade, or station-radius-ready."
2026-06-19T12:32:13Z,ai-first,computed_uzbekistan_status_certification_source_scan,air_monitoring_uzbekistan_status_certification_source_scan_v1,UZB-status-certification-723,723,Автоматическая станция мониторинга атмосферного воздуха (Beta),avtomaticheskaja-stantsija-monitoringa-atmosfernogo-vozduha-beta-,Bukhara region,https://monitoring.meteo.uz/en/map/view/723,2026-06-19,0,True,6.585,positive,True,False,6,7,3,1,,,False,False,False,False,False,False,False,False,False,recent_detail_measurement_no_grade_keep_open,"The station-detail page has a recent measurement timestamp, but no complete current-status or grade statement.","This scan checks public source language for station-status, maintenance, calibration, and reference-grade context. It does not certify any target station as currently operating, complete monitor-grade, or station-radius-ready."
2026-06-19T12:32:13Z,ai-first,computed_uzbekistan_status_certification_source_scan,air_monitoring_uzbekistan_status_certification_source_scan_v1,UZB-status-certification-724,724,Автоматическая станция мониторинга атмосферного воздуха (Beta),avtomaticheskaja-stantsija-monitoringa-atmosfernogo-vozduha-beta-,Andijan region,https://monitoring.meteo.uz/en/map/view/724,2026-06-19,0,True,7.373,positive,True,False,6,7,3,1,,,False,False,False,False,False,False,False,False,False,recent_detail_measurement_no_grade_keep_open,"The station-detail page has a recent measurement timestamp, but no complete current-status or grade statement.","This scan checks public source language for station-status, maintenance, calibration, and reference-grade context. It does not certify any target station as currently operating, complete monitor-grade, or station-radius-ready."
2026-06-19T12:32:13Z,ai-first,computed_uzbekistan_status_certification_source_scan,air_monitoring_uzbekistan_status_certification_source_scan_v1,UZB-status-certification-725,725,Автоматическая станция мониторинга атмосферного воздуха (Beta),avtomaticheskaja-stantsija-monitoringa-atmosfernogo-vozduha-beta-,Namangan region,https://monitoring.meteo.uz/en/map/view/725,2026-06-19,0,True,11.299,positive,True,False,6,7,3,1,,,False,False,False,False,False,False,False,False,False,recent_detail_measurement_no_grade_keep_open,"The station-detail page has a recent measurement timestamp, but no complete current-status or grade statement.","This scan checks public source language for station-status, maintenance, calibration, and reference-grade context. It does not certify any target station as currently operating, complete monitor-grade, or station-radius-ready."
2026-06-19T12:32:13Z,ai-first,computed_uzbekistan_status_certification_source_scan,air_monitoring_uzbekistan_status_certification_source_scan_v1,UZB-status-certification-726,726,Автоматическая станция мониторинга атмосферного воздуха (Beta),avtomaticheskaja-stantsija-monitoringa-atmosfernogo-vozduha-beta-,Ferghana region,https://monitoring.meteo.uz/en/map/view/726,2026-06-19,0,True,9.505,positive,True,False,6,7,3,1,,,False,False,False,False,False,False,False,False,False,recent_detail_measurement_no_grade_keep_open,"The station-detail page has a recent measurement timestamp, but no complete current-status or grade statement.","This scan checks public source language for station-status, maintenance, calibration, and reference-grade context. It does not certify any target station as currently operating, complete monitor-grade, or station-radius-ready."
2026-06-19T12:32:13Z,ai-first,computed_uzbekistan_status_certification_source_scan,air_monitoring_uzbekistan_status_certification_source_scan_v1,UZB-status-certification-727,727,Автоматическая станция мониторинга атмосферного воздуха (Beta),avtomaticheskaja-stantsija-monitoringa-atmosfernogo-vozduha-beta-,Tashkent region,https://monitoring.meteo.uz/en/map/view/727,2026-06-19,0,True,16.284,positive,True,False,6,7,3,1,,,False,False,False,False,False,False,False,False,False,recent_detail_measurement_no_grade_keep_open,"The station-detail page has a recent measurement timestamp, but no complete current-status or grade statement.","This scan checks public source language for station-status, maintenance, calibration, and reference-grade context. It does not certify any target station as currently operating, complete monitor-grade, or station-radius-ready."
2026-06-19T12:32:13Z,ai-first,computed_uzbekistan_status_certification_source_scan,air_monitoring_uzbekistan_status_certification_source_scan_v1,UZB-status-certification-728,728,Sergili,sergili,Tashkent city,https://monitoring.meteo.uz/en/map/view/728,2026-06-16,3,True,-9999,negative,True,False,6,7,3,1,,,False,False,False,False,True,False,False,False,False,sentinel_measurement_follow_up_keep_blocked,The station-detail page is recent but the PM2.5 value is a negative sentinel; do not use it as current-status evidence.,"This scan checks public source language for station-status, maintenance, calibration, and reference-grade context. It does not certify any target station as currently operating, complete monitor-grade, or station-radius-ready."
2026-06-19T12:32:13Z,ai-first,computed_uzbekistan_status_certification_source_scan,air_monitoring_uzbekistan_status_certification_source_scan_v1,UZB-status-certification-729,729,Yangi O'zbekiston,jangi-uzbekistan,Tashkent city,https://monitoring.meteo.uz/en/map/view/729,2026-06-19,0,True,11.98,positive,True,True,6,7,3,1,gov_uz_eco_event_en,,False,False,False,False,False,False,False,False,False,exact_station_event_context_keep_open,"A public official source names the station in event context, but it does not certify current operating status or complete grade.","This scan checks public source language for station-status, maintenance, calibration, and reference-grade context. It does not certify any target station as currently operating, complete monitor-grade, or station-radius-ready."
2026-06-19T12:32:13Z,ai-first,computed_uzbekistan_status_certification_source_scan,air_monitoring_uzbekistan_status_certification_source_scan_v1,UZB-status-certification-730,730,Safia,safia,Tashkent city,https://monitoring.meteo.uz/en/map/view/730,2026-06-19,0,True,16.341,positive,True,False,6,7,3,1,,,False,False,False,False,False,False,False,False,False,recent_detail_measurement_no_grade_keep_open,"The station-detail page has a recent measurement timestamp, but no complete current-status or grade statement.","This scan checks public source language for station-status, maintenance, calibration, and reference-grade context. It does not certify any target station as currently operating, complete monitor-grade, or station-radius-ready."
2026-06-19T12:32:13Z,ai-first,computed_uzbekistan_status_certification_source_scan,air_monitoring_uzbekistan_status_certification_source_scan_v1,UZB-status-certification-731,731,Green University,green-university,Tashkent city,https://monitoring.meteo.uz/en/map/view/731,2026-06-19,0,True,10.25,positive,True,False,6,7,3,1,,,False,False,False,False,False,False,False,False,False,recent_detail_measurement_no_grade_keep_open,"The station-detail page has a recent measurement timestamp, but no complete current-status or grade statement.","This scan checks public source language for station-status, maintenance, calibration, and reference-grade context. It does not certify any target station as currently operating, complete monitor-grade, or station-radius-ready."
