iso3,country,emp_agri_pct,emp_industry_pct,outdoor_labor_share_pct,pm25_exposure_ugm3,pm25_year,urban_pop_pct,population_total,exposed_outdoor_millions,workday_loss_pressure_index
AFG,Afghanistan,51.4544118826346,19.04343301785,61.0,46.0870936659706,2020,25.7007352636188,42647492.0,26.0,55.7
IND,India,42.3547738876441,25.3709259711612,55.0,48.3948115195574,2020,35.3788972368389,1450935791.0,798.6,53.1
BGD,Bangladesh,44.7360340472385,17.8924001804483,53.7,42.3813762359965,2020,32.6783196323307,173562364.0,93.2,44.6
PAK,Pakistan,36.5441423834632,25.1835107622697,49.1,42.9981734249878,2020,39.1734368360905,251269164.0,123.5,41.5
TJK,Tajikistan,44.1181384030014,17.2753166187659,52.8,37.0534062306267,2020,26.1788063651548,10590927.0,5.6,37.6
NPL,Nepal,23.4839369800344,31.0271815118578,39.0,45.7207706412594,2020,66.772343163029,29651054.0,11.6,35.3
MMR,Myanmar,45.3568178680874,18.1296238420573,54.4,32.3150340028667,2020,30.4499084074136,54500091.0,29.7,33.0
LAO,Lao PDR,68.9120737008234,7.39985422237704,72.6,22.3176670505669,2020,39.5552154401406,7769819.0,5.6,27.9
CHN,China,22.216498294765,31.6324437528704,38.0,34.8105237153218,2020,65.8946980998325,1408975000.0,535.9,25.2
THA,Thailand,28.9863358878798,22.2543475044884,40.1,31.0072016277159,2020,61.8689338391321,71668011.0,28.7,23.2
UZB,Uzbekistan,25.6474629581127,24.3810594797073,37.8,31.9604294559849,2020,50.9986686706543,36361859.0,13.8,22.7
ARM,Armenia,27.4809687153923,20.8968899438026,37.9,30.5796334750125,2020,65.8113671449901,3033500.0,1.2,21.6
BTN,Bhutan,43.2037500763452,15.5207251776298,51.0,23.9456576369223,2020,42.5645249803412,791524.0,0.4,21.5
MNG,Mongolia,27.2597520518923,22.9334937656896,38.7,29.6547866481682,2020,70.9566040039062,3524788.0,1.4,21.2
KHM,Cambodia,34.1649557689114,28.4335285509441,48.4,24.1436022803452,2020,40.8727033252729,17638801.0,8.5,20.6
AZE,Azerbaijan,34.691677509122,15.4306951621443,42.4,21.7269999756599,2020,58.573795837717,10202830.0,4.3,15.8
VNM,Viet Nam,25.8741334316538,34.3195198506067,43.0,20.8010641731194,2020,38.4900703430176,100987686.0,43.5,15.1
TLS,Timor-Leste,46.3461425138644,3.82114726083455,48.3,17.4104661970888,2020,28.6641074179574,1400638.0,0.7,13.3
LKA,Sri Lanka,26.3174160851635,26.0673919010104,39.4,19.9644408635608,2020,20.2996997058686,21916000.0,8.6,13.1
KGZ,Kyrgyzstan,16.0073167575328,26.489206002767,29.3,24.3817252281764,2020,34.7219977865937,7221868.0,2.1,12.6
TKM,Turkmenistan,22.2215537100341,28.6885908715035,36.6,19.5997611438189,2020,47.0875253910294,7494498.0,2.7,11.9
GEO,Georgia,34.7666736005864,16.3526300241056,42.9,17.0438421058507,2020,61.0789605093733,3699557.0,1.6,11.5
PNG,Papua New Guinea,37.4645053560814,7.70468343890426,41.3,17.3105425567239,2020,15.4061816403333,10576502.0,4.4,11.3
IDN,Indonesia,27.9600749776458,22.2861723546005,39.1,17.8814994983985,2020,58.7509635387997,283487931.0,110.9,11.2
PHL,Philippines,21.1858721910537,19.4979246002047,30.9,20.2887417122616,2020,55.4520983215477,115843670.0,35.8,10.5
VUT,Vanuatu,44.6348753178391,10.2591783021814,49.8,14.0824115364695,2020,22.2866933360645,327777.0,0.2,10.0
SLB,Solomon Islands,42.7493162152016,7.63437274840683,46.6,13.9542830081778,2020,30.6617188562194,819198.0,0.4,9.3
KAZ,Kazakhstan,11.6472432672662,19.8449690002484,21.6,20.0278724259165,2020,62.072531584162,20592571.0,4.4,7.2
FJI,Fiji,36.1080052142705,12.6088806226581,42.4,12.4187981716598,2020,59.0766602292457,928784.0,0.4,7.0
TON,Tonga,24.2367507171976,23.2885399365846,35.9,12.4784129504796,2020,21.1505271125521,104175.0,0.0,6.0
WSM,Samoa,27.735248658969,15.4032184744068,35.4,12.5518952802963,2020,17.5029115108018,218019.0,0.1,5.9
MYS,Malaysia,9.43694338106628,26.0022237887699,22.4,16.1938532237922,2020,76.9170296648992,35557673.0,8.0,5.6
MDV,Maldives,11.6326530612245,16.930986134912,20.1,12.0123911668511,2020,41.9982152717385,527799.0,0.1,3.1
BRN,Brunei Darussalam,1.23655122249443,20.4466042812964,11.5,7.59726503432135,2020,74.8983133873697,462721.0,0.1,0.7
COK,Cook Islands,,,,,,,,,
HKG,Hong Kong SAR,0.186011325209071,14.1160895423427,7.2,,,100.0,7524100.0,0.5,
KIR,Kiribati,,,,11.2568272545112,2020,62.4620431275642,134518.0,,
MHL,Marshall Islands,,,,10.7256194470999,2020,78.7325660244112,37548.0,,
FSM,Micronesia,,,,12.1144203347628,2020,22.4562830235421,113160.0,,
NRU,Nauru,,,,6.06435493209495,2020,100.0,11947.0,,
PLW,Palau,,,,7.32770979431049,2020,79.2095042878667,17695.0,,
TWN,Taiwan,,,,,,,,,
TUV,Tuvalu,,,,5.91780105591262,2020,64.7254793441291,9646.0,,
