package,member,suffix,compressed_bytes,uncompressed_bytes,crc32
general_characteristics,GHSL_UCDB_R2024_V1_2.pdf,.pdf,3024079,3488816,0d6b8ebc
general_characteristics,GHS_UCDB_THEME_GENERAL_CHARACTERISTICS_GLOBE_R2024A.csv,.csv,319600,1349331,d146be92
general_characteristics,GHS_UCDB_THEME_GENERAL_CHARACTERISTICS_GLOBE_R2024A.gpkg,.gpkg,2471068,9457664,11c5721a
general_characteristics,GHS_UCDB_THEME_GENERAL_CHARACTERISTICS_GLOBE_R2024A.pdf,.pdf,158853,189960,3527cd53
general_characteristics,GHS_UCDB_THEME_GENERAL_CHARACTERISTICS_GLOBE_R2024A.xlsx,.xlsx,924795,961817,b8766a6a
general_characteristics,readme_V1_2.txt,.txt,2694,7418,8f911e05
exposure,GHSL_UCDB_R2024_V1_2.pdf,.pdf,3024079,3488816,0d6b8ebc
exposure,GHS_UCDB_THEME_EXPOSURE_GLOBE_R2024A.csv,.csv,6946374,60447349,3240d82b
exposure,GHS_UCDB_THEME_EXPOSURE_GLOBE_R2024A.gpkg,.gpkg,8896604,41287680,f710ca9a
exposure,GHS_UCDB_THEME_EXPOSURE_GLOBE_R2024A.pdf,.pdf,762801,1132037,879a026d
exposure,GHS_UCDB_THEME_EXPOSURE_GLOBE_R2024A.xlsx,.xlsx,24774929,42281611,56cc3dc7
exposure,readme_V1_2.txt,.txt,2694,7418,8f911e05
