urban_centre_id,urban_centre,source_country,iso3,economy,urban_centre_area_km2_2025,urban_centre_population_2025,lecz5_population_1990,lecz10_population_1990,lecz10_share_pct_1990,lecz5_built_m2_1990,lecz10_built_m2_1990,lecz5_population_2000,lecz10_population_2000,lecz10_share_pct_2000,lecz5_built_m2_2000,lecz10_built_m2_2000,lecz5_population_2010,lecz10_population_2010,lecz10_share_pct_2010,lecz5_built_m2_2010,lecz10_built_m2_2010,lecz5_population_2020,lecz10_population_2020,lecz10_share_pct_2020,lecz5_built_m2_2020,lecz10_built_m2_2020
1,Apia,Samoa,WSM,Samoa,35.0,60041.66,279.72,8634.84,20.63,46244.0,596588.0,299.52,8800.4,18.47,49062.0,632857.0,308.85,8120.13,16.09,54429.0,675524.0,337.78,8078.8,14.5,57591.0,698533.0
2,Nuku'alofa,Tonga,TON,Tonga,20.0,51990.77,8991.55,33669.28,90.19,607141.0,2107385.0,10229.27,38389.850000000006,90.15,686758.0,2378417.0,11350.62,42698.18,89.99,694229.0,2412154.0,11654.37,43912.94,89.9,706969.0,2461237.0
136,Batumi,Georgia,GEO,Georgia,27.0,168437.89,8998.15,116014.18,84.5,401012.0,4211347.0,8522.62,104273.58,85.59,452921.0,4474069.0,10649.3,123348.05,87.64,510060.0,4684447.0,12960.94,141881.35,88.34,563817.0,4873994.0
142,Nakhchivan,Azerbaijan,AZE,Azerbaijan,22.0,175330.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,Turkmenbashy,Turkmenistan,TKM,Turkmenistan,16.0,54954.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,Gw?dar,Pakistan,PAK,Pakistan,20.0,92523.07,7316.09,73988.78,98.56,100812.0,723063.0,11622.63,88844.20000000001,98.7,210398.0,1156892.0,12733.69,94216.61,98.53,240865.0,1276320.0,12313.1,89435.36,98.47,259193.0,1347938.0
163,Kashgar,China,CHN,China,57.0,498252.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,Kralpora,India,IND,India,142.0,387660.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,Malé,Maldives,MDV,Maldives,13.0,229283.19,16988.14,58747.78,97.18,72318.0,158121.0,21725.75,75612.95999999999,97.21,74796.0,161604.0,36218.32,121479.29000000001,96.45,89770.0,179454.0,68263.81,215922.88,96.23,97493.0,188429.0
167,Jaffna,Sri Lanka,LKA,Sri Lanka,77.0,199496.88,12084.24,128695.75,69.42,281580.0,5956319.0,10948.1,125769.29000000001,67.94,291249.0,6059820.0,12046.26,136315.2,67.87,358373.0,6289417.0,11568.72,134668.62,67.35,395010.0,6414197.0
169,Thakurgaon,Bangladesh,BGD,Bangladesh,28.0,258371.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,Kyauktaw,Myanmar,MMR,Myanmar,7.0,70158.67,8862.23,66723.42,77.0,24148.0,179088.0,9815.86,82076.04,73.86,28342.0,234562.0,8865.61,76601.09,74.59,29617.0,254003.0,6892.69,60681.670000000006,74.99,30380.0,266339.0
172,Banda Aceh,Indonesia,IDN,Indonesia,103.0,361009.82,21466.77,195300.75,93.37,1618547.0,17733316.0,25971.21,265163.08,92.78,1743435.0,19274831.0,27294.28,273592.32,92.22,1813411.0,19941112.0,30137.45,314437.17,92.23,1908239.0,20490678.0
173,Chiang Mai,Thailand,THA,Thailand,225.0,692241.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,?i?n Biên Ph?,Vietnam,VNM,Viet Nam,17.0,58921.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,George Town,Malaysia,MYS,Malaysia,134.0,756640.61,7486.4,154196.96,34.11,520590.0,7367728.0,13141.07,181810.55000000002,33.26,947054.0,9405785.0,19068.4,224909.03,33.19,1151958.0,9925612.0,22912.86,242532.53999999998,33.2,1386672.0,10451790.0
177,Sampov Lun,Cambodia,KHM,Cambodia,10.0,79073.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,Bandar Seri Begawan,Brunei,BRN,Brunei Darussalam,37.0,77223.51,7752.79,14891.64,35.25,737894.0,1539555.0,9050.8,17663.61,33.34,808958.0,1733937.0,11163.27,21352.52,32.98,838464.0,1771822.0,12843.44,24201.800000000003,32.83,894761.0,1869730.0
185,Laoag,Philippines,PHL,Philippines,28.0,105064.42,1182.58,9658.12,16.72,55730.0,506527.0,1573.78,12647.730000000001,16.79,65777.0,570510.0,1832.43,15013.65,16.93,72242.0,638616.0,1983.0,17203.760000000002,17.21,79714.0,723911.0
186,Dili,Timor-Leste,TLS,Timor-Leste,46.0,381794.18,5315.52,40494.42,32.77,442149.0,2518591.0,5914.27,46336.19,31.68,459658.0,2781338.0,8491.95,65707.02,31.03,472257.0,2879295.0,13253.92,101111.45,31.05,495590.0,2958665.0
189,Honiara,Solomon Islands,SLB,Solomon Islands,39.0,137201.42,3507.92,6709.68,16.37,847305.0,1478406.0,5383.43,10178.880000000001,17.06,848551.0,1482716.0,7736.61,14440.14,18.05,876753.0,1542540.0,11386.76,21171.059999999998,18.49,894692.0,1581860.0
191,Port Vila,Vanuatu,VUT,Vanuatu,34.0,72613.05,640.76,1381.28,6.05,127816.0,228266.0,927.59,2013.0700000000002,6.01,133518.0,240456.0,1331.35,2876.76,5.91,145618.0,264385.0,1822.22,4001.6000000000004,6.3,154668.0,279451.0
192,Lautoka,Fiji,FJI,Fiji,22.0,53550.44,2121.21,4408.3,10.05,466229.0,934261.0,2114.96,4718.04,10.06,524936.0,1082392.0,2357.22,5293.32,10.29,565481.0,1160013.0,2416.47,5468.76,10.47,600517.0,1232014.0
309,Kutaisi,Georgia,GEO,Georgia,22.0,132035.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,Zagatala,Azerbaijan,AZE,Azerbaijan,14.0,53127.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,Balkanabat,Turkmenistan,TKM,Turkmenistan,18.0,85514.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,Turbat,Pakistan,PAK,Pakistan,28.0,187003.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332,Artush,China,CHN,China,21.0,120960.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333,Dwarka,India,IND,India,11.0,56911.98,2058.89,31275.02,73.29,54120.0,412015.0,2429.9,32773.13,72.65,86524.0,600891.0,2629.62,34937.840000000004,71.18,101545.0,717413.0,6266.5,41087.4,72.82,303739.0,1065388.0
335,Puttalam,Sri Lanka,LKA,Sri Lanka,18.0,56762.43,11669.51,31642.71,99.64,453009.0,1384368.0,15130.7,42328.06,99.57,494733.0,1480565.0,17636.77,49488.100000000006,99.4,669605.0,1866154.0,19152.16,54263.259999999995,99.32,761950.0,2078100.0
336,Panchagarh,Bangladesh,BGD,Bangladesh,14.0,144238.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338,Kalay,Myanmar,MMR,Myanmar,30.0,185720.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,Sigli,Indonesia,IDN,Indonesia,22.0,69196.86,10650.4,72859.31,96.05,430122.0,1994524.0,10961.84,74288.3,96.12,461395.0,2131162.0,10670.89,70655.6,96.11,486823.0,2215099.0,10562.54,68054.67,96.08,516957.0,2296989.0
340,Lamphun,Thailand,THA,Thailand,34.0,80879.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341,Lào Cai,Vietnam,VNM,Viet Nam,15.0,75157.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343,Alor Setar,Malaysia,MYS,Malaysia,70.0,248043.13,38221.63,176526.74,100.0,1573556.0,7544214.0,53461.28,194963.32,100.0,2933488.0,10748311.0,66568.92,222154.86,100.0,3860678.0,12147609.0,77565.96,250053.66999999998,100.0,4421607.0,12975591.0
344,Khum Pech Chenda,Cambodia,KHM,Cambodia,7.0,57967.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,Lambak,Brunei,BRN,Brunei Darussalam,30.0,69096.58,439.63,3980.55,10.41,64937.0,573656.0,460.64,4320.54,9.09,66268.0,623468.0,545.42,5170.06,8.96,66408.0,637765.0,627.64,6041.9400000000005,9.17,69418.0,676477.0
352,Vigan,Philippines,PHL,Philippines,43.0,106313.53,7263.54,44461.450000000004,79.81,392169.0,2613224.0,9255.0,57471.66,79.21,430805.0,2929231.0,10794.88,69047.61,78.61,469469.0,3147710.0,12160.59,79208.98999999999,78.77,499665.0,3265407.0
