sample_date,orbit_datetime_utc,radiance_url,quality_flag_url,catalog_url,bbox,matching_segment_count
2013-05-01,2013-05-01T17:19:43Z,https://globalnightlight.s3.amazonaws.com/201305/SVDNB_npp_d20130501_t1719439_e1725242_b07822_c20130501232526017119_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201305/npp_d20130501_t1719439_e1725242_b07822.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201305/201305_catalog.json,"[104.997916665, -6.997936665000001, 137.99794306500002, 18.002083335]",1
2013-05-06,2013-05-06T17:23:16Z,https://globalnightlight.s3.amazonaws.com/201305/SVDNB_npp_d20130506_t1723165_e1728569_b07893_c20130506232858153965_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201305/npp_d20130506_t1723165_e1728569_b07893.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201305/201305_catalog.json,"[104.997916665, 3.0020641349999977, 138.997943865, 27.002083335]",1
2013-05-11,2013-05-11T17:32:30Z,https://globalnightlight.s3.amazonaws.com/201305/SVDNB_npp_d20130511_t1732308_e1738112_b07964_c20130511233811766588_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201305/npp_d20130511_t1732308_e1738112_b07964.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201305/201305_catalog.json,"[101.997916665, -6.997936665000001, 134.99794306500002, 18.002083335]",1
2013-05-16,2013-05-16T17:36:03Z,https://globalnightlight.s3.amazonaws.com/201305/SVDNB_npp_d20130516_t1736035_e1741439_b08035_c20130516234143971395_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201305/npp_d20130516_t1736035_e1741439_b08035.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201305/201305_catalog.json,"[101.997916665, 2.002063334999999, 135.997943865, 27.002083335]",1
2013-05-21,2013-05-21T17:45:17Z,https://globalnightlight.s3.amazonaws.com/201305/SVDNB_npp_d20130521_t1745178_e1750564_b08106_c20130521235057974739_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201305/npp_d20130521_t1745178_e1750564_b08106.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201305/201305_catalog.json,"[97.997916665, -6.997935865000002, 130.99794306500002, 17.002083335]",1
2013-05-26,2013-05-26T17:48:48Z,https://globalnightlight.s3.amazonaws.com/201305/SVDNB_npp_d20130526_t1748487_e1754291_b08177_c20130526235430627739_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201305/npp_d20130526_t1748487_e1754291_b08177.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201305/201305_catalog.json,"[98.997916665, 2.002063334999999, 132.997943865, 27.002083335]",1
2013-06-01,2013-06-01T17:34:51Z,https://globalnightlight.s3.amazonaws.com/201306/SVDNB_npp_d20130601_t1734511_e1740315_b08262_c20130601234033257431_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201306/npp_d20130601_t1734511_e1740315_b08262.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201306/201306_catalog.json,"[102.997916665, 7.002064134999998, 137.997944665, 31.002083335]",1
2013-06-06,2013-06-06T17:44:05Z,https://globalnightlight.s3.amazonaws.com/201306/SVDNB_npp_d20130606_t1744055_e1749459_b08333_c20130606234947035380_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201306/npp_d20130606_t1744055_e1749459_b08333.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201306/201306_catalog.json,"[98.997916665, -2.9979358650000023, 132.997943865, 21.002083335]",1
2013-06-11,2013-06-11T17:47:38Z,https://globalnightlight.s3.amazonaws.com/201306/SVDNB_npp_d20130611_t1747382_e1753186_b08404_c20130611235318938315_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201306/npp_d20130611_t1747382_e1753186_b08404.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201306/201306_catalog.json,"[99.997916665, 6.002063334999999, 134.997944665, 31.002083335]",1
2013-06-16,2013-06-16T17:56:52Z,https://globalnightlight.s3.amazonaws.com/201306/SVDNB_npp_d20130616_t1756526_e1802312_b08475_c20130617000232942264_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201306/npp_d20130616_t1756526_e1802312_b08475.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201306/201306_catalog.json,"[95.997916665, -3.997936665000001, 128.99794306500002, 21.002083335]",1
2013-06-21,2013-06-21T18:00:23Z,https://globalnightlight.s3.amazonaws.com/201306/SVDNB_npp_d20130621_t1800235_e1806039_b08546_c20130622000605338171_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201306/npp_d20130621_t1800235_e1806039_b08546.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201306/201306_catalog.json,"[96.997916665, 6.002063334999999, 130.997943865, 31.002083335]",1
2013-06-26,2013-06-26T18:09:37Z,https://globalnightlight.s3.amazonaws.com/201306/SVDNB_npp_d20130626_t1809379_e1815183_b08617_c20130627001518951223_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201306/npp_d20130626_t1809379_e1815183_b08617.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201306/201306_catalog.json,"[92.997916665, -3.997936665000001, 125.997943065, 21.002083335]",1
2013-07-01,2013-07-01T18:13:10Z,https://globalnightlight.s3.amazonaws.com/201307/SVDNB_npp_d20130701_t1813106_e1818510_b08688_c20130702001851058880_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201307/npp_d20130701_t1813106_e1818510_b08688.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201307/201307_catalog.json,"[92.997916665, 5.002063334999999, 127.997944665, 30.002083335]",1
2013-07-06,2013-07-06T16:39:59Z,https://globalnightlight.s3.amazonaws.com/201307/SVDNB_npp_d20130706_t1639594_e1645398_b08758_c20130706224539804603_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201307/npp_d20130706_t1639594_e1645398_b08758.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201307/201307_catalog.json,"[115.997916665, -0.9979358650000023, 148.99794306500002, 23.002083335]",1
2013-07-11,2013-07-11T16:43:32Z,https://globalnightlight.s3.amazonaws.com/201307/SVDNB_npp_d20130711_t1643321_e1649125_b08829_c20130711224912858689_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201307/npp_d20130711_t1643321_e1649125_b08829.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201307/201307_catalog.json,"[115.997916665, 8.002063335000003, 150.997944665, 33.002083335]",2
2013-07-16,2013-07-16T16:52:44Z,https://globalnightlight.s3.amazonaws.com/201307/SVDNB_npp_d20130716_t1652446_e1658250_b08900_c20130716225826454613_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201307/npp_d20130716_t1652446_e1658250_b08900.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201307/201307_catalog.json,"[111.997916665, -1.997936665000001, 145.997943865, 23.002083335]",1
2013-07-21,2013-07-21T16:56:17Z,https://globalnightlight.s3.amazonaws.com/201307/SVDNB_npp_d20130721_t1656173_e1701576_b08971_c20130721230159063634_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201307/npp_d20130721_t1656173_e1701576_b08971.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201307/201307_catalog.json,"[112.997916665, 8.002063335000003, 147.997944665, 33.002083335]",1
2013-07-26,2013-07-26T17:05:31Z,https://globalnightlight.s3.amazonaws.com/201307/SVDNB_npp_d20130726_t1705316_e1711120_b09042_c20130726231112253272_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201307/npp_d20130726_t1705316_e1711120_b09042.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201307/201307_catalog.json,"[108.997916665, -0.9979358650000023, 142.997943865, 23.002083335]",1
2013-08-01,2013-08-01T16:51:34Z,https://globalnightlight.s3.amazonaws.com/201308/SVDNB_npp_d20130801_t1651340_e1657144_b09127_c20130801225715267771_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201308/npp_d20130801_t1651340_e1657144_b09127.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201308/201308_catalog.json,"[113.997916665, 3.002063334999999, 147.997943865, 28.002083335]",1
2013-08-06,2013-08-06T17:00:48Z,https://globalnightlight.s3.amazonaws.com/201308/SVDNB_npp_d20130806_t1700483_e1706287_b09198_c20130806230628951793_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201308/npp_d20130806_t1700483_e1706287_b09198.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201308/201308_catalog.json,"[109.997916665, -5.997936665000001, 142.99794306500002, 19.002083335]",1
2013-08-11,2013-08-11T17:04:21Z,https://globalnightlight.s3.amazonaws.com/201308/SVDNB_npp_d20130811_t1704210_e1709596_b09269_c20130811231001573015_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201308/npp_d20130811_t1704210_e1709596_b09269.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201308/201308_catalog.json,"[109.997916665, 4.002063334999999, 144.997944665, 29.002083335]",1
2013-08-16,2013-08-16T17:13:33Z,https://globalnightlight.s3.amazonaws.com/201308/SVDNB_npp_d20130816_t1713335_e1719139_b09340_c20130816231914471500_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201308/npp_d20130816_t1713335_e1719139_b09340.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201308/201308_catalog.json,"[106.997916665, -5.997936665000001, 139.99794306500002, 19.002083335]",1
2013-08-21,2013-08-21T17:17:06Z,https://globalnightlight.s3.amazonaws.com/201308/SVDNB_npp_d20130821_t1717062_e1722466_b09411_c20130821232247447726_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201308/npp_d20130821_t1717062_e1722466_b09411.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201308/201308_catalog.json,"[106.997916665, 4.002063334999999, 141.997944665, 29.002083335]",1
2013-08-26,2013-08-26T17:26:20Z,https://globalnightlight.s3.amazonaws.com/201308/SVDNB_npp_d20130826_t1726205_e1732009_b09482_c20130826233201571476_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201308/npp_d20130826_t1726205_e1732009_b09482.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201308/201308_catalog.json,"[103.997916665, -4.997936665000001, 136.99794306500002, 20.002083335]",1
2013-09-01,2013-09-01T17:12:22Z,https://globalnightlight.s3.amazonaws.com/201309/SVDNB_npp_d20130901_t1712229_e1718033_b09567_c20130901231803790703_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201309/npp_d20130901_t1712229_e1718033_b09567.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201309/201309_catalog.json,"[107.997916665, 0.002064134999997691, 141.997943865, 24.002083335]",1
2013-09-06,2013-09-06T17:15:55Z,https://globalnightlight.s3.amazonaws.com/201309/SVDNB_npp_d20130906_t1715556_e1721342_b09638_c20130906232135858654_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201309/npp_d20130906_t1715556_e1721342_b09638.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201309/201309_catalog.json,"[107.997916665, 9.002063335000003, 143.99794546500002, 34.002083335]",2
2013-09-11,2013-09-11T17:25:08Z,https://globalnightlight.s3.amazonaws.com/201309/SVDNB_npp_d20130911_t1725081_e1730485_b09709_c20130911233049395833_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201309/npp_d20130911_t1725081_e1730485_b09709.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201309/201309_catalog.json,"[104.997916665, 0.0020633349999990003, 138.997943865, 25.002083335]",1
2013-09-16,2013-09-16T17:34:22Z,https://globalnightlight.s3.amazonaws.com/201309/SVDNB_npp_d20130916_t1734225_e1740029_b09780_c20130916234003868622_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201309/npp_d20130916_t1734225_e1740029_b09780.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201309/201309_catalog.json,"[100.997916665, -9.997936665, 133.99794306500002, 15.002083335]",1
2013-09-21,2013-09-21T17:37:55Z,https://globalnightlight.s3.amazonaws.com/201309/SVDNB_npp_d20130921_t1737552_e1743356_b09851_c20130921234335808759_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201309/npp_d20130921_t1737552_e1743356_b09851.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201309/201309_catalog.json,"[101.997916665, 0.0020633349999990003, 134.99794306500002, 25.002083335]",1
2013-09-26,2013-09-26T17:47:07Z,https://globalnightlight.s3.amazonaws.com/201309/SVDNB_npp_d20130926_t1747079_e1752483_b09922_c20130926235249664244_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201309/npp_d20130926_t1747079_e1752483_b09922.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201309/201309_catalog.json,"[97.997916665, -9.997936665, 130.99794306500002, 15.002083335]",1
2013-10-01,2013-10-01T17:50:40Z,https://globalnightlight.s3.amazonaws.com/201310/SVDNB_npp_d20131001_t1750407_e1756211_b09993_c20131001235622189229_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201310/npp_d20131001_t1750407_e1756211_b09993.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201310/201310_catalog.json,"[98.997916665, 0.0020633349999990003, 131.99794306500002, 25.002083335]",1
2013-10-06,2013-10-06T17:59:55Z,https://globalnightlight.s3.amazonaws.com/201310/SVDNB_npp_d20131006_t1759552_e1805356_b10064_c20131007000535696363_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201310/npp_d20131006_t1759552_e1805356_b10064.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201310/201310_catalog.json,"[94.997916665, -8.997935865, 127.997943065, 15.002083335]",1
2013-10-11,2013-10-11T18:03:28Z,https://globalnightlight.s3.amazonaws.com/201310/SVDNB_npp_d20131011_t1803280_e1809066_b10135_c20131012000908254790_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201310/npp_d20131011_t1803280_e1809066_b10135.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201310/201310_catalog.json,"[94.997916665, 0.0020633349999990003, 128.997943865, 25.002083335]",1
2013-10-16,2013-10-16T16:30:15Z,https://globalnightlight.s3.amazonaws.com/201310/SVDNB_npp_d20131016_t1630151_e1635555_b10205_c20131016223556894590_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201310/npp_d20131016_t1630151_e1635555_b10205.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201310/201310_catalog.json,"[117.997916665, -5.997936665000001, 150.99794306500002, 19.002083335]",2
2013-10-21,2013-10-21T18:16:13Z,https://globalnightlight.s3.amazonaws.com/201310/SVDNB_npp_d20131021_t1816136_e1821540_b10277_c20131022002154604116_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201310/npp_d20131021_t1816136_e1821540_b10277.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201310/201310_catalog.json,"[91.997916665, 0.0020633349999990003, 125.997943865, 25.002083335]",2
2013-10-26,2013-10-26T16:43:02Z,https://globalnightlight.s3.amazonaws.com/201310/SVDNB_npp_d20131026_t1643025_e1648429_b10347_c20131026224843525420_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201310/npp_d20131026_t1643025_e1648429_b10347.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201310/201310_catalog.json,"[114.997916665, -5.997936665000001, 147.99794306500002, 19.002083335]",1
2013-11-01,2013-11-01T18:11:29Z,https://globalnightlight.s3.amazonaws.com/201311/SVDNB_npp_d20131101_t1811290_e1817094_b10433_c20131102001711161870_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201311/npp_d20131101_t1811290_e1817094_b10433.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201311/201311_catalog.json,"[92.997916665, -4.997936665000001, 125.997943065, 20.002083335]",1
2013-11-06,2013-11-06T18:15:01Z,https://globalnightlight.s3.amazonaws.com/201311/SVDNB_npp_d20131106_t1815019_e1820423_b10504_c20131107002043292282_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201311/npp_d20131106_t1815019_e1820423_b10504.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201311/201311_catalog.json,"[92.997916665, 5.002063334999999, 127.997944665, 30.002083335]",1
2013-11-11,2013-11-11T16:41:50Z,https://globalnightlight.s3.amazonaws.com/201311/SVDNB_npp_d20131111_t1641509_e1647313_b10574_c20131111224731267053_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201311/npp_d20131111_t1641509_e1647313_b10574.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201311/201311_catalog.json,"[115.997916665, -1.997936665000001, 148.99794306500002, 23.002083335]",1
2013-11-16,2013-11-16T16:45:23Z,https://globalnightlight.s3.amazonaws.com/201311/SVDNB_npp_d20131116_t1645239_e1651025_b10645_c20131116225104154047_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201311/npp_d20131116_t1645239_e1651025_b10645.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201311/201311_catalog.json,"[115.997916665, 8.002063335000003, 150.997944665, 33.002083335]",2
2013-11-21,2013-11-21T16:54:36Z,https://globalnightlight.s3.amazonaws.com/201311/SVDNB_npp_d20131121_t1654366_e1700170_b10716_c20131121230017858498_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201311/npp_d20131121_t1654366_e1700170_b10716.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201311/201311_catalog.json,"[111.997916665, -1.997936665000001, 145.997943865, 23.002083335]",1
2013-11-26,2013-11-26T16:58:09Z,https://globalnightlight.s3.amazonaws.com/201311/SVDNB_npp_d20131126_t1658096_e1703499_b10787_c20131126230350653077_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201311/npp_d20131126_t1658096_e1703499_b10787.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201311/201311_catalog.json,"[112.997916665, 8.002063335000003, 147.997944665, 33.002083335]",1
2013-12-01,2013-12-01T17:07:22Z,https://globalnightlight.s3.amazonaws.com/201312/SVDNB_npp_d20131201_t1707223_e1713027_b10858_c20131201231303780017_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201312/npp_d20131201_t1707223_e1713027_b10858.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201312/201312_catalog.json,"[108.997916665, -0.997936665000001, 142.997943865, 24.002083335]",1
2013-12-06,2013-12-06T17:10:55Z,https://globalnightlight.s3.amazonaws.com/201312/SVDNB_npp_d20131206_t1710553_e1716357_b10929_c20131206231636543912_noaa_ops.rade9.co.tif,https://globalnightlight.s3.amazonaws.com/201312/npp_d20131206_t1710553_e1716357_b10929.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/201312/201312_catalog.json,"[109.997916665, 9.002063335000003, 144.997944665, 34.002083335]",1
