iso3,country,total_events_2000_2025,total_affected,total_deaths,total_damage_usd_adj,events_per_year,years_covered
CHN,China,665,1771174061,115612,715643381558.0,25.58,26
IDN,Indonesia,408,46989450,189700,33904319326.0,15.69,26
IND,India,404,1146651046,90743,162630948683.0,15.54,26
PHL,Philippines,386,247376088,25811,33142454780.0,14.85,26
VNM,Viet Nam,200,49724762,5867,30490164301.0,7.69,26
PAK,Pakistan,159,102890514,89835,55559165731.0,6.12,26
AFG,Afghanistan,158,37013554,15121,466835903.0,6.08,26
BGD,Bangladesh,146,181508696,11714,15133477144.0,5.62,26
THA,Thailand,131,87693689,11543,69165431042.0,5.24,25
MYS,Malaysia,81,3495667,438,4597738246.0,3.52,23
NPL,Nepal,80,15158926,14396,8565566146.0,3.08,26
LKA,Sri Lanka,80,20787609,37995,5747500945.0,3.08,26
MMR,Myanmar,62,10444213,144754,9457641871.0,2.7,23
PNG,Papua New Guinea,54,3810654,1333,252501461.0,2.35,23
TJK,Tajikistan,58,6419959,350,1890418432.0,2.32,25
MNG,Mongolia,30,5606015,205,239045027.0,2.0,15
AZE,Azerbaijan,9,132293,50,294168944.0,1.8,5
FJI,Fiji,28,1505376,154,1346365249.0,1.75,16
LAO,Lao PDR,32,4501961,322,920693743.0,1.68,19
VUT,Vanuatu,26,1153288,44,697425172.0,1.62,16
KHM,Cambodia,34,16105372,1076,2010385788.0,1.48,23
KGZ,Kyrgyzstan,26,2192014,240,23072964.0,1.44,18
SLB,Solomon Islands,20,326834,189,39834550.0,1.43,14
BTN,Bhutan,7,21530,234,0.0,1.4,5
GEO,Georgia,25,1300622,80,1137156292.0,1.32,19
TLS,Timor-Leste,10,288039,49,29534702.0,1.25,8
KAZ,Kazakhstan,21,387552,124,354634967.0,1.24,17
TON,Tonga,12,225189,17,411050632.0,1.2,10
MHL,Marshall Islands,8,66280,0,6485086.0,1.14,7
FSM,"Micronesia, Fed. Sts.",9,267032,53,15430321.0,1.12,8
ARM,Armenia,11,436615,9,315234680.0,1.1,10
KIR,Kiribati,3,1805,0,0.0,1.0,3
MDV,Maldives,4,31983,102,780720897.0,1.0,4
WSM,Samoa,7,18287,170,365739431.0,1.0,7
TKM,Turkmenistan,1,0,11,0.0,1.0,1
TUV,Tuvalu,4,20317,0,0.0,1.0,4
UZB,Uzbekistan,6,671817,30,91082724.0,1.0,6
BRN,Brunei Darussalam,0,0,0,0.0,0.0,0
