iso3,country,gdis_id,disasterno,year,disastertype,locations,admin_levels,adm1_sample,adm2_sample,readiness_lane
PHL,Philippines,5364,2014-0479,2014,storm,39,L1:38; L2:1,Agusan Del Norte; Agusan Del Sur; Aklan; Albay; Antique; Bataan,Caraga; NA,needs_emdat_event_date_and_black_marble_extraction
PHL,Philippines,5328,2012-0260,2012,storm,35,L1:35,Aklan; Antique; Bataan; Batangas; Benguet; Bulacan,NA,needs_emdat_event_date_and_black_marble_extraction
PHL,Philippines,5357,2014-0227,2014,storm,34,L1:23; L2:11,Albay; Aurora; Bataan; Batangas; Biliran; Bulacan,Kalookan City; Malabon; Mandaluyong; Marikina; Muntinlupa; NA,needs_emdat_event_date_and_black_marble_extraction
PHL,Philippines,5365,2014-0497,2014,storm,33,L1:32; L2:1,Agusan Del Norte; Agusan Del Sur; Aklan; Antique; Bohol; Bukidnon,Caraga; NA,needs_emdat_event_date_and_black_marble_extraction
PHL,Philippines,5349,2013-0434,2013,flood,31,L1:29; L2:2,Aklan; Antique; Biliran; Bukidnon; Camiguin; Capiz,Caraga; Davao City; NA,needs_emdat_event_date_and_black_marble_extraction
PHL,Philippines,5361,2014-0390,2014,storm,31,L1:31,Aklan; Antique; Apayao; Aurora; Bataan; Benguet,NA,needs_emdat_event_date_and_black_marble_extraction
IND,India,02-262,2016-0271,2016,flood,30,L2:30,Bihar; Uttar Pradesh,Allahabad; Araria; Ballia; Banda; Begusarai; Bhagalpur,needs_emdat_event_date_and_black_marble_extraction
NPL,Nepal,4472,2013-0456,2013,flood,29,L3:29,Central; East; Far-Western; Mid-Western; West,Bagmati; Bheri; Dhaualagiri; Janakpur; Karnali; Koshi,needs_emdat_event_date_and_black_marble_extraction
PHL,Philippines,5371,2015-0283,2015,flood,28,L2:20; L1:8,Apayao; Bataan; Batangas; Benguet; Bulacan; Cavite,Atok; Baguio City; Bakun; Botolan; Candelaria; Conner,needs_emdat_event_date_and_black_marble_extraction
AFG,Afghanistan,92,2014-0134,2014,flood,27,L1:27,Badakhshan; Badghis; Baghlan; Balkh; Bamyan; Daykundi,NA,needs_emdat_event_date_and_black_marble_extraction
