iso3,country,cpi_inflation_pct,ag_imports_pct_merch,cpi_rank,imp_rank,max_rank,joint_qualifier_top5,joint_qualifier_top8
LAO,Lao PDR,23.13,4.57,1,2,2,True,True
PAK,Pakistan,12.63,4.34,2,3,3,True,True
BGD,Bangladesh,10.47,6.03,4,1,4,True,True
UZB,Uzbekistan,9.63,1.89,5,12,12,False,False
VNM,Viet Nam,3.62,2.52,15,8,15,False,False
TON,Tonga,3.23,1.72,16,15,16,False,False
BTN,Bhutan,2.76,2.9,18,6,18,False,False
IND,India,4.95,1.54,11,18,18,False,False
KIR,Kiribati,2.46,2.3,19,10,19,False,False
PLW,Palau,2.23,1.7,20,16,20,False,False
AZE,Azerbaijan,2.21,1.37,21,19,21,False,False
IDN,Indonesia,2.18,2.01,22,11,22,False,False
NPL,Nepal,4.69,1.29,12,22,22,False,False
WSM,Samoa,2.17,2.31,23,9,23,False,False
TLS,Timor-Leste,2.06,0.83,24,23,24,False,False
MYS,Malaysia,1.83,1.55,25,17,25,False,False
SLB,Solomon Islands,4.32,0.69,13,26,26,False,False
MDV,Maldives,1.4,1.35,27,20,27,False,False
KAZ,Kazakhstan,8.69,0.65,7,27,27,False,False
PHL,Philippines,3.21,0.55,17,28,28,False,False
THA,Thailand,1.37,1.31,28,21,28,False,False
MMR,Myanmar,8.83,0.54,6,29,29,False,False
GEO,Georgia,1.11,0.82,29,24,29,False,False
KHM,Cambodia,0.81,2.97,30,5,30,False,False
KGZ,Kyrgyzstan,5.0,0.47,10,31,31,False,False
PNG,Papua New Guinea,0.6,0.51,31,30,31,False,False
ARM,Armenia,0.27,0.7,32,25,32,False,False
MNG,Mongolia,6.2,0.43,8,32,32,False,False
CHN,China,0.22,2.66,33,7,33,False,False
FJI,Fiji,3.89,0.36,14,33,33,False,False
HKG,Hong Kong SAR,1.73,0.09,26,34,34,False,False
LKA,Sri Lanka,-0.43,1.89,35,13,35,False,False
BRN,Brunei Darussalam,-0.39,0.05,34,35,35,False,False
AFG,Afghanistan,-6.6,1.77,36,14,36,False,False
COK,Cook Islands,,,,,,False,False
MHL,Marshall Islands,,,,,,False,False
FSM,Micronesia,5.41,,9,,,False,False
NRU,Nauru,,,,,,False,False
TWN,Taiwan,,,,,,False,False
TJK,Tajikistan,,4.12,,4,,False,False
TKM,Turkmenistan,,,,,,False,False
TUV,Tuvalu,,,,,,False,False
VUT,Vanuatu,11.18,,3,,,False,False
