origin_iso3,origin_country,asylum_iso3,asylum_country,forced_displacement_abroad,refugees,asylum_seekers,other_people_in_need_protection
AFG,Afghanistan,IRN,Iran (Islamic Rep. of),3477082,3477082,0,0
AFG,Afghanistan,PAK,Pakistan,1758574,1559964,198610,0
MMR,Myanmar,BGD,Bangladesh,1005596,1005561,35,0
AFG,Afghanistan,DEU,Germany,324396,279737,44659,0
CHN,China,USA,United States of America,207953,60044,147909,0
MMR,Myanmar,MYS,Malaysia,170534,128365,42169,0
IND,India,USA,United States of America,140959,15062,125897,0
AZE,Azerbaijan,ARM,Armenia,137152,137147,5,0
AFG,Afghanistan,FRA,France,99882,93482,6400,0
LKA,Sri Lanka,IND,India,90365,90365,0,0
AFG,Afghanistan,TUR,Türkiye,83629,14145,69484,0
MMR,Myanmar,IND,India,81682,72826,8856,0
MMR,Myanmar,THA,Thailand,81005,81005,0,0
AFG,Afghanistan,GBR,United Kingdom of Great Britain and Northern Ireland,65907,54908,10999,0
CHN,China,IND,India,63169,63169,0,0
IND,India,CAN,Canada,61470,20386,41084,0
AFG,Afghanistan,USA,United States of America,57034,46137,10897,0
AFG,Afghanistan,AUT,Austria,49022,44714,4308,0
BGD,Bangladesh,ITA,Italy,44026,2899,41127,0
PAK,Pakistan,ITA,Italy,40008,15542,24466,0
LKA,Sri Lanka,FRA,France,36954,34118,2836,0
AFG,Afghanistan,GRC,Greece,29240,24970,4270,0
AFG,Afghanistan,SWE,Sweden,25911,25499,412,0
MMR,Myanmar,JPN,Japan,24761,24761,0,0
AFG,Afghanistan,CHE,Switzerland,23715,22327,1388,0
BGD,Bangladesh,USA,United States of America,22815,4335,18480,0
PAK,Pakistan,GBR,United Kingdom of Great Britain and Northern Ireland,22165,10528,11637,0
BGD,Bangladesh,CAN,Canada,21961,2918,19043,0
UZB,Uzbekistan,USA,United States of America,21548,1804,19744,0
PAK,Pakistan,AFG,Afghanistan,21126,20827,299,0
AFG,Afghanistan,ITA,Italy,20879,18451,2428,0
NPL,Nepal,USA,United States of America,19280,6124,13156,0
PAK,Pakistan,USA,United States of America,18174,4197,13977,0
GEO,Georgia,USA,United States of America,17041,988,16053,0
BGD,Bangladesh,FRA,France,16855,11895,4960,0
AFG,Afghanistan,BEL,Belgium,15952,10382,5570,0
