iso3,country,emigrant_stock_2024,population_total,population_year,emigrant_pct_of_population,rank_absolute,rank_share
WSM,Samoa,119313,218019,2024,54.73,27,1
TON,Tonga,53237,104175,2024,51.1,30,2
ARM,Armenia,637604,3033500,2024,21.02,20,3
NRU,Nauru,2484,11947,2024,20.79,39,4
FJI,Fiji,181025,928784,2024,19.49,25,5
AFG,Afghanistan,7528994,42647492,2024,17.65,4,6
HKG,Hong Kong SAR,1240250,7524100,2024,16.48,15,7
PLW,Palau,2674,17695,2024,15.11,38,8
KAZ,Kazakhstan,2796572,20592571,2024,13.58,10,9
GEO,Georgia,496486,3699557,2024,13.42,23,10
TUV,Tuvalu,1239,9646,2024,12.84,40,11
FSM,Micronesia,13568,113160,2024,11.99,34,12
BRN,Brunei Darussalam,46552,462721,2024,10.06,31,13
NPL,Nepal,2637195,29651054,2024,8.89,11,14
LAO,Lao PDR,660258,7769819,2024,8.5,19,15
BTN,Bhutan,66145,791524,2024,8.36,29,16
AZE,Azerbaijan,810116,10202830,2024,7.94,17,17
MMR,Myanmar,4320462,54500091,2024,7.93,7,18
TLS,Timor-Leste,109613,1400638,2024,7.83,28,19
KGZ,Kyrgyzstan,540573,7221868,2024,7.49,21,20
MYS,Malaysia,2433875,35557673,2024,6.84,12,21
LKA,Sri Lanka,1492103,21916000,2024,6.81,14,22
PHL,Philippines,6988383,115843670,2024,6.03,5,23
UZB,Uzbekistan,2114480,36361859,2024,5.82,13,24
BGD,Bangladesh,8706947,173562364,2024,5.02,3,25
MNG,Mongolia,175596,3524788,2024,4.98,26,26
TKM,Turkmenistan,365787,7494498,2024,4.88,24,27
TJK,Tajikistan,514478,10590927,2024,4.86,22,28
KIR,Kiribati,6306,134518,2024,4.69,36,29
VUT,Vanuatu,15202,327777,2024,4.64,33,30
KHM,Cambodia,778793,17638801,2024,4.42,18,31
VNM,Viet Nam,3693537,100987686,2024,3.66,9,32
PAK,Pakistan,6915057,251269164,2024,2.75,6,33
THA,Thailand,1178757,71668011,2024,1.64,16,34
IDN,Indonesia,3745148,283487931,2024,1.32,8,35
IND,India,18533845,1450935791,2024,1.28,1,36
MHL,Marshall Islands,400,37548,2024,1.07,41,37
SLB,Solomon Islands,8352,819198,2024,1.02,35,38
CHN,China,11701619,1408975000,2024,0.83,2,39
MDV,Maldives,2773,527799,2024,0.53,37,40
PNG,Papua New Guinea,35050,10576502,2024,0.33,32,41
