short_name,concept_id,granule_id,rel,type,title,href,inherited
VNP46A3,C3860061042-LAADS,G4215194727-LAADS,http://esipfed.org/ns/fedsearch/1.1/data#,application/x-hdf5,,https://data.laadsdaac.earthdatacloud.nasa.gov/prod-lads/VNP46A3/VNP46A3.A2026121.h00v01.002.2026163131741.h5,False
VNP46A3,C3860061042-LAADS,G4215194727-LAADS,http://esipfed.org/ns/fedsearch/1.1/s3#,application/x-hdf5,,s3://prod-lads/VNP46A3/VNP46A3.A2026121.h00v01.002.2026163131741.h5,False
VNP46A3,C3860061042-LAADS,G4215194727-LAADS,http://esipfed.org/ns/fedsearch/1.1/service#,text/html,This file may be accessed using OPeNDAP directly from this link (OPENDAP DATA),https://ladsweb.modaps.eosdis.nasa.gov/opendap/RemoteResources/laads/allData/5200/VNP46A3/2026/121/VNP46A3.A2026121.h00v01.002.2026163131741.h5.html,False
VNP46A3,C3860061042-LAADS,G4215194727-LAADS,http://esipfed.org/ns/fedsearch/1.1/documentation#,text/html,A link to Data set landing page (Data Set Landing Page),http://doi.org/10.5067/VIIRS/VNP46A3.002,False
VNP46A3,C3860061042-LAADS,G4215194727-LAADS,http://esipfed.org/ns/fedsearch/1.1/documentation#,,,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/Document Archive/Science Data Product Documentation/Black-Marble_v2.0_UG_2024.pdf,True
VNP46A3,C3860061042-LAADS,G4215194727-LAADS,http://esipfed.org/ns/fedsearch/1.1/documentation#,,,https://ladsweb.modaps.eosdis.nasa.gov/missions-and-measurements/viirs/VIIRS_Black_Marble_ATBD_v1.1_July_2020.pdf,True
VNP46A3,C3860061042-LAADS,G4215194727-LAADS,http://esipfed.org/ns/fedsearch/1.1/data#,,,https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5200/VNP46A3/,True
VNP46A3,C3860061042-LAADS,G4215194727-LAADS,http://esipfed.org/ns/fedsearch/1.1/documentation#,,,https://www.earthdata.nasa.gov/data/projects/black-marble?tempAccess=PQ81CJc0-wU8_bo0eHoDDsTUtmUPtqal-lCTOvYiCmU,True
VNP46A3,C3860061042-LAADS,G4215194727-LAADS,http://esipfed.org/ns/fedsearch/1.1/data#,,,https://search.earthdata.nasa.gov/search/granules?p=C3860061042-LAADS,True
VNP46A4,C3860065683-LAADS,G4088296591-LAADS,http://esipfed.org/ns/fedsearch/1.1/data#,application/x-hdf5,,https://data.laadsdaac.earthdatacloud.nasa.gov/prod-lads/VNP46A4/VNP46A4.A2025001.h09v01.002.2026076173827.h5,False
VNP46A4,C3860065683-LAADS,G4088296591-LAADS,http://esipfed.org/ns/fedsearch/1.1/s3#,application/x-hdf5,,s3://prod-lads/VNP46A4/VNP46A4.A2025001.h09v01.002.2026076173827.h5,False
VNP46A4,C3860065683-LAADS,G4088296591-LAADS,http://esipfed.org/ns/fedsearch/1.1/service#,text/html,This file may be accessed using OPeNDAP directly from this link (OPENDAP DATA),https://ladsweb.modaps.eosdis.nasa.gov/opendap/RemoteResources/laads/allData/5200/VNP46A4/2025/001/VNP46A4.A2025001.h09v01.002.2026076173827.h5.html,False
VNP46A4,C3860065683-LAADS,G4088296591-LAADS,http://esipfed.org/ns/fedsearch/1.1/documentation#,text/html,A link to Data set landing page (Data Set Landing Page),http://doi.org/10.5067/VIIRS/VNP46A4.002,False
VNP46A4,C3860065683-LAADS,G4088296591-LAADS,http://esipfed.org/ns/fedsearch/1.1/documentation#,,,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/Document Archive/Science Data Product Documentation/Black-Marble_v2.0_UG_2024.pdf,True
VNP46A4,C3860065683-LAADS,G4088296591-LAADS,http://esipfed.org/ns/fedsearch/1.1/documentation#,,,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/Document Archive/Science Data Product Documentation/Product Generation Algorithms/VIIRS_Black_Marble_ATBD_v1.1_July_2020.pdf,True
VNP46A4,C3860065683-LAADS,G4088296591-LAADS,http://esipfed.org/ns/fedsearch/1.1/data#,,,https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5200/VNP46A4,True
VNP46A4,C3860065683-LAADS,G4088296591-LAADS,http://esipfed.org/ns/fedsearch/1.1/documentation#,,,https://www.earthdata.nasa.gov/data/projects/black-marble?tempAccess=PQ81CJc0-wU8_bo0eHoDDsTUtmUPtqal-lCTOvYiCmU,True
VNP46A4,C3860065683-LAADS,G4088296591-LAADS,http://esipfed.org/ns/fedsearch/1.1/data#,,,https://search.earthdata.nasa.gov/search/granules?p=C3860065683-LAADS,True
