iso3,country,friction_exposure_index,lpi_overall,lpi_overall_year,imports_usd,imports_usd_year,inherited_top5,ports_used,calls_2025,median_cppi,q25_cppi,unweighted_mean_cppi,call_weighted_cppi,min_cppi,max_cppi,share_below_reference,observed_disadvantage_rank,inherited_friction_rank
BGD,Bangladesh,0.42,2.6,2022.0,77972815573.2438,2023.0,False,1,473,-73.8600864058423,-73.8600864058423,-73.8600864058423,-73.8600864058423,-73.8600864058423,-73.8600864058423,1.0,1,9
GEO,Georgia,0.19,2.7,2022.0,17815477928.6556,2023.0,False,2,194,-33.60820549082159,-47.46005933647194,-33.60820549082159,-35.3218368944072,-61.3119131821223,-5.90449779952088,1.0,2,12
IDN,Indonesia,0.66,3.0,2022.0,268508401209.029,2023.0,True,5,2074,3.11460653256777,-0.0482174965303197,4.28759331741877,10.605979211631668,-10.2634599535228,15.6626497016037,0.4,3,3
PHL,Philippines,0.45,3.3,2022.0,178244920796.221,2023.0,False,8,2416,4.012185344667485,-8.37042186616911,-2.945892106208113,-18.803168644954813,-54.0328150678348,20.0259179571038,0.375,4,8
KHM,Cambodia,0.28,2.4,2022.0,28497892006.4196,2023.0,False,1,377,7.44368526473789,7.44368526473789,7.44368526473789,7.44368526473789,7.44368526473789,7.44368526473789,0.0,5,11
MYS,Malaysia,0.45,3.6,2022.0,255625703549.712,2023.0,False,5,6662,11.5176117654004,5.42581816002476,39.93913033914379,84.37042399710458,4.36165649765219,110.595102631283,0.0,6,7
THA,Thailand,0.54,3.5,2022.0,326979087436.138,2023.0,True,4,2650,12.210860265517406,4.176024553377955,20.774853577734927,39.55701864681425,-0.431898415944412,59.1095921958493,0.25,7,5
VNM,Viet Nam,0.63,3.3,2022.0,339930322254.124,2023.0,True,7,4072,17.1138236964121,14.029924460630351,45.7613164267262,76.23668764562753,11.9700906512519,122.096758516763,0.0,8,4
LKA,Sri Lanka,0.19,2.8,2022.0,19126705844.0978,2023.0,False,1,1985,25.493665805568,25.493665805568,25.493665805568,25.493665805568,25.493665805568,25.493665805568,0.0,9,13
IND,India,0.94,3.4,2022.0,856651130547.122,2023.0,True,9,3250,44.6936503147593,31.4270857460452,53.098961883166666,83.51309828121647,14.7404535713311,98.4164719600522,0.0,10,2
PAK,Pakistan,0.4,2.42,2018.0,60515108025.9204,2023.0,False,2,812,52.867758607005,49.261374155663596,52.867758607005,52.245968184359924,45.6549897043222,60.0805275096878,0.0,11,10
CHN,China,1.45,3.7,2022.0,3106457704279.42,2023.0,True,19,28160,82.3005333928513,45.3285859821129,72.74417922420166,94.47748151532274,-150.780956959916,144.638475710513,0.05263157894736842,12,1
HKG,Hong Kong SAR,0.52,4.0,2022.0,671437801987.667,2023.0,False,1,3029,122.795983636734,122.795983636734,122.795983636734,122.795983636734,122.795983636734,122.795983636734,0.0,13,6
