iso3,country,lpi_overall,lpi_overall_year,lpi_infrastructure,lpi_customs,imports_usd,imports_usd_year,friction_exposure_index
CHN,China,3.7,2022,4.0,3.3,3106457704279.42,2023,1.45
IND,India,3.4,2022,3.2,3.0,856651130547.122,2023,0.94
IDN,Indonesia,3.0,2022,2.9,2.8,268508401209.029,2023,0.66
VNM,Viet Nam,3.3,2022,3.2,3.1,339930322254.124,2023,0.63
THA,Thailand,3.5,2022,3.7,3.3,326979087436.138,2023,0.54
HKG,Hong Kong SAR,4.0,2022,4.0,3.8,671437801987.667,2023,0.52
MYS,Malaysia,3.6,2022,3.6,3.3,255625703549.712,2023,0.45
PHL,Philippines,3.3,2022,3.2,2.8,178244920796.221,2023,0.45
BGD,Bangladesh,2.6,2022,2.3,2.3,77972815573.2438,2023,0.42
PAK,Pakistan,2.42,2018,2.2,2.12,60515108025.9204,2023,0.4
KAZ,Kazakhstan,2.7,2022,2.5,2.6,72487044600.0899,2023,0.39
UZB,Uzbekistan,2.6,2022,2.4,2.6,42781543618.7589,2023,0.31
KHM,Cambodia,2.4,2022,2.1,2.2,28497892006.4196,2023,0.28
KGZ,Kyrgyzstan,2.3,2022,2.4,2.2,14495454762.0276,2023,0.21
ARM,Armenia,2.5,2022,2.6,2.5,15094573226.6612,2023,0.19
GEO,Georgia,2.7,2022,2.3,2.6,17815477928.6556,2023,0.19
NPL,Nepal,2.51,2018,2.19,2.29,14187827151.0516,2023,0.19
LKA,Sri Lanka,2.8,2022,2.4,2.5,19126705844.0978,2023,0.19
AFG,Afghanistan,1.9,2022,1.7,2.1,8701650584.05282,2023,0.18
MNG,Mongolia,2.5,2022,2.3,2.5,13537979922.1991,2023,0.18
BRN,Brunei Darussalam,2.71,2018,2.46,2.62,9081237975.39983,2023,0.14
TJK,Tajikistan,2.5,2022,2.5,2.2,5931426226.59821,2023,0.12
TKM,Turkmenistan,2.41,2018,2.23,2.35,5725230206.32391,2023,0.12
MDV,Maldives,2.67,2018,2.72,2.4,4986030514.21888,2023,0.1
BTN,Bhutan,2.5,2022,2.2,2.7,1607335845.17133,2023,0.06
SLB,Solomon Islands,2.8,2022,2.6,2.4,977101703.423479,2023,0.04
AZE,Azerbaijan,,,,,25016411764.7059,2023,
COK,Cook Islands,,,,,,,
FJI,Fiji,2.3,2022,2.2,2.3,,,
KIR,Kiribati,,,,,293469858.533235,2023,
LAO,Lao PDR,2.4,2022,2.3,2.3,,,
MHL,Marshall Islands,,,,,210797443.389893,2023,
FSM,Micronesia,,,,,310000000.0,2023,
MMR,Myanmar,2.3,2018,1.99,2.17,,,
NRU,Nauru,,,,,152175961.447859,2023,
PLW,Palau,,,,,222538085.9375,2023,
PNG,Papua New Guinea,2.7,2022,2.4,2.4,,,
WSM,Samoa,,,,,570854269.191884,2023,
TWN,Taiwan,,,,,,,
TLS,Timor-Leste,,,,,1380581842.40055,2023,
TON,Tonga,,,,,383530877.162157,2023,
TUV,Tuvalu,,,,,,,
VUT,Vanuatu,,,,,571554063.482734,2022,
