iso3,country,rankable_in_committed_panel,baseline_top5,friction_rank,friction_exposure_index,old_trade_volume_proxy,old_trade_volume_proxy_year,old_lpi_overall_perception_score,old_lpi_overall_perception_score_year,lpi_infrastructure_perception_score,lpi_infrastructure_perception_score_year,lpi_timeliness_perception_score,lpi_timeliness_perception_score_year,container_port_traffic_teu,container_port_traffic_teu_year,rail_goods_million_ton_km,rail_goods_million_ton_km_year,road_goods_million_ton_km,road_goods_million_ton_km_year,air_freight_million_ton_km,air_freight_million_ton_km_year,any_actual_freight_proxy,actual_freight_proxy_years
AFG,Afghanistan,True,False,19,0.18,8701650584.0528,2023,1.9,2022,1.7,2022,2.3,2022,,,,,,,0.7942,2023,True,2023
ARM,Armenia,True,False,15,0.19,19840049652.433,2024,2.5,2022,2.6,2022,2.7,2022,,,840.0,2020,,,15.6806,2023,True,2020;2023
AZE,Azerbaijan,False,False,,,27338823529.4118,2024,2.4484,2014,2.7143,2014,2.5714,2014,,,5316.0,2021,,,1434.4807,2023,True,2021;2023
BGD,Bangladesh,True,False,9,0.42,73445483483.8237,2024,2.6,2022,2.3,2022,3.0,2022,3200236.0,2022,1053.0,2016,,,98.8501,2023,True,2016;2022;2023
BTN,Bhutan,True,False,25,0.06,1607335845.1713,2023,2.5,2022,2.2,2022,2.6,2022,,,,,,,0.5017,2023,True,2023
BRN,Brunei Darussalam,True,False,21,0.14,8946253007.5557,2024,2.71,2018,2.46,2018,3.17,2018,106174.0,2020,,,,,45.9101,2023,True,2020;2023
KHM,Cambodia,True,False,13,0.28,33412575811.7134,2024,2.4,2022,2.1,2022,2.7,2022,732387.0,2021,92.0,2003,,,2.4415,2023,True,2003;2021;2023
CHN,China,True,True,1,1.45,3219342570126.17,2024,3.7,2022,4.0,2022,3.7,2022,268990000.0,2022,3018200.0,2019,,,26170.3716,2023,True,2019;2022;2023
COK,Cook Islands,False,False,,,,,,,,,,,,,,,,,,,False,
FJI,Fiji,False,False,,,,,2.3,2022,2.2,2022,2.3,2022,145782.4,2019,,,,,156.0799,2023,True,2019;2023
