indicator_code,possible_cells,observed_cells,missing_cells,observed_share,missing_share,absolute_review_cells,relative_review_cells,disagreement_cells,production_cycle_only_cells,absolute_review_share_observed,relative_review_share_observed,disagreement_share_observed,production_cycle_only_share_absolute,calendar_age_years_median,calendar_age_years_q1,calendar_age_years_q3,production_age_years_median,production_age_years_q1,production_age_years_q3,relative_lag_years_median,relative_lag_years_q1,relative_lag_years_q3,indicator_name,domain,global_frontier_2025,dmc_frontier_2025,api_last_updated
AG.LND.FRST.ZS,42,40,2,0.952381,0.047619,40,0,40,40,1.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,Forest area (% of land area),Environment and climate,2023,2023,2026-07-13
BX.TRF.PWKR.DT.GD.ZS,42,40,2,0.952381,0.047619,8,6,2,2,0.2,0.15,0.05,0.25,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,"Personal remittances, received (% of GDP)",External and public finance,2025,2025,2026-07-13
EG.ELC.ACCS.ZS,42,41,1,0.97619,0.02381,0,0,0,0,0.0,0.0,0.0,,2,2.0,2.0,2,2.0,2.0,0,0.0,0.0,Access to electricity (% of population),Infrastructure and digital access,2024,2024,2026-07-13
EN.ATM.CO2E.PC,42,0,42,0.0,1.0,0,0,0,0,,,,,,,,,,,,,,CO2 emissions (metric tons per capita),Environment and climate,,,
EN.ATM.PM25.MC.M3,42,40,2,0.952381,0.047619,40,0,40,40,1.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Environment and climate,2023,2023,2026-07-13
FP.CPI.TOTL.ZG,42,39,3,0.928571,0.071429,5,5,0,0,0.128205,0.128205,0.0,0.0,1,1.0,1.0,1,1.0,1.0,0,0.0,0.0,"Inflation, consumer prices (annual %)",Economy and structure,2025,2025,2026-07-13
GC.DOD.TOTL.GD.ZS,42,27,15,0.642857,0.357143,19,16,3,3,0.703704,0.592593,0.111111,0.157895,6,2.0,13.5,2,2.0,2.0,4,0.0,11.5,"Central government debt, total (% of GDP)",External and public finance,2024,2024,2026-07-13
IT.CEL.SETS.P2,42,41,1,0.97619,0.02381,12,8,4,4,0.292683,0.195122,0.097561,0.333333,2,2.0,3.0,1,1.0,1.0,1,1.0,2.0,Mobile cellular subscriptions (per 100 people),Infrastructure and digital access,2025,2024,2026-07-13
IT.NET.USER.ZS,42,41,1,0.97619,0.02381,6,6,0,0,0.146341,0.146341,0.0,0.0,2,2.0,2.0,1,1.0,1.0,1,1.0,1.0,Individuals using the Internet (% of population),Infrastructure and digital access,2025,2025,2026-07-13
NE.TRD.GNFS.ZS,42,39,3,0.928571,0.071429,2,2,0,0,0.051282,0.051282,0.0,0.0,1,1.0,2.0,1,1.0,1.0,0,0.0,1.0,Trade (% of GDP),External and public finance,2025,2025,2026-07-13
NV.AGR.TOTL.ZS,42,40,2,0.952381,0.047619,1,1,0,0,0.025,0.025,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,"Agriculture, forestry, and fishing, value added (% of GDP)",Economy and structure,2025,2025,2026-07-13
NY.GDP.MKTP.KD.ZG,42,41,1,0.97619,0.02381,0,0,0,0,0.0,0.0,0.0,,1,1.0,1.0,1,1.0,1.0,0,0.0,0.0,GDP growth (annual %),Economy and structure,2025,2025,2026-07-13
SE.ADT.LITR.ZS,42,38,4,0.904762,0.095238,34,18,16,16,0.894737,0.473684,0.421053,0.470588,4.0,3.25,6.0,2.0,2.0,2.0,2.0,1.25,4.0,"Literacy rate, adult total (% of people ages 15 and above)",Education,2024,2024,2026-07-13
SE.PRM.ENRR,42,41,1,0.97619,0.02381,5,1,4,4,0.121951,0.02439,0.097561,0.8,2,2.0,2.0,1,1.0,1.0,1,1.0,1.0,"School enrollment, primary (% gross)",Education,2025,2025,2026-07-13
SE.SEC.ENRR,42,41,1,0.97619,0.02381,14,7,7,7,0.341463,0.170732,0.170732,0.5,2,2.0,3.0,1,1.0,1.0,1,1.0,2.0,"School enrollment, secondary (% gross)",Education,2025,2025,2026-07-13
SH.DYN.MORT,42,40,2,0.952381,0.047619,0,0,0,0,0.0,0.0,0.0,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,"Mortality rate, under-5 (per 1,000 live births)",Health,2024,2024,2026-07-13
SH.STA.MMRT,42,40,2,0.952381,0.047619,40,0,40,40,1.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",Health,2023,2023,2026-07-13
SH.XPD.CHEX.GD.ZS,42,40,2,0.952381,0.047619,40,0,40,40,1.0,0.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,Current health expenditure (% of GDP),Health,2024,2023,2026-07-13
SI.POV.DDAY,42,36,6,0.857143,0.142857,27,25,2,2,0.75,0.694444,0.055556,0.074074,4.5,2.75,9.75,1.0,1.0,1.0,3.5,1.75,8.75,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Poverty and inequality,2025,2025,2026-07-13
SI.POV.GINI,42,36,6,0.857143,0.142857,27,25,2,2,0.75,0.694444,0.055556,0.074074,4.5,2.75,9.75,1.0,1.0,1.0,3.5,1.75,8.75,Gini index,Poverty and inequality,2025,2025,2026-07-13
SI.POV.NAHC,42,37,5,0.880952,0.119048,29,26,3,3,0.783784,0.702703,0.081081,0.103448,6,3.0,9.0,1,1.0,1.0,5,2.0,8.0,Poverty headcount ratio at national poverty lines (% of population),Poverty and inequality,2025,2025,2026-07-13
SL.EMP.VULN.ZS,42,35,7,0.833333,0.166667,0,0,0,0,0.0,0.0,0.0,,1,1.0,1.0,1,1.0,1.0,0,0.0,0.0,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",Labor and social conditions,2025,2025,2026-07-13
SL.TLF.CACT.ZS,42,35,7,0.833333,0.166667,0,0,0,0,0.0,0.0,0.0,,1,1.0,1.0,1,1.0,1.0,0,0.0,0.0,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",Labor and social conditions,2025,2025,2026-07-13
SL.UEM.TOTL.ZS,42,35,7,0.833333,0.166667,0,0,0,0,0.0,0.0,0.0,,1,1.0,1.0,1,1.0,1.0,0,0.0,0.0,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Labor and social conditions,2025,2025,2026-07-13
SP.DYN.LE00.IN,42,41,1,0.97619,0.02381,0,0,0,0,0.0,0.0,0.0,,2,2.0,2.0,2,2.0,2.0,0,0.0,0.0,"Life expectancy at birth, total (years)",Demography,2024,2024,2026-07-13
SP.DYN.TFRT.IN,42,41,1,0.97619,0.02381,0,0,0,0,0.0,0.0,0.0,,2,2.0,2.0,2,2.0,2.0,0,0.0,0.0,"Fertility rate, total (births per woman)",Demography,2024,2024,2026-07-13
SP.POP.TOTL,42,41,1,0.97619,0.02381,0,0,0,0,0.0,0.0,0.0,,1,1.0,1.0,1,1.0,1.0,0,0.0,0.0,"Population, total",Demography,2025,2025,2026-07-13
