run,indicator_set_size,frozen_set_label,threshold_literal_years,threshold_effective_integer_years,reference_cap,frontier_mode,omitted_domain,possible_cells,observed_cells,missing_cells,observed_share,missing_share,absolute_review_cells,relative_review_cells,disagreement_cells,production_cycle_only_cells,absolute_review_share_observed,relative_review_share_observed,disagreement_share_observed,production_cycle_only_share_absolute,calendar_age_years_median,calendar_age_years_q1,calendar_age_years_q3,production_age_years_median,production_age_years_q1,production_age_years_q3,relative_lag_years_median,relative_lag_years_q1,relative_lag_years_q3
set_9,9,9,3.0,3,2025,global,,378,355,23,0.939153,0.060847,120,32,88,88,0.338028,0.090141,0.247887,0.733333,2,1.0,3.0,1,1.0,2.0,0,0.0,1.0
set_18,18,18,3.0,3,2025,global,,756,709,47,0.937831,0.062169,212,74,138,138,0.299013,0.104372,0.19464,0.650943,2,1.0,3.0,1,1.0,2.0,0,0.0,1.0
set_27,27,27,3.0,3,2025,global,,1134,1006,128,0.887125,0.112875,349,146,203,203,0.346918,0.145129,0.201789,0.581662,2.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0
threshold_1.5,18,18,1.5,2,2025,global,,756,709,47,0.937831,0.062169,465,92,373,373,0.655853,0.12976,0.526093,0.802151,2,1.0,3.0,1,1.0,2.0,0,0.0,1.0
threshold_3,18,18,3.0,3,2025,global,,756,709,47,0.937831,0.062169,212,74,138,138,0.299013,0.104372,0.19464,0.650943,2,1.0,3.0,1,1.0,2.0,0,0.0,1.0
threshold_4.5,18,18,4.5,5,2025,global,,756,709,47,0.937831,0.062169,59,54,5,5,0.083216,0.076164,0.007052,0.084746,2,1.0,3.0,1,1.0,2.0,0,0.0,1.0
frontier_global,18,18,3.0,3,2025,global,,756,709,47,0.937831,0.062169,212,74,138,138,0.299013,0.104372,0.19464,0.650943,2,1.0,3.0,1,1.0,2.0,0,0.0,1.0
frontier_dmc,18,18,3.0,3,2025,dmc,,756,709,47,0.937831,0.062169,212,74,138,138,0.299013,0.104372,0.19464,0.650943,2,1.0,3.0,1,1.0,2.0,0,0.0,1.0
cap_2025,18,18,3.0,3,2025,global,,756,709,47,0.937831,0.062169,212,74,138,138,0.299013,0.104372,0.19464,0.650943,2,1.0,3.0,1,1.0,2.0,0,0.0,1.0
cap_2024,18,18,3.0,3,2024,global,,756,709,47,0.937831,0.062169,212,59,153,153,0.299013,0.083216,0.215797,0.721698,2,2.0,3.0,2,2.0,2.0,0,0.0,0.0
leave_out_Demography,16,18,3.0,3,2025,global,Demography,672,627,45,0.933036,0.066964,212,74,138,138,0.338118,0.118022,0.220096,0.650943,2,1.0,3.0,1,1.0,2.0,0,0.0,1.0
leave_out_Poverty and inequality,16,18,3.0,3,2025,global,Poverty and inequality,672,636,36,0.946429,0.053571,156,23,133,133,0.245283,0.036164,0.209119,0.852564,2.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0
leave_out_Health,16,18,3.0,3,2025,global,Health,672,629,43,0.936012,0.063988,172,74,98,98,0.27345,0.117647,0.155803,0.569767,2,1.0,3.0,1,1.0,2.0,0,0.0,1.0
leave_out_Education,16,18,3.0,3,2025,global,Education,672,627,45,0.933036,0.066964,193,66,127,127,0.307815,0.105263,0.202552,0.658031,2,1.0,3.0,1,1.0,2.0,0,0.0,1.0
leave_out_Labor and social conditions,16,18,3.0,3,2025,global,Labor and social conditions,672,639,33,0.950893,0.049107,212,74,138,138,0.331768,0.115806,0.215962,0.650943,2,1.0,3.0,1,1.0,2.0,0,0.0,1.0
leave_out_Infrastructure and digital access,16,18,3.0,3,2025,global,Infrastructure and digital access,672,627,45,0.933036,0.066964,206,68,138,138,0.328549,0.108453,0.220096,0.669903,2,1.0,3.0,1,1.0,2.0,0,0.0,1.0
leave_out_Environment and climate,16,18,3.0,3,2025,global,Environment and climate,672,629,43,0.936012,0.063988,132,74,58,58,0.209857,0.117647,0.09221,0.439394,2,1.0,2.0,1,1.0,2.0,0,0.0,1.0
leave_out_Economy and structure,16,18,3.0,3,2025,global,Economy and structure,672,628,44,0.934524,0.065476,211,73,138,138,0.335987,0.116242,0.219745,0.654028,2.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0
leave_out_External and public finance,16,18,3.0,3,2025,global,External and public finance,672,630,42,0.9375,0.0625,202,66,136,136,0.320635,0.104762,0.215873,0.673267,2.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0
