division_name,district_name,upazila_name,join_key,registry_records,active_facilities,active_clinical_facilities,coordinate_facilities,osm_health,osm_hospital,osm_clinic,osm_doctors,osm_to_active_clinical_ratio,registry_minus_osm_clinical,registry_gap_share,buildings_nearest_1km_p85,buildings_nearest_3km_p85,buildings_nearest_5km_p85,underobserved_buildings_3km_p85_proxy,has_open_buildings_denominator,has_osm_boundary_match
Dhaka,Gazipur,Gazipur Sadar,gazipur|gazipur sadar,363,363,197,317,58,53,2,3,0.2944,139,0.7056,169309,244840,245243,172755,1,1
Dhaka,Narayanganj,Narayanganj Sadar,narayanganj|narayanganj sadar,236,236,141,185,5,4,0,1,0.0355,136,0.9645,122953,145107,145107,139961,1,1
Khulna,Kushtia,Kushtia Sadar,kushtia|kushtia sadar,169,169,108,144,6,5,1,0,0.0556,102,0.9444,64920,119680,123184,113031,1,1
Rajshahi,Pabna,Pabna Sadar,pabna|pabna sadar,214,214,144,174,4,4,0,0,0.0278,140,0.9722,61763,111032,115889,107948,1,1
Dhaka,Narsingdi,Narsingdi Sadar,narsingdi|narsingdi sadar,228,228,123,201,4,4,0,0,0.0325,119,0.9675,71979,103588,103637,100219,1,1
Chattogram,Brahmanbaria,Nabinagar,brahmanbaria|nabinagar,134,134,89,122,1,1,0,0,0.0112,88,0.9888,61498,95713,95718,94638,1,1
Mymensingh,Jamalpur,Jamalpur Sadar,jamalpur|jamalpur sadar,234,234,159,195,21,20,1,0,0.1321,138,0.8679,54234,107322,111918,93147,1,1
Dhaka,Dhaka,Savar,dhaka|savar,260,260,156,205,60,56,4,0,0.3846,96,0.6154,106092,149132,149132,91774,1,1
Rajshahi,Chapainawabganj,Shibganj,chapainawabganj|shibganj,117,117,91,105,4,2,1,1,0.044,87,0.956,54887,94091,96025,89955,1,1
Rangpur,Nilphamari,Nilphamari Sadar,nilphamari|nilphamari sadar,93,93,80,65,25,23,0,2,0.3125,55,0.6875,48616,124735,134674,85755,1,1
Rangpur,Thakurgaon,Thakurgaon Sadar,thakurgaon|thakurgaon sadar,191,191,149,140,8,7,1,0,0.0537,141,0.9463,43408,89658,95273,84844,1,1
Khulna,Jashore,Jashore Sadar,jashore|jashore sadar,222,222,158,167,25,20,4,1,0.1582,133,0.8418,62066,99878,99923,84075,1,1
Mymensingh,Mymensingh,Mymensingh Sadar,mymensingh|mymensingh sadar,303,303,188,262,43,41,2,0,0.2287,145,0.7713,54161,108045,113893,83333,1,1
Chattogram,Chattogram,Fatikchari,chattogram|fatikchari,116,116,90,91,5,5,0,0,0.0556,85,0.9444,43649,87883,92836,83001,1,1
Khulna,Khulna,Dumuria,khulna|dumuria,93,93,76,78,4,2,2,0,0.0526,72,0.9474,43940,85955,87974,81431,1,1
Khulna,Chuadanga,Damurhuda,chuadanga|damurhuda,79,79,57,62,1,1,0,0,0.0175,56,0.9825,35415,80651,89957,79236,1,1
Chattogram,Brahmanbaria,Brahmanbaria Sadar,brahmanbaria|brahmanbaria sadar,233,233,137,197,2,2,0,0,0.0146,135,0.9854,44227,76699,77831,75579,1,1
Khulna,Jashore,Monirampur,jashore|monirampur,107,107,91,70,1,1,0,0,0.011,90,0.989,30887,73452,73671,72645,1,1
Dhaka,Narayanganj,Rupganj,narayanganj|rupganj,110,110,84,75,2,2,0,0,0.0238,82,0.9762,49965,74387,74395,72616,1,1
Dhaka,Narayanganj,Sonargaon,narayanganj|sonargaon,110,110,79,88,0,0,0,0,0.0,79,1.0,49875,70633,70641,70633,1,1
Rajshahi,Rajshahi,Paba,rajshahi|paba,63,63,53,51,1,0,0,1,0.0189,52,0.9811,35888,70926,73296,69588,1,1
Chattogram,Cumilla,Cumilla Adarsha Sadar,cumilla|cumilla adarsha sadar,287,287,149,261,20,18,2,0,0.1342,129,0.8658,62491,80167,80170,69406,1,1
Rajshahi,Chapainawabganj,Chapainawabganj Sadar,chapainawabganj|chapainawabganj sadar,146,146,97,112,4,2,2,0,0.0412,93,0.9588,42261,72125,74124,69151,1,1
Rajshahi,Sirajganj,Shahjadpur,sirajganj|shahjadpur,119,119,94,94,1,0,1,0,0.0106,93,0.9894,28707,69772,76105,69030,1,1
Khulna,Jhenaidah,Shailkupa,jhenaidah|shailkupa,82,82,70,63,2,2,0,0,0.0286,68,0.9714,32907,70560,70663,68544,1,1
Rangpur,Dinajpur,Dinajpur Sadar,dinajpur|dinajpur sadar,163,163,108,131,25,19,4,2,0.2315,83,0.7685,38902,87093,107343,66933,1,1
Dhaka,Dhaka,Dhamrai,dhaka|dhamrai,130,130,99,105,6,6,0,0,0.0606,93,0.9394,37752,71122,71845,66812,1,1
Dhaka,Gazipur,Kapasia,gazipur|kapasia,114,114,86,97,1,1,0,0,0.0116,85,0.9884,37653,67490,67580,66705,1,1
Chattogram,Cumilla,Muradnagar,cumilla|muradnagar,118,118,93,76,7,5,2,0,0.0753,86,0.9247,39486,70558,70813,65247,1,1
Chattogram,Cumilla,Barura,cumilla|barura,90,90,70,68,6,3,3,0,0.0857,64,0.9143,38338,71363,71363,65246,1,1
Khulna,Jashore,Sharsha,jashore|sharsha,95,95,80,75,0,0,0,0,0.0,80,1.0,31062,64431,65320,64431,1,1
Khulna,Chuadanga,Chuadanga Sadar,chuadanga|chuadanga sadar,101,101,64,84,2,2,0,0,0.0312,62,0.9688,27681,66259,69384,64188,1,1
Chattogram,Cumilla,Daudkandi,cumilla|daudkandi,153,153,91,134,1,1,0,0,0.011,90,0.989,41259,64650,64834,63940,1,1
Rajshahi,Pabna,Santhia,pabna|santhia,88,88,65,75,2,2,0,0,0.0308,63,0.9692,35441,65932,66342,63903,1,1
Dhaka,Narayanganj,Araihazar,narayanganj|araihazar,92,92,74,71,0,0,0,0,0.0,74,1.0,40014,63684,63684,63684,1,1
Rajshahi,Bogura,Bogura Sadar,bogura|bogura sadar,298,298,192,258,57,49,6,2,0.2969,135,0.7031,72296,89737,89737,63096,1,1
Rajshahi,Sirajganj,Royganj,sirajganj|royganj,81,81,67,72,1,1,0,0,0.0149,66,0.9851,22315,63822,70859,62869,1,1
Khulna,Meherpur,Gangni,meherpur|gangni,84,84,62,65,1,1,0,0,0.0161,61,0.9839,24854,63538,68662,62513,1,1
Dhaka,Tangail,Tangail Sadar,tangail|tangail sadar,233,233,146,189,55,49,5,1,0.3767,91,0.6233,55331,100081,101072,62379,1,1
Rangpur,Gaibandha,Gobindaganj,gaibandha|gobindaganj,144,144,106,124,11,11,0,0,0.1038,95,0.8962,36753,69353,70133,62156,1,1
Rangpur,Thakurgaon,Pirganj,thakurgaon|pirganj,55,55,51,32,0,0,0,0,0.0,51,1.0,17813,61258,70208,61258,1,1
Rajshahi,Bogura,Dhunat,bogura|dhunat,75,75,58,58,2,2,0,0,0.0345,56,0.9655,32844,63140,64122,60963,1,1
Khulna,Chuadanga,Alamdanga,chuadanga|alamdanga,101,101,81,76,1,1,0,0,0.0123,80,0.9877,32522,61614,64455,60853,1,1
Rangpur,Dinajpur,Parbatipur,dinajpur|parbatipur,77,77,63,61,0,0,0,0,0.0,63,1.0,21098,59965,74360,59965,1,1
