adm1_name,adm1_pcode,adm2_name,adm2_pcode,adm3_name,adm3_pcode,area_sqkm,buildings_all,buildings_p85,buildings_p90,building_area_m2_all,building_area_m2_p85,building_area_m2_p90,buildings_p85_per_sqkm,registry_all,registry_principal,registry_clinical,osm_health,osm_hospital,osm_clinic,osm_doctors,registry_minus_osm_clinical,osm_to_registry_clinical_ratio,registry_gap_share,underobserved_buildings_adm3_p85_proxy
Region IX (Zamboanga Peninsula),PH09,Zamboanga del Sur,PH09073,Zamboanga City,PH0907332,1497.1548,302033,182679,90614,20200818.7,16303504.8,11208611.8,122.02,209,62,161,31,15,11,5,130,0.1925,0.8075,147513
Region XI (Davao Region),PH11,Davao del Sur,PH11024,Davao City,PH1102402,2341.4259,671897,365408,175001,53128971.7,41092579.3,27621993.8,156.06,576,126,349,223,34,109,80,126,0.639,0.361,131912
Region X (Northern Mindanao),PH10,Misamis Oriental,PH10043,Cagayan de Oro City (Capital),PH1004305,506.63,247190,137572,64478,19467033.7,15217199.5,10034973.4,271.54,204,91,151,42,13,23,6,109,0.2781,0.7219,99313
Region XII (Soccsksargen),PH12,South Cotabato,PH12063,General Santos City (Dadiangas),PH1206303,521.1147,304238,139714,56934,22589304.8,15666758.5,9305963.8,268.11,154,66,98,36,11,19,6,62,0.3673,0.6327,88397
National Capital Region (NCR),PH13,Metropolitan Manila Second District,PH13074,Quezon City,PH1307404,162.4392,528664,169625,66780,50212015.8,32437802.5,19755086.5,1044.24,770,233,370,244,64,118,62,126,0.6595,0.3405,57757
Region XIII (Caraga),PH16,Agusan del Norte,PH16002,Butuan City (Capital),PH1600202,649.1852,145977,67303,37162,11149600.9,7751418.4,5399524.6,103.67,170,43,137,24,11,6,7,113,0.1752,0.8248,55512
Region X (Northern Mindanao),PH10,Lanao del Norte,PH10035,Iligan City,PH1003504,532.1861,128567,76872,36690,9076201.9,7307880.0,4844669.5,144.45,88,16,68,20,8,10,2,48,0.2941,0.7059,54264
Region VI (Western Visayas),PH06,Negros Occidental,PH06045,Bacolod City (Capital),PH0604501,162.3779,210589,76677,38107,15964198.0,10104093.2,6842438.0,472.21,140,29,75,25,13,7,5,50,0.3333,0.6667,51121
Mimaropa Region,PH17,Palawan,PH17053,Puerto Princesa City (Capital),PH1705316,2168.6166,148216,64203,36177,9697715.2,6356833.6,4273496.1,29.61,120,25,92,22,5,6,11,70,0.2391,0.7609,48852
Region VII (Central Visayas),PH07,Cebu,PH07022,Cebu City (Capital),PH0702217,290.905,241681,74426,34855,16546846.4,9860289.8,6658155.7,255.84,303,80,192,68,19,32,17,124,0.3542,0.6458,48064
Region XI (Davao Region),PH11,Davao del Norte,PH11023,City of Tagum (Capital),PH1102319,184.0502,133435,74966,36531,10219438.2,7939342.2,5079499.1,407.31,87,21,62,23,13,8,2,39,0.371,0.629,47154
Region IV-A (Calabarzon),PH04,Laguna,PH04034,City of Calamba,PH0403405,139.3187,153767,64233,31473,13910385.3,9926482.2,7137462.2,461.05,144,40,108,29,12,15,2,79,0.2685,0.7315,46986
Region IV-A (Calabarzon),PH04,Cavite,PH04021,Bacoor City,PH0402103,49.0103,173104,61273,17701,12103706.6,6917018.2,3026249.8,1250.21,161,50,120,34,14,16,4,86,0.2833,0.7167,43914
Region III (Central Luzon),PH03,Tarlac,PH03069,City of Tarlac (Capital),PH0306916,262.4726,185815,58560,22101,13457602.4,8199263.6,4787686.5,223.11,163,42,115,32,9,15,8,83,0.2783,0.7217,42263
National Capital Region (NCR),PH13,Metropolitan Manila Third District,PH13075,Caloocan City,PH1307501,53.2324,297158,75302,20359,20297776.0,10319569.8,5312028.7,1414.59,251,132,168,75,17,40,18,93,0.4464,0.5536,41687
Region VII (Central Visayas),PH07,Cebu,PH07022,Lapu-Lapu City (Opon),PH0702226,67.3341,171553,54900,24430,11195176.3,6784426.8,4621886.6,815.34,110,31,75,19,7,8,4,56,0.2533,0.7467,40994
Region IV-A (Calabarzon),PH04,Cavite,PH04021,City of Dasmariñas,PH0402106,90.1046,179486,53427,16180,12528220.8,6616119.7,3445780.0,592.94,220,68,165,43,12,29,2,122,0.2606,0.7394,39504
Region VI (Western Visayas),PH06,Iloilo,PH06030,Iloilo City (Capital),PH0603022,72.6841,155738,56294,28575,12533949.9,8175810.1,5793417.7,774.5,261,53,157,48,14,17,17,109,0.3057,0.6943,39085
Region IV-A (Calabarzon),PH04,Batangas,PH04010,Lipa City,PH0401014,191.2819,163563,66558,34081,13648129.4,9267962.0,6354089.4,347.96,149,24,100,42,13,21,8,58,0.42,0.58,38604
Region IV-A (Calabarzon),PH04,Cavite,PH04021,City of General Trias,PH0402108,87.4638,150152,53616,15595,10707457.5,6091593.2,3015095.2,613.01,109,34,78,22,9,11,2,56,0.2821,0.7179,38491
Region IV-A (Calabarzon),PH04,Rizal,PH04058,City of Antipolo,PH0405802,263.3513,206120,59158,18839,13642650.7,7370801.8,3785775.7,224.64,155,54,92,35,17,17,1,57,0.3804,0.6196,36654
Region XII (Soccsksargen),PH12,South Cotabato,PH12063,Polomolok,PH1206312,311.4785,88413,40389,17608,5702183.4,4042248.5,2673711.9,129.67,57,14,43,5,4,0,1,38,0.1163,0.8837,35692
Region III (Central Luzon),PH03,Bulacan,PH03014,City of San Jose del Monte,PH0301420,107.8568,169681,40107,9177,10601188.0,4533672.4,1853903.6,371.85,188,50,142,16,7,7,2,126,0.1127,0.8873,35587
Region IV-A (Calabarzon),PH04,Cavite,PH04021,Silang,PH0402118,143.4817,104532,42898,22958,8957840.6,6177483.7,4465628.5,298.98,137,28,100,18,10,8,0,82,0.18,0.82,35176
Region XI (Davao Region),PH11,Davao del Norte,PH11023,City of Panabo,PH1102315,252.1044,89656,47780,22413,6644905.5,5047644.6,3246229.9,189.52,68,13,54,15,8,5,2,39,0.2778,0.7222,34507
Region XII (Soccsksargen),PH12,South Cotabato,PH12063,City of Koronadal (Capital),PH1206306,273.7777,97093,48784,21480,7223076.2,5184612.8,3127226.9,178.19,80,12,50,17,5,6,6,33,0.34,0.66,32197
Region X (Northern Mindanao),PH10,Bukidnon,PH10013,City of Valencia,PH1001321,667.8012,85156,42673,17896,5733941.1,4095840.4,2491133.6,63.9,57,20,51,14,9,5,0,37,0.2745,0.7255,30959
Region III (Central Luzon),PH03,Pampanga,PH03054,City of San Fernando (Capital),PH0305416,70.1085,128882,48506,17683,12311769.1,7958030.6,4482049.0,691.87,160,27,86,33,15,9,9,53,0.3837,0.6163,29894
Region X (Northern Mindanao),PH10,Bukidnon,PH10013,City of Malaybalay (Capital),PH1001312,1004.0317,76621,37617,15400,5921503.8,4292776.8,2733429.8,37.47,85,21,79,18,6,10,2,61,0.2278,0.7722,29048
Region XI (Davao Region),PH11,Davao Oriental,PH11025,City of Mati (Capital),PH1102509,707.7138,65537,32648,13725,3944516.7,2809135.7,1703738.0,46.13,53,7,42,5,2,2,1,37,0.119,0.881,28763
Region IV-A (Calabarzon),PH04,Quezon,PH04056,Lucena City (Capital),PH0405624,83.5917,84892,32362,14767,6555649.7,4101415.9,2573002.9,387.14,108,28,82,10,6,1,3,72,0.122,0.878,28414
Region IV-A (Calabarzon),PH04,Laguna,PH04034,City of Biñan,PH0403403,37.5871,95045,33222,11611,9396859.7,6266443.3,4151272.0,883.87,80,20,55,8,5,2,1,47,0.1455,0.8545,28388
Region III (Central Luzon),PH03,Bulacan,PH03014,Santa Maria,PH0301423,79.1185,112427,37066,12873,9890881.5,6060448.5,3519950.8,468.49,75,22,49,12,5,4,3,37,0.2449,0.7551,27989
