iso3,country,wdi_remittance_pct_gdp,wdi_year,rpw_period,rpw_corridors_observed,matched_rpw_corridors,total_knomad_inbound_flow_usd_million,matched_flow_usd_million,flow_coverage_share,quote_mean_cost_pct,quote_median_cost_pct,flow_weighted_mean_cost_pct,flow_minus_quote_cost_pct,fragility_quote_mean,fragility_flow_weighted,quote_rank,flow_weighted_rank,rank_improvement_after_flow_weighting,top5_membership_status,low_matched_flow_coverage_flag,single_matched_corridor_flag,flow_weighted_top5_low_coverage_flag,rpw_quote_absence_flag,flow_coverage_gap_pct_points,evidence_confidence_class,evidence_confidence_label,evidence_confidence_action
KGZ,Kyrgyz Republic,26.5776,2022,2025_1Q,1,1,2793.0,384.0,0.1375,10.5443,10.5443,10.5443,0.0,70.3,70.3,1,1,0,baseline_and_flow_top5,True,True,True,False,86.25,thin_top_five_row,Thin top-five row,"Keep set-membership language, but do not treat this rank as validated without corridor follow-up."
NPL,Nepal,26.2255,2024,2025_1Q,8,7,8204.0,7074.0,0.8623,6.2619,3.5091,8.5677,2.3057,41.7,57.1,5,2,3,baseline_and_flow_top5,False,False,False,False,13.77,broadly_observed_ranked,Broadly observed ranked row,Rankable inside this module; still not a household transaction estimate.
VUT,Vanuatu,18.751,2022,2025_1Q,2,1,167.0,92.0,0.5509,9.6283,9.6283,10.8238,1.1956,48.1,54.1,4,3,1,baseline_and_flow_top5,False,True,False,False,44.91,one_corridor_ranked,One matched corridor,Keep the row visible but check whether one corridor is a policy-relevant proxy.
WSM,Samoa,24.0063,2024,2025_1Q,2,2,247.0,169.0,0.6842,8.0588,8.0588,7.9828,-0.0761,51.6,51.1,2,4,-2,baseline_and_flow_top5,False,False,False,False,31.58,ranked_with_caveat,Ranked with caveat,Use for screening only; source vintage and corridor coverage still limit interpretation.
TON,Tonga,42.6104,2023,2025_1Q,2,2,211.0,118.0,0.5592,7.5054,7.5054,7.5604,0.0551,50.0,50.4,3,5,-2,baseline_and_flow_top5,False,False,False,False,44.08,ranked_with_caveat,Ranked with caveat,Use for screening only; source vintage and corridor coverage still limit interpretation.
PAK,Pakistan,9.3963,2024,2025_1Q,12,12,31307.0,27547.0,0.8799,10.0338,5.6805,10.4284,0.3946,25.1,26.1,6,6,0,ranked_outside_top5,False,False,False,False,12.01,broadly_observed_ranked,Broadly observed ranked row,Rankable inside this module; still not a household transaction estimate.
TJK,Tajikistan,47.8852,2024,2025_1Q,1,1,2922.0,191.0,0.0654,2.95,2.95,2.95,0.0,19.7,19.7,7,7,0,ranked_outside_top5,True,True,False,False,93.46,low_flow_coverage_ranked,Low matched-flow coverage,Use only as a validation target; matched RPW corridors cover less than 25 percent of estimated inbound flow.
KHM,Cambodia,6.1009,2024,2025_1Q,1,1,1153.0,637.0,0.5525,10.5626,10.5626,10.5626,0.0,17.2,17.2,8,8,0,ranked_outside_top5,False,True,False,False,44.75,one_corridor_ranked,One matched corridor,Keep the row visible but check whether one corridor is a policy-relevant proxy.
MMR,Myanmar,3.4013,2019,2025_1Q,3,3,1999.0,1367.0,0.6838,25.6058,12.8407,18.7488,-6.857,13.6,13.6,9,9,0,ranked_outside_top5,False,False,False,False,31.62,ranked_with_caveat,Ranked with caveat,Use for screening only; source vintage and corridor coverage still limit interpretation.
BGD,Bangladesh,6.1149,2024,2025_1Q,11,11,22201.0,15357.0,0.6917,6.9069,6.2975,7.4938,0.5869,11.3,12.2,10,10,0,ranked_outside_top5,False,False,False,False,30.83,ranked_with_caveat,Ranked with caveat,Use for screening only; source vintage and corridor coverage still limit interpretation.
PHL,Philippines,8.7257,2024,2025_1Q,14,14,36683.0,32506.0,0.8861,4.6871,4.0803,4.539,-0.1482,10.9,10.6,11,11,0,ranked_outside_top5,False,False,False,False,11.39,broadly_observed_ranked,Broadly observed ranked row,Rankable inside this module; still not a household transaction estimate.
FJI,Fiji,7.1077,2024,2025_1Q,2,2,482.0,303.0,0.6286,5.2783,5.2783,5.1498,-0.1284,10.0,9.8,12,12,0,ranked_outside_top5,False,False,False,False,37.14,ranked_with_caveat,Ranked with caveat,Use for screening only; source vintage and corridor coverage still limit interpretation.
ARM,Armenia,4.9247,2024,2025_1Q,1,1,1607.0,198.0,0.1232,6.6764,6.6764,6.6764,0.0,8.8,8.8,15,13,2,ranked_outside_top5,True,True,False,False,87.68,low_flow_coverage_ranked,Low matched-flow coverage,Use only as a validation target; matched RPW corridors cover less than 25 percent of estimated inbound flow.
