iso3,country,students_affected_2024,major_hazard,unicef_annex_page,transcription_verified,is_heatwave_major,old_panel_member,old_baseline_rank,school_heat_pressure_index,annual_tasmax_1995_2014_celsius,primary_pupil_teacher_ratio,pop_0_14_pct,children_0_14_millions,enrollment_levels_present,enrollment_levels_complete,enrollment_latest_years,preprimary_enrollment_latest,preprimary_enrollment_year,primary_enrollment_latest,primary_enrollment_year,secondary_enrollment_latest,secondary_enrollment_year,total_enrollment_latest,affected_to_enrollment_pct,heatwave_affected_rank
AFG,Afghanistan,10914000,Heatwave,10,True,True,True,19,0.0,18.83,48.78979,42.8875055536677,18.29,2,False,2023,,,7507218.0,2023,3429308.0,2023,,,5
ARM,Armenia,600,Flood,10,True,False,True,19,0.0,11.51,15.41859,19.2370774424519,0.58,3,True,2019;2024,50747.0,2019,160885.0,2024,290201.0,2024,501833.0,0.11956168685598595,
AZE,Azerbaijan,3500,Flood,10,True,False,True,19,0.0,16.89,15.42982,21.8116344602457,2.23,3,True,2019;2024,207008.0,2019,603966.0,2024,1063004.0,2024,1873978.0,0.1867684679329213,
BGD,Bangladesh,35378813,Heatwave,10,True,True,True,2,6.8,29.88,30.05459,27.9889305379593,48.58,3,True,2018;2024,3578384.0,2018,16686625.0,2024,15067521.0,2024,35332530.0,100.1309926008695,2
KHM,Cambodia,3385799,Heatwave,10,True,True,True,1,14.2,31.87,41.7035,29.7931455146284,5.26,3,True,2019;2024,265827.0,2019,2265817.0,2024,1171516.0,2024,3703160.0,91.42999492325472,6
CHN,China,19379106,Tropical cyclone,10,True,False,True,19,0.0,12.42,16.42675,16.0078123326803,225.55,3,True,2019;2024,46564204.0,2019,108566854.0,2024,97983183.0,2024,253114241.0,7.6562685384422915,
GEO,Georgia,6551,"Flood, Storm",11,True,False,True,19,0.0,12.63,8.98194,20.7987693261233,0.77,2,False,2024,,,342203.0,2024,306567.0,2024,,,
IND,India,54784029,Heatwave,11,True,True,True,3,6.3,29.68,32.74955,24.6239027058366,357.28,3,True,2019;2025,43896124.0,2019,126117112.465694,2025,133156037.630773,2025,303169274.096467,18.070442383474514,1
IDN,Indonesia,59037,Flood,11,True,False,True,13,2.8,28.94,17.03493,24.5977969421876,69.73,3,True,2018;2025,5909251.0,2018,28684389.0,2025,27835491.0,2025,62429131.0,0.094566429252395,
KAZ,Kazakhstan,832000,Flood,11,True,False,True,19,0.0,12.17,17.21457,29.3732798104715,6.05,3,True,2019;2025,985721.0,2019,1576627.0,2025,2574530.0,2025,5136878.0,16.196608134357092,
LAO,Lao PDR,20000,Tropical cyclone,11,True,False,True,12,3.3,27.91,22.33717,30.1984061662183,2.35,3,True,2019;2025,225176.0,2019,739554.0,2025,532092.0,2025,1496822.0,1.3361642199272858,
MHL,Marshall Islands,1000,Drought,11,True,False,False,,,,,,,3,True,2019;2024,1262.0,2019,5369.0,2024,5009.0,2024,11640.0,8.59106529209622,
MNG,Mongolia,80215,Storm,11,True,False,True,19,0.0,7.37,30.38318,32.1932994585014,1.13,3,True,2018;2023;2024,256720.0,2018,379647.0,2024,412877.0,2023,1049244.0,7.645028229849301,
MMR,Myanmar,300000,Tropical cyclone,11,True,False,True,10,3.6,28.66,24.3599,24.3005300670048,13.24,3,True,2018,154103.0,2018,5299765.0,2018,4186742.0,2018,9640610.0,3.11183628421853,
NPL,Nepal,23000,Flood,11,True,False,True,19,0.0,17.68,19.74396,28.4291693571977,8.43,3,True,2019;2024;2025,958127.0,2019,3565348.0,2025,3668708.0,2024,8192183.0,0.2807554469913575,
PAK,Pakistan,26230000,Heatwave,12,True,True,True,5,5.1,26.89,44.0773,36.6849298308646,92.18,3,True,2019;2024,8537946.0,2019,25376209.0,2024,19700221.0,2024,53614376.0,48.923445457986865,3
PNG,Papua New Guinea,77938,Storm,12,True,False,False,,,,,,,3,True,2016;2023,358198.0,2016,1654793.55198572,2023,655030.091991726,2023,2668021.643977446,2.9211906948330157,
PHL,Philippines,24195388,Heatwave,12,True,True,True,4,5.3,28.9,29.08352,27.8680674907316,32.28,3,True,2018;2024,2268455.0,2018,13061453.0,2024,11865598.0,2024,27195506.0,88.96833175304772,4
LKA,Sri Lanka,515306,Flood,12,True,False,True,8,4.3,30.38,21.73735,22.0302867118189,4.83,3,True,2018;2023,464189.0,2018,1576358.0,2023,2537045.0,2023,4577592.0,11.25714130922983,
THA,Thailand,25083,Tropical cyclone,12,True,False,True,14,2.5,31.19,16.63844,14.7494821643648,10.57,3,True,2019;2025,1786826.0,2019,4445677.0,2025,4258423.0,2025,10490926.0,0.2390923356050743,
VNM,Viet Nam,2650000,Tropical cyclone,12,True,False,True,15,2.1,27.67,20.27696,23.2240051365074,23.45,3,True,2019;2022;2024,4415233.0,2019,8876319.52864096,2024,9614727.0,2022,22906279.52864096,11.568880038709741,
