iso3,country,sp_coverage_pct,sp_coverage_year,findex_account_pct,findex_year,poverty_headcount_215_pct,poverty_year,poverty_gap_pct,shock_payment_readiness_gap
PAK,Pakistan,22.0927628187244,2018,20.9806311316514,2021,23.0,2024,5.2,18.0
VUT,Vanuatu,30.3520259366275,2019,,,19.5,2019,4.9,13.6
MMR,Myanmar,13.9684258982423,2017,47.7910290706127,2021,10.3,2017,1.8,7.1
LAO,Lao PDR,2.15922345964383,2018,37.3200289962313,2021,7.1,2024,1.5,5.7
TJK,Tajikistan,,,39.4881617560099,2021,6.1,2024,1.1,3.7
PHL,Philippines,43.0410765516831,2018,51.3717638928697,2021,5.3,2023,1.0,2.8
BGD,Bangladesh,55.5563694666495,2022,52.8060649194004,2021,5.9,2022,1.0,2.7
IDN,Indonesia,65.0930131345136,2022,51.755324070215,2021,5.4,2024,0.8,2.2
UZB,Uzbekistan,25.4577679437466,2018,44.1347902834696,2021,2.7,2024,1.0,1.8
GEO,Georgia,65.973896344421,2021,70.4986885500291,2021,4.2,2024,0.9,1.3
IND,India,,,77.5291370626274,2021,5.3,2022,0.8,1.2
KGZ,Kyrgyzstan,55.152572695206,2020,45.0948439820275,2021,2.2,2024,0.3,1.1
NPL,Nepal,,,54.0026922540655,2021,2.4,2022,0.3,1.1
LKA,Sri Lanka,37.500421333304,2019,89.2707132323262,2021,2.7,2019,0.4,1.0
MHL,Marshall Islands,62.7320123849512,2019,,,2.1,2019,0.4,0.8
KIR,Kiribati,51.7176892521448,2019,,,0.9,2023,0.1,0.4
VNM,Viet Nam,89.4056063238231,2020,56.2657536272923,2022,1.6,2022,0.4,0.4
ARM,Armenia,75.2949652732936,2022,55.3477332562389,2021,0.8,2024,0.1,0.3
AFG,Afghanistan,,,9.65382184434304,2021,,,,
AZE,Azerbaijan,64.6436151035617,2015,46.2586542278959,2022,,,,
BTN,Bhutan,8.97098517930407,2022,,,0.0,2022,0.0,0.0
BRN,Brunei Darussalam,,,,,,,,
KHM,Cambodia,,,33.3949915672468,2021,,,,
CHN,China,,,88.7090216844445,2021,0.0,2022,0.0,0.0
COK,Cook Islands,,,,,,,,
FJI,Fiji,,,,,4.7,2019,0.8,
HKG,Hong Kong SAR,,,97.801244380349,2021,,,,
KAZ,Kazakhstan,57.2608739944165,2021,81.1084645196623,2021,0.0,2021,0.0,0.0
MYS,Malaysia,76.675353709024,2016,88.3748841160555,2021,0.0,2021,0.0,0.0
MDV,Maldives,28.607485505117,2019,79.546409464789,2017,0.0,2019,0.0,0.0
FSM,Micronesia,,,,,,,,
MNG,Mongolia,92.6013731135065,2020,98.4550191343593,2021,0.4,2022,0.1,0.0
NRU,Nauru,,,,,,,,
PLW,Palau,,,,,,,,
PNG,Papua New Guinea,,,,,,,,
WSM,Samoa,,,,,,,,
SLB,Solomon Islands,,,,,,,,
TWN,Taiwan,,,,,,,,
THA,Thailand,87.1883451210434,2021,95.5769973139711,2021,0.0,2024,0.0,0.0
TLS,Timor-Leste,,,,,,,,
TON,Tonga,,,,,0.4,2021,0.1,
TKM,Turkmenistan,,,40.5764131969046,2017,,,,
TUV,Tuvalu,,,,,,,,
